,gameweek,manager,net_points,player_name,photo,team_in,player_name_out,team_out,in_points,out_points,gw_until_out
223,25,Youssef,-3.0,Robinson,169528,FUL,Chilwell,CHE,8.0,11.0,2.0
86,14,Ruslan,-4.0,Tielemans,166989,LEI,Rodrigo,LEE,2.0,6.0,1.0
56,12,Sami,-4.0,Martial,148225,MUN,Diego Costa,WOL,0.0,4.0,2.0
125,18,Sami,-4.0,Bruno Guimarães,208706,NEW,Dewsbury-Hall,LEI,5.0,9.0,3.0
305,32,Santi,-4.0,Semedo,200402,WOL,Pinnock,BRE,6.0,10.0,3.0
333,35,Santi,-4.0,Kelly,235530,BOU,Semedo,WOL,2.0,6.0,2.0
42,9,Youssef,-4.0,Sinisterra,224995,LEE,Podence,WOL,-2.0,2.0,1.0
200,23,Youssef,-4.0,Aurier,80226,NFO,Castagne,LEI,2.0,6.0,2.0
202,23,Youssef,-4.0,Antonio,57531,WHU,Solanke,BOU,8.0,12.0,6.0
337,36,Youssef,-4.0,Toti,510362,WOL,Robinson,FUL,2.0,6.0,1.0
129,18,Ali,-5.0,Koulibaly,86129,CHE,Digne,AVL,2.0,7.0,1.0
187,22,Ruslan,-5.0,Jorginho,85955,ARS,Ward-Prowse,SOU,8.0,13.0,5.0
203,23,Sami,-5.0,Madueke,248857,CHE,Ouattara,BOU,2.0,7.0,1.0
59,12,Santi,-5.0,Chalobah,180736,CHE,Azpilicueta,CHE,6.0,11.0,8.0
105,16,Santi,-5.0,Kulusevski,445044,TOT,Rodri,MCI,7.0,12.0,4.0
249,28,Santi,-5.0,Rodrigo,80954,LEE,Bowen,WHU,9.0,14.0,5.0
186,22,Ruslan,-6.0,Kiwior,440854,ARS,Pinnock,BRE,0.0,6.0,1.0
325,34,Santi,-6.0,Veltman,111478,BHA,Webster,BHA,5.0,11.0,1.0
335,36,Santi,-6.0,Murphy,114243,NEW,J.Ayew,CRY,0.0,6.0,1.0
194,23,Shrey,-6.0,Kilman,214048,WOL,Perraud,SOU,7.0,13.0,5.0
225,26,Shrey,-6.0,Ings,84939,WHU,Gnonto,LEE,4.0,10.0,5.0
117,17,Youssef,-6.0,Amartey,155569,LEI,Cucurella,CHE,2.0,8.0,2.0
93,15,Ali,-7.0,Nelson,200641,ARS,Billing,BOU,0.0,7.0,1.0
115,16,Ali,-7.0,Bailey,215711,AVL,Bruno Guimarães,NEW,2.0,9.0,2.0
220,25,Ali,-7.0,Pickford,111234,EVE,Martínez,AVL,2.0,9.0,1.0
109,16,Ruslan,-7.0,Paquetá,224024,WHU,Casemiro,MUN,5.0,12.0,5.0
254,28,Sami,-7.0,Sterling,103955,CHE,Kulusevski,TOT,2.0,9.0,3.0
22,7,Santi,-7.0,Antony,467169,MUN,Xhaka,ARS,7.0,14.0,16.0
148,20,Santi,-7.0,Boly,90585,NFO,Davies,TOT,8.0,15.0,4.0
199,23,Youssef,-7.0,Tetê,225295,LEI,Bowen,WHU,6.0,13.0,4.0
46,10,Ali,-8.0,Eriksen,80607,MUN,Billing,BOU,2.0,10.0,1.0
210,24,Santi,-8.0,Ouattara,533463,BOU,Jensen,BRE,4.0,12.0,3.0
267,29,Santi,-8.0,A.Doucouré,121599,EVE,Enzo,CHE,-2.0,6.0,2.0
66,12,Ali,-9.0,Neto,69752,BOU,Henderson,NFO,2.0,11.0,1.0
209,24,Ali,-9.0,Martínez,98980,AVL,Pickford,EVE,-3.0,6.0,1.0
257,28,Ali,-9.0,Daka,245419,LEI,Álvarez,MCI,6.0,15.0,3.0
98,15,Ruslan,-9.0,Eriksen,80607,MUN,Tielemans,LEI,2.0,11.0,1.0
169,21,Sami,-9.0,James,225796,CHE,Martínez,MUN,3.0,12.0,3.0
58,12,Santi,-9.0,Arrizabalaga,109745,CHE,Pickford,EVE,11.0,20.0,26.0
147,20,Santi,-9.0,Ferguson,487117,BHA,Watkins,AVL,11.0,20.0,8.0
139,19,Ali,-10.0,Malacia,222690,MUN,Koulibaly,CHE,0.0,10.0,1.0
107,16,Ruslan,-10.0,Isak,219168,NEW,Moore,BOU,0.0,10.0,6.0
274,30,Ruslan,-10.0,Willock,200089,NEW,Bowen,WHU,9.0,19.0,7.0
111,16,Sami,-10.0,Son,85971,TOT,Bentancur,TOT,4.0,14.0,5.0
156,20,Santi,-10.0,Koulibaly,86129,CHE,Chalobah,CHE,1.0,11.0,2.0
288,31,Santi,-10.0,Veltman,111478,BHA,Álex Moreno,AVL,0.0,10.0,1.0
284,31,Shrey,-10.0,Martial,148225,MUN,Iheanacho,LEI,6.0,16.0,3.0
41,9,Sami,-11.0,Diego Costa,18507,WOL,Edouard,CRY,4.0,15.0,3.0
330,35,Sami,-12.0,Cash,199796,AVL,Pedro Porro,TOT,0.0,12.0,1.0
106,16,Santi,-12.0,Walker,58621,MCI,Alexander-Arnold,LIV,0.0,12.0,7.0
263,29,Youssef,-12.0,Robinson,169528,FUL,Dawson,WOL,4.0,16.0,7.0
165,21,Ruslan,-14.0,Casemiro,61256,MUN,Paquetá,WHU,-1.0,13.0,7.0
264,29,Sami,-15.0,Ferguson,487117,BHA,Wilson,NEW,9.0,24.0,3.0
162,21,Youssef,-16.0,Castagne,166477,LEI,Henry,BRE,1.0,17.0,2.0
110,16,Ruslan,-21.0,Smith Rowe,209289,ARS,Eriksen,MUN,0.0,21.0,4.0
