,manager,player_name,photo,player_id
191,Ruslan,Bamford,106617,1
192,Ruslan,Carvalho,244858,1
193,Ruslan,Chilwell,172850,1
194,Ruslan,Cucurella,179268,1
195,Ruslan,D.D.Fofana,520295,1
196,Ruslan,Dier,93264,1
197,Ruslan,Douglas Luiz,230046,1
198,Ruslan,Edouard,199670,1
199,Ruslan,Eriksen,80607,1
200,Ruslan,Fabianski,37096,1
201,Ali,Mings,149484,1
202,Ali,Maupay,115382,1
203,Ruslan,Firmino,92217,1
204,Ali,Digne,101188,1
205,Ali,Elliott,444884,1
206,Ali,Elanga,449434,1
207,Ali,Edouard,199670,1
208,Ali,Dunk,83299,1
209,Ali,Douglas Luiz,230046,1
210,Ali,Doherty,87835,1
211,Ali,Buendía,195546,1
212,Ali,Martial,148225,1
213,Ali,Bruno Guimarães,208706,1
214,Ali,Bentancur,202993,1
215,Ali,Badiashile,242880,1
216,Ali,Azpilicueta,41328,1
217,Ali,Aurier,80226,1
218,Ali,Antony,467169,1
219,Ali,Enzo,448047,1
220,Ali,Estupiñán,204214,1
221,Ali,Garnacho,493105,1
222,Ali,Gibbs-White,222531,1
223,Ali,Gnonto,492859,1
224,Ali,Gomez,171287,1
225,Ali,Gordon,232826,1
226,Ali,Gray,172632,1
227,Ali,Grealish,114283,1
228,Ali,Guéhi,209036,1
229,Ali,Holding,156074,1
230,Ali,Iwobi,153133,1
231,Ali,Johnstone,101982,1
232,Ali,Kehrer,201057,1
233,Ali,Koulibaly,86129,1
234,Ali,Lewis,477064,1
235,Ali,Luis Díaz,244731,1
236,Ruslan,Faes,218218,1
237,Ruslan,Guéhi,209036,1
238,Sami,Semedo,200402,1
239,Sami,Iheanacho,173515,1
240,Sami,Justin,220627,1
241,Sami,Jonny,114128,1
242,Sami,Joelinton,180974,1
243,Sami,Jensen,207283,1
244,Sami,J.Ayew,80146,1
245,Sami,Iwobi,153133,1
246,Sami,Gündogan,59859,1
247,Sami,Cash,199796,1
248,Sami,Grealish,114283,1
249,Sami,Gibbs-White,222531,1
250,Sami,Eriksen,80607,1
251,Sami,Enciso,474120,1
252,Sami,Diego Costa,18507,1
253,Sami,Dewsbury-Hall,215413,1
254,Sami,Kulusevski,445044,1
255,Sami,Leno,80201,1
256,Sami,Lindelöf,184667,1
257,Sami,Madueke,248857,1
258,Sami,Mahrez,103025,1
259,Sami,March,109345,1
260,Sami,Martial,148225,1
261,Sami,Mudryk,465920,1
262,Sami,Murphy,114243,1
263,Sami,Nørgaard,128295,1
264,Sami,Olise,443661,1
265,Sami,Ouattara,533463,1
266,Sami,Pedro Porro,441164,1
267,Sami,Pickford,111234,1
268,Sami,R.Sessegnon,184349,1
269,Sami,Ramsey,232653,1
270,Sami,Rice,204480,1
271,Sami,Chilwell,172850,1
272,Sami,Bruno Guimarães,208706,1
273,Ruslan,Gündogan,59859,1
274,Ruslan,Konsa,199798,1
275,Ruslan,Mykolenko,224967,1
276,Ruslan,Mudryk,465920,1
277,Ruslan,Mount,184341,1
278,Ruslan,Moore,128340,1
279,Ruslan,Martínez,221820,1
280,Ruslan,Lewis,477064,1
281,Ruslan,Konaté,204716,1
282,Sami,Bentancur,202993,1
283,Ruslan,Kiwior,440854,1
284,Ruslan,Kilman,214048,1
285,Ruslan,Kanté,116594,1
286,Ruslan,Jorginho,85955,1
287,Ruslan,James,225796,1
288,Ruslan,Isak,219168,1
289,Ruslan,Paquetá,224024,1
290,Ruslan,Pinnock,231065,1
291,Ruslan,Romero,221632,1
292,Ruslan,Smith Rowe,209289,1
293,Ruslan,Steele,49262,1
294,Ruslan,Sterling,103955,1
295,Ruslan,Struijk,222694,1
296,Ruslan,Tielemans,166989,1
297,Ruslan,Tierney,192895,1
298,Ruslan,Trossard,116216,1
299,Ruslan,Walker,58621,1
300,Ruslan,Ward-Prowse,101178,1
301,Ruslan,Willock,200089,1
302,Ruslan,Xhaka,84450,1
303,Sami,Alexander-Arnold,169187,1
304,Sami,Antony,467169,1
305,Sami,Benrahma,172841,1
306,Youssef,Álvarez,461358,1
