,time,PressMode
0,2023-01-02 04:14:42.908,4
1,2023-01-02 06:44:54.901,16
2,2023-01-02 11:29:23.072,8
3,2023-01-02 11:39:29.492,4
4,2023-01-02 12:09:15.621,16
5,2023-01-02 12:15:04.015,4
6,2023-01-02 12:30:47.779,16
7,2023-01-02 20:18:01.782,0
8,2023-01-02 20:18:02.783,8
9,2023-01-02 20:24:51.417,0
10,2023-01-02 20:24:52.417,4
11,2023-01-02 20:26:55.914,16
12,2023-01-02 23:14:30.075,8
13,2023-01-02 23:19:27.262,4
14,2023-01-02 23:28:56.543,16
15,2023-01-03 06:33:38.328,8
16,2023-01-03 06:42:52.549,0
17,2023-01-03 06:42:53.549,4
18,2023-01-03 06:44:55.038,16
19,2023-01-03 19:24:35.132,8
20,2023-01-03 19:28:53.161,4
21,2023-01-03 19:58:47.332,16
22,2023-01-03 21:19:23.638,8
23,2023-01-03 21:26:09.262,0
24,2023-01-03 21:26:10.262,4
25,2023-01-03 21:27:34.601,16
26,2023-01-04 00:43:25.553,8
27,2023-01-04 00:49:23.987,32
28,2023-01-04 00:49:24.987,4
29,2023-01-04 01:15:27.237,16
30,2023-01-04 05:05:46.434,4
31,2023-01-04 05:24:34.936,16
32,2023-01-04 09:24:02.328,4
33,2023-01-04 09:24:34.457,8
34,2023-01-04 09:29:33.653,4
35,2023-01-04 09:45:16.426,16
36,2023-01-04 14:09:26.734,0
37,2023-01-04 14:09:27.743,8
38,2023-01-04 14:44:39.167,16
39,2023-01-05 02:01:55.526,8
40,2023-01-05 02:17:21.220,0
41,2023-01-05 02:17:23.232,4
42,2023-01-05 02:17:24.240,16
43,2023-01-05 05:55:45.579,4
44,2023-01-05 05:55:59.630,16
45,2023-01-05 08:33:22.352,4
46,2023-01-05 08:37:17.288,16
47,2023-01-05 10:59:12.303,8
48,2023-01-05 11:08:48.605,0
49,2023-01-05 11:08:49.615,4
50,2023-01-05 11:13:39.769,16
51,2023-01-05 17:23:38.460,8
52,2023-01-05 17:36:53.640,16
