,time,TraceabilityCode,PressForceValueFL,time.value
64,2023-01-04 12:30:27.586,1010223004113005,29.0,2023-01-04 12:30:31.805
65,2023-01-04 12:30:34.417,1010223004113011,29.3,2023-01-04 12:30:38.605
66,2023-01-04 12:30:55.016,1010223004113032,29.8,2023-01-04 12:30:59.164
67,2023-01-04 12:31:01.805,1010223004113039,29.3,2023-01-04 12:31:06.125
68,2023-01-04 12:31:08.635,1010223004113046,30.1,2023-01-04 12:31:12.845
69,2023-01-04 12:31:15.516,1010223004113053,29.6,2023-01-04 12:31:19.795
70,2023-01-04 12:31:22.375,1010223004113059,29.0,2023-01-04 12:31:26.515
71,2023-01-04 12:31:29.165,1010223004113106,29.6,2023-01-04 12:31:33.405
72,2023-01-04 12:31:36.155,1010223004113113,29.8,2023-01-04 12:31:40.446
73,2023-01-04 12:31:42.926,1010223004113120,28.8,2023-01-04 12:31:47.155
74,2023-01-04 12:31:49.775,1010223004113127,29.0,2023-01-04 12:31:54.045
75,2023-01-04 12:31:56.555,1010223004113133,29.6,2023-01-04 12:32:00.755
76,2023-01-04 12:32:03.325,1010223004113140,29.0,2023-01-04 12:32:07.634
77,2023-01-04 12:32:10.075,1010223004113147,29.3,2023-01-04 12:32:14.365
78,2023-01-04 12:32:16.875,1010223004113154,29.0,2023-01-04 12:32:21.075
79,2023-01-04 12:32:37.595,1010223004113215,29.3,2023-01-04 12:32:41.884
80,2023-01-04 12:33:05.535,1010223004113242,29.0,2023-01-04 12:33:09.803
81,2023-01-04 12:33:12.384,1010223004113249,29.3,2023-01-04 12:33:16.604
82,2023-01-04 12:33:19.845,1010223004113256,29.6,2023-01-04 12:33:24.134
83,2023-01-04 12:33:27.384,1010223004113302,29.8,2023-01-04 12:33:31.553
84,2023-01-04 12:33:34.184,1010223004113309,29.0,2023-01-04 12:33:38.374
85,2023-01-04 12:33:40.964,1010223004113316,29.6,2023-01-04 12:33:45.163
86,2023-01-04 12:33:48.444,1010223004113323,29.3,2023-01-04 12:33:52.683
87,2023-01-04 12:33:55.924,1010223004113330,28.8,2023-01-04 12:34:00.132
88,2023-01-04 12:34:02.733,1010223004113337,29.3,2023-01-04 12:34:06.923
89,2023-01-04 12:34:17.684,1010223004113350,28.8,2023-01-04 12:34:21.973
90,2023-01-04 12:34:24.594,1010223004113357,29.0,2023-01-04 12:34:28.773
91,2023-01-04 12:34:32.114,1010223004113404,29.3,2023-01-04 12:34:36.364
92,2023-01-04 12:34:39.594,1010223004113411,28.8,2023-01-04 12:34:43.892
93,2023-01-04 12:34:46.463,1010223004113417,29.3,2023-01-04 12:34:50.683
94,2023-01-04 12:35:07.542,1010223004113438,29.6,2023-01-04 12:35:11.713
95,2023-01-04 12:35:14.282,1010223004113445,29.0,2023-01-04 12:35:18.443
96,2023-01-04 12:35:36.062,1010223004113506,29.3,2023-01-04 12:35:40.292
97,2023-01-04 12:36:05.382,1010223004113533,29.6,2023-01-04 12:36:09.651
98,2023-01-04 12:36:12.891,1010223004113540,28.8,2023-01-04 12:36:17.161
99,2023-01-04 12:36:19.711,1010223004113547,29.0,2023-01-04 12:36:23.960
100,2023-01-04 12:36:27.082,1010223004113554,29.3,2023-01-04 12:36:31.332
101,2023-01-04 12:36:33.961,1010223004113602,29.0,2023-01-04 12:36:38.210
102,2023-01-04 12:36:48.180,1010223004113616,29.3,2023-01-04 12:36:52.460
103,2023-01-04 12:36:55.700,1010223004113623,29.0,2023-01-04 12:36:59.970
104,2023-01-04 12:37:03.161,1010223004113631,29.3,2023-01-04 12:37:07.410
105,2023-01-04 12:37:10.071,1010223004113638,29.6,2023-01-04 12:37:14.290
106,2023-01-04 12:37:17.530,1010223004113645,29.0,2023-01-04 12:37:21.811
107,2023-01-04 12:37:25.051,1010223004113652,29.6,2023-01-04 12:37:29.250
