,time,TraceabilityCode,PressForceValueRL,time.value
0,2023-01-04 14:48:47.447,1010223004134159,5.6,2023-01-04 14:48:53.135
1,2023-01-04 14:51:04.079,1010123004134213,5.3,2023-01-04 14:51:08.339
2,2023-01-04 14:51:19.000,1010123004134227,5.6,2023-01-04 14:51:23.369
3,2023-01-04 14:51:26.519,1010123004134308,5.8,2023-01-04 14:51:30.900
4,2023-01-04 14:51:33.930,1010123004134352,5.6,2023-01-04 14:51:38.249
5,2023-01-04 14:55:28.789,1010123004134547,5.3,2023-01-04 14:55:33.219
6,2023-01-04 14:55:41.868,1010123004134626,5.6,2023-01-04 14:55:46.309
7,2023-01-04 14:56:35.657,1010123004135307,5.8,2023-01-04 14:56:39.947
8,2023-01-04 14:56:50.568,1010123004135545,5.6,2023-01-04 14:56:54.917
9,2023-01-04 14:56:57.828,1010123004135552,5.3,2023-01-04 14:57:02.197
10,2023-01-04 14:57:05.318,1010123004135600,5.6,2023-01-04 14:57:09.637
11,2023-01-04 14:57:12.798,1010123004135607,5.8,2023-01-04 14:57:17.167
12,2023-01-04 14:57:42.546,1010123004135637,5.6,2023-01-04 14:57:46.907
13,2023-01-04 14:58:04.667,1010123004135659,5.8,2023-01-04 14:58:09.066
14,2023-01-04 14:58:12.086,1010123004135706,5.6,2023-01-04 14:58:16.437
15,2023-01-04 14:58:41.696,1010123004135736,5.8,2023-01-04 14:58:46.105
16,2023-01-04 14:58:49.196,1010123004135743,5.6,2023-01-04 14:58:53.466
17,2023-01-04 14:59:03.865,1010123004135758,5.3,2023-01-04 14:59:08.275
18,2023-01-04 14:59:18.684,1010123004135813,5.6,2023-01-04 14:59:23.073
19,2023-01-04 14:59:33.525,1010123004135828,5.3,2023-01-04 14:59:37.894
20,2023-01-04 14:59:40.894,1010123004135835,5.8,2023-01-04 14:59:45.243
21,2023-01-04 14:59:55.703,1010123004135850,5.6,2023-01-04 15:00:00.043
22,2023-01-04 15:00:10.444,1010123004135904,5.3,2023-01-04 15:00:14.832
23,2023-01-04 15:00:17.854,1010123004135912,5.8,2023-01-04 15:00:22.203
24,2023-01-04 15:00:25.282,1010123004135919,5.6,2023-01-04 15:00:29.552
25,2023-01-04 15:00:47.453,1010123004135941,5.3,2023-01-04 15:00:51.802
26,2023-01-04 15:00:54.913,1010123004135948,5.8,2023-01-04 15:00:59.232
27,2023-01-04 15:01:09.644,1010123004140003,5.3,2023-01-04 15:01:13.953
28,2023-01-04 15:01:17.112,1010123004140011,5.6,2023-01-04 15:01:21.401
29,2023-01-04 15:01:39.292,1010123004140033,5.3,2023-01-04 15:01:43.651
30,2023-01-04 15:01:46.673,1010123004140040,5.6,2023-01-04 15:01:51.012
31,2023-01-04 15:01:53.982,1010123004140047,5.8,2023-01-04 15:01:58.351
32,2023-01-04 15:02:16.302,1010123004140109,5.6,2023-01-04 15:02:20.681
33,2023-01-04 15:02:23.661,1010123004140117,5.8,2023-01-04 15:02:27.970
34,2023-01-04 15:02:31.052,1010123004140124,5.3,2023-01-04 15:02:35.401
35,2023-01-04 15:02:38.431,1010123004140131,5.6,2023-01-04 15:02:42.772
36,2023-01-04 15:03:37.811,1010123004140214,5.3,2023-01-04 15:03:42.141
37,2023-01-04 15:03:45.301,1010123004140221,5.8,2023-01-04 15:03:49.641
38,2023-01-04 15:03:52.680,1010123004140228,5.3,2023-01-04 15:03:57.101
39,2023-01-04 15:04:00.131,1010123004140235,5.8,2023-01-04 15:04:04.450
40,2023-01-04 15:06:10.259,1010123004140242,5.6,2023-01-04 15:06:14.707
41,2023-01-04 15:08:47.707,1010123004140401,5.3,2023-01-04 15:08:52.065
42,2023-01-04 15:08:55.325,1010123004140642,5.6,2023-01-04 15:08:59.655
43,2023-01-04 15:09:10.125,1010123004140754,5.8,2023-01-04 15:09:14.464
44,2023-01-04 15:09:17.436,1010123004140801,5.6,2023-01-04 15:09:21.815
