,time,PressMode
0,2023-01-02 04:14:57.519,4
1,2023-01-02 06:30:33.017,16
2,2023-01-02 11:30:43.971,8
3,2023-01-02 11:40:42.361,4
4,2023-01-02 11:42:27.779,16
5,2023-01-02 20:18:17.453,8
6,2023-01-02 20:25:18.135,16
7,2023-01-02 23:12:22.197,8
8,2023-01-02 23:22:16.569,16
9,2023-01-03 06:35:37.467,8
10,2023-01-03 06:52:45.575,16
11,2023-01-03 19:24:56.923,8
12,2023-01-03 19:35:17.407,16
13,2023-01-03 20:01:14.628,4
14,2023-01-03 20:03:02.055,16
15,2023-01-03 21:19:49.457,32
16,2023-01-03 21:19:50.467,8
17,2023-01-03 21:28:09.459,16
18,2023-01-04 00:47:47.329,0
19,2023-01-04 00:47:48.339,8
20,2023-01-04 00:56:13.351,16
21,2023-01-04 05:06:01.243,8
22,2023-01-04 05:16:52.844,16
23,2023-01-04 09:30:50.732,32
24,2023-01-04 09:30:51.732,8
25,2023-01-04 09:40:03.941,16
26,2023-01-04 14:09:50.622,8
27,2023-01-04 14:20:00.052,16
28,2023-01-05 01:53:48.414,8
29,2023-01-05 02:05:34.232,0
30,2023-01-05 02:05:35.232,16
31,2023-01-05 02:05:55.321,4
32,2023-01-05 02:07:25.680,16
33,2023-01-05 05:41:37.028,8
34,2023-01-05 05:48:15.628,16
35,2023-01-05 05:48:32.697,4
36,2023-01-05 05:51:25.384,16
37,2023-01-05 07:57:30.612,8
38,2023-01-05 08:06:43.828,16
39,2023-01-05 08:06:44.839,4
40,2023-01-05 08:07:50.098,16
41,2023-01-05 10:59:42.305,8
42,2023-01-05 11:13:17.561,32
43,2023-01-05 11:13:18.561,16
44,2023-01-05 17:23:35.351,8
45,2023-01-05 17:38:58.038,16
46,2023-01-05 18:00:36.224,4
47,2023-01-05 18:00:43.255,16
48,2023-01-05 18:04:02.049,4
49,2023-01-05 18:04:06.059,16
50,2023-01-05 20:16:06.709,8
51,2023-01-05 20:31:54.500,16
52,2023-01-06 00:34:47.742,8
53,2023-01-06 00:45:01.193,16
54,2023-01-06 03:48:54.275,8
55,2023-01-06 04:48:37.605,0
56,2023-01-06 04:48:38.605,16
57,2023-01-09 08:52:25.674,8
58,2023-01-09 09:01:56.953,16
59,2023-01-09 14:10:01.813,8
60,2023-01-09 14:19:33.095,4
61,2023-01-09 14:21:07.476,16
62,2023-01-09 18:42:21.108,8
63,2023-01-09 18:51:05.201,32
64,2023-01-09 18:51:06.211,16
65,2023-01-09 22:49:19.311,8
66,2023-01-09 22:54:25.538,4
67,2023-01-09 22:55:57.905,0
68,2023-01-09 22:55:58.915,16
69,2023-01-10 01:50:14.691,8
70,2023-01-10 01:58:36.703,4
71,2023-01-10 02:00:21.122,16
72,2023-01-10 10:37:05.042,8
73,2023-01-10 10:46:07.201,0
74,2023-01-10 10:46:08.211,16
75,2023-01-10 14:34:48.029,4
76,2023-01-10 14:43:35.134,16
77,2023-01-11 01:47:05.219,8
78,2023-01-11 02:02:05.816,4
79,2023-01-11 02:02:53.005,16
80,2023-01-11 09:21:09.092,8
81,2023-01-11 09:38:15.198,16
82,2023-01-11 10:29:24.460,8
83,2023-01-11 10:42:21.569,16
84,2023-01-11 16:16:44.756,0
85,2023-01-11 16:16:45.756,8
86,2023-01-11 16:28:30.575,16
87,2023-01-11 21:06:30.230,32
88,2023-01-11 21:06:31.240,8
89,2023-01-11 21:11:43.484,0
90,2023-01-11 21:11:44.494,16
91,2023-01-12 00:47:50.296,8
92,2023-01-12 00:51:40.213,16
93,2023-01-12 04:44:02.957,8
94,2023-01-12 04:52:36.006,16
95,2023-01-12 11:33:27.108,8
96,2023-01-12 11:41:31.042,16
97,2023-01-12 15:53:00.351,0
98,2023-01-12 15:53:01.351,8
99,2023-01-12 16:04:08.023,16
100,2023-01-12 18:32:27.585,8
101,2023-01-12 18:42:28.997,32
102,2023-01-12 18:42:29.997,16
103,2023-01-12 21:07:35.786,8
104,2023-01-12 21:12:39.003,4
105,2023-01-12 21:18:48.477,16
106,2023-01-13 06:20:59.486,8
107,2023-01-13 10:27:27.585,16
108,2023-01-13 14:54:20.588,8
109,2023-01-13 15:02:35.562,0
110,2023-01-13 15:02:36.562,4
111,2023-01-13 15:06:07.410,16
112,2023-01-13 17:06:17.236,8
113,2023-01-13 18:32:31.910,4
114,2023-01-13 18:35:23.588,16
115,2023-01-13 23:41:08.910,8
116,2023-01-14 00:06:22.957,16
117,2023-01-16 10:57:14.546,8
118,2023-01-16 11:06:15.709,16
