player_name,team,photo,0
Ramsdale,ARS,225321,1
Rashford,MUN,176297,1
Raya,BRE,154561,1
Ream,FUL,82514,1
Robinson,FUL,169528,1
Romero,TOT,221632,1
Ronaldo,MUN,14937,1
Sabitzer,MUN,101338,1
Saka,ARS,223340,1
Scamacca,WHU,195899,1
Senesi,BOU,221466,1
Shaw,MUN,106760,1
Sinisterra,LEE,224995,1
Smith Rowe,ARS,209289,1
Solomon,FUL,235674,1
Stones,MCI,97299,1
Summerville,LEE,450070,1
Sá,WOL,149065,1
Sánchez,BHA,215059,1
Sánchez,TOT,173904,1
Targett,NEW,169359,1
Tarkowski,EVE,17761,1
Tetê,LEI,225295,1
Thiago,LIV,61558,1
Thiago Silva,CHE,51090,1
Tierney,ARS,192895,1
Toti,WOL,510362,1
Trippier,NEW,77794,1
Trossard,ARS,116216,1
Van Dijk,LIV,97032,1
Vardy,LEI,101668,1
Vinícius,FUL,245824,1
W.Fofana,CHE,444463,1
Ward,LEI,95463,1
Ward,CRY,55494,1
Webster,BHA,110735,1
Wilson,FUL,153682,1
Wissa,BRE,216646,1
Zouma,WHU,103192,1
