manager,team,fielded,points,bench,ratio,ppg
Ali,NFO,4,8.0,14,0.29,2.0
Ruslan,MCI,4,17.0,9,0.44,4.25
Sami,EVE,3,8.0,5,0.6,2.67
Sami,LEE,3,4.0,11,0.27,1.33
Shrey,CRY,3,4.0,3,1.0,1.33
Yahya,WHU,3,6.0,3,1.0,2.0
Youssef,WHU,3,8.0,9,0.33,2.67
Ali,WOL,2,9.0,3,0.67,4.5
Dani,WHU,2,7.0,3,0.67,3.5
Ruslan,SOU,2,17.0,2,1.0,8.5
Santi,ARS,2,4.0,2,1.0,2.0
Ali,FUL,1,9.0,4,0.25,9.0
Ali,SOU,1,2.0,1,1.0,2.0
Ali,WHU,1,1.0,2,0.5,1.0
Dani,LEE,1,1.0,3,0.33,1.0
Ruslan,EVE,1,1.0,1,1.0,1.0
Ruslan,LEI,1,6.0,3,0.33,6.0
Sami,NFO,1,2.0,1,1.0,2.0
