manager,player_name,team,photo,player_id
Santi,Ferguson,BHA,487117,8
Ali,Tarkowski,EVE,17761,8
Ruslan,Kilman,WOL,214048,8
Sami,Ward-Prowse,SOU,101178,8
Santi,Thiago,LIV,61558,8
Santi,Álex Moreno,AVL,106468,8
Sami,Paquetá,WHU,224024,8
Youssef,Gündogan,MCI,59859,8
Youssef,Mendy,CHE,228286,8
Sami,Ferguson,BHA,487117,8
Santi,A.Doucouré,EVE,121599,8
Youssef,Walker,MCI,58621,8
Ruslan,Edouard,CRY,199670,8
Youssef,Henry,BRE,194010,8
Shrey,Iheanacho,LEI,173515,8
Santi,Gündogan,MCI,59859,8
Sami,Enciso,BHA,474120,7
Ruslan,Willock,NEW,200089,7
Shrey,Partey,ARS,167199,7
Yahya,Saliba,ARS,462424,7
Shrey,Perišić,TOT,45034,7
Sami,Antony,MUN,467169,7
Sami,Sancho,MUN,209243,7
Shrey,Joelinton,NEW,180974,7
Ali,Edouard,CRY,199670,7
Shrey,Ings,WHU,84939,7
Dani,Varane,MUN,90152,7
Ali,Henderson,NFO,172649,7
Santi,Azpilicueta,CHE,41328,7
Youssef,Neves,WOL,171317,7
Santi,Martial,MUN,148225,7
Santi,Pickford,EVE,111234,7
Santi,Harrison,LEE,221399,7
Ruslan,Guéhi,CRY,209036,7
Shrey,Dalot,MUN,216051,7
Ali,Gnonto,LEE,492859,7
Santi,Walker,MCI,58621,7
Ali,Foden,MCI,209244,7
Santi,Solomon,FUL,235674,7
Shrey,Kelly,BOU,235530,7
Sami,Saint-Maximin,NEW,170137,6
Shrey,Antonio,WHU,57531,6
Ali,Badiashile,CHE,242880,6
Sami,Jensen,BRE,207283,6
Ali,Walker,MCI,58621,6
Sami,Jonny,WOL,114128,6
Ali,Iwobi,EVE,153133,6
Ali,Varane,MUN,90152,6
Sami,Mudryk,CHE,465920,6
Ali,Saint-Maximin,NEW,170137,6
Sami,Ramsey,AVL,232653,6
Ruslan,Bowen,WHU,178186,6
Sami,Benrahma,WHU,172841,6
Youssef,Antonio,WHU,57531,6
Ali,Daka,LEI,245419,6
Ruslan,Rodrigo,LEE,80954,6
Santi,Dunk,BHA,83299,6
Santi,Emerson Royal,TOT,241157,6
Sami,Martínez,MUN,221820,6
Ruslan,Konsa,AVL,199798,6
Ruslan,Isak,NEW,219168,6
Sami,Steele,BHA,49262,6
Santi,Zouma,WHU,103192,5
Sami,Young,AVL,18892,5
Santi,Gibbs-White,NFO,222531,5
Santi,Davies,TOT,115556,5
Santi,Willian,FUL,47431,5
Sami,Son,TOT,85971,5
Santi,Webster,BHA,110735,5
Santi,W.Fofana,CHE,444463,5
Shrey,Saint-Maximin,NEW,170137,5
Youssef,Álvarez,MCI,461358,5
Sami,Grealish,MCI,114283,5
Sami,Dewsbury-Hall,LEI,215413,5
Ruslan,Steele,BHA,49262,5
Ruslan,Chilwell,CHE,172850,5
Ali,Pedro Porro,TOT,441164,5
Sami,Havertz,CHE,219847,5
Youssef,Daka,LEI,245419,5
Ruslan,Paquetá,WHU,224024,5
Ali,Ward,LEI,95463,5
Ali,Welbeck,BHA,50175,5
Ruslan,Jorginho,ARS,85955,5
Dani,Paquetá,WHU,224024,4
Santi,Boly,NFO,90585,4
Sami,Ødegaard,ARS,184029,4
Ali,Emerson Royal,TOT,241157,4
Shrey,Koulibaly,CHE,86129,4
Ali,Enzo,CHE,448047,4
Ruslan,Smith Rowe,ARS,209289,4
Santi,Young,AVL,18892,4
Ali,Meslier,LEE,437495,4
Ruslan,Robertson,LIV,122798,4
Youssef,Tetê,LEI,225295,4
Ali,Gomez,LIV,171287,4
Santi,Collins,WOL,432830,4
Ali,Martínez,MUN,221820,4
Santi,Eze,CRY,232413,4
Santi,Kulusevski,TOT,445044,4
Youssef,Dawson,WOL,60232,4
Shrey,Burn,NEW,78916,4
Dani,Mitchell,CRY,244723,4
Ruslan,Firmino,LIV,92217,4
Dani,Gabriel,ARS,226597,4
Ali,Bruno Guimarães,NEW,208706,4
Ali,Pickford,EVE,111234,4
Youssef,Wan-Bissaka,MUN,214590,4
Ali,Robertson,LIV,122798,4
Sami,Olise,CRY,443661,4
Sami,Pickford,EVE,111234,4
Shrey,Sancho,MUN,209243,4
Sami,Groß,BHA,60307,4
Ali,Billing,BOU,168991,4
Ali,Bailey,AVL,215711,4
Ali,Wan-Bissaka,MUN,214590,4
Sami,Edouard,CRY,199670,4
Ali,Navas,NFO,28411,4
Shrey,Wan-Bissaka,MUN,214590,4
Ali,Mings,AVL,149484,3
Ali,Struijk,LEE,222694,3
Shrey,Edouard,CRY,199670,3
Ali,Podence,WOL,200600,3
Ali,Malacia,MUN,222690,3
Santi,Veltman,BHA,111478,3
Santi,Ouattara,BOU,533463,3
Ali,Vinícius,FUL,245824,3
Ali,Olise,CRY,443661,3
Dani,Rodrigo,LEE,80954,3
Ali,Mitchell,CRY,244723,3
Santi,Semedo,WOL,200402,3
Ali,Maupay,EVE,115382,3
Santi,Willock,NEW,200089,3
Santi,Henry,BRE,194010,3
Ruslan,Bamford,LEE,106617,3
Santi,Mykolenko,EVE,224967,3
Ruslan,Carvalho,LIV,244858,3
Santi,Diop,FUL,219924,3
Ruslan,Groß,BHA,60307,3
Ali,Eriksen,MUN,80607,3
Sami,Lindelöf,MUN,184667,3
Sami,Justin,LEI,220627,3
Sami,J.Ayew,CRY,80146,3
Sami,Gündogan,MCI,59859,3
Ali,Burn,NEW,78916,3
Sami,Sterling,CHE,103955,3
Sami,Diego Costa,WOL,18507,3
Sami,Tierney,ARS,192895,3
Ali,Chilwell,CHE,172850,3
Sami,Bruno Guimarães,NEW,208706,3
Sami,Bentancur,TOT,202993,3
Ruslan,Gündogan,MCI,59859,3
Yahya,Rice,WHU,204480,3
Ruslan,Walker,MCI,58621,3
Shrey,Martial,MUN,148225,3
Ali,Joelinton,NEW,180974,3
Ruslan,Konaté,LIV,204716,3
Shrey,Isak,NEW,219168,3
Santi,Cash,AVL,199796,3
Ali,Gordon,NEW,232826,3
Santi,Dawson,WOL,60232,3
Ruslan,Lewis,MCI,477064,3
