,time,TraceabilityCode,Defect
89,2023-04-17 21:39:15,1010223107193330,Odciśnięte miejsce (marks)
90,2023-04-17 21:39:08,1010223107193311,Odciśnięte miejsce (marks)
91,2023-04-17 21:38:59,1010223107193302,Odciśnięte miejsce (marks)
92,2023-04-13 01:54:35,1010123102235157,Deformacja (deformation)
93,2023-04-13 01:39:33,1010223102233559,Deformacja (deformation)
94,2023-04-07 21:32:19,1010223097193033,Deformacja (deformation)
95,2023-04-07 09:37:38,1010123097070526,Pikos (marks/contamination)
96,2023-04-05 13:29:06,1010123095112633,Wgniot (dent)
97,2023-04-05 13:27:49,1010223095112548,Wgniot (dent)
98,2023-04-05 13:17:04,1010223095111502,Wgniot (dent)
99,2023-04-05 13:16:21,1010223095111158,Odciśnięte miejsce (marks)
100,2023-04-05 13:14:31,1010223095111149,Wgniot (dent)
101,2023-04-04 10:05:08,1010123094080054,Odciśnięte miejsce (marks)
102,2023-03-21 22:18:16,1010123080211148,Odciśnięte miejsce (marks)
103,2023-03-21 22:18:09,1010123080211141,Pofalowanie (waves)
104,2023-03-21 01:42:23,1010223080003822,Deformacja (deformation)
105,2023-03-21 01:42:14,1010223080003804,Deformacja (deformation)
106,2023-03-20 18:46:21,1010123079174442,Odciśnięte miejsce (marks)
107,2023-03-20 18:46:14,1010123079174433,Odciśnięte miejsce (marks)
108,2023-03-20 18:44:44,1010123079174218,Odciśnięte miejsce (marks)
109,2023-03-20 18:44:35,1010123079174209,Odciśnięte miejsce (marks)
110,2023-03-20 18:44:18,1010123079174151,Odciśnięte miejsce (marks)
111,2023-03-20 18:43:59,1010123079174124,Odciśnięte miejsce (marks)
112,2023-03-20 18:43:49,1010123079173843,Korozja (corrosion)
113,2023-03-20 18:43:39,1010123079173816,Odciśnięte miejsce (marks)
114,2023-03-20 18:43:24,1010123079173758,Odciśnięte miejsce (marks)
115,2023-03-16 08:17:20,1010223075071331,Wgniot (dent)
116,2023-03-16 03:37:08,1010123075023024,Deformacja (deformation)
117,2023-03-15 20:56:29,1010223074195027,Odciśnięte miejsce (marks)
118,2023-03-15 20:56:22,1010223074195019,Odciśnięte miejsce (marks)
119,2023-03-15 20:56:15,1010223074195010,Odciśnięte miejsce (marks)
120,2023-03-15 20:47:42,1010223074194604,Odciśnięte miejsce (marks)
121,2023-03-15 20:47:34,1010223074194528,Odciśnięte miejsce (marks)
122,2023-03-15 20:47:25,1010223074194502,Odciśnięte miejsce (marks)
123,2023-03-15 12:45:02,1010123074113424,Deformacja (deformation)
124,2023-03-15 12:44:51,1010123074113413,Deformacja (deformation)
125,2023-03-15 12:16:27,1010123074111305,Deformacja (deformation)
126,2023-03-15 12:00:37,1010123074105426,Deformacja (deformation)
127,2023-03-15 01:10:32,1010123074000753,Odciśnięte miejsce (marks)
128,2023-03-14 21:02:50,1010123073175351,Pikos (marks/contamination)
129,2023-03-14 21:02:41,1010123073175359,Pikos (marks/contamination)
130,2023-03-13 08:59:31,1010123072075657,Błąd materiału (meterial failure)
131,2023-03-09 11:26:22,1010123068102249,Deformacja (deformation)
132,2023-03-09 11:20:40,1010123068101805,Deformacja (deformation)
133,2023-03-09 10:56:47,1010123068095406,Pikos (marks/contamination)
134,2023-03-09 09:00:24,1010123068075457,Odciśnięte miejsce (marks)
135,2023-03-09 08:57:26,1010123068075248,Pikos (marks/contamination)
136,2023-03-09 08:57:16,1010123068075308,Błąd materiału (meterial failure)
137,2023-03-09 08:55:03,1010123068075200,Pikos (marks/contamination)
138,2023-03-09 08:51:36,1010223068074852,Pikos (marks/contamination)
139,2023-03-09 08:36:59,1012823068073134,Deformacja (deformation)
140,2023-03-09 08:30:41,1012823068072827,Deformacja (deformation)
141,2023-03-09 06:22:32,1010123068052012,Pofalowanie (waves)
142,2023-03-09 06:17:52,1010123068051622,Pofalowanie (waves)
143,2023-03-09 06:16:38,1010123068051428,Pofalowanie (waves)
144,2023-03-09 06:16:26,1010123068050948,Pofalowanie (waves)
145,2023-03-09 06:15:54,1010123068050923,Pofalowanie (waves)
146,2023-03-09 06:15:42,1010123068050906,Pofalowanie (waves)
147,2023-03-09 06:14:27,1010123068050622,Pofalowanie (waves)
148,2023-03-09 06:14:02,1010123068050622,Pofalowanie (waves)
149,2023-03-09 06:12:41,1010123068050556,Pofalowanie (waves)
150,2023-03-09 06:11:00,1010123068050604,Pofalowanie (waves)
151,2023-03-09 06:10:51,1010123068050547,Pofalowanie (waves)
152,2023-03-08 18:58:28,1010223067175234,Deformacja (deformation)
153,2023-03-08 00:05:42,1010223066225931,Przeciągnięcie (thinning)
154,2023-03-08 00:05:33,1010223066225924,Przeciągnięcie (thinning)
155,2023-03-08 00:05:25,1010223066225917,Pęknięcie (cracks)
156,2023-03-08 00:05:17,1010223066225909,Pęknięcie (cracks)
157,2023-03-08 00:05:09,1010223066225902,Przeciągnięcie (thinning)
158,2023-03-08 00:05:00,1010223066225855,Przeciągnięcie (thinning)
159,2023-03-08 00:04:48,1010223066225848,Pęknięcie (cracks)
