time;TraceabilityCode;SlideAdjustment;time.value
2023-01-10 15:15:36.378 CET;1010223010135134;1516,8;2023-01-10 15:19:04.582 CET
2023-01-11 16:07:02.473 CET;1010123011150632;1190,6;2023-01-11 16:23:18.019 CET
2023-01-16 14:05:39.559 CET;1010123016130136;1191,4;2023-01-16 14:07:35.657 CET
2023-02-04 00:30:27.134 CET;1010223034232631;0;2023-02-04 00:32:36.032 CET
2023-02-04 00:30:27.134 CET;1010223034232631;1441,7;2023-02-04 00:32:39.760 CET
2023-02-04 00:30:27.134 CET;1010223034232631;0;2023-02-04 00:32:46.401 CET
2023-02-04 00:30:27.134 CET;1010223034232631;1441,7;2023-02-04 00:33:19.529 CET
2023-02-10 21:00:22.089 CET;1010123041195621;1339,2;2023-02-10 23:46:20.986 CET
2023-02-10 21:00:22.089 CET;1010123041195621;1482;2023-02-10 23:47:06.165 CET
2023-02-10 21:00:22.089 CET;1010123041195621;1339,2;2023-02-10 23:57:00.536 CET
2023-02-14 17:01:23.960 CET;1010123045160056;1341;2023-02-14 17:06:44.134 CET
2023-02-20 14:43:27.519 CET;1010123051134259;1339,2;2023-02-20 16:13:32.448 CET
2023-02-20 14:43:27.519 CET;1010123051134259;1191,6;2023-02-20 19:21:12.420 CET
2023-02-20 14:43:27.519 CET;1010123051134259;1214;2023-02-21 03:20:41.299 CET
2023-02-20 14:43:27.519 CET;1010123051134259;1191,6;2023-02-21 05:26:44.496 CET
2023-02-20 14:43:27.519 CET;1010123051134259;1339,2;2023-02-21 15:07:50.743 CET
2023-02-20 14:43:27.519 CET;1010123051134259;1341;2023-02-21 17:33:03.553 CET
2023-02-20 14:43:27.519 CET;1010123051134259;1482;2023-02-21 17:34:24.874 CET
2023-02-20 14:43:27.519 CET;1010123051134259;1341;2023-02-21 17:37:16.559 CET
2023-02-20 14:43:27.519 CET;1010123051134259;1482;2023-02-21 17:37:28.609 CET
2023-02-20 14:43:27.519 CET;1010123051134259;1341;2023-02-21 17:40:49.415 CET
2023-02-20 14:43:27.519 CET;1010123051134259;1487;2023-02-21 20:35:58.410 CET
2023-02-20 14:43:27.519 CET;1010123051134259;1482;2023-02-21 20:36:28.529 CET
2023-02-20 14:43:27.519 CET;1010123051134259;1341;2023-02-21 20:38:15.959 CET
2023-02-20 14:43:27.519 CET;1010123051134259;1482;2023-02-21 20:38:53.107 CET
2023-02-20 14:43:27.519 CET;1010123051134259;1341;2023-02-21 20:41:55.835 CET
2023-02-20 14:43:27.519 CET;1010123051134259;1487;2023-02-21 22:41:32.453 CET
2023-02-20 14:43:27.519 CET;1010123051134259;1191,9;2023-02-21 23:08:25.894 CET
2023-02-20 14:43:27.519 CET;1010123051134259;1230;2023-02-21 23:08:45.974 CET
2023-02-20 14:43:27.519 CET;1010123051134259;1341;2023-02-21 23:42:18.010 CET
2023-02-20 14:43:27.519 CET;1010123051134259;1487;2023-02-21 23:42:33.071 CET
2023-02-20 14:43:27.519 CET;1010123051134259;1341;2023-02-22 05:37:31.121 CET
2023-02-20 14:43:27.519 CET;1010123051134259;1334,8;2023-02-22 06:49:46.427 CET
2023-02-20 14:43:27.519 CET;1010123051134259;1487,1;2023-02-22 06:49:57.469 CET
2023-02-20 14:43:27.519 CET;1010123051134259;1480;2023-02-22 06:54:34.594 CET
2023-02-20 14:43:27.519 CET;1010123051134259;1334,8;2023-02-22 06:57:48.361 CET
2023-02-20 14:43:27.519 CET;1010123051134259;1441,7;2023-02-22 15:27:14.423 CET
2023-02-20 14:43:27.519 CET;1010123051134259;1193,9;2023-02-22 19:54:58.582 CET
2023-02-20 14:43:27.519 CET;1010123051134259;1215;2023-02-22 20:05:09.023 CET
2023-02-20 14:43:27.519 CET;1010123051134259;1214;2023-02-22 20:06:14.282 CET
2023-02-20 14:43:27.519 CET;1010123051134259;1193,9;2023-02-22 20:08:52.908 CET
2023-02-20 14:43:27.519 CET;1010123051134259;1355,3;2023-02-23 03:11:41.216 CET
2023-02-20 14:43:27.519 CET;1010123051134259;1355,3;2023-02-23 08:40:07.451 CET
2023-02-20 14:43:27.519 CET;1010123051134259;1355,3;2023-02-23 08:57:24.153 CET
