time;TraceabilityCode;TotalPressForceValue;time.value
2023-01-04 15:28:39.786 CET;1010123004142800;28,8;2023-01-04 15:28:44.234 CET
2023-01-04 15:28:54.714 CET;1010123004142815;29;2023-01-04 15:28:59.144 CET
2023-01-04 15:29:02.154 CET;1010123004142823;28,8;2023-01-04 15:29:06.595 CET
2023-01-04 15:29:09.484 CET;1010123004142830;29;2023-01-04 15:29:13.954 CET
2023-01-04 15:29:31.624 CET;1010123004142852;29,1;2023-01-04 15:29:36.153 CET
2023-01-04 15:29:38.963 CET;1010123004142859;28,8;2023-01-04 15:29:43.513 CET
2023-01-04 15:29:46.354 CET;1010123004142907;29;2023-01-04 15:29:50.823 CET
2023-01-04 15:29:53.713 CET;1010123004142914;28,8;2023-01-04 15:29:58.183 CET
2023-01-04 15:30:01.144 CET;1010123004142921;29;2023-01-04 15:30:05.533 CET
2023-01-04 15:30:23.312 CET;1010123004142944;28,6;2023-01-04 15:30:27.752 CET
2023-01-04 15:30:30.763 CET;1010123004142951;28,8;2023-01-04 15:30:35.191 CET
2023-01-04 15:30:38.193 CET;1010123004142959;28,9;2023-01-04 15:30:42.671 CET
2023-01-04 15:30:45.612 CET;1010123004143006;29;2023-01-04 15:30:50.112 CET
2023-01-04 15:30:52.943 CET;1010123004143013;28,9;2023-01-04 15:30:57.381 CET
2023-01-04 15:31:00.362 CET;1010123004143021;29;2023-01-04 15:31:04.822 CET
2023-01-04 15:31:22.451 CET;1010123004143043;29,2;2023-01-04 15:31:26.961 CET
2023-01-04 15:31:29.911 CET;1010123004143050;28,9;2023-01-04 15:31:34.441 CET
2023-01-04 15:31:37.191 CET;1010123004143058;28,8;2023-01-04 15:31:41.631 CET
2023-01-04 15:31:59.461 CET;1010123004143120;28,6;2023-01-04 15:32:03.921 CET
2023-01-04 15:32:06.911 CET;1010123004143127;29;2023-01-04 15:32:11.292 CET
2023-01-04 15:32:14.332 CET;1010123004143135;28,8;2023-01-04 15:32:18.762 CET
2023-01-04 15:32:21.710 CET;1010123004143142;28,7;2023-01-04 15:32:26.190 CET
2023-01-04 15:32:29.200 CET;1010123004143149;29;2023-01-04 15:32:33.710 CET
2023-01-04 15:32:43.990 CET;1010123004143204;28,9;2023-01-04 15:32:48.510 CET
2023-01-04 15:47:36.776 CET;1010123004143212;28,2;2023-01-04 15:47:42.585 CET
2023-01-04 15:48:20.785 CET;1010123004144556;28,1;2023-01-04 15:48:25.323 CET
2023-01-04 15:48:28.154 CET;1010123004144604;28,3;2023-01-04 15:48:32.605 CET
2023-01-04 15:48:36.025 CET;1010123004144709;28,4;2023-01-04 15:48:40.515 CET
2023-01-04 15:49:42.683 CET;1010123004144736;28,3;2023-01-04 15:49:47.121 CET
2023-01-04 15:49:57.602 CET;1010123004144810;28,4;2023-01-04 15:50:02.111 CET
2023-01-04 15:50:05.062 CET;1010123004144825;28,5;2023-01-04 15:50:09.463 CET
2023-01-04 15:50:12.503 CET;1010123004144839;28,4;2023-01-04 15:50:16.892 CET
2023-01-04 15:50:19.842 CET;1010123004144847;28,7;2023-01-04 15:50:24.262 CET
2023-01-04 15:50:27.111 CET;1010123004144948;28,4;2023-01-04 15:50:31.561 CET
2023-01-04 15:50:41.961 CET;1010123004145002;28,6;2023-01-04 15:50:46.361 CET
2023-01-04 15:50:49.391 CET;1010123004145010;28,2;2023-01-04 15:50:53.782 CET
2023-01-04 15:50:56.792 CET;1010123004145017;28,7;2023-01-04 15:51:01.211 CET
2023-01-04 15:51:04.121 CET;1010123004145025;28,8;2023-01-04 15:51:08.651 CET
2023-01-04 15:51:11.601 CET;1010123004145032;28,4;2023-01-04 15:51:16.121 CET
2023-01-04 15:51:19.052 CET;1010123004145039;28,6;2023-01-04 15:51:23.480 CET
2023-01-04 15:51:26.301 CET;1010123004145047;28,5;2023-01-04 15:51:30.839 CET
2023-01-04 15:51:33.760 CET;1010123004145054;28,4;2023-01-04 15:51:38.190 CET
2023-01-04 15:51:41.190 CET;1010123004145101;28,6;2023-01-04 15:51:45.609 CET
2023-01-04 15:51:48.510 CET;1010123004145109;28,4;2023-01-04 15:51:52.901 CET
2023-01-04 15:51:55.901 CET;1010123004145116;28,6;2023-01-04 15:52:00.450 CET
2023-01-04 15:52:03.341 CET;1010123004145124;28,8;2023-01-04 15:52:07.809 CET
2023-01-04 15:52:10.720 CET;1010123004145131;29;2023-01-04 15:52:15.170 CET
2023-01-04 15:52:25.420 CET;1010123004145146;28,9;2023-01-04 15:52:29.858 CET
2023-01-04 15:52:32.819 CET;1010123004145153;28,8;2023-01-04 15:52:37.219 CET
2023-01-04 15:52:40.200 CET;1010123004145201;28,6;2023-01-04 15:52:44.688 CET
2023-01-04 15:52:47.549 CET;1010123004145208;28,8;2023-01-04 15:52:52.049 CET
2023-01-04 15:52:55.148 CET;1010123004145215;28,5;2023-01-04 15:52:59.648 CET
2023-01-04 15:53:02.428 CET;1010123004145223;28,8;2023-01-04 15:53:06.918 CET
2023-01-04 15:53:09.838 CET;1010123004145230;28,9;2023-01-04 15:53:14.259 CET
2023-01-04 15:53:17.249 CET;1010123004145238;28,7;2023-01-04 15:53:21.688 CET
2023-01-04 15:53:24.578 CET;1010123004145245;28,6;2023-01-04 15:53:28.979 CET
2023-01-04 15:53:39.479 CET;1010123004145300;28,8;2023-01-04 15:53:43.969 CET
2023-01-04 15:53:47.069 CET;1010123004145307;28,5;2023-01-04 15:53:51.486 CET
2023-01-04 15:53:54.398 CET;1010123004145315;28,6;2023-01-04 15:53:58.917 CET
2023-01-04 15:54:01.818 CET;1010123004145322;28,7;2023-01-04 15:54:06.286 CET
2023-01-04 15:54:09.227 CET;1010123004145329;28,6;2023-01-04 15:54:13.717 CET
2023-01-04 15:54:16.638 CET;1010123004145337;28,9;2023-01-04 15:54:21.058 CET
2023-01-04 15:54:24.148 CET;1010123004145344;28,8;2023-01-04 15:54:28.598 CET
2023-01-04 15:54:31.628 CET;1010123004145352;28,6;2023-01-04 15:54:36.127 CET
2023-01-04 15:54:38.967 CET;1010123004145359;28,9;2023-01-04 15:54:43.407 CET
2023-01-04 15:54:46.247 CET;1010123004145407;28,8;2023-01-04 15:54:50.766 CET
2023-01-04 15:54:53.786 CET;1010123004145414;28,6;2023-01-04 15:54:58.276 CET
2023-01-04 15:55:15.996 CET;1010123004145436;28,8;2023-01-04 15:55:20.426 CET
2023-01-04 15:55:30.826 CET;1010123004145451;29;2023-01-04 15:55:35.335 CET
2023-01-04 15:55:38.226 CET;1010123004145459;28,9;2023-01-04 15:55:42.686 CET
2023-01-04 15:55:45.607 CET;1010123004145506;28,8;2023-01-04 15:55:50.035 CET
2023-01-04 15:56:00.494 CET;1010123004145521;28,2;2023-01-04 15:56:04.974 CET
2023-01-04 15:56:07.904 CET;1010123004145528;28,7;2023-01-04 15:56:12.375 CET
2023-01-04 15:56:15.285 CET;1010123004145536;28,6;2023-01-04 15:56:19.805 CET
2023-01-04 15:56:22.765 CET;1010123004145543;29;2023-01-04 15:56:27.323 CET
2023-01-04 15:56:37.615 CET;1010123004145558;28,8;2023-01-04 15:56:42.124 CET
2023-01-04 15:56:44.954 CET;1010123004145605;29,2;2023-01-04 15:56:49.454 CET
2023-01-04 15:56:52.375 CET;1010123004145613;28,6;2023-01-04 15:56:56.813 CET
2023-01-04 15:56:59.785 CET;1010123004145620;28,9;2023-01-04 15:57:04.283 CET
2023-01-04 15:57:07.015 CET;1010123004145627;29,2;2023-01-04 15:57:11.563 CET
2023-01-04 15:57:14.384 CET;1010123004145635;28,8;2023-01-04 15:57:18.924 CET
2023-01-04 15:57:21.854 CET;1010123004145642;29;2023-01-04 15:57:26.352 CET
2023-01-04 15:57:29.194 CET;1010123004145650;29,1;2023-01-04 15:57:33.693 CET
2023-01-04 15:57:44.144 CET;1010123004145705;28,7;2023-01-04 15:57:48.612 CET
2023-01-04 15:57:51.503 CET;1010123004145712;28,8;2023-01-04 15:57:55.953 CET
2023-01-04 15:57:58.844 CET;1010123004145719;28,4;2023-01-04 15:58:03.404 CET
2023-01-04 15:58:06.364 CET;1010123004145727;28,6;2023-01-04 15:58:10.842 CET
2023-01-04 15:58:13.743 CET;1010123004145734;28,8;2023-01-04 15:58:18.173 CET
2023-01-04 15:58:21.082 CET;1010123004145741;28,7;2023-01-04 15:58:25.542 CET
2023-01-04 15:58:28.572 CET;1010123004145749;28,8;2023-01-04 15:58:33.012 CET
2023-01-04 15:58:35.923 CET;1010123004145756;28,7;2023-01-04 15:58:40.381 CET
2023-01-04 15:58:43.392 CET;1010123004145804;28,4;2023-01-04 15:58:47.891 CET
2023-01-04 15:58:50.782 CET;1010123004145811;29;2023-01-04 15:58:55.253 CET
2023-01-04 15:58:58.243 CET;1010123004145819;29,2;2023-01-04 15:59:02.773 CET
2023-01-04 15:59:05.683 CET;1010123004145826;28,7;2023-01-04 15:59:10.121 CET
2023-01-04 15:59:13.032 CET;1010123004145833;28,9;2023-01-04 15:59:17.542 CET
2023-01-04 15:59:20.522 CET;1010123004145841;28,8;2023-01-04 15:59:24.901 CET
2023-01-04 15:59:27.901 CET;1010123004145848;29;2023-01-04 15:59:32.460 CET
2023-01-04 15:59:35.401 CET;1010123004145856;28,8;2023-01-04 15:59:39.871 CET
