time;TraceabilityCode;CushionPumpMaxPower2;time.value
2023-01-04 12:22:34.703 CET;1010123004112211;56,1;2023-01-04 12:22:41.354 CET
2023-01-04 12:26:17.480 CET;1010123004112554;55,8;2023-01-04 12:26:24.079 CET
2023-01-04 12:27:51.529 CET;1010123004112728;55,5;2023-01-04 12:27:58.157 CET
2023-01-04 12:29:32.467 CET;1010123004112910;55,5;2023-01-04 12:29:32.477 CET
2023-01-04 12:34:15.993 CET;1010223004113357;55,5;2023-01-04 12:34:22.644 CET
2023-01-04 12:36:46.460 CET;1010223004113623;55,8;2023-01-04 12:36:53.121 CET
2023-01-04 12:37:59.559 CET;1010223004113736;55,8;2023-01-04 12:38:06.249 CET
2023-01-04 12:41:42.145 CET;1010223004114119;55,8;2023-01-04 12:41:48.815 CET
2023-01-04 12:42:31.184 CET;1010223004114155;55,8;2023-01-04 12:42:31.214 CET
2023-01-04 12:47:20.779 CET;1010223004114702;55,5;2023-01-04 12:47:27.369 CET
2023-01-04 12:48:04.309 CET;1010223004114744;55,8;2023-01-04 12:48:10.979 CET
2023-01-04 12:48:47.168 CET;1010223004114825;55,5;2023-01-04 12:48:53.779 CET
2023-01-04 12:49:36.858 CET;1010223004114915;55,5;2023-01-04 12:49:43.526 CET
2023-01-04 13:00:05.816 CET;1010223004115945;55,8;2023-01-04 13:00:12.496 CET
2023-01-04 13:06:32.420 CET;1010123004120611;55,8;2023-01-04 13:06:39.059 CET
2023-01-04 13:13:12.835 CET;1010123004121252;55,8;2023-01-04 13:13:19.542 CET
2023-01-04 13:13:34.763 CET;1010123004121313;55,8;2023-01-04 13:13:41.392 CET
2023-01-04 13:17:10.559 CET;1010123004121648;56,1;2023-01-04 13:17:17.158 CET
2023-01-04 13:18:23.467 CET;1010123004121800;56,1;2023-01-04 13:18:30.187 CET
2023-01-04 13:20:53.595 CET;1010123004122030;55,8;2023-01-04 13:20:53.654 CET
2023-01-04 13:23:54.273 CET;1010123004122331;55,8;2023-01-04 13:24:00.921 CET
2023-01-04 13:24:23.851 CET;1010123004122400;56,1;2023-01-04 13:24:30.440 CET
2023-01-04 13:27:56.598 CET;1010123004122429;56,1;2023-01-04 13:28:03.239 CET
2023-01-04 13:33:00.872 CET;1010123004123237;55,5;2023-01-04 13:33:07.471 CET
2023-01-04 13:33:15.871 CET;1010123004123252;56,1;2023-01-04 13:33:22.601 CET
2023-01-04 13:36:05.500 CET;1010123004123259;55,8;2023-01-04 13:36:12.200 CET
2023-01-04 13:37:26.568 CET;1010123004123702;56,1;2023-01-04 13:37:33.256 CET
2023-01-04 13:39:35.246 CET;1010223004123920;55,8;2023-01-04 13:39:35.246 CET
2023-01-04 13:44:19.111 CET;1010223004124355;55,8;2023-01-04 13:44:25.720 CET
2023-01-04 13:47:19.017 CET;1010223004124655;56,1;2023-01-04 13:47:19.017 CET
2023-01-04 13:49:29.125 CET;1010223004124906;55,8;2023-01-04 13:49:35.815 CET
2023-01-04 13:51:38.473 CET;1010223004125115;56,1;2023-01-04 13:51:45.181 CET
2023-01-04 13:51:46.072 CET;1010223004125122;55,8;2023-01-04 13:51:52.691 CET
2023-01-04 13:52:50.861 CET;1010223004125228;55,8;2023-01-04 13:52:57.490 CET
2023-01-04 13:53:05.232 CET;1010223004125242;55,8;2023-01-04 13:53:11.891 CET
2023-01-04 13:55:28.688 CET;1010223004125303;55,8;2023-01-04 13:55:28.698 CET
2023-01-04 13:55:55.868 CET;1010223004125536;55,8;2023-01-04 13:55:55.898 CET
2023-01-04 13:57:52.246 CET;1010223004125734;55,8;2023-01-04 13:57:58.845 CET
2023-01-04 14:00:24.203 CET;1010223004130001;55,8;2023-01-04 14:00:30.862 CET
2023-01-04 14:02:26.232 CET;1010223004130203;56,1;2023-01-04 14:02:32.861 CET
2023-01-04 14:05:04.960 CET;1010223004130442;56,1;2023-01-04 14:05:11.589 CET
2023-01-04 14:42:53.408 CET;1010223004134159;59,4;2023-01-04 14:43:24.108 CET
2023-01-04 14:43:37.658 CET;1010123004134206;55,8;2023-01-04 14:43:45.298 CET
2023-01-04 14:45:32.667 CET;1010123004134220;56,1;2023-01-04 14:45:40.316 CET
2023-01-04 14:46:53.325 CET;1010123004134352;54,9;2023-01-04 14:47:00.904 CET
2023-01-04 14:51:05.460 CET;1010123004134547;55,8;2023-01-04 14:51:05.549 CET
2023-01-04 14:52:17.010 CET;1010123004134626;54,9;2023-01-04 14:52:17.299 CET
2023-01-04 14:52:24.341 CET;1010123004134807;55,8;2023-01-04 14:52:24.591 CET
2023-01-04 14:52:52.190 CET;1010123004134815;55,2;2023-01-04 14:52:52.509 CET
2023-01-04 14:52:52.190 CET;1010123004134815;56,1;2023-01-04 14:52:59.849 CET
2023-01-04 14:55:38.029 CET;1010123004135232;54,9;2023-01-04 14:55:38.198 CET
2023-01-04 14:55:45.448 CET;1010123004135239;56,1;2023-01-04 14:55:45.638 CET
2023-01-04 14:55:52.918 CET;1010123004135307;55,5;2023-01-04 14:55:53.069 CET
2023-01-04 14:56:00.289 CET;1010123004135538;55,2;2023-01-04 14:56:00.519 CET
2023-01-04 14:56:22.207 CET;1010123004135600;55,5;2023-01-04 14:56:22.427 CET
2023-01-04 14:56:29.517 CET;1010123004135607;55,2;2023-01-04 14:56:29.747 CET
2023-01-04 14:58:27.726 CET;1010123004135805;55,5;2023-01-04 14:58:28.026 CET
2023-01-04 14:58:35.135 CET;1010123004135813;55,2;2023-01-04 14:58:35.315 CET
2023-01-04 15:00:18.184 CET;1010123004135956;54,9;2023-01-04 15:00:18.342 CET
2023-01-04 15:00:25.533 CET;1010123004140003;55,2;2023-01-04 15:00:25.713 CET
2023-01-04 15:00:40.213 CET;1010123004140018;54,9;2023-01-04 15:00:40.352 CET
2023-01-04 15:00:47.453 CET;1010123004140025;55,2;2023-01-04 15:00:47.723 CET
2023-01-04 15:01:02.072 CET;1010123004140040;54,9;2023-01-04 15:01:02.351 CET
2023-01-04 15:01:09.423 CET;1010123004140047;55,2;2023-01-04 15:01:09.632 CET
2023-01-04 15:01:16.792 CET;1010123004140055;54,9;2023-01-04 15:01:16.992 CET
2023-01-04 15:01:24.142 CET;1010123004140102;55,2;2023-01-04 15:01:24.361 CET
2023-01-04 15:01:38.753 CET;1010123004140117;54,9;2023-01-04 15:01:38.921 CET
2023-01-04 15:01:46.032 CET;1010123004140124;55,2;2023-01-04 15:01:46.272 CET
2023-01-04 15:02:24.062 CET;1010123004140207;55,5;2023-01-04 15:02:24.282 CET
2023-01-04 15:02:56.030 CET;1010123004140214;55,2;2023-01-04 15:02:56.361 CET
2023-01-04 15:03:03.460 CET;1010123004140221;56,1;2023-01-04 15:03:03.641 CET
2023-01-04 15:03:10.841 CET;1010123004140228;55,2;2023-01-04 15:03:10.930 CET
2023-01-04 15:03:18.270 CET;1010123004140235;55,5;2023-01-04 15:03:18.440 CET
2023-01-04 15:03:25.641 CET;1010123004140242;55,2;2023-01-04 15:03:25.891 CET
2023-01-04 15:06:01.628 CET;1010123004140318;55,8;2023-01-04 15:06:01.878 CET
2023-01-04 15:06:09.019 CET;1010123004140333;54,6;2023-01-04 15:06:09.247 CET
2023-01-04 15:06:16.418 CET;1010123004140354;55,2;2023-01-04 15:06:16.608 CET
2023-01-04 15:08:17.756 CET;1010123004140801;55,8;2023-01-04 15:08:17.887 CET
2023-01-04 15:08:25.137 CET;1010123004140808;55,5;2023-01-04 15:08:25.326 CET
2023-01-04 15:08:25.137 CET;1010123004140808;55,2;2023-01-04 15:08:32.776 CET
2023-01-04 15:09:01.736 CET;1010123004140828;54,6;2023-01-04 15:09:01.884 CET
2023-01-04 15:09:24.625 CET;1010123004140901;55,5;2023-01-04 15:09:24.763 CET
2023-01-04 15:09:32.025 CET;1010123004140909;55,2;2023-01-04 15:09:32.203 CET
2023-01-04 15:09:39.315 CET;1010123004140916;54,9;2023-01-04 15:09:39.565 CET
2023-01-04 15:09:54.105 CET;1010123004140932;55,2;2023-01-04 15:09:54.283 CET
2023-01-04 15:10:08.855 CET;1010123004140947;54,9;2023-01-04 15:10:09.075 CET
2023-01-04 15:10:16.244 CET;1010123004140954;55,2;2023-01-04 15:10:16.444 CET
2023-01-04 15:10:53.434 CET;1010123004141023;55,8;2023-01-04 15:10:53.614 CET
2023-01-04 15:11:00.743 CET;1010123004141031;55,5;2023-01-04 15:11:00.923 CET
2023-01-04 15:11:08.243 CET;1010123004141038;55,2;2023-01-04 15:11:08.374 CET
2023-01-04 15:11:23.023 CET;1010123004141102;54,9;2023-01-04 15:11:23.163 CET
2023-01-04 15:11:30.513 CET;1010123004141109;55,2;2023-01-04 15:11:30.612 CET
2023-01-04 15:11:54.973 CET;1010123004141123;55,8;2023-01-04 15:11:55.233 CET
2023-01-04 15:12:02.453 CET;1010123004141130;54,6;2023-01-04 15:12:02.592 CET
2023-01-04 15:12:09.782 CET;1010123004141138;54,9;2023-01-04 15:12:10.052 CET
2023-01-04 15:12:17.273 CET;1010123004141145;55,2;2023-01-04 15:12:17.413 CET
2023-01-04 15:12:24.552 CET;1010123004141202;54,9;2023-01-04 15:12:24.841 CET
2023-01-04 15:12:32.032 CET;1010123004141209;55,2;2023-01-04 15:12:32.200 CET
2023-01-04 15:12:39.451 CET;1010123004141217;54,9;2023-01-04 15:12:39.572 CET
2023-01-04 15:12:54.361 CET;1010123004141232;55,2;2023-01-04 15:12:54.520 CET
2023-01-04 15:13:01.760 CET;1010123004141239;54,9;2023-01-04 15:13:01.881 CET
2023-01-04 15:13:31.240 CET;1010123004141309;55,2;2023-01-04 15:13:31.421 CET
2023-01-04 15:13:38.621 CET;1010123004141316;54,9;2023-01-04 15:13:38.750 CET
2023-01-04 15:15:22.059 CET;1010123004141500;55,2;2023-01-04 15:15:22.298 CET
2023-01-04 15:15:29.437 CET;1010123004141507;54,9;2023-01-04 15:15:29.648 CET
2023-01-04 15:15:44.198 CET;1010123004141522;55,2;2023-01-04 15:15:44.368 CET
2023-01-04 15:15:51.648 CET;1010123004141529;54,9;2023-01-04 15:15:51.808 CET
2023-01-04 15:15:59.007 CET;1010123004141536;55,2;2023-01-04 15:15:59.247 CET
2023-01-04 15:16:06.457 CET;1010123004141544;54,9;2023-01-04 15:16:06.598 CET
2023-01-04 15:16:13.828 CET;1010123004141551;55,2;2023-01-04 15:16:13.967 CET
2023-01-04 15:16:21.167 CET;1010123004141559;54,9;2023-01-04 15:16:21.326 CET
2023-01-04 15:16:28.596 CET;1010123004141606;54,6;2023-01-04 15:16:28.846 CET
2023-01-04 15:16:35.967 CET;1010123004141614;54,9;2023-01-04 15:16:36.127 CET
2023-01-04 15:16:50.826 CET;1010123004141628;54,6;2023-01-04 15:16:50.937 CET
2023-01-04 15:16:58.217 CET;1010123004141636;54,9;2023-01-04 15:16:58.377 CET
2023-01-04 15:17:05.566 CET;1010123004141643;55,2;2023-01-04 15:17:05.726 CET
2023-01-04 15:17:12.937 CET;1010123004141650;54,9;2023-01-04 15:17:13.085 CET
2023-01-04 15:19:25.164 CET;1010123004141720;55,5;2023-01-04 15:19:25.344 CET
2023-01-04 15:19:32.703 CET;1010123004141735;55,2;2023-01-04 15:19:32.773 CET
2023-01-04 15:20:30.322 CET;1010123004142015;55,8;2023-01-04 15:20:30.592 CET
2023-01-04 15:21:12.651 CET;1010123004142057;55,8;2023-01-04 15:21:12.982 CET
2023-01-04 15:21:55.000 CET;1010123004142140;55,8;2023-01-04 15:21:55.220 CET
2023-01-04 15:23:20.279 CET;1010123004142215;55,2;2023-01-04 15:23:20.598 CET
2023-01-04 15:23:27.720 CET;1010123004142222;55,8;2023-01-04 15:23:27.888 CET
2023-01-04 15:23:35.180 CET;1010123004142250;54,9;2023-01-04 15:23:35.338 CET
2023-01-04 15:23:42.660 CET;1010123004142257;55,2;2023-01-04 15:23:42.769 CET
2023-01-04 15:24:17.838 CET;1010123004142402;55,8;2023-01-04 15:24:18.118 CET
2023-01-04 15:24:25.299 CET;1010123004142409;54,6;2023-01-04 15:24:25.418 CET
2023-01-04 15:25:25.017 CET;1010123004142506;54,9;2023-01-04 15:25:25.187 CET
2023-01-04 15:25:32.487 CET;1010123004142513;55,2;2023-01-04 15:25:32.608 CET
2023-01-04 15:25:39.927 CET;1010123004142520;54,9;2023-01-04 15:25:40.137 CET
2023-01-04 15:25:47.378 CET;1010123004142527;55,2;2023-01-04 15:25:47.506 CET
2023-01-04 15:25:54.776 CET;1010123004142534;54,9;2023-01-04 15:25:54.927 CET
2023-01-04 15:26:09.607 CET;1010123004142548;55,2;2023-01-04 15:26:09.806 CET
2023-01-04 15:26:24.427 CET;1010123004142602;54,6;2023-01-04 15:26:24.618 CET
2023-01-04 15:26:31.838 CET;1010123004142609;55,2;2023-01-04 15:26:31.976 CET
2023-01-04 15:26:39.167 CET;1010123004142617;54,9;2023-01-04 15:26:39.348 CET
2023-01-04 15:27:01.447 CET;1010123004142639;55,2;2023-01-04 15:27:01.657 CET
2023-01-04 15:27:08.855 CET;1010123004142646;54,9;2023-01-04 15:27:09.016 CET
2023-01-04 15:28:00.565 CET;1010123004142738;54,6;2023-01-04 15:28:00.785 CET
