time;PressMode
2023-01-02 04:14:42.908 CET;4
2023-01-02 06:44:54.901 CET;16
2023-01-02 11:29:23.072 CET;8
2023-01-02 11:39:29.492 CET;4
2023-01-02 12:09:15.621 CET;16
2023-01-02 12:15:04.015 CET;4
2023-01-02 12:30:47.779 CET;16
2023-01-02 20:18:01.782 CET;0
2023-01-02 20:18:02.783 CET;8
2023-01-02 20:24:51.417 CET;0
2023-01-02 20:24:52.417 CET;4
2023-01-02 20:26:55.914 CET;16
2023-01-02 23:14:30.075 CET;8
2023-01-02 23:19:27.262 CET;4
2023-01-02 23:28:56.543 CET;16
2023-01-03 06:33:38.328 CET;8
2023-01-03 06:42:52.549 CET;0
2023-01-03 06:42:53.549 CET;4
2023-01-03 06:44:55.038 CET;16
2023-01-03 19:24:35.132 CET;8
2023-01-03 19:28:53.161 CET;4
2023-01-03 19:58:47.332 CET;16
2023-01-03 21:19:23.638 CET;8
2023-01-03 21:26:09.262 CET;0
2023-01-03 21:26:10.262 CET;4
2023-01-03 21:27:34.601 CET;16
2023-01-04 00:43:25.553 CET;8
2023-01-04 00:49:23.987 CET;32
2023-01-04 00:49:24.987 CET;4
2023-01-04 01:15:27.237 CET;16
2023-01-04 05:05:46.434 CET;4
2023-01-04 05:24:34.936 CET;16
2023-01-04 09:24:02.328 CET;4
2023-01-04 09:24:34.457 CET;8
2023-01-04 09:29:33.653 CET;4
2023-01-04 09:45:16.426 CET;16
2023-01-04 14:09:26.734 CET;0
2023-01-04 14:09:27.743 CET;8
2023-01-04 14:44:39.167 CET;16
2023-01-05 02:01:55.526 CET;8
2023-01-05 02:17:21.220 CET;0
2023-01-05 02:17:23.232 CET;4
2023-01-05 02:17:24.240 CET;16
2023-01-05 05:55:45.579 CET;4
2023-01-05 05:55:59.630 CET;16
2023-01-05 08:33:22.352 CET;4
2023-01-05 08:37:17.288 CET;16
2023-01-05 10:59:12.303 CET;8
2023-01-05 11:08:48.605 CET;0
2023-01-05 11:08:49.615 CET;4
2023-01-05 11:13:39.769 CET;16
2023-01-05 17:23:38.460 CET;8
2023-01-05 17:36:53.640 CET;16
2023-01-05 20:16:16.838 CET;8
2023-01-05 20:25:23.017 CET;16
2023-01-06 00:44:58.243 CET;0
2023-01-06 00:44:59.253 CET;8
2023-01-06 00:54:25.516 CET;16
2023-01-06 04:05:57.423 CET;8
2023-01-06 05:40:39.112 CET;16
2023-01-09 07:27:23.038 CET;4
2023-01-09 07:27:27.058 CET;16
2023-01-09 07:46:35.641 CET;4
2023-01-09 07:46:50.701 CET;16
2023-01-09 07:53:58.414 CET;4
2023-01-09 07:54:11.464 CET;16
2023-01-09 07:57:10.180 CET;4
2023-01-09 07:57:14.190 CET;16
2023-01-09 08:52:40.483 CET;8
2023-01-09 09:01:01.484 CET;16
2023-01-09 09:01:02.484 CET;4
2023-01-09 09:02:08.755 CET;16
2023-01-09 14:07:59.065 CET;8
2023-01-09 14:15:03.760 CET;4
2023-01-09 14:15:19.821 CET;16
2023-01-09 15:46:18.631 CET;4
2023-01-09 15:46:22.641 CET;16
2023-01-09 16:04:58.105 CET;4
2023-01-09 16:05:09.144 CET;16
2023-01-09 16:09:34.200 CET;4
2023-01-09 16:09:41.230 CET;16
2023-01-09 18:41:19.578 CET;8
2023-01-09 18:45:32.585 CET;4
2023-01-09 18:51:41.059 CET;16
2023-01-09 22:46:31.345 CET;8
2023-01-09 22:50:46.359 CET;0
2023-01-09 22:50:47.369 CET;16
2023-01-10 01:50:57.551 CET;8
2023-01-10 01:55:40.676 CET;4
2023-01-10 01:58:16.302 CET;16
2023-01-10 10:36:58.663 CET;8
2023-01-10 10:46:45.000 CET;4
2023-01-10 10:51:50.214 CET;16
2023-01-10 15:03:07.440 CET;4
2023-01-10 15:04:29.769 CET;16
2023-01-11 01:45:26.401 CET;8
2023-01-11 01:56:57.163 CET;16
2023-01-11 01:56:58.173 CET;4
2023-01-11 02:09:38.210 CET;16
2023-01-11 09:23:25.191 CET;8
2023-01-11 09:35:00.970 CET;4
2023-01-11 09:44:09.154 CET;16
2023-01-11 10:23:27.578 CET;4
2023-01-11 10:24:03.726 CET;16
2023-01-11 10:30:39.299 CET;8
2023-01-11 10:41:08.822 CET;4
2023-01-11 10:42:06.049 CET;16
2023-01-11 16:16:58.325 CET;0
2023-01-11 16:16:59.335 CET;8
2023-01-11 16:27:08.766 CET;4
2023-01-11 16:28:36.115 CET;16
2023-01-11 21:05:49.569 CET;8
2023-01-11 21:13:01.295 CET;16
2023-01-11 21:13:02.305 CET;4
2023-01-11 21:20:33.098 CET;16
2023-01-12 00:46:37.487 CET;8
2023-01-12 00:51:06.562 CET;4
2023-01-12 00:53:42.181 CET;16
2023-01-12 01:54:11.688 CET;4
2023-01-12 01:54:57.877 CET;16
2023-01-12 03:20:12.309 CET;4
2023-01-12 03:20:26.361 CET;16
2023-01-12 03:21:44.678 CET;4
2023-01-12 03:25:40.627 CET;16
2023-01-12 04:42:31.049 CET;8
2023-01-12 04:46:55.112 CET;4
2023-01-12 04:48:46.549 CET;16
2023-01-12 11:33:41.608 CET;8
2023-01-12 11:42:31.723 CET;0
2023-01-12 11:42:32.733 CET;4
2023-01-12 11:50:10.555 CET;16
2023-01-12 13:16:17.201 CET;4
2023-01-12 13:17:20.453 CET;16
2023-01-12 15:53:17.841 CET;0
2023-01-12 15:53:18.842 CET;8
2023-01-12 15:54:51.210 CET;4
2023-01-12 16:00:36.596 CET;8
2023-01-12 16:00:47.635 CET;4
2023-01-12 16:17:02.530 CET;16
2023-01-12 18:05:29.529 CET;8
2023-01-12 18:18:24.628 CET;0
2023-01-12 18:18:25.627 CET;4
2023-01-12 18:20:19.076 CET;16
2023-01-12 20:52:25.549 CET;8
2023-01-12 23:03:25.944 CET;4
2023-01-13 01:14:43.414 CET;16
2023-01-13 06:33:36.865 CET;4
2023-01-13 06:33:58.956 CET;16
2023-01-13 14:53:58.809 CET;8
2023-01-13 15:00:25.352 CET;16
2023-01-13 16:55:28.947 CET;8
2023-01-13 18:46:27.539 CET;16
2023-01-13 18:46:28.539 CET;4
2023-01-13 18:47:51.877 CET;16
2023-01-13 23:50:40.471 CET;8
2023-01-14 00:01:56.163 CET;16
2023-01-14 07:00:17.450 CET;4
2023-01-16 05:25:18.997 CET;16
2023-01-16 07:42:52.970 CET;4
2023-01-16 07:43:31.118 CET;16
2023-01-16 07:46:47.905 CET;4
2023-01-16 07:46:55.936 CET;16
2023-01-16 07:58:24.696 CET;0
2023-01-16 07:58:26.706 CET;4
2023-01-16 08:01:41.480 CET;16
2023-01-16 08:02:57.779 CET;4
2023-01-16 08:03:15.858 CET;16
2023-01-16 08:27:37.693 CET;4
2023-01-16 08:30:58.490 CET;16
2023-01-16 10:54:44.967 CET;0
2023-01-16 10:54:45.969 CET;8
2023-01-16 11:01:34.602 CET;16
2023-01-16 22:19:26.081 CET;8
2023-01-16 22:28:24.230 CET;16
2023-01-17 03:04:03.312 CET;32
2023-01-17 03:04:04.312 CET;8
2023-01-17 06:46:53.723 CET;0
2023-01-17 06:46:54.733 CET;4
2023-01-17 08:49:57.223 CET;16
2023-01-17 08:50:56.461 CET;4
2023-01-17 13:31:51.805 CET;16
2023-01-17 13:31:53.805 CET;8
2023-01-17 13:38:03.289 CET;4
2023-01-17 13:45:14.003 CET;16
2023-01-17 19:16:38.446 CET;8
2023-01-17 19:36:23.174 CET;16
2023-01-18 10:21:52.448 CET;8
2023-01-18 10:34:41.513 CET;32
2023-01-18 10:34:42.515 CET;4
2023-01-18 10:37:14.121 CET;16
2023-01-18 10:57:03.874 CET;4
2023-01-18 10:57:49.052 CET;16
2023-01-18 10:58:35.243 CET;4
2023-01-18 11:05:57.006 CET;16
2023-01-18 11:06:56.246 CET;4
2023-01-18 11:33:17.562 CET;8
2023-01-18 12:06:33.535 CET;16
2023-01-18 18:21:40.454 CET;8
2023-01-18 18:32:36.075 CET;32
2023-01-18 18:32:37.075 CET;16
2023-01-18 19:58:28.655 CET;8
2023-01-18 20:10:41.585 CET;16
2023-01-19 02:26:19.625 CET;8
2023-01-19 02:43:41.802 CET;16
2023-01-19 10:03:18.180 CET;8
2023-01-19 10:11:16.082 CET;4
2023-01-19 10:15:20.059 CET;16
2023-01-19 10:15:41.150 CET;4
2023-01-19 10:16:03.240 CET;16
2023-01-19 11:58:33.802 CET;8
2023-01-19 12:05:07.378 CET;4
2023-01-19 12:08:36.213 CET;16
2023-01-19 17:12:40.105 CET;8
2023-01-19 17:20:49.055 CET;4
2023-01-19 17:24:10.862 CET;16
2023-01-19 17:44:52.819 CET;4
2023-01-19 17:48:28.684 CET;16
2023-01-19 19:31:56.482 CET;8
2023-01-19 19:38:34.073 CET;16
2023-01-19 20:02:21.772 CET;4
2023-01-19 20:05:04.420 CET;16
2023-01-20 00:19:59.523 CET;8
2023-01-20 00:27:24.305 CET;16
2023-01-20 04:21:58.530 CET;8
2023-01-20 04:32:18.013 CET;4
2023-01-20 04:35:08.688 CET;16
2023-01-20 12:06:35.908 CET;8
2023-01-20 12:13:56.671 CET;32
2023-01-20 12:13:57.671 CET;4
2023-01-20 12:21:47.546 CET;16
