time;PressMode
2023-02-10 06:29:45.552 CET;8
2023-02-10 06:43:46.911 CET;4
2023-02-10 07:10:29.312 CET;0
2023-02-10 07:10:31.322 CET;1
2023-02-10 07:12:32.809 CET;16
2023-02-10 09:08:43.665 CET;0
2023-02-10 09:08:44.664 CET;4
2023-02-10 09:08:53.704 CET;16
2023-02-10 09:18:18.964 CET;4
2023-02-10 09:18:25.996 CET;16
2023-02-10 10:46:14.043 CET;4
2023-02-10 10:46:22.072 CET;16
2023-02-10 10:46:36.132 CET;4
2023-02-10 10:46:55.213 CET;16
2023-02-10 10:54:01.917 CET;4
2023-02-10 10:54:06.937 CET;16
2023-02-10 11:08:23.355 CET;4
2023-02-10 11:09:01.513 CET;0
2023-02-10 11:09:04.523 CET;1
2023-02-10 11:12:45.411 CET;16
2023-02-10 12:57:28.513 CET;0
2023-02-10 12:57:29.513 CET;4
2023-02-10 12:57:54.621 CET;8
2023-02-10 13:03:50.035 CET;0
2023-02-10 13:03:51.035 CET;16
2023-02-10 18:09:12.256 CET;0
2023-02-10 18:09:13.257 CET;8
2023-02-10 18:19:50.808 CET;16
2023-02-10 18:19:51.808 CET;4
2023-02-10 18:20:44.017 CET;16
2023-02-10 22:31:26.117 CET;8
2023-02-10 23:13:38.239 CET;4
2023-02-10 23:18:59.523 CET;16
2023-02-11 03:43:20.905 CET;4
2023-02-11 04:03:03.638 CET;16
2023-02-12 22:32:18.802 CET;4
2023-02-13 06:51:47.540 CET;16
2023-02-13 12:42:48.700 CET;8
2023-02-13 12:52:55.119 CET;4
2023-02-13 13:17:25.996 CET;16
2023-02-13 19:20:16.993 CET;0
2023-02-13 19:20:18.003 CET;8
2023-02-13 19:27:53.825 CET;4
2023-02-13 19:35:11.568 CET;0
2023-02-13 19:35:12.578 CET;16
2023-02-14 05:28:05.733 CET;8
2023-02-14 05:38:50.312 CET;16
2023-02-14 05:38:51.312 CET;4
2023-02-14 05:49:38.898 CET;16
2023-02-14 17:03:10.398 CET;8
2023-02-14 17:12:46.707 CET;4
2023-02-14 17:14:28.105 CET;16
2023-02-14 19:25:43.581 CET;8
2023-02-14 19:32:22.174 CET;4
2023-02-14 19:33:55.542 CET;16
2023-02-15 03:21:31.647 CET;8
2023-02-15 03:30:08.723 CET;0
2023-02-15 03:30:09.723 CET;4
2023-02-15 03:31:47.122 CET;16
2023-02-15 04:27:38.519 CET;4
2023-02-15 04:28:52.819 CET;8
2023-02-15 05:00:39.438 CET;16
2023-02-15 05:00:40.437 CET;4
2023-02-15 05:09:52.640 CET;16
2023-02-15 07:23:43.736 CET;4
2023-02-15 07:23:50.766 CET;16
2023-02-15 09:30:26.125 CET;4
2023-02-15 09:30:45.194 CET;16
2023-02-15 13:27:25.950 CET;8
2023-02-15 13:38:39.641 CET;4
2023-02-15 13:46:35.545 CET;16
2023-02-15 18:01:48.734 CET;8
2023-02-15 18:08:25.319 CET;4
2023-02-15 18:11:37.086 CET;16
2023-02-15 22:56:53.490 CET;8
2023-02-15 23:05:37.584 CET;4
2023-02-15 23:14:25.693 CET;16
2023-02-16 04:41:52.207 CET;4
2023-02-16 04:42:53.457 CET;8
2023-02-16 04:54:38.276 CET;4
2023-02-16 04:56:03.615 CET;16
2023-02-16 08:55:34.043 CET;0
2023-02-16 08:55:35.053 CET;8
2023-02-16 09:26:51.546 CET;4
2023-02-16 09:30:31.423 CET;16
2023-02-16 13:09:11.858 CET;8
2023-02-16 13:22:09.977 CET;4
2023-02-16 13:32:51.536 CET;16
2023-02-16 15:38:57.782 CET;4
2023-02-16 15:39:08.822 CET;16
2023-02-17 05:17:55.154 CET;8
2023-02-17 05:24:21.700 CET;4
2023-02-17 05:38:28.086 CET;16
2023-02-17 07:27:31.237 CET;32
2023-02-17 07:27:32.237 CET;8
2023-02-17 07:41:30.588 CET;32
2023-02-17 07:41:31.598 CET;4
2023-02-17 07:44:15.246 CET;16
2023-02-17 08:35:29.533 CET;8
2023-02-17 08:53:36.878 CET;0
2023-02-17 08:53:37.888 CET;4
2023-02-17 09:23:29.042 CET;16
2023-02-17 12:03:51.515 CET;8
2023-02-17 12:12:31.588 CET;0
2023-02-17 12:12:32.598 CET;4
2023-02-17 22:26:54.915 CET;8
2023-02-17 22:34:21.697 CET;32
2023-02-17 22:34:22.707 CET;4
2023-02-17 22:36:27.198 CET;16
2023-02-18 03:28:51.319 CET;8
2023-02-18 03:36:56.250 CET;0
2023-02-18 03:36:57.260 CET;4
2023-02-18 03:38:49.709 CET;16
2023-02-19 07:07:22.979 CET;4
2023-02-20 06:08:57.203 CET;16
2023-02-20 16:09:36.632 CET;32
2023-02-20 16:09:37.642 CET;8
2023-02-20 16:19:08.505 CET;4
2023-02-20 16:20:12.765 CET;16
2023-02-20 19:15:51.875 CET;8
2023-02-20 19:21:47.299 CET;16
2023-02-20 19:21:48.299 CET;4
2023-02-20 19:22:34.489 CET;16
2023-02-20 20:28:27.280 CET;4
2023-02-20 20:28:53.381 CET;16
2023-02-21 11:16:52.295 CET;0
2023-02-21 11:16:53.305 CET;8
2023-02-21 11:25:01.247 CET;4
2023-02-21 11:25:04.257 CET;16
2023-02-21 15:06:33.375 CET;0
2023-02-21 15:06:34.385 CET;8
2023-02-21 15:22:53.292 CET;4
2023-02-21 15:30:17.065 CET;16
2023-02-21 17:29:07.569 CET;8
2023-02-21 17:36:39.371 CET;4
