time;TraceabilityCode;PressForceValueFL;time.value
2023-01-04 15:08:12.907 CET;1010123004140642;26,6;2023-01-04 15:08:19.986 CET
2023-01-04 15:08:58.526 CET;1010123004140808;26,9;2023-01-04 15:09:03.045 CET
2023-01-04 15:09:05.915 CET;1010123004140814;25,8;2023-01-04 15:09:10.335 CET
2023-01-04 15:09:13.186 CET;1010123004140822;26,6;2023-01-04 15:09:17.605 CET
2023-01-04 15:09:20.525 CET;1010123004140828;26,1;2023-01-04 15:09:24.954 CET
2023-01-04 15:09:27.755 CET;1010123004140836;27,2;2023-01-04 15:09:32.223 CET
2023-01-04 15:09:35.674 CET;1010123004140843;26,6;2023-01-04 15:09:40.055 CET
2023-01-04 15:09:42.944 CET;1010123004140901;26,4;2023-01-04 15:09:47.463 CET
2023-01-04 15:09:50.255 CET;1010123004140909;26,9;2023-01-04 15:09:54.723 CET
2023-01-04 15:09:57.625 CET;1010123004140916;26,6;2023-01-04 15:10:02.164 CET
2023-01-04 15:10:04.934 CET;1010123004140924;26,9;2023-01-04 15:10:09.453 CET
2023-01-04 15:10:19.543 CET;1010123004140939;27,2;2023-01-04 15:10:23.973 CET
2023-01-04 15:10:26.884 CET;1010123004140947;26,6;2023-01-04 15:10:31.374 CET
2023-01-04 15:10:42.053 CET;1010123004141001;26,4;2023-01-04 15:10:46.563 CET
2023-01-04 15:11:03.073 CET;1010123004141016;26,6;2023-01-04 15:11:07.622 CET
2023-01-04 15:11:10.483 CET;1010123004141023;26,9;2023-01-04 15:11:14.973 CET
2023-01-04 15:11:17.993 CET;1010123004141031;26,4;2023-01-04 15:11:22.411 CET
2023-01-04 15:11:32.812 CET;1010123004141055;27,4;2023-01-04 15:11:37.292 CET
2023-01-04 15:11:47.663 CET;1010123004141109;26,4;2023-01-04 15:11:52.183 CET
2023-01-04 15:12:04.713 CET;1010123004141116;26,6;2023-01-04 15:12:09.193 CET
2023-01-04 15:12:19.621 CET;1010123004141130;27,2;2023-01-04 15:12:24.101 CET
2023-01-04 15:12:27.022 CET;1010123004141138;26,6;2023-01-04 15:12:31.530 CET
2023-01-04 15:12:34.552 CET;1010123004141145;27,2;2023-01-04 15:12:38.940 CET
2023-01-04 15:12:41.842 CET;1010123004141202;26,9;2023-01-04 15:12:46.312 CET
2023-01-04 15:12:56.661 CET;1010123004141217;27,7;2023-01-04 15:13:01.121 CET
2023-01-04 15:13:04.131 CET;1010123004141224;27,2;2023-01-04 15:13:08.561 CET
2023-01-04 15:13:11.500 CET;1010123004141232;27,4;2023-01-04 15:13:15.911 CET
2023-01-04 15:13:18.930 CET;1010123004141239;26,9;2023-01-04 15:13:23.341 CET
2023-01-04 15:13:26.290 CET;1010123004141247;27,2;2023-01-04 15:13:30.740 CET
2023-01-04 15:13:33.690 CET;1010123004141254;26,4;2023-01-04 15:13:38.171 CET
2023-01-04 15:13:41.111 CET;1010123004141301;26,6;2023-01-04 15:13:45.621 CET
2023-01-04 15:13:48.440 CET;1010123004141309;27,4;2023-01-04 15:13:52.890 CET
2023-01-04 15:13:55.819 CET;1010123004141316;26,6;2023-01-04 15:14:00.319 CET
2023-01-04 15:14:10.509 CET;1010123004141331;26,9;2023-01-04 15:14:14.970 CET
2023-01-04 15:14:18.069 CET;1010123004141338;26,6;2023-01-04 15:14:22.489 CET
2023-01-04 15:14:25.359 CET;1010123004141346;26,4;2023-01-04 15:14:29.868 CET
2023-01-04 15:14:32.690 CET;1010123004141353;27,4;2023-01-04 15:14:37.138 CET
2023-01-04 15:14:40.190 CET;1010123004141401;26,4;2023-01-04 15:14:44.739 CET
2023-01-04 15:14:47.549 CET;1010123004141408;27,7;2023-01-04 15:14:51.997 CET
2023-01-04 15:14:54.908 CET;1010123004141415;27,2;2023-01-04 15:14:59.417 CET
2023-01-04 15:15:02.178 CET;1010123004141423;27,7;2023-01-04 15:15:06.707 CET
2023-01-04 15:15:24.428 CET;1010123004141445;27,4;2023-01-04 15:15:28.898 CET
2023-01-04 15:15:31.888 CET;1010123004141452;27,2;2023-01-04 15:15:36.417 CET
2023-01-04 15:15:39.198 CET;1010123004141500;27,7;2023-01-04 15:15:43.697 CET
2023-01-04 15:15:46.608 CET;1010123004141507;27,4;2023-01-04 15:15:51.028 CET
2023-01-04 15:15:53.997 CET;1010123004141514;27,2;2023-01-04 15:15:58.388 CET
2023-01-04 15:16:01.378 CET;1010123004141522;26,9;2023-01-04 15:16:05.927 CET
2023-01-04 15:16:08.888 CET;1010123004141529;27,2;2023-01-04 15:16:13.467 CET
2023-01-04 15:16:16.227 CET;1010123004141536;26,6;2023-01-04 15:16:20.667 CET
2023-01-04 15:16:23.607 CET;1010123004141544;26,1;2023-01-04 15:16:28.096 CET
2023-01-04 15:16:30.957 CET;1010123004141551;27,2;2023-01-04 15:16:35.437 CET
2023-01-04 15:16:38.427 CET;1010123004141559;26,6;2023-01-04 15:16:42.867 CET
2023-01-04 15:16:45.717 CET;1010123004141606;27,7;2023-01-04 15:16:50.167 CET
2023-01-04 15:16:53.127 CET;1010123004141614;26,6;2023-01-04 15:16:57.707 CET
2023-01-04 15:18:58.904 CET;1010123004141636;26,9;2023-01-04 15:19:03.375 CET
2023-01-04 15:19:06.785 CET;1010123004141643;26,6;2023-01-04 15:19:11.293 CET
2023-01-04 15:19:14.164 CET;1010123004141650;27,2;2023-01-04 15:19:18.573 CET
2023-01-04 15:19:21.414 CET;1010123004141658;27,7;2023-01-04 15:19:25.953 CET
2023-01-04 15:19:28.793 CET;1010123004141705;26,6;2023-01-04 15:19:33.283 CET
2023-01-04 15:19:35.963 CET;1010123004141713;26,9;2023-01-04 15:19:40.463 CET
2023-01-04 15:19:43.914 CET;1010123004141720;26,6;2023-01-04 15:19:48.403 CET
2023-01-04 15:19:58.473 CET;1010123004141918;26,4;2023-01-04 15:20:02.983 CET
2023-01-04 15:20:13.132 CET;1010123004141932;26,6;2023-01-04 15:20:17.622 CET
2023-01-04 15:20:21.013 CET;1010123004141947;26,4;2023-01-04 15:20:25.453 CET
2023-01-04 15:20:28.312 CET;1010123004141954;26,6;2023-01-04 15:20:32.792 CET
2023-01-04 15:20:40.132 CET;1010123004142008;26,4;2023-01-04 15:20:44.572 CET
2023-01-04 15:21:01.391 CET;1010123004142029;26,9;2023-01-04 15:21:05.861 CET
2023-01-04 15:21:08.732 CET;1010123004142036;26,6;2023-01-04 15:21:13.312 CET
2023-01-04 15:21:22.451 CET;1010123004142050;26,9;2023-01-04 15:21:26.971 CET
2023-01-04 15:21:43.562 CET;1010123004142111;26,6;2023-01-04 15:21:48.082 CET
2023-01-04 15:21:50.980 CET;1010123004142118;26,9;2023-01-04 15:21:55.540 CET
2023-01-04 15:22:12.131 CET;1010123004142140;25,6;2023-01-04 15:22:16.660 CET
2023-01-04 15:22:25.911 CET;1010123004142154;26,9;2023-01-04 15:22:30.321 CET
2023-01-04 15:23:37.519 CET;1010123004142215;27,4;2023-01-04 15:23:41.948 CET
2023-01-04 15:23:44.890 CET;1010123004142222;26,4;2023-01-04 15:23:49.378 CET
2023-01-04 15:23:52.319 CET;1010123004142250;26,9;2023-01-04 15:23:56.818 CET
2023-01-04 15:24:00.019 CET;1010123004142257;26,1;2023-01-04 15:24:04.588 CET
2023-01-04 15:24:27.569 CET;1010123004142355;26,4;2023-01-04 15:24:32.078 CET
2023-01-04 15:24:35.059 CET;1010123004142402;26,1;2023-01-04 15:24:39.469 CET
2023-01-04 15:24:42.459 CET;1010123004142409;25,8;2023-01-04 15:24:46.898 CET
2023-01-04 15:24:50.388 CET;1010123004142416;26,4;2023-01-04 15:24:54.819 CET
2023-01-04 15:24:57.668 CET;1010123004142423;27,2;2023-01-04 15:25:02.178 CET
2023-01-04 15:25:12.618 CET;1010123004142438;26,4;2023-01-04 15:25:17.148 CET
2023-01-04 15:25:20.017 CET;1010123004142445;27,2;2023-01-04 15:25:24.497 CET
2023-01-04 15:25:27.407 CET;1010123004142452;28;2023-01-04 15:25:31.846 CET
2023-01-04 15:25:34.788 CET;1010123004142459;27,7;2023-01-04 15:25:39.197 CET
2023-01-04 15:25:42.207 CET;1010123004142506;27,2;2023-01-04 15:25:46.677 CET
2023-01-04 15:25:49.717 CET;1010123004142513;26,6;2023-01-04 15:25:54.187 CET
2023-01-04 15:25:57.177 CET;1010123004142520;26,4;2023-01-04 15:26:01.717 CET
2023-01-04 15:26:04.556 CET;1010123004142527;26,9;2023-01-04 15:26:08.976 CET
2023-01-04 15:26:11.976 CET;1010123004142534;26,6;2023-01-04 15:26:16.407 CET
2023-01-04 15:26:19.358 CET;1010123004142541;26,9;2023-01-04 15:26:23.826 CET
2023-01-04 15:26:26.798 CET;1010123004142548;27,2;2023-01-04 15:26:31.246 CET
2023-01-04 15:26:34.237 CET;1010123004142555;26,4;2023-01-04 15:26:38.746 CET
