time;TraceabilityCode;Cylinder2MaxParalelismErrorInBDC;time.value
2023-01-04 12:29:32.467 CET;1010123004112910;0,7;2023-01-04 12:29:32.477 CET
2023-01-04 14:42:53.408 CET;1010223004134159;1,3;2023-01-04 14:43:24.108 CET
2023-01-04 15:12:24.552 CET;1010123004141202;1,4;2023-01-04 15:12:24.841 CET
2023-01-04 15:12:32.032 CET;1010123004141209;1,3;2023-01-04 15:12:32.200 CET
2023-01-04 15:16:28.596 CET;1010123004141606;1,4;2023-01-04 15:16:28.846 CET
2023-01-04 15:16:43.346 CET;1010123004141621;1,3;2023-01-04 15:16:43.496 CET
2023-01-04 15:23:20.279 CET;1010123004142215;1,4;2023-01-04 15:23:20.598 CET
2023-01-04 15:27:45.796 CET;1010123004142723;1,4;2023-01-04 15:27:46.055 CET
2023-01-04 15:28:00.565 CET;1010123004142738;1,3;2023-01-04 15:28:00.785 CET
2023-01-04 15:28:15.365 CET;1010123004142753;1,4;2023-01-04 15:28:15.494 CET
2023-01-04 15:28:22.655 CET;1010123004142800;1,3;2023-01-04 15:28:22.855 CET
2023-01-04 15:28:59.684 CET;1010123004142837;1,4;2023-01-04 15:28:59.815 CET
2023-01-04 15:29:07.075 CET;1010123004142845;1,3;2023-01-04 15:29:07.253 CET
2023-01-04 15:30:06.063 CET;1010123004142944;1,4;2023-01-04 15:30:06.223 CET
2023-01-04 15:30:20.903 CET;1010123004142959;1,3;2023-01-04 15:30:21.101 CET
2023-01-04 15:31:27.532 CET;1010123004143105;1,4;2023-01-04 15:31:27.572 CET
2023-01-04 15:31:57.191 CET;1010123004143135;1,3;2023-01-04 15:31:57.332 CET
2023-01-04 15:32:41.540 CET;1010123004143219;1,4;2023-01-04 15:32:41.730 CET
2023-01-04 15:47:21.095 CET;1010123004143241;1,4;2023-01-04 15:47:21.345 CET
2023-01-04 15:47:21.095 CET;1010123004143241;1,3;2023-01-04 15:47:28.694 CET
2023-01-04 15:51:23.970 CET;1010123004145101;1,4;2023-01-04 15:51:24.141 CET
2023-01-04 15:51:46.141 CET;1010123004145124;1,3;2023-01-04 15:51:46.230 CET
2023-01-04 15:52:00.790 CET;1010123004145139;1,4;2023-01-04 15:52:01.029 CET
2023-01-04 15:52:08.270 CET;1010123004145146;1,3;2023-01-04 15:52:08.390 CET
2023-01-04 15:55:35.756 CET;1010123004145513;1,4;2023-01-04 15:55:35.996 CET
2023-01-04 15:55:43.336 CET;1010123004145521;1,3;2023-01-04 15:55:43.355 CET
2023-01-04 15:55:50.726 CET;1010123004145528;1,4;2023-01-04 15:55:50.865 CET
2023-01-04 15:55:58.035 CET;1010123004145536;1,3;2023-01-04 15:55:58.244 CET
2023-01-04 15:56:57.224 CET;1010123004145635;1,4;2023-01-04 15:56:57.424 CET
2023-01-04 15:57:04.595 CET;1010123004145642;1,3;2023-01-04 15:57:04.714 CET
2023-01-04 15:58:48.492 CET;1010123004145826;1,4;2023-01-04 15:58:48.632 CET
2023-01-04 15:58:55.903 CET;1010123004145833;1,3;2023-01-04 15:58:56.072 CET
2023-01-04 15:59:40.371 CET;1010123004145918;1,4;2023-01-04 15:59:40.572 CET
2023-01-04 15:59:55.240 CET;1010123004145933;1,3;2023-01-04 15:59:55.440 CET
2023-01-04 16:00:47.540 CET;1010123004150032;1,4;2023-01-04 16:00:47.760 CET
2023-01-04 16:01:02.849 CET;1010123004150046;1,4;2023-01-04 16:01:03.130 CET
2023-01-04 16:01:10.359 CET;1010123004150053;1,3;2023-01-04 16:01:10.479 CET
2023-01-04 16:01:22.490 CET;1010123004150108;1,4;2023-01-04 16:01:30.209 CET
2023-01-04 16:06:13.986 CET;1010123004150427;1,3;2023-01-04 16:06:14.315 CET
2023-01-04 16:15:51.285 CET;1010123004151529;1,4;2023-01-04 16:15:51.525 CET
2023-01-04 16:16:06.075 CET;1010123004151543;1,3;2023-01-04 16:16:06.224 CET
2023-01-04 16:16:13.505 CET;1010123004151551;1,4;2023-01-04 16:16:13.694 CET
2023-01-04 16:16:28.463 CET;1010123004151606;1,3;2023-01-04 16:16:28.644 CET
2023-01-04 16:16:51.003 CET;1010123004151628;1,4;2023-01-04 16:16:51.203 CET
2023-01-04 16:17:13.323 CET;1010123004151651;1,3;2023-01-04 16:17:13.523 CET
2023-01-04 16:18:20.013 CET;1010123004151757;1,4;2023-01-04 16:18:20.253 CET
2023-01-04 16:18:27.431 CET;1010123004151805;1,3;2023-01-04 16:18:27.700 CET
2023-01-04 16:18:34.752 CET;1010123004151812;1,4;2023-01-04 16:18:34.970 CET
2023-01-04 16:18:42.022 CET;1010123004151820;1,3;2023-01-04 16:18:42.240 CET
2023-01-04 16:19:04.020 CET;1010123004151842;1,4;2023-01-04 16:19:04.250 CET
2023-01-04 16:19:11.391 CET;1010123004151849;1,3;2023-01-04 16:19:11.611 CET
2023-01-04 16:19:26.171 CET;1010123004151904;1,4;2023-01-04 16:19:26.321 CET
2023-01-04 16:28:09.173 CET;1010123004151948;1,3;2023-01-04 16:28:16.742 CET
2023-01-04 16:28:25.223 CET;1010123004151956;1,4;2023-01-04 16:28:32.802 CET
2023-01-04 16:28:34.282 CET;1010123004152748;1,3;2023-01-04 16:28:41.941 CET
2023-01-04 16:29:49.520 CET;1010123004152824;1,4;2023-01-04 16:29:49.710 CET
2023-01-04 16:29:56.801 CET;1010123004152930;1,3;2023-01-04 16:29:57.059 CET
2023-01-04 16:30:33.900 CET;1010123004153011;1,4;2023-01-04 16:30:34.180 CET
2023-01-04 16:30:41.279 CET;1010123004153019;1,3;2023-01-04 16:30:41.460 CET
2023-01-04 16:30:48.559 CET;1010123004153026;1,4;2023-01-04 16:30:48.829 CET
2023-01-04 16:30:55.990 CET;1010123004153034;1,3;2023-01-04 16:30:56.098 CET
2023-01-04 16:31:18.190 CET;1010123004153056;1,4;2023-01-04 16:31:18.338 CET
2023-01-04 16:32:02.489 CET;1010123004153140;1,3;2023-01-04 16:32:02.657 CET
2023-01-04 16:32:09.819 CET;1010123004153147;1,4;2023-01-04 16:32:10.017 CET
2023-01-04 16:32:17.128 CET;1010123004153155;1,3;2023-01-04 16:32:17.388 CET
2023-01-04 16:32:24.477 CET;1010123004153202;1,4;2023-01-04 16:32:24.737 CET
2023-01-04 16:32:39.217 CET;1010123004153217;1,3;2023-01-04 16:32:39.298 CET
2023-01-04 16:32:54.357 CET;1010123004153232;1,4;2023-01-04 16:32:54.427 CET
2023-01-04 16:33:09.096 CET;1010123004153246;1,3;2023-01-04 16:33:09.216 CET
2023-01-04 16:33:46.486 CET;1010123004153331;1,3;2023-01-04 16:33:46.665 CET
2023-01-04 16:34:50.625 CET;1010123004153435;1,4;2023-01-04 16:34:50.875 CET
2023-01-04 16:47:32.023 CET;1010123004154710;1,4;2023-01-04 16:47:32.183 CET
2023-01-04 16:47:39.433 CET;1010123004154717;1,3;2023-01-04 16:47:39.552 CET
2023-01-04 16:47:54.272 CET;1010123004154732;1,4;2023-01-04 16:47:54.441 CET
2023-01-04 16:48:01.762 CET;1010123004154739;1,3;2023-01-04 16:48:01.871 CET
2023-01-04 16:48:38.711 CET;1010123004154816;1,4;2023-01-04 16:48:38.941 CET
2023-01-04 16:48:46.141 CET;1010123004154824;1,3;2023-01-04 16:48:46.332 CET
2023-01-04 16:49:52.710 CET;1010123004154930;1,4;2023-01-04 16:49:52.828 CET
2023-01-04 16:50:00.230 CET;1010123004154938;1,3;2023-01-04 16:50:00.259 CET
2023-01-04 16:50:51.838 CET;1010123004155030;1,4;2023-01-04 16:50:52.028 CET
2023-01-04 16:50:59.358 CET;1010123004155037;1,3;2023-01-04 16:50:59.467 CET
2023-01-04 16:51:14.279 CET;1010123004155052;1,4;2023-01-04 16:51:14.437 CET
2023-01-04 16:52:20.868 CET;1010123004155159;1,3;2023-01-04 16:52:21.066 CET
2023-01-04 16:52:35.596 CET;1010123004155213;1,4;2023-01-04 16:52:35.796 CET
2023-01-04 16:52:50.417 CET;1010123004155228;1,3;2023-01-04 16:52:50.595 CET
2023-01-04 16:53:21.226 CET;1010123004155304;1,3;2023-01-04 16:53:21.395 CET
2023-01-04 16:53:28.585 CET;1010123004155311;1,4;2023-01-04 16:53:28.756 CET
2023-01-04 16:53:43.196 CET;1010123004155326;1,3;2023-01-04 16:53:43.385 CET
2023-01-04 16:53:50.665 CET;1010123004155333;1,4;2023-01-04 16:53:50.825 CET
2023-01-04 16:53:58.065 CET;1010123004155340;1,3;2023-01-04 16:53:58.194 CET
2023-01-04 16:54:12.765 CET;1010123004155355;1,4;2023-01-04 16:54:12.984 CET
2023-01-04 16:54:20.184 CET;1010123004155402;1,3;2023-01-04 16:54:20.273 CET
2023-01-04 16:54:42.424 CET;1010123004155424;1,4;2023-01-04 16:54:42.605 CET
2023-01-04 16:54:49.765 CET;1010123004155431;1,3;2023-01-04 16:54:49.954 CET
2023-01-04 16:55:04.594 CET;1010123004155446;1,4;2023-01-04 16:55:04.753 CET
2023-01-04 16:55:19.293 CET;1010123004155500;1,3;2023-01-04 16:55:19.563 CET
2023-01-04 16:55:26.733 CET;1010123004155507;1,4;2023-01-04 16:55:26.923 CET
2023-01-04 16:55:56.372 CET;1010123004155536;1,3;2023-01-04 16:55:56.513 CET
2023-01-04 16:56:03.663 CET;1010123004155543;1,4;2023-01-04 16:56:03.872 CET
2023-01-04 16:56:33.302 CET;1010123004155612;1,3;2023-01-04 16:56:33.480 CET
2023-01-04 16:56:40.701 CET;1010123004155619;1,4;2023-01-04 16:56:40.911 CET
2023-01-04 17:20:04.023 CET;1010123004155626;1,4;2023-01-04 17:20:14.421 CET
2023-01-04 17:20:22.703 CET;1010123004155648;1,3;2023-01-04 17:20:22.933 CET
2023-01-04 17:20:29.993 CET;1010123004161948;1,4;2023-01-04 17:20:30.233 CET
2023-01-04 17:21:07.292 CET;1010123004162048;1,3;2023-01-04 17:21:07.512 CET
2023-01-04 17:21:24.861 CET;1010123004162109;1,3;2023-01-04 17:21:24.901 CET
2023-01-04 17:21:53.450 CET;1010123004162138;1,3;2023-01-04 17:21:53.740 CET
2023-01-04 17:22:00.881 CET;1010123004162145;1,4;2023-01-04 17:22:01.099 CET
2023-01-04 17:22:16.371 CET;1010123004162200;1,4;2023-01-04 17:22:16.559 CET
2023-01-04 17:22:23.740 CET;1010123004162207;1,3;2023-01-04 17:22:23.910 CET
2023-01-04 17:23:56.029 CET;1010123004162341;1,3;2023-01-04 17:23:56.408 CET
2023-01-04 17:24:10.769 CET;1010123004162355;1,4;2023-01-04 17:24:10.959 CET
2023-01-04 17:25:10.788 CET;1010123004162452;1,4;2023-01-04 17:25:10.947 CET
2023-01-04 17:25:18.217 CET;1010123004162500;1,3;2023-01-04 17:25:18.316 CET
2023-01-04 17:28:44.835 CET;1010123004162824;1,4;2023-01-04 17:28:45.035 CET
2023-01-04 17:28:59.444 CET;1010123004162839;1,3;2023-01-04 17:28:59.743 CET
2023-01-04 17:31:05.322 CET;1010123004163044;1,4;2023-01-04 17:31:05.513 CET
2023-01-04 17:31:12.792 CET;1010123004163051;1,3;2023-01-04 17:31:12.963 CET
2023-01-04 17:31:27.512 CET;1010123004163106;1,4;2023-01-04 17:31:27.681 CET
2023-01-04 17:31:35.052 CET;1010123004163113;1,3;2023-01-04 17:31:35.201 CET
2023-01-04 17:32:11.861 CET;1010123004163150;1,4;2023-01-04 17:32:12.069 CET
2023-01-04 17:32:19.250 CET;1010123004163158;1,3;2023-01-04 17:32:19.440 CET
2023-01-04 17:32:33.871 CET;1010123004163213;1,4;2023-01-04 17:32:34.081 CET
2023-01-04 17:32:41.220 CET;1010123004163220;1,3;2023-01-04 17:32:41.440 CET
