time;TraceabilityCode;PressForceValueRL;time.value
2023-01-04 15:10:49.414 CET;1010123004141009;28,5;2023-01-04 15:10:53.934 CET
2023-01-04 15:11:03.073 CET;1010123004141016;28,2;2023-01-04 15:11:07.622 CET
2023-01-04 15:11:10.483 CET;1010123004141023;28;2023-01-04 15:11:14.973 CET
2023-01-04 15:11:25.463 CET;1010123004141038;28,2;2023-01-04 15:11:29.931 CET
2023-01-04 15:11:40.243 CET;1010123004141102;28;2023-01-04 15:11:44.653 CET
2023-01-04 15:11:47.663 CET;1010123004141109;28,2;2023-01-04 15:11:52.183 CET
2023-01-04 15:12:04.713 CET;1010123004141116;28;2023-01-04 15:12:09.193 CET
2023-01-04 15:12:19.621 CET;1010123004141130;28,5;2023-01-04 15:12:24.101 CET
2023-01-04 15:12:27.022 CET;1010123004141138;28,2;2023-01-04 15:12:31.530 CET
2023-01-04 15:12:34.552 CET;1010123004141145;28,5;2023-01-04 15:12:38.940 CET
2023-01-04 15:12:41.842 CET;1010123004141202;28,2;2023-01-04 15:12:46.312 CET
2023-01-04 15:12:49.270 CET;1010123004141209;28;2023-01-04 15:12:53.801 CET
2023-01-04 15:12:56.661 CET;1010123004141217;28,5;2023-01-04 15:13:01.121 CET
2023-01-04 15:13:04.131 CET;1010123004141224;28,2;2023-01-04 15:13:08.561 CET
2023-01-04 15:13:11.500 CET;1010123004141232;28,5;2023-01-04 15:13:15.911 CET
2023-01-04 15:13:18.930 CET;1010123004141239;28;2023-01-04 15:13:23.341 CET
2023-01-04 15:13:33.690 CET;1010123004141254;28,5;2023-01-04 15:13:38.171 CET
2023-01-04 15:13:48.440 CET;1010123004141309;28;2023-01-04 15:13:52.890 CET
2023-01-04 15:13:55.819 CET;1010123004141316;28,5;2023-01-04 15:14:00.319 CET
2023-01-04 15:14:03.190 CET;1010123004141323;28,2;2023-01-04 15:14:07.578 CET
2023-01-04 15:14:10.509 CET;1010123004141331;28;2023-01-04 15:14:14.970 CET
2023-01-04 15:14:18.069 CET;1010123004141338;28,2;2023-01-04 15:14:22.489 CET
2023-01-04 15:14:25.359 CET;1010123004141346;28,5;2023-01-04 15:14:29.868 CET
2023-01-04 15:14:32.690 CET;1010123004141353;28;2023-01-04 15:14:37.138 CET
2023-01-04 15:14:40.190 CET;1010123004141401;28,5;2023-01-04 15:14:44.739 CET
2023-01-04 15:14:54.908 CET;1010123004141415;28,2;2023-01-04 15:14:59.417 CET
2023-01-04 15:15:09.638 CET;1010123004141430;28,5;2023-01-04 15:15:14.098 CET
2023-01-04 15:15:24.428 CET;1010123004141445;28,2;2023-01-04 15:15:28.898 CET
2023-01-04 15:15:39.198 CET;1010123004141500;28,8;2023-01-04 15:15:43.697 CET
2023-01-04 15:15:46.608 CET;1010123004141507;28,2;2023-01-04 15:15:51.028 CET
2023-01-04 15:15:53.997 CET;1010123004141514;28;2023-01-04 15:15:58.388 CET
2023-01-04 15:16:01.378 CET;1010123004141522;28,2;2023-01-04 15:16:05.927 CET
2023-01-04 15:16:16.227 CET;1010123004141536;28;2023-01-04 15:16:20.667 CET
2023-01-04 15:16:30.957 CET;1010123004141551;28,5;2023-01-04 15:16:35.437 CET
2023-01-04 15:16:45.717 CET;1010123004141606;28,2;2023-01-04 15:16:50.167 CET
2023-01-04 15:17:00.526 CET;1010123004141621;28;2023-01-04 15:18:36.454 CET
2023-01-04 15:19:06.785 CET;1010123004141643;28,2;2023-01-04 15:19:11.293 CET
2023-01-04 15:19:14.164 CET;1010123004141650;28,5;2023-01-04 15:19:18.573 CET
2023-01-04 15:19:28.793 CET;1010123004141705;28;2023-01-04 15:19:33.283 CET
2023-01-04 15:19:35.963 CET;1010123004141713;28,2;2023-01-04 15:19:40.463 CET
2023-01-04 15:20:13.132 CET;1010123004141932;28,5;2023-01-04 15:20:17.622 CET
2023-01-04 15:20:21.013 CET;1010123004141947;28,2;2023-01-04 15:20:25.453 CET
2023-01-04 15:20:28.312 CET;1010123004141954;28,8;2023-01-04 15:20:32.792 CET
2023-01-04 15:20:40.132 CET;1010123004142008;28,2;2023-01-04 15:20:44.572 CET
2023-01-04 15:20:47.503 CET;1010123004142015;28;2023-01-04 15:20:52.000 CET
2023-01-04 15:21:01.391 CET;1010123004142029;28,2;2023-01-04 15:21:05.861 CET
2023-01-04 15:21:08.732 CET;1010123004142036;28;2023-01-04 15:21:13.312 CET
2023-01-04 15:21:22.451 CET;1010123004142050;28,5;2023-01-04 15:21:26.971 CET
2023-01-04 15:21:29.861 CET;1010123004142057;28,2;2023-01-04 15:21:34.361 CET
2023-01-04 15:22:04.651 CET;1010123004142133;28;2023-01-04 15:22:09.119 CET
2023-01-04 15:22:12.131 CET;1010123004142140;28,5;2023-01-04 15:22:16.660 CET
2023-01-04 15:23:30.109 CET;1010123004142201;27,7;2023-01-04 15:23:34.650 CET
2023-01-04 15:23:37.519 CET;1010123004142215;28;2023-01-04 15:23:41.948 CET
2023-01-04 15:23:44.890 CET;1010123004142222;28,5;2023-01-04 15:23:49.378 CET
2023-01-04 15:23:52.319 CET;1010123004142250;28;2023-01-04 15:23:56.818 CET
2023-01-04 15:24:00.019 CET;1010123004142257;28,2;2023-01-04 15:24:04.588 CET
2023-01-04 15:24:27.569 CET;1010123004142355;28;2023-01-04 15:24:32.078 CET
2023-01-04 15:24:35.059 CET;1010123004142402;28,2;2023-01-04 15:24:39.469 CET
2023-01-04 15:24:57.668 CET;1010123004142423;28;2023-01-04 15:25:02.178 CET
2023-01-04 15:25:05.178 CET;1010123004142431;28,5;2023-01-04 15:25:09.618 CET
2023-01-04 15:25:12.618 CET;1010123004142438;28,2;2023-01-04 15:25:17.148 CET
2023-01-04 15:25:20.017 CET;1010123004142445;28,5;2023-01-04 15:25:24.497 CET
2023-01-04 15:25:49.717 CET;1010123004142513;28,2;2023-01-04 15:25:54.187 CET
2023-01-04 15:25:57.177 CET;1010123004142520;29;2023-01-04 15:26:01.717 CET
2023-01-04 15:26:04.556 CET;1010123004142527;28,5;2023-01-04 15:26:08.976 CET
2023-01-04 15:26:11.976 CET;1010123004142534;28,2;2023-01-04 15:26:16.407 CET
2023-01-04 15:26:19.358 CET;1010123004142541;28,5;2023-01-04 15:26:23.826 CET
2023-01-04 15:26:26.798 CET;1010123004142548;28,2;2023-01-04 15:26:31.246 CET
2023-01-04 15:26:34.237 CET;1010123004142555;28,5;2023-01-04 15:26:38.746 CET
2023-01-04 15:26:41.648 CET;1010123004142602;28,2;2023-01-04 15:26:46.096 CET
2023-01-04 15:26:49.016 CET;1010123004142609;28,5;2023-01-04 15:26:53.546 CET
2023-01-04 15:26:56.467 CET;1010123004142617;28,2;2023-01-04 15:27:00.885 CET
2023-01-04 15:27:03.967 CET;1010123004142624;28;2023-01-04 15:27:08.486 CET
2023-01-04 15:27:11.387 CET;1010123004142632;28,2;2023-01-04 15:27:15.835 CET
2023-01-04 15:27:18.627 CET;1010123004142639;28,5;2023-01-04 15:27:23.155 CET
2023-01-04 15:27:26.026 CET;1010123004142646;28,2;2023-01-04 15:27:30.496 CET
2023-01-04 15:27:33.427 CET;1010123004142654;28,5;2023-01-04 15:27:37.867 CET
2023-01-04 15:28:17.766 CET;1010123004142738;28;2023-01-04 15:28:22.265 CET
2023-01-04 15:28:25.095 CET;1010123004142746;28,8;2023-01-04 15:28:29.625 CET
2023-01-04 15:28:32.496 CET;1010123004142753;28,2;2023-01-04 15:28:36.984 CET
2023-01-04 15:28:39.786 CET;1010123004142800;28,5;2023-01-04 15:28:44.234 CET
2023-01-04 15:28:54.714 CET;1010123004142815;28,8;2023-01-04 15:28:59.144 CET
2023-01-04 15:29:02.154 CET;1010123004142823;28;2023-01-04 15:29:06.595 CET
2023-01-04 15:29:09.484 CET;1010123004142830;28,5;2023-01-04 15:29:13.954 CET
2023-01-04 15:29:24.203 CET;1010123004142845;28,2;2023-01-04 15:29:28.663 CET
2023-01-04 15:29:31.624 CET;1010123004142852;28,5;2023-01-04 15:29:36.153 CET
2023-01-04 15:29:38.963 CET;1010123004142859;28,2;2023-01-04 15:29:43.513 CET
2023-01-04 15:29:46.354 CET;1010123004142907;28,5;2023-01-04 15:29:50.823 CET
2023-01-04 15:29:53.713 CET;1010123004142914;28;2023-01-04 15:29:58.183 CET
2023-01-04 15:30:08.434 CET;1010123004142929;28,5;2023-01-04 15:30:12.892 CET
2023-01-04 15:30:15.914 CET;1010123004142936;28,2;2023-01-04 15:30:20.411 CET
2023-01-04 15:30:23.312 CET;1010123004142944;28,5;2023-01-04 15:30:27.752 CET
2023-01-04 15:30:30.763 CET;1010123004142951;28,2;2023-01-04 15:30:35.191 CET
