time;TraceabilityCode;PressForceValueRL;time.value
2023-01-04 14:48:47.447 CET;1010223004134159;5,6;2023-01-04 14:48:53.135 CET
2023-01-04 14:51:04.079 CET;1010123004134213;5,3;2023-01-04 14:51:08.339 CET
2023-01-04 14:51:19.000 CET;1010123004134227;5,6;2023-01-04 14:51:23.369 CET
2023-01-04 14:51:26.519 CET;1010123004134308;5,8;2023-01-04 14:51:30.900 CET
2023-01-04 14:51:33.930 CET;1010123004134352;5,6;2023-01-04 14:51:38.249 CET
2023-01-04 14:55:28.789 CET;1010123004134547;5,3;2023-01-04 14:55:33.219 CET
2023-01-04 14:55:41.868 CET;1010123004134626;5,6;2023-01-04 14:55:46.309 CET
2023-01-04 14:56:35.657 CET;1010123004135307;5,8;2023-01-04 14:56:39.947 CET
2023-01-04 14:56:50.568 CET;1010123004135545;5,6;2023-01-04 14:56:54.917 CET
2023-01-04 14:56:57.828 CET;1010123004135552;5,3;2023-01-04 14:57:02.197 CET
2023-01-04 14:57:05.318 CET;1010123004135600;5,6;2023-01-04 14:57:09.637 CET
2023-01-04 14:57:12.798 CET;1010123004135607;5,8;2023-01-04 14:57:17.167 CET
2023-01-04 14:57:42.546 CET;1010123004135637;5,6;2023-01-04 14:57:46.907 CET
2023-01-04 14:58:04.667 CET;1010123004135659;5,8;2023-01-04 14:58:09.066 CET
2023-01-04 14:58:12.086 CET;1010123004135706;5,6;2023-01-04 14:58:16.437 CET
2023-01-04 14:58:41.696 CET;1010123004135736;5,8;2023-01-04 14:58:46.105 CET
2023-01-04 14:58:49.196 CET;1010123004135743;5,6;2023-01-04 14:58:53.466 CET
2023-01-04 14:59:03.865 CET;1010123004135758;5,3;2023-01-04 14:59:08.275 CET
2023-01-04 14:59:18.684 CET;1010123004135813;5,6;2023-01-04 14:59:23.073 CET
2023-01-04 14:59:33.525 CET;1010123004135828;5,3;2023-01-04 14:59:37.894 CET
2023-01-04 14:59:40.894 CET;1010123004135835;5,8;2023-01-04 14:59:45.243 CET
2023-01-04 14:59:55.703 CET;1010123004135850;5,6;2023-01-04 15:00:00.043 CET
2023-01-04 15:00:10.444 CET;1010123004135904;5,3;2023-01-04 15:00:14.832 CET
2023-01-04 15:00:17.854 CET;1010123004135912;5,8;2023-01-04 15:00:22.203 CET
2023-01-04 15:00:25.282 CET;1010123004135919;5,6;2023-01-04 15:00:29.552 CET
2023-01-04 15:00:47.453 CET;1010123004135941;5,3;2023-01-04 15:00:51.802 CET
2023-01-04 15:00:54.913 CET;1010123004135948;5,8;2023-01-04 15:00:59.232 CET
2023-01-04 15:01:09.644 CET;1010123004140003;5,3;2023-01-04 15:01:13.953 CET
2023-01-04 15:01:17.112 CET;1010123004140011;5,6;2023-01-04 15:01:21.401 CET
2023-01-04 15:01:39.292 CET;1010123004140033;5,3;2023-01-04 15:01:43.651 CET
2023-01-04 15:01:46.673 CET;1010123004140040;5,6;2023-01-04 15:01:51.012 CET
2023-01-04 15:01:53.982 CET;1010123004140047;5,8;2023-01-04 15:01:58.351 CET
2023-01-04 15:02:16.302 CET;1010123004140109;5,6;2023-01-04 15:02:20.681 CET
2023-01-04 15:02:23.661 CET;1010123004140117;5,8;2023-01-04 15:02:27.970 CET
2023-01-04 15:02:31.052 CET;1010123004140124;5,3;2023-01-04 15:02:35.401 CET
2023-01-04 15:02:38.431 CET;1010123004140131;5,6;2023-01-04 15:02:42.772 CET
2023-01-04 15:03:37.811 CET;1010123004140214;5,3;2023-01-04 15:03:42.141 CET
2023-01-04 15:03:45.301 CET;1010123004140221;5,8;2023-01-04 15:03:49.641 CET
2023-01-04 15:03:52.680 CET;1010123004140228;5,3;2023-01-04 15:03:57.101 CET
2023-01-04 15:04:00.131 CET;1010123004140235;5,8;2023-01-04 15:04:04.450 CET
2023-01-04 15:06:10.259 CET;1010123004140242;5,6;2023-01-04 15:06:14.707 CET
2023-01-04 15:08:47.707 CET;1010123004140401;5,3;2023-01-04 15:08:52.065 CET
2023-01-04 15:08:55.325 CET;1010123004140642;5,6;2023-01-04 15:08:59.655 CET
2023-01-04 15:09:10.125 CET;1010123004140754;5,8;2023-01-04 15:09:14.464 CET
2023-01-04 15:09:17.436 CET;1010123004140801;5,6;2023-01-04 15:09:21.815 CET
2023-01-04 15:09:32.275 CET;1010123004140814;5,8;2023-01-04 15:09:36.694 CET
2023-01-04 15:09:39.714 CET;1010123004140822;5,6;2023-01-04 15:09:44.144 CET
2023-01-04 15:09:54.484 CET;1010123004140836;5,8;2023-01-04 15:09:58.844 CET
2023-01-04 15:10:09.325 CET;1010123004140901;5,6;2023-01-04 15:10:13.664 CET
2023-01-04 15:10:16.684 CET;1010123004140909;5,3;2023-01-04 15:10:21.104 CET
2023-01-04 15:10:24.073 CET;1010123004140916;5,6;2023-01-04 15:10:28.384 CET
2023-01-04 15:12:04.802 CET;1010123004141102;5,3;2023-01-04 15:12:09.102 CET
2023-01-04 15:12:12.132 CET;1010123004141109;5,8;2023-01-04 15:12:16.542 CET
2023-01-04 15:12:28.532 CET;1010123004141116;5,3;2023-01-04 15:12:33.010 CET
2023-01-04 15:12:36.292 CET;1010123004141123;5,6;2023-01-04 15:12:40.691 CET
2023-01-04 15:12:44.131 CET;1010123004141130;5,8;2023-01-04 15:12:48.540 CET
2023-01-04 15:12:51.510 CET;1010123004141138;6,1;2023-01-04 15:12:55.891 CET
2023-01-04 15:12:58.831 CET;1010123004141145;5,6;2023-01-04 15:13:03.270 CET
2023-01-04 15:13:13.780 CET;1010123004141209;5,8;2023-01-04 15:13:18.220 CET
2023-01-04 15:13:43.470 CET;1010123004141239;5,6;2023-01-04 15:13:47.901 CET
2023-01-04 15:13:50.900 CET;1010123004141247;5,8;2023-01-04 15:13:55.250 CET
2023-01-04 15:13:58.279 CET;1010123004141254;5,6;2023-01-04 15:14:02.619 CET
2023-01-04 15:14:05.640 CET;1010123004141301;5,8;2023-01-04 15:14:10.069 CET
2023-01-04 15:14:13.059 CET;1010123004141309;5,6;2023-01-04 15:14:17.420 CET
2023-01-04 15:14:20.410 CET;1010123004141316;5,8;2023-01-04 15:14:24.779 CET
2023-01-04 15:14:42.589 CET;1010123004141338;6,1;2023-01-04 15:14:47.029 CET
2023-01-04 15:14:49.948 CET;1010123004141346;5,8;2023-01-04 15:14:54.298 CET
2023-01-04 15:15:12.088 CET;1010123004141408;5,6;2023-01-04 15:15:16.548 CET
2023-01-04 15:15:19.499 CET;1010123004141415;5,8;2023-01-04 15:15:23.838 CET
2023-01-04 15:15:34.279 CET;1010123004141430;5,3;2023-01-04 15:15:38.638 CET
2023-01-04 15:15:41.678 CET;1010123004141437;5,8;2023-01-04 15:15:46.068 CET
2023-01-04 15:15:49.088 CET;1010123004141445;5,6;2023-01-04 15:15:53.437 CET
2023-01-04 15:16:11.237 CET;1010123004141507;5,8;2023-01-04 15:16:15.598 CET
2023-01-04 15:16:40.786 CET;1010123004141536;6,1;2023-01-04 15:16:45.187 CET
2023-01-04 15:16:48.187 CET;1010123004141544;5,3;2023-01-04 15:16:52.555 CET
2023-01-04 15:16:55.546 CET;1010123004141551;5,6;2023-01-04 15:16:59.917 CET
2023-01-04 15:17:02.976 CET;1010123004141559;5,8;2023-01-04 15:17:07.345 CET
2023-01-04 15:17:10.336 CET;1010123004141606;5,3;2023-01-04 15:17:14.706 CET
2023-01-04 15:17:17.657 CET;1010123004141614;5,8;2023-01-04 15:17:22.065 CET
2023-01-04 15:19:10.775 CET;1010123004141621;5,3;2023-01-04 15:19:15.164 CET
2023-01-04 15:19:26.053 CET;1010123004141636;5,8;2023-01-04 15:19:30.473 CET
2023-01-04 15:19:33.463 CET;1010123004141643;5,6;2023-01-04 15:19:37.832 CET
2023-01-04 15:19:40.904 CET;1010123004141650;5,8;2023-01-04 15:19:45.273 CET
2023-01-04 15:20:18.253 CET;1010123004141735;5,6;2023-01-04 15:20:22.622 CET
2023-01-04 15:20:48.062 CET;1010123004141947;5,8;2023-01-04 15:20:52.471 CET
2023-01-04 15:20:55.421 CET;1010123004141954;5,6;2023-01-04 15:20:59.750 CET
2023-01-04 15:21:04.032 CET;1010123004142008;5,3;2023-01-04 15:21:08.401 CET
2023-01-04 15:21:33.242 CET;1010123004142036;5,6;2023-01-04 15:21:37.592 CET
2023-01-04 15:22:28.460 CET;1010123004142133;5,8;2023-01-04 15:22:32.849 CET
2023-01-04 15:22:49.670 CET;1010123004142154;5,3;2023-01-04 15:22:54.049 CET
2023-01-04 15:24:01.989 CET;1010123004142215;5,8;2023-01-04 15:24:06.309 CET
2023-01-04 15:24:09.408 CET;1010123004142222;5,6;2023-01-04 15:24:13.838 CET
2023-01-04 15:24:59.459 CET;1010123004142402;5,3;2023-01-04 15:25:03.917 CET
2023-01-04 15:25:06.938 CET;1010123004142409;5,6;2023-01-04 15:25:11.288 CET
2023-01-04 15:25:29.588 CET;1010123004142431;5,3;2023-01-04 15:25:33.917 CET
2023-01-04 15:25:37.237 CET;1010123004142438;5,8;2023-01-04 15:25:41.588 CET
2023-01-04 15:25:51.986 CET;1010123004142452;5,6;2023-01-04 15:25:56.387 CET
2023-01-04 15:25:59.326 CET;1010123004142459;5,8;2023-01-04 15:26:03.746 CET
2023-01-04 15:26:06.726 CET;1010123004142506;5,3;2023-01-04 15:26:11.127 CET
2023-01-04 15:26:14.137 CET;1010123004142513;5,6;2023-01-04 15:26:18.486 CET
2023-01-04 15:26:21.648 CET;1010123004142520;5,8;2023-01-04 15:26:25.997 CET
2023-01-04 15:26:29.007 CET;1010123004142527;5,3;2023-01-04 15:26:33.357 CET
2023-01-04 15:26:36.358 CET;1010123004142534;5,6;2023-01-04 15:26:40.796 CET
2023-01-04 15:26:43.967 CET;1010123004142541;5,3;2023-01-04 15:26:48.397 CET
2023-01-04 15:26:51.325 CET;1010123004142548;5,8;2023-01-04 15:26:55.677 CET
2023-01-04 15:27:28.476 CET;1010123004142624;5,6;2023-01-04 15:27:32.875 CET
2023-01-04 15:28:05.315 CET;1010123004142701;6,1;2023-01-04 15:28:09.755 CET
2023-01-04 15:28:12.756 CET;1010123004142709;5,6;2023-01-04 15:28:17.125 CET
2023-01-04 15:28:20.105 CET;1010123004142716;5,8;2023-01-04 15:28:24.474 CET
2023-01-04 15:28:27.536 CET;1010123004142723;5,6;2023-01-04 15:28:31.924 CET
2023-01-04 15:28:34.966 CET;1010123004142731;5,8;2023-01-04 15:28:39.285 CET
2023-01-04 15:28:42.375 CET;1010123004142738;6,1;2023-01-04 15:28:46.805 CET
2023-01-04 15:28:49.805 CET;1010123004142746;5,6;2023-01-04 15:28:54.154 CET
2023-01-04 15:29:26.653 CET;1010123004142823;5,8;2023-01-04 15:29:31.032 CET
2023-01-04 15:29:41.463 CET;1010123004142837;5,6;2023-01-04 15:29:45.923 CET
2023-01-04 15:29:56.213 CET;1010123004142852;5,8;2023-01-04 15:30:00.553 CET
2023-01-04 15:30:03.543 CET;1010123004142859;6,1;2023-01-04 15:30:08.003 CET
2023-01-04 15:30:10.934 CET;1010123004142907;5,6;2023-01-04 15:30:15.362 CET
2023-01-04 15:30:25.782 CET;1010123004142921;5,8;2023-01-04 15:30:30.082 CET
2023-01-04 15:30:33.072 CET;1010123004142929;5,6;2023-01-04 15:30:37.441 CET
2023-01-04 15:30:40.542 CET;1010123004142936;5,8;2023-01-04 15:30:44.871 CET
2023-01-04 15:30:55.292 CET;1010123004142951;5,6;2023-01-04 15:30:59.601 CET
2023-01-04 15:31:02.582 CET;1010123004142959;5,8;2023-01-04 15:31:06.961 CET
2023-01-04 15:31:10.163 CET;1010123004143006;5,6;2023-01-04 15:31:14.492 CET
2023-01-04 15:31:17.463 CET;1010123004143013;6,1;2023-01-04 15:31:21.921 CET
2023-01-04 15:31:24.861 CET;1010123004143021;5,8;2023-01-04 15:31:29.201 CET
2023-01-04 15:31:47.002 CET;1010123004143043;5,6;2023-01-04 15:31:51.361 CET
2023-01-04 15:32:01.992 CET;1010123004143058;5,8;2023-01-04 15:32:06.332 CET
2023-01-04 15:47:42.686 CET;1010123004143142;5,6;2023-01-04 15:47:53.714 CET
2023-01-04 15:47:56.005 CET;1010123004143149;5,3;2023-01-04 15:48:00.394 CET
2023-01-04 15:48:03.494 CET;1010123004143157;5,8;2023-01-04 15:48:07.835 CET
2023-01-04 15:48:10.984 CET;1010123004143204;5,6;2023-01-04 15:48:15.285 CET
2023-01-04 15:48:47.765 CET;1010123004144556;5,8;2023-01-04 15:48:52.062 CET
2023-01-04 15:48:55.104 CET;1010123004144604;5,6;2023-01-04 15:48:59.513 CET
2023-01-04 15:49:09.903 CET;1010123004144726;5,8;2023-01-04 15:49:14.312 CET
2023-01-04 15:50:06.523 CET;1010123004144736;5,6;2023-01-04 15:50:10.963 CET
2023-01-04 15:50:22.042 CET;1010123004144810;5,3;2023-01-04 15:50:26.401 CET
2023-01-04 15:50:29.471 CET;1010123004144825;5,8;2023-01-04 15:50:33.851 CET
2023-01-04 15:50:44.232 CET;1010123004144847;5,6;2023-01-04 15:50:48.641 CET
2023-01-04 15:50:51.671 CET;1010123004144948;5,8;2023-01-04 15:50:55.992 CET
2023-01-04 15:50:58.992 CET;1010123004144955;5,3;2023-01-04 15:51:03.361 CET
2023-01-04 15:51:06.351 CET;1010123004145002;5,6;2023-01-04 15:51:10.802 CET
2023-01-04 15:51:13.701 CET;1010123004145010;5,3;2023-01-04 15:51:18.161 CET
2023-01-04 15:51:21.210 CET;1010123004145017;5,6;2023-01-04 15:51:25.520 CET
2023-01-04 15:51:28.490 CET;1010123004145025;5,3;2023-01-04 15:51:32.880 CET
2023-01-04 15:51:43.470 CET;1010123004145039;5,6;2023-01-04 15:51:47.841 CET
2023-01-04 15:51:58.290 CET;1010123004145054;5,8;2023-01-04 15:52:02.641 CET
2023-01-04 15:52:05.601 CET;1010123004145101;5,6;2023-01-04 15:52:09.930 CET
2023-01-04 15:52:50.088 CET;1010123004145146;5,3;2023-01-04 15:52:54.408 CET
2023-01-04 15:52:57.408 CET;1010123004145153;5,6;2023-01-04 15:53:01.848 CET
2023-01-04 15:53:04.858 CET;1010123004145201;5,3;2023-01-04 15:53:09.289 CET
2023-01-04 15:53:12.219 CET;1010123004145208;5,6;2023-01-04 15:53:16.569 CET
2023-01-04 15:53:41.848 CET;1010123004145238;5,8;2023-01-04 15:53:46.168 CET
2023-01-04 15:53:49.198 CET;1010123004145245;5,6;2023-01-04 15:53:53.526 CET
2023-01-04 15:53:56.588 CET;1010123004145252;5,8;2023-01-04 15:54:00.967 CET
