time;TraceabilityCode;ClutchBrakeWaterTemperature;time.value
2023-02-20 14:43:25.088 CET;1010123051134234;0;2023-02-23 08:40:07.451 CET
2023-02-20 14:43:25.088 CET;1010123051134234;0;2023-02-23 08:57:24.153 CET
