time;TraceabilityCode;Cylinder5MaxParalelismErrorInBDC;time.value
2023-01-04 12:22:55.842 CET;1010123004112233;0,1;2023-01-04 12:23:02.473 CET
2023-01-04 12:27:29.700 CET;1010123004112707;0,1;2023-01-04 12:27:36.319 CET
2023-01-04 12:27:51.529 CET;1010123004112728;0,1;2023-01-04 12:27:58.157 CET
2023-01-04 12:36:39.621 CET;1010223004113616;0,2;2023-01-04 12:36:39.621 CET
2023-01-04 12:36:46.460 CET;1010223004113623;0,1;2023-01-04 12:36:53.121 CET
2023-01-04 12:37:59.559 CET;1010223004113736;0,1;2023-01-04 12:38:06.249 CET
2023-01-04 12:44:27.993 CET;1010223004114408;0,1;2023-01-04 12:44:28.022 CET
2023-01-04 12:44:27.993 CET;1010223004114408;0,2;2023-01-04 12:44:34.733 CET
2023-01-04 12:49:23.267 CET;1010223004114900;0,1;2023-01-04 12:49:23.298 CET
2023-01-04 12:49:36.858 CET;1010223004114915;0,2;2023-01-04 12:49:43.526 CET
2023-01-04 12:55:24.421 CET;1010223004115410;0,1;2023-01-04 12:55:24.431 CET
2023-01-04 12:59:44.726 CET;1010223004115924;0,2;2023-01-04 12:59:51.375 CET
2023-01-04 13:00:05.816 CET;1010223004115945;0,1;2023-01-04 13:00:12.496 CET
2023-01-04 13:00:56.956 CET;1010223004120035;0,1;2023-01-04 13:01:03.625 CET
2023-01-04 13:06:32.420 CET;1010123004120611;0,2;2023-01-04 13:06:39.059 CET
2023-01-04 13:09:42.756 CET;1010123004120920;0,1;2023-01-04 13:09:49.467 CET
2023-01-04 13:23:19.032 CET;1010123004122255;0,2;2023-01-04 13:23:25.651 CET
2023-01-04 13:23:54.273 CET;1010123004122331;0,1;2023-01-04 13:23:54.282 CET
2023-01-04 13:33:15.871 CET;1010123004123252;0,2;2023-01-04 13:33:22.601 CET
2023-01-04 13:36:05.500 CET;1010123004123259;0,1;2023-01-04 13:36:12.200 CET
2023-01-04 13:37:12.207 CET;1010123004123621;0,1;2023-01-04 13:37:12.226 CET
2023-01-04 13:37:26.568 CET;1010123004123702;0,2;2023-01-04 13:37:33.256 CET
2023-01-04 13:41:26.914 CET;1010223004124110;0,1;2023-01-04 13:41:26.934 CET
2023-01-04 13:43:57.221 CET;1010223004124334;0,1;2023-01-04 13:44:03.901 CET
2023-01-04 13:44:19.111 CET;1010223004124355;0,1;2023-01-04 13:44:25.720 CET
2023-01-04 13:46:42.819 CET;1010223004124620;0,1;2023-01-04 13:46:49.487 CET
2023-01-04 13:47:04.598 CET;1010223004124641;0,1;2023-01-04 13:47:11.247 CET
2023-01-04 13:47:19.017 CET;1010223004124655;0,2;2023-01-04 13:47:19.017 CET
2023-01-04 13:49:29.125 CET;1010223004124906;0,1;2023-01-04 13:49:35.815 CET
2023-01-04 13:49:57.765 CET;1010223004124935;0,2;2023-01-04 13:50:04.365 CET
2023-01-04 13:51:38.473 CET;1010223004125115;0,1;2023-01-04 13:51:45.181 CET
2023-01-04 13:52:50.861 CET;1010223004125228;0,1;2023-01-04 13:52:57.490 CET
2023-01-04 13:55:28.688 CET;1010223004125303;0,2;2023-01-04 13:55:28.698 CET
2023-01-04 13:55:55.868 CET;1010223004125536;0,1;2023-01-04 13:55:55.898 CET
2023-01-04 13:57:52.246 CET;1010223004125734;0,1;2023-01-04 13:57:58.845 CET
2023-01-04 13:58:21.605 CET;1010223004125802;0,2;2023-01-04 13:58:28.224 CET
2023-01-04 14:00:02.473 CET;1010223004125940;0,2;2023-01-04 14:00:09.094 CET
2023-01-04 14:00:24.203 CET;1010223004130001;0,2;2023-01-04 14:00:24.233 CET
2023-01-04 14:00:24.203 CET;1010223004130001;0,1;2023-01-04 14:00:30.862 CET
2023-01-04 14:01:21.612 CET;1010223004130059;0,1;2023-01-04 14:01:28.211 CET
2023-01-04 14:02:26.232 CET;1010223004130203;0,1;2023-01-04 14:02:32.861 CET
2023-01-04 14:03:24.061 CET;1010223004130300;0,1;2023-01-04 14:03:30.799 CET
2023-01-04 14:06:38.858 CET;1010223004130615;0,2;2023-01-04 14:06:38.868 CET
2023-01-04 14:42:53.408 CET;1010223004134159;-0,2;2023-01-04 14:43:24.108 CET
2023-01-04 14:43:37.658 CET;1010123004134206;-0,1;2023-01-04 14:43:45.298 CET
2023-01-04 14:52:17.010 CET;1010123004134626;-0,2;2023-01-04 14:52:17.299 CET
2023-01-04 14:52:24.341 CET;1010123004134807;-0,1;2023-01-04 14:52:24.591 CET
2023-01-04 14:52:52.190 CET;1010123004134815;-0,2;2023-01-04 14:52:52.509 CET
