time;TraceabilityCode;PressForceValueFL;time.value
2023-01-04 12:20:05.276 CET;1011523004112005;28;2023-01-04 12:20:09.486 CET
2023-01-04 12:20:12.155 CET;1012223004112010;28,8;2023-01-04 12:20:16.335 CET
2023-01-04 12:20:18.936 CET;1011123004111131;28,2;2023-01-04 12:20:23.214 CET
2023-01-04 12:20:25.756 CET;1011223004112008;28,8;2023-01-04 12:20:30.045 CET
2023-01-04 12:20:40.676 CET;1010123004112008;28,5;2023-01-04 12:20:44.915 CET
2023-01-04 12:20:47.536 CET;1010123004112015;29;2023-01-04 12:20:51.805 CET
2023-01-04 12:20:54.976 CET;1010123004112023;28,8;2023-01-04 12:20:59.155 CET
2023-01-04 12:21:08.565 CET;1010123004112038;29;2023-01-04 12:21:12.753 CET
2023-01-04 12:21:37.944 CET;1010123004112106;29,6;2023-01-04 12:21:42.184 CET
2023-01-04 12:21:45.315 CET;1010123004112113;29,3;2023-01-04 12:21:49.565 CET
2023-01-04 12:21:59.775 CET;1010123004112127;29,6;2023-01-04 12:22:03.954 CET
2023-01-04 12:22:14.604 CET;1010123004112142;29;2023-01-04 12:22:18.924 CET
2023-01-04 12:22:21.513 CET;1010123004112149;29,6;2023-01-04 12:22:25.703 CET
2023-01-04 12:22:28.914 CET;1010123004112156;29,3;2023-01-04 12:22:33.154 CET
2023-01-04 12:22:36.483 CET;1010123004112204;29;2023-01-04 12:22:40.763 CET
2023-01-04 12:22:43.403 CET;1010123004112211;28,8;2023-01-04 12:22:47.562 CET
2023-01-04 12:22:50.052 CET;1010123004112218;29,6;2023-01-04 12:22:54.362 CET
2023-01-04 12:22:57.503 CET;1010123004112225;29;2023-01-04 12:23:01.802 CET
2023-01-04 12:23:04.413 CET;1010123004112233;28,8;2023-01-04 12:23:08.572 CET
2023-01-04 12:23:11.832 CET;1010123004112240;29,3;2023-01-04 12:23:16.042 CET
2023-01-04 12:23:19.362 CET;1010123004112247;28,8;2023-01-04 12:23:23.562 CET
2023-01-04 12:23:26.852 CET;1010123004112255;29,3;2023-01-04 12:23:31.082 CET
2023-01-04 12:23:33.683 CET;1010123004112302;29;2023-01-04 12:23:37.941 CET
2023-01-04 12:23:55.492 CET;1010123004112323;29,8;2023-01-04 12:23:59.710 CET
2023-01-04 12:24:02.921 CET;1010123004112330;29;2023-01-04 12:24:07.240 CET
2023-01-04 12:24:10.512 CET;1010123004112337;29,6;2023-01-04 12:24:14.762 CET
2023-01-04 12:24:24.101 CET;1010123004112352;29;2023-01-04 12:24:28.282 CET
2023-01-04 12:24:31.502 CET;1010123004112359;29,3;2023-01-04 12:24:35.792 CET
2023-01-04 12:24:38.332 CET;1010123004112407;29,6;2023-01-04 12:24:42.592 CET
2023-01-04 12:24:45.832 CET;1010123004112414;29,3;2023-01-04 12:24:50.042 CET
2023-01-04 12:24:52.701 CET;1010123004112421;29,6;2023-01-04 12:24:56.921 CET
2023-01-04 12:25:00.151 CET;1010123004112429;29;2023-01-04 12:25:04.361 CET
2023-01-04 12:25:14.510 CET;1010123004112443;29,3;2023-01-04 12:25:18.670 CET
2023-01-04 12:25:43.111 CET;1010123004112511;29;2023-01-04 12:25:47.390 CET
2023-01-04 12:25:49.881 CET;1010123004112518;29,6;2023-01-04 12:25:54.200 CET
2023-01-04 12:25:57.381 CET;1010123004112525;29;2023-01-04 12:26:01.641 CET
2023-01-04 12:26:11.769 CET;1010123004112540;29,3;2023-01-04 12:26:16.029 CET
2023-01-04 12:26:19.190 CET;1010123004112547;29;2023-01-04 12:26:23.479 CET
2023-01-04 12:26:33.609 CET;1010123004112601;29,6;2023-01-04 12:26:37.868 CET
2023-01-04 12:26:41.069 CET;1010123004112608;28,8;2023-01-04 12:26:45.229 CET
2023-01-04 12:26:48.529 CET;1010123004112616;29;2023-01-04 12:26:52.769 CET
2023-01-04 12:26:56.039 CET;1010123004112623;29,6;2023-01-04 12:27:00.279 CET
2023-01-04 12:27:02.960 CET;1010123004112630;28,8;2023-01-04 12:27:07.229 CET
2023-01-04 12:27:09.799 CET;1010123004112637;29,3;2023-01-04 12:27:13.959 CET
2023-01-04 12:27:16.500 CET;1010123004112645;29,6;2023-01-04 12:27:20.680 CET
2023-01-04 12:27:23.940 CET;1010123004112652;29;2023-01-04 12:27:28.209 CET
