,time,PressMode
0,2023-01-02 04:14:29.529,2
1,2023-01-02 04:14:30.539,64
2,2023-01-02 04:14:31.539,4
3,2023-01-02 06:34:26.072,16
4,2023-01-02 10:26:00.601,4
5,2023-01-02 10:26:45.779,16
6,2023-01-02 11:30:12.983,8
7,2023-01-02 11:40:16.391,0
8,2023-01-02 11:40:17.401,4
9,2023-01-02 11:41:54.780,16
10,2023-01-02 20:18:32.663,8
11,2023-01-02 20:26:23.545,16
12,2023-01-02 23:13:09.526,0
13,2023-01-02 23:13:10.526,8
14,2023-01-02 23:20:47.359,4
15,2023-01-02 23:21:23.500,16
16,2023-01-03 01:35:16.602,4
17,2023-01-03 01:36:06.802,16
18,2023-01-03 03:37:59.026,4
19,2023-01-03 03:39:02.285,16
20,2023-01-03 06:34:07.257,8
21,2023-01-03 06:42:21.240,32
22,2023-01-03 06:42:22.240,4
23,2023-01-03 06:51:22.404,16
24,2023-01-03 19:24:40.032,8
25,2023-01-03 19:36:12.805,4
26,2023-01-03 19:37:07.013,16
27,2023-01-03 21:20:10.717,8
28,2023-01-03 21:29:00.838,4
29,2023-01-03 21:30:43.246,16
30,2023-01-04 00:43:24.463,8
31,2023-01-04 00:54:01.003,4
32,2023-01-04 00:56:01.482,16
33,2023-01-04 05:06:47.612,8
34,2023-01-04 05:14:39.496,4
35,2023-01-04 05:17:11.104,16
36,2023-01-04 09:31:25.059,0
37,2023-01-04 09:31:26.059,8
38,2023-01-04 09:38:19.723,0
39,2023-01-04 09:38:20.723,16
40,2023-01-04 14:09:32.743,8
41,2023-01-04 14:11:04.111,4
42,2023-01-04 14:11:49.292,8
43,2023-01-04 14:22:08.760,4
44,2023-01-04 14:23:54.190,16
45,2023-01-05 01:52:26.295,4
46,2023-01-05 01:52:55.415,16
47,2023-01-05 02:01:49.546,32
48,2023-01-05 02:01:51.555,8
49,2023-01-05 02:06:51.760,32
50,2023-01-05 02:06:52.760,4
51,2023-01-05 02:07:51.000,16
52,2023-01-05 05:42:11.388,8
53,2023-01-05 05:49:19.105,4
54,2023-01-05 05:50:48.456,16
55,2023-01-05 07:58:49.154,8
56,2023-01-05 08:07:32.249,4
57,2023-01-05 08:09:34.736,16
58,2023-01-05 10:57:44.056,8
59,2023-01-05 11:09:40.924,4
60,2023-01-05 11:12:50.681,16
61,2023-01-05 17:23:37.591,8
62,2023-01-05 17:37:02.809,4
63,2023-01-05 17:40:00.526,16
64,2023-01-05 17:54:43.051,4
65,2023-01-05 17:54:51.081,16
66,2023-01-05 18:01:39.713,4
67,2023-01-05 18:01:47.743,16
68,2023-01-05 18:34:16.532,0
69,2023-01-05 18:34:17.532,4
70,2023-01-05 18:35:51.910,16
71,2023-01-05 20:16:26.029,8
