,time,TraceabilityCode,PressForceValueRR,time.value
73,2023-01-04 15:11:10.483,1010123004141023,32.5,2023-01-04 15:11:14.973
74,2023-01-04 15:11:17.993,1010123004141031,31.2,2023-01-04 15:11:22.411
75,2023-01-04 15:11:25.463,1010123004141038,32.2,2023-01-04 15:11:29.931
76,2023-01-04 15:11:32.812,1010123004141055,32.8,2023-01-04 15:11:37.292
77,2023-01-04 15:11:40.243,1010123004141102,31.7,2023-01-04 15:11:44.653
78,2023-01-04 15:11:47.663,1010123004141109,32.5,2023-01-04 15:11:52.183
79,2023-01-04 15:12:04.713,1010123004141116,32.2,2023-01-04 15:12:09.193
80,2023-01-04 15:12:12.253,1010123004141123,32.5,2023-01-04 15:12:16.822
81,2023-01-04 15:12:27.022,1010123004141138,31.4,2023-01-04 15:12:31.530
82,2023-01-04 15:12:34.552,1010123004141145,31.7,2023-01-04 15:12:38.940
83,2023-01-04 15:12:41.842,1010123004141202,31.4,2023-01-04 15:12:46.312
84,2023-01-04 15:12:49.270,1010123004141209,31.2,2023-01-04 15:12:53.801
85,2023-01-04 15:12:56.661,1010123004141217,31.7,2023-01-04 15:13:01.121
86,2023-01-04 15:13:04.131,1010123004141224,31.2,2023-01-04 15:13:08.561
87,2023-01-04 15:13:11.500,1010123004141232,32.0,2023-01-04 15:13:15.911
88,2023-01-04 15:13:18.930,1010123004141239,31.7,2023-01-04 15:13:23.341
89,2023-01-04 15:13:26.290,1010123004141247,32.0,2023-01-04 15:13:30.740
90,2023-01-04 15:13:41.111,1010123004141301,32.5,2023-01-04 15:13:45.621
91,2023-01-04 15:14:10.509,1010123004141331,32.2,2023-01-04 15:14:14.970
92,2023-01-04 15:14:18.069,1010123004141338,33.0,2023-01-04 15:14:22.489
93,2023-01-04 15:14:25.359,1010123004141346,32.5,2023-01-04 15:14:29.868
94,2023-01-04 15:14:32.690,1010123004141353,32.2,2023-01-04 15:14:37.138
95,2023-01-04 15:14:47.549,1010123004141408,32.5,2023-01-04 15:14:51.997
96,2023-01-04 15:15:02.178,1010123004141423,32.2,2023-01-04 15:15:06.707
97,2023-01-04 15:15:09.638,1010123004141430,31.7,2023-01-04 15:15:14.098
98,2023-01-04 15:15:17.049,1010123004141437,32.2,2023-01-04 15:15:21.618
99,2023-01-04 15:15:39.198,1010123004141500,31.2,2023-01-04 15:15:43.697
100,2023-01-04 15:15:46.608,1010123004141507,32.0,2023-01-04 15:15:51.028
101,2023-01-04 15:15:53.997,1010123004141514,32.2,2023-01-04 15:15:58.388
102,2023-01-04 15:16:01.378,1010123004141522,31.7,2023-01-04 15:16:05.927
103,2023-01-04 15:16:08.888,1010123004141529,32.5,2023-01-04 15:16:13.467
104,2023-01-04 15:16:16.227,1010123004141536,32.2,2023-01-04 15:16:20.667
105,2023-01-04 15:16:23.607,1010123004141544,32.8,2023-01-04 15:16:28.096
106,2023-01-04 15:16:30.957,1010123004141551,32.2,2023-01-04 15:16:35.437
107,2023-01-04 15:16:38.427,1010123004141559,32.5,2023-01-04 15:16:42.867
108,2023-01-04 15:16:53.127,1010123004141614,32.8,2023-01-04 15:16:57.707
109,2023-01-04 15:17:00.526,1010123004141621,32.5,2023-01-04 15:18:36.454
110,2023-01-04 15:18:50.974,1010123004141628,32.8,2023-01-04 15:18:55.463
111,2023-01-04 15:18:58.904,1010123004141636,32.5,2023-01-04 15:19:03.375
112,2023-01-04 15:19:14.164,1010123004141650,32.2,2023-01-04 15:19:18.573
113,2023-01-04 15:19:21.414,1010123004141658,32.5,2023-01-04 15:19:25.953
114,2023-01-04 15:19:28.793,1010123004141705,31.7,2023-01-04 15:19:33.283
115,2023-01-04 15:19:35.963,1010123004141713,32.2,2023-01-04 15:19:40.463
116,2023-01-04 15:19:58.473,1010123004141918,32.0,2023-01-04 15:20:02.983
117,2023-01-04 15:20:13.132,1010123004141932,32.2,2023-01-04 15:20:17.622
118,2023-01-04 15:20:40.132,1010123004142008,32.5,2023-01-04 15:20:44.572
119,2023-01-04 15:20:47.503,1010123004142015,32.8,2023-01-04 15:20:52.000
120,2023-01-04 15:21:01.391,1010123004142029,32.0,2023-01-04 15:21:05.861
121,2023-01-04 15:21:08.732,1010123004142036,32.5,2023-01-04 15:21:13.312
122,2023-01-04 15:21:22.451,1010123004142050,32.0,2023-01-04 15:21:26.971
123,2023-01-04 15:21:29.861,1010123004142057,32.5,2023-01-04 15:21:34.361
124,2023-01-04 15:21:43.562,1010123004142111,32.0,2023-01-04 15:21:48.082
125,2023-01-04 15:21:50.980,1010123004142118,31.7,2023-01-04 15:21:55.540
126,2023-01-04 15:22:04.651,1010123004142133,31.2,2023-01-04 15:22:09.119
127,2023-01-04 15:22:12.131,1010123004142140,31.4,2023-01-04 15:22:16.660
128,2023-01-04 15:22:25.911,1010123004142154,32.2,2023-01-04 15:22:30.321
129,2023-01-04 15:23:30.109,1010123004142201,32.0,2023-01-04 15:23:34.650
130,2023-01-04 15:23:37.519,1010123004142215,31.7,2023-01-04 15:23:41.948
131,2023-01-04 15:23:52.319,1010123004142250,32.0,2023-01-04 15:23:56.818
132,2023-01-04 15:24:00.019,1010123004142257,32.2,2023-01-04 15:24:04.588
133,2023-01-04 15:24:35.059,1010123004142402,32.0,2023-01-04 15:24:39.469
134,2023-01-04 15:24:50.388,1010123004142416,32.5,2023-01-04 15:24:54.819
135,2023-01-04 15:25:05.178,1010123004142431,32.0,2023-01-04 15:25:09.618
136,2023-01-04 15:25:12.618,1010123004142438,32.2,2023-01-04 15:25:17.148
137,2023-01-04 15:25:20.017,1010123004142445,32.5,2023-01-04 15:25:24.497
138,2023-01-04 15:25:27.407,1010123004142452,32.0,2023-01-04 15:25:31.846
139,2023-01-04 15:25:42.207,1010123004142506,31.4,2023-01-04 15:25:46.677
140,2023-01-04 15:25:57.177,1010123004142520,32.0,2023-01-04 15:26:01.717
141,2023-01-04 15:26:11.976,1010123004142534,31.7,2023-01-04 15:26:16.407
142,2023-01-04 15:26:19.358,1010123004142541,31.4,2023-01-04 15:26:23.826
143,2023-01-04 15:26:26.798,1010123004142548,32.5,2023-01-04 15:26:31.246
144,2023-01-04 15:26:34.237,1010123004142555,32.0,2023-01-04 15:26:38.746
145,2023-01-04 15:26:41.648,1010123004142602,31.4,2023-01-04 15:26:46.096
146,2023-01-04 15:26:49.016,1010123004142609,32.2,2023-01-04 15:26:53.546
147,2023-01-04 15:27:03.967,1010123004142624,32.5,2023-01-04 15:27:08.486
148,2023-01-04 15:27:11.387,1010123004142632,32.8,2023-01-04 15:27:15.835
149,2023-01-04 15:27:18.627,1010123004142639,31.7,2023-01-04 15:27:23.155
150,2023-01-04 15:27:26.026,1010123004142646,32.2,2023-01-04 15:27:30.496
151,2023-01-04 15:27:33.427,1010123004142654,32.5,2023-01-04 15:27:37.867
152,2023-01-04 15:27:40.736,1010123004142701,31.7,2023-01-04 15:27:45.226
153,2023-01-04 15:27:55.696,1010123004142716,32.0,2023-01-04 15:28:00.154
154,2023-01-04 15:28:03.046,1010123004142723,31.4,2023-01-04 15:28:07.446
155,2023-01-04 15:28:17.766,1010123004142738,32.2,2023-01-04 15:28:22.265
156,2023-01-04 15:28:32.496,1010123004142753,32.5,2023-01-04 15:28:36.984
157,2023-01-04 15:28:39.786,1010123004142800,31.4,2023-01-04 15:28:44.234
158,2023-01-04 15:28:47.196,1010123004142808,31.7,2023-01-04 15:28:51.625
159,2023-01-04 15:28:54.714,1010123004142815,32.0,2023-01-04 15:28:59.144
160,2023-01-04 15:29:02.154,1010123004142823,32.5,2023-01-04 15:29:06.595
161,2023-01-04 15:29:09.484,1010123004142830,32.2,2023-01-04 15:29:13.954
162,2023-01-04 15:29:16.865,1010123004142837,32.8,2023-01-04 15:29:21.392
163,2023-01-04 15:29:24.203,1010123004142845,32.0,2023-01-04 15:29:28.663
164,2023-01-04 15:29:31.624,1010123004142852,32.5,2023-01-04 15:29:36.153
165,2023-01-04 15:29:46.354,1010123004142907,32.2,2023-01-04 15:29:50.823
166,2023-01-04 15:29:53.713,1010123004142914,32.5,2023-01-04 15:29:58.183
167,2023-01-04 15:30:01.144,1010123004142921,32.0,2023-01-04 15:30:05.533
168,2023-01-04 15:30:08.434,1010123004142929,31.7,2023-01-04 15:30:12.892
169,2023-01-04 15:30:15.914,1010123004142936,32.2,2023-01-04 15:30:20.411
170,2023-01-04 15:30:23.312,1010123004142944,30.9,2023-01-04 15:30:27.752
171,2023-01-04 15:30:30.763,1010123004142951,31.2,2023-01-04 15:30:35.191
172,2023-01-04 15:30:38.193,1010123004142959,31.4,2023-01-04 15:30:42.671
173,2023-01-04 15:30:45.612,1010123004143006,32.5,2023-01-04 15:30:50.112
174,2023-01-04 15:30:52.943,1010123004143013,32.0,2023-01-04 15:30:57.381
175,2023-01-04 15:31:00.362,1010123004143021,32.5,2023-01-04 15:31:04.822
176,2023-01-04 15:31:07.743,1010123004143028,31.7,2023-01-04 15:31:12.171
177,2023-01-04 15:31:15.193,1010123004143035,32.2,2023-01-04 15:31:19.601
178,2023-01-04 15:31:22.451,1010123004143043,32.5,2023-01-04 15:31:26.961
179,2023-01-04 15:31:37.191,1010123004143058,31.7,2023-01-04 15:31:41.631
180,2023-01-04 15:31:44.681,1010123004143105,32.2,2023-01-04 15:31:49.151
181,2023-01-04 15:31:52.101,1010123004143113,32.8,2023-01-04 15:31:56.582
182,2023-01-04 15:31:59.461,1010123004143120,31.7,2023-01-04 15:32:03.921
183,2023-01-04 15:32:06.911,1010123004143127,32.0,2023-01-04 15:32:11.292
184,2023-01-04 15:32:14.332,1010123004143135,31.7,2023-01-04 15:32:18.762
185,2023-01-04 15:32:29.200,1010123004143149,32.0,2023-01-04 15:32:33.710
186,2023-01-04 15:32:36.540,1010123004143157,32.2,2023-01-04 15:32:40.990
187,2023-01-04 15:32:43.990,1010123004143204,32.5,2023-01-04 15:32:48.510
188,2023-01-04 15:47:36.776,1010123004143212,31.2,2023-01-04 15:47:42.585
189,2023-01-04 15:47:44.696,1010123004143227,31.4,2023-01-04 15:47:49.134
190,2023-01-04 15:47:59.734,1010123004143234,31.7,2023-01-04 15:48:04.164
191,2023-01-04 15:48:20.785,1010123004144556,31.4,2023-01-04 15:48:25.323
192,2023-01-04 15:48:28.154,1010123004144604,31.7,2023-01-04 15:48:32.605
193,2023-01-04 15:49:50.213,1010123004144802,31.4,2023-01-04 15:49:54.701
194,2023-01-04 15:50:05.062,1010123004144825,32.0,2023-01-04 15:50:09.463
195,2023-01-04 15:50:12.503,1010123004144839,31.4,2023-01-04 15:50:16.892
196,2023-01-04 15:50:19.842,1010123004144847,32.2,2023-01-04 15:50:24.262
197,2023-01-04 15:50:27.111,1010123004144948,31.4,2023-01-04 15:50:31.561
198,2023-01-04 15:50:34.482,1010123004144955,31.2,2023-01-04 15:50:38.992
199,2023-01-04 15:50:49.391,1010123004145010,30.9,2023-01-04 15:50:53.782
200,2023-01-04 15:50:56.792,1010123004145017,31.4,2023-01-04 15:51:01.211
201,2023-01-04 15:51:11.601,1010123004145032,31.2,2023-01-04 15:51:16.121
202,2023-01-04 15:51:19.052,1010123004145039,31.4,2023-01-04 15:51:23.480
203,2023-01-04 15:51:26.301,1010123004145047,31.2,2023-01-04 15:51:30.839
204,2023-01-04 15:51:41.190,1010123004145101,31.4,2023-01-04 15:51:45.609
205,2023-01-04 15:51:55.901,1010123004145116,32.0,2023-01-04 15:52:00.450
206,2023-01-04 15:52:03.341,1010123004145124,32.8,2023-01-04 15:52:07.809
207,2023-01-04 15:52:10.720,1010123004145131,33.0,2023-01-04 15:52:15.170
208,2023-01-04 15:52:18.040,1010123004145139,32.5,2023-01-04 15:52:22.578
209,2023-01-04 15:52:25.420,1010123004145146,32.2,2023-01-04 15:52:29.858
210,2023-01-04 15:52:47.549,1010123004145208,32.0,2023-01-04 15:52:52.049
211,2023-01-04 15:52:55.148,1010123004145215,31.7,2023-01-04 15:52:59.648
