,time,TraceabilityCode,TotalPressForceValue,time.value
64,2023-01-04 15:08:43.336,1010123004140754,28.8,2023-01-04 15:08:47.786
65,2023-01-04 15:08:58.526,1010123004140808,29.1,2023-01-04 15:09:03.045
66,2023-01-04 15:09:05.915,1010123004140814,28.6,2023-01-04 15:09:10.335
67,2023-01-04 15:09:13.186,1010123004140822,28.9,2023-01-04 15:09:17.605
68,2023-01-04 15:09:20.525,1010123004140828,28.8,2023-01-04 15:09:24.954
69,2023-01-04 15:09:27.755,1010123004140836,29.0,2023-01-04 15:09:32.223
70,2023-01-04 15:09:35.674,1010123004140843,28.8,2023-01-04 15:09:40.055
71,2023-01-04 15:09:42.944,1010123004140901,29.0,2023-01-04 15:09:47.463
72,2023-01-04 15:09:50.255,1010123004140909,28.9,2023-01-04 15:09:54.723
73,2023-01-04 15:09:57.625,1010123004140916,28.8,2023-01-04 15:10:02.164
74,2023-01-04 15:10:19.543,1010123004140939,28.9,2023-01-04 15:10:23.973
75,2023-01-04 15:10:26.884,1010123004140947,28.6,2023-01-04 15:10:31.374
76,2023-01-04 15:10:42.053,1010123004141001,28.7,2023-01-04 15:10:46.563
77,2023-01-04 15:10:49.414,1010123004141009,28.6,2023-01-04 15:10:53.934
78,2023-01-04 15:11:03.073,1010123004141016,28.7,2023-01-04 15:11:07.622
79,2023-01-04 15:11:10.483,1010123004141023,28.8,2023-01-04 15:11:14.973
80,2023-01-04 15:11:17.993,1010123004141031,28.6,2023-01-04 15:11:22.411
81,2023-01-04 15:11:25.463,1010123004141038,28.8,2023-01-04 15:11:29.931
82,2023-01-04 15:11:32.812,1010123004141055,29.0,2023-01-04 15:11:37.292
83,2023-01-04 15:11:40.243,1010123004141102,28.7,2023-01-04 15:11:44.653
84,2023-01-04 15:12:04.713,1010123004141116,28.8,2023-01-04 15:12:09.193
85,2023-01-04 15:12:12.253,1010123004141123,28.9,2023-01-04 15:12:16.822
86,2023-01-04 15:12:19.621,1010123004141130,29.0,2023-01-04 15:12:24.101
87,2023-01-04 15:12:27.022,1010123004141138,28.6,2023-01-04 15:12:31.530
88,2023-01-04 15:12:34.552,1010123004141145,28.8,2023-01-04 15:12:38.940
89,2023-01-04 15:12:41.842,1010123004141202,28.7,2023-01-04 15:12:46.312
90,2023-01-04 15:12:49.270,1010123004141209,28.5,2023-01-04 15:12:53.801
91,2023-01-04 15:12:56.661,1010123004141217,29.0,2023-01-04 15:13:01.121
92,2023-01-04 15:13:04.131,1010123004141224,28.6,2023-01-04 15:13:08.561
93,2023-01-04 15:13:11.500,1010123004141232,29.0,2023-01-04 15:13:15.911
94,2023-01-04 15:13:18.930,1010123004141239,28.7,2023-01-04 15:13:23.341
95,2023-01-04 15:13:26.290,1010123004141247,28.8,2023-01-04 15:13:30.740
96,2023-01-04 15:13:41.111,1010123004141301,29.0,2023-01-04 15:13:45.621
97,2023-01-04 15:13:55.819,1010123004141316,28.9,2023-01-04 15:14:00.319
98,2023-01-04 15:14:10.509,1010123004141331,28.8,2023-01-04 15:14:14.970
99,2023-01-04 15:14:18.069,1010123004141338,28.9,2023-01-04 15:14:22.489
100,2023-01-04 15:14:25.359,1010123004141346,29.0,2023-01-04 15:14:29.868
101,2023-01-04 15:14:40.190,1010123004141401,28.8,2023-01-04 15:14:44.739
102,2023-01-04 15:14:47.549,1010123004141408,29.2,2023-01-04 15:14:51.997
103,2023-01-04 15:14:54.908,1010123004141415,29.0,2023-01-04 15:14:59.417
104,2023-01-04 15:15:02.178,1010123004141423,29.1,2023-01-04 15:15:06.707
105,2023-01-04 15:15:09.638,1010123004141430,29.0,2023-01-04 15:15:14.098
106,2023-01-04 15:15:17.049,1010123004141437,29.2,2023-01-04 15:15:21.618
107,2023-01-04 15:15:24.428,1010123004141445,29.0,2023-01-04 15:15:28.898
108,2023-01-04 15:15:39.198,1010123004141500,28.9,2023-01-04 15:15:43.697
109,2023-01-04 15:15:46.608,1010123004141507,29.0,2023-01-04 15:15:51.028
110,2023-01-04 15:15:53.997,1010123004141514,28.9,2023-01-04 15:15:58.388
111,2023-01-04 15:16:01.378,1010123004141522,28.8,2023-01-04 15:16:05.927
112,2023-01-04 15:16:08.888,1010123004141529,29.0,2023-01-04 15:16:13.467
113,2023-01-04 15:16:16.227,1010123004141536,28.7,2023-01-04 15:16:20.667
114,2023-01-04 15:16:23.607,1010123004141544,28.9,2023-01-04 15:16:28.096
115,2023-01-04 15:16:30.957,1010123004141551,29.0,2023-01-04 15:16:35.437
