,time,TraceabilityCode,PressForceValueRL,time.value
64,2023-01-04 15:09:27.755,1010123004140836,28.0,2023-01-04 15:09:32.223
65,2023-01-04 15:09:42.944,1010123004140901,28.2,2023-01-04 15:09:47.463
66,2023-01-04 15:09:57.625,1010123004140916,28.5,2023-01-04 15:10:02.164
67,2023-01-04 15:10:04.934,1010123004140924,28.2,2023-01-04 15:10:09.453
68,2023-01-04 15:10:49.414,1010123004141009,28.5,2023-01-04 15:10:53.934
69,2023-01-04 15:11:03.073,1010123004141016,28.2,2023-01-04 15:11:07.622
70,2023-01-04 15:11:10.483,1010123004141023,28.0,2023-01-04 15:11:14.973
71,2023-01-04 15:11:25.463,1010123004141038,28.2,2023-01-04 15:11:29.931
72,2023-01-04 15:11:40.243,1010123004141102,28.0,2023-01-04 15:11:44.653
73,2023-01-04 15:11:47.663,1010123004141109,28.2,2023-01-04 15:11:52.183
74,2023-01-04 15:12:04.713,1010123004141116,28.0,2023-01-04 15:12:09.193
75,2023-01-04 15:12:19.621,1010123004141130,28.5,2023-01-04 15:12:24.101
76,2023-01-04 15:12:27.022,1010123004141138,28.2,2023-01-04 15:12:31.530
77,2023-01-04 15:12:34.552,1010123004141145,28.5,2023-01-04 15:12:38.940
78,2023-01-04 15:12:41.842,1010123004141202,28.2,2023-01-04 15:12:46.312
79,2023-01-04 15:12:49.270,1010123004141209,28.0,2023-01-04 15:12:53.801
80,2023-01-04 15:12:56.661,1010123004141217,28.5,2023-01-04 15:13:01.121
81,2023-01-04 15:13:04.131,1010123004141224,28.2,2023-01-04 15:13:08.561
82,2023-01-04 15:13:11.500,1010123004141232,28.5,2023-01-04 15:13:15.911
83,2023-01-04 15:13:18.930,1010123004141239,28.0,2023-01-04 15:13:23.341
84,2023-01-04 15:13:33.690,1010123004141254,28.5,2023-01-04 15:13:38.171
85,2023-01-04 15:13:48.440,1010123004141309,28.0,2023-01-04 15:13:52.890
86,2023-01-04 15:13:55.819,1010123004141316,28.5,2023-01-04 15:14:00.319
87,2023-01-04 15:14:03.190,1010123004141323,28.2,2023-01-04 15:14:07.578
88,2023-01-04 15:14:10.509,1010123004141331,28.0,2023-01-04 15:14:14.970
89,2023-01-04 15:14:18.069,1010123004141338,28.2,2023-01-04 15:14:22.489
90,2023-01-04 15:14:25.359,1010123004141346,28.5,2023-01-04 15:14:29.868
91,2023-01-04 15:14:32.690,1010123004141353,28.0,2023-01-04 15:14:37.138
92,2023-01-04 15:14:40.190,1010123004141401,28.5,2023-01-04 15:14:44.739
93,2023-01-04 15:14:54.908,1010123004141415,28.2,2023-01-04 15:14:59.417
94,2023-01-04 15:15:09.638,1010123004141430,28.5,2023-01-04 15:15:14.098
95,2023-01-04 15:15:24.428,1010123004141445,28.2,2023-01-04 15:15:28.898
96,2023-01-04 15:15:39.198,1010123004141500,28.8,2023-01-04 15:15:43.697
97,2023-01-04 15:15:46.608,1010123004141507,28.2,2023-01-04 15:15:51.028
