,time,TraceabilityCode,PressForceValueFR,time.value
64,2023-01-04 15:11:25.463,1010123004141038,28.2,2023-01-04 15:11:29.931
65,2023-01-04 15:11:32.812,1010123004141055,27.7,2023-01-04 15:11:37.292
66,2023-01-04 15:12:04.713,1010123004141116,28.2,2023-01-04 15:12:09.193
67,2023-01-04 15:12:12.253,1010123004141123,28.5,2023-01-04 15:12:16.822
68,2023-01-04 15:12:19.621,1010123004141130,27.7,2023-01-04 15:12:24.101
69,2023-01-04 15:12:27.022,1010123004141138,28.0,2023-01-04 15:12:31.530
70,2023-01-04 15:12:41.842,1010123004141202,28.2,2023-01-04 15:12:46.312
71,2023-01-04 15:12:49.270,1010123004141209,28.0,2023-01-04 15:12:53.801
72,2023-01-04 15:12:56.661,1010123004141217,28.2,2023-01-04 15:13:01.121
73,2023-01-04 15:13:04.131,1010123004141224,28.0,2023-01-04 15:13:08.561
74,2023-01-04 15:13:18.930,1010123004141239,28.2,2023-01-04 15:13:23.341
75,2023-01-04 15:13:26.290,1010123004141247,28.0,2023-01-04 15:13:30.740
76,2023-01-04 15:13:33.690,1010123004141254,28.5,2023-01-04 15:13:38.171
77,2023-01-04 15:13:41.111,1010123004141301,28.2,2023-01-04 15:13:45.621
78,2023-01-04 15:13:48.440,1010123004141309,28.0,2023-01-04 15:13:52.890
79,2023-01-04 15:14:03.190,1010123004141323,28.2,2023-01-04 15:14:07.578
80,2023-01-04 15:14:10.509,1010123004141331,28.0,2023-01-04 15:14:14.970
81,2023-01-04 15:14:18.069,1010123004141338,27.7,2023-01-04 15:14:22.489
82,2023-01-04 15:14:25.359,1010123004141346,28.5,2023-01-04 15:14:29.868
83,2023-01-04 15:14:32.690,1010123004141353,28.2,2023-01-04 15:14:37.138
84,2023-01-04 15:14:40.190,1010123004141401,28.0,2023-01-04 15:14:44.739
85,2023-01-04 15:14:54.908,1010123004141415,28.2,2023-01-04 15:14:59.417
86,2023-01-04 15:15:17.049,1010123004141437,28.5,2023-01-04 15:15:21.618
87,2023-01-04 15:15:24.428,1010123004141445,28.0,2023-01-04 15:15:28.898
88,2023-01-04 15:15:31.888,1010123004141452,28.2,2023-01-04 15:15:36.417
89,2023-01-04 15:15:39.198,1010123004141500,28.0,2023-01-04 15:15:43.697
90,2023-01-04 15:15:46.608,1010123004141507,28.2,2023-01-04 15:15:51.028
91,2023-01-04 15:16:16.227,1010123004141536,28.0,2023-01-04 15:16:20.667
92,2023-01-04 15:16:23.607,1010123004141544,28.8,2023-01-04 15:16:28.096
93,2023-01-04 15:16:30.957,1010123004141551,28.0,2023-01-04 15:16:35.437
94,2023-01-04 15:16:53.127,1010123004141614,28.5,2023-01-04 15:16:57.707
95,2023-01-04 15:18:50.974,1010123004141628,28.8,2023-01-04 15:18:55.463
96,2023-01-04 15:18:58.904,1010123004141636,28.2,2023-01-04 15:19:03.375
97,2023-01-04 15:19:06.785,1010123004141643,28.0,2023-01-04 15:19:11.293
98,2023-01-04 15:19:14.164,1010123004141650,28.2,2023-01-04 15:19:18.573
99,2023-01-04 15:19:43.914,1010123004141720,28.0,2023-01-04 15:19:48.403
100,2023-01-04 15:20:05.832,1010123004141925,28.2,2023-01-04 15:20:10.332
101,2023-01-04 15:20:21.013,1010123004141947,28.0,2023-01-04 15:20:25.453
102,2023-01-04 15:20:28.312,1010123004141954,28.5,2023-01-04 15:20:32.792
103,2023-01-04 15:20:40.132,1010123004142008,28.0,2023-01-04 15:20:44.572
104,2023-01-04 15:20:47.503,1010123004142015,28.2,2023-01-04 15:20:52.000
105,2023-01-04 15:21:01.391,1010123004142029,27.7,2023-01-04 15:21:05.861
106,2023-01-04 15:21:08.732,1010123004142036,28.2,2023-01-04 15:21:13.312
107,2023-01-04 15:21:22.451,1010123004142050,28.5,2023-01-04 15:21:26.971
