players_id_in,players_id_out,manager_id,gameweek,type,result,transfer_id,player_name_in,photo_in,team_in,player_name_out,photo_out,team_out
588,199,Ali,10,w,a,16072644,Kehrer,201057,WHU,Tarkowski,17761,EVE
66,319,Youssef,11,w,a,16674995,Solanke,154566,BOU,Álvarez,461358,MCI
271,345,Ali,11,w,a,17142831,Daka,245419,LEI,Martial,148225,MUN
235,215,Ali,11,w,a,17142832,Struijk,222694,LEE,Tete,167074,FUL
199,588,Ali,11,w,a,17142833,Tarkowski,17761,EVE,Kehrer,201057,WHU
70,519,Ali,11,w,a,17142834,Billing,168991,BOU,Eriksen,80607,MUN
186,259,Ali,11,w,a,17142835,Iwobi,153133,EVE,Tielemans,166989,LEI
538,484,Ruslan,11,w,di,17544417,Young,18892,AVL,Kilman,214048,WOL
538,516,Santi,11,w,a,17606712,Young,18892,AVL,Collins,432830,WOL
258,106,Santi,11,f,a,17731049,Castagne,166477,LEI,Dunk,83299,BHA
345,625,Sami,12,w,a,18271138,Martial,148225,MUN,Diego Costa,18507,WOL
107,305,Sami,12,w,a,18271139,March,109345,BHA,Grealish,114283,MCI
133,182,Santi,12,w,a,18369240,Arrizabalaga,109745,CHE,Pickford,111234,EVE
141,127,Santi,12,w,a,18369241,Chalobah,180736,CHE,Azpilicueta,41328,CHE
133,398,Ali,12,w,di,18605156,Arrizabalaga,109745,CHE,Henderson,172649,NFO
139,235,Ali,12,w,a,18605157,Chilwell,172850,CHE,Struijk,222694,LEE
286,39,Ali,12,w,a,18605158,Gomez,171287,LIV,Mings,149484,AVL
141,608,Ali,12,w,di,18605159,Chalobah,180736,CHE,Akanji,211975,MCI
166,594,Ali,12,w,a,18605160,Edouard,199670,CRY,Isak,219168,NEW
167,199,Ali,12,w,a,18605161,Guéhi,209036,CRY,Tarkowski,17761,EVE
374,368,Ali,12,w,a,18605162,Bruno Guimarães,208706,NEW,Saint-Maximin,170137,NEW
106,608,Ali,12,f,a,18631038,Dunk,83299,BHA,Akanji,211975,MCI
574,398,Ali,12,f,a,18632806,Neto,69752,BOU,Henderson,172649,NFO
443,146,Ruslan,12,f,a,18678797,Romero,221632,TOT,James,225796,CHE
169,300,Youssef,13,w,di,18989793,Eze,232413,CRY,Gündogan,59859,MCI
85,299,Youssef,13,w,a,18989794,Henry,194010,BRE,Walker,58621,MCI
292,299,Youssef,13,w,do,18989795,Tsimikas,214285,LIV,Walker,58621,MCI
398,147,Youssef,13,w,a,18989796,Henderson,172649,NFO,Mendy,228286,CHE
480,300,Youssef,13,w,a,18989797,Neves,171317,WOL,Gündogan,59859,MCI
169,603,Sami,13,w,di,19162011,Eze,232413,CRY,Paquetá,224024,WHU
440,603,Sami,13,w,a,19162012,Bentancur,202993,TOT,Paquetá,224024,WHU
440,107,Sami,13,w,di,19162013,Bentancur,202993,TOT,March,109345,BHA
356,40,Sami,13,w,a,19162014,Wilson,75115,NEW,Watkins,178301,AVL
467,107,Sami,13,w,a,19162015,Rice,204480,WHU,March,109345,BHA
169,225,Ruslan,13,w,di,19172309,Eze,232413,CRY,Rodrigo,80954,LEE
169,277,Santi,13,w,a,19232265,Eze,232413,CRY,Thiago,61558,LIV
608,167,Ali,13,w,a,19373054,Akanji,211975,MCI,Guéhi,209036,CRY
127,139,Ali,13,w,a,19373055,Azpilicueta,41328,CHE,Chilwell,172850,CHE
332,106,Ali,13,w,a,19373056,Shaw,106760,MUN,Dunk,83299,BHA
254,574,Ali,13,f,a,19644429,Ward,95463,LEI,Neto,69752,BOU
417,73,Shrey,13,f,a,19661163,Perraud,244560,SOU,Kelly,235530,BOU
