player_id,player_name,position,team,gameweek,manager_id,squad_position,bench,points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,total_points,in_dreamteam
143.0,Sarr,DEF,CHE,29.0,transfer market,,n/a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
144.0,Hudson-Odoi,MID,CHE,29.0,transfer market,,n/a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
145.0,Havertz,FWD,CHE,29.0,Sami,10,fielded,4.0,180.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,24.2,62.7,128.0,21.5,4.0,False
146.0,James,DEF,CHE,29.0,Sami,4,fielded,7.0,180.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,37.6,45.0,7.0,8.9,7.0,False
147.0,Mendy,GK,CHE,29.0,transfer market,,n/a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
148.0,Gallagher,MID,CHE,29.0,transfer market,,n/a,2.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.8,1.5,2.0,0.5,2.0,False
150.0,Broja,FWD,CHE,29.0,transfer market,,n/a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
151.0,Ampadu,DEF,CHE,29.0,transfer market,,n/a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
272.0,W.Fofana,DEF,CHE,29.0,Santi,14,bench,7.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,36.6,1.0,2.0,4.0,7.0,False
304.0,Sterling,MID,CHE,29.0,Sami,14,bench,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3,0.0,0.1,1.0,False
