,,POS,MP,GS,A,CS,GC,OG,PS,PM,YC,RC,S,B,BPS,I,C,T,II,
Starters,"Welbeck
BHAFWD",FWD,27,0,0,0,0,0,0,0,0,0,0,0,3,1,10.8,36,4.8,Santiago
Starters,"Firmino
LIVFWD",FWD,90,1,0,0,1,0,0,0,0,0,0,3,39,41.4,26.1,83,15.1,Santiago
Substitutes,"Pickford
EVEGKP",GKP,90,0,0,0,1,0,0,0,0,0,4,0,17,34,0,0,3.4,Santiago
Substitutes,"Ronaldo
MUNFWD",FWD,22,0,0,0,0,0,0,0,0,0,0,0,0,0,10.6,12,2,Santiago
Substitutes,"Thiago
LIVMID",MID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Santiago
Substitutes,"Webster
BHADEF",DEF,90,0,0,0,2,0,0,0,0,0,0,0,12,9.8,2.7,4,1.7,Santiago
,,,,,,,,,,,,,,,,,,,,
Starters,"Alisson
LIVGKP",GKP,90,0,0,0,1,0,0,0,0,0,1,0,13,8.8,0,0,0.9,Shrey
Starters,"Cresswell
WHUDEF",DEF,71,0,0,0,1,0,0,0,0,0,0,0,16,27,1.5,0,2.9,Shrey
Starters,"Targett
NEWDEF",DEF,90,0,0,0,2,0,0,0,0,0,0,0,18,31.2,24.8,0,5.6,Shrey
Starters,"Stones
MCIDEF",DEF,74,0,1,1,0,0,0,0,0,0,0,1,40,32.2,12.2,2,4.6,Shrey
Starters,"Son
TOTMID",MID,90,0,0,0,1,0,0,0,0,0,0,0,2,0.6,1.8,38,4,Shrey
Starters,"Fernandes
MUNMID",MID,90,0,0,1,0,0,0,0,0,0,0,0,12,21.4,38.4,4,6.4,Shrey
Starters,"Maddison
LEIMID",MID,90,0,0,0,1,0,0,0,1,0,0,0,3,10.6,23.9,24,5.9,Shrey
Starters,"Foden
MCIMID",MID,54,0,1,0,0,0,0,0,0,0,0,0,15,1.8,14.5,6,2.2,Shrey
Starters,"Mahrez
MCIMID",MID,35,0,1,0,0,0,0,0,0,0,0,0,10,2.2,13.4,28,4.4,Shrey
Starters,"Vardy
LEIFWD",FWD,86,0,0,0,1,0,0,0,0,0,0,0,5,0,0.6,2,0,Shrey
Starters,"Richarlison
TOTFWD",FWD,14,0,0,0,0,0,0,0,1,0,0,0,0,1.2,14.8,0,1.6,Shrey
Substitutes,"Lloris
TOTGKP",GKP,90,0,0,0,1,0,0,0,0,0,3,2,18,17.2,0,0,1.7,Shrey
Substitutes,"Wilson
NEWFWD",FWD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Shrey
Substitutes,"Matip
LIVDEF",DEF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Shrey
Substitutes,"Alonso
CHEDEF",DEF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Shrey
,,,,,,,,,,,,,,,,,,,,
Starters,"Sánchez
BHAGKP",GKP,90,0,0,0,2,0,0,0,0,0,2,0,15,14.6,0,0,1.5,Dani
Starters,"Perišić
TOTDEF",DEF,90,0,0,0,1,0,0,0,1,0,0,0,11,13.6,48.8,8,7,Dani
Starters,"White
ARSDEF",DEF,64,0,0,1,0,0,0,0,0,0,0,2,29,5.4,13.5,2,2.1,Dani
Starters,"Gabriel
ARSDEF",DEF,90,0,0,0,1,0,0,0,0,0,0,0,16,17.4,1.3,69,8.8,Dani
Starters,"Rodrigo
LEEMID",MID,31,0,0,0,1,0,0,0,0,0,0,0,0,0,0.8,4,0.1,Dani
Starters,"Zaha
CRYMID",MID,90,1,0,0,1,0,0,0,0,0,0,0,18,33.8,2.2,61,9.7,Dani
Starters,"Dasilva
BREMID",MID,22,0,0,0,0,0,0,0,0,0,0,0,3,5.4,3,17,2.5,Dani
Starters,"Mac Allister
BHAMID",MID,90,1,0,0,2,0,0,0,0,0,0,3,30,48.2,2.3,17,6.8,Dani
Starters,"Jensen
BREMID",MID,78,0,0,0,1,0,0,0,0,0,0,0,13,10,30.5,0,4.1,Dani
Starters,"Mitrović
FULFWD",FWD,90,1,0,0,1,0,0,0,0,0,0,3,30,48.2,20.8,32,10.1,Dani
Starters,"Adams
SOUFWD",FWD,90,0,0,0,1,0,0,0,0,0,0,0,6,12.8,39.2,12,6.4,Dani
Substitutes,"Raya
BREGKP",GKP,90,0,0,0,1,0,0,0,0,0,3,0,16,20,0,0,2,Dani
Substitutes,"Mbeumo
BREFWD",FWD,67,0,0,0,1,0,0,0,0,0,0,0,6,0,3.2,6,0.8,Dani
Substitutes,"Botman
NEWDEF",DEF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dani
Substitutes,"Aké
MCIDEF",DEF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dani
