index,accident_id,ST_CASE,VE_FORMS,Make,Model,BODY_TYP,MOD_YEAR,IMPACT1,DEFORMED,,M_HARM,L_STATUS,L_TYPE,CDL_STAT,L_ENDORS,L_COMPL,L_RESTRI,DR_HGT,DR_WGT,PREV_ACC,PREV_SUS,PREV_DWI,PREV_SPD,PREV_OTH,FIRST_MO,FIRST_YR,LAST_MO,LAST_YR,SPEEDREL,DR_SF1,DR_SF2,DR_SF3,DR_SF4,VTRAFWAY,VNUM_LAN,VSPD_LIM,VALIGN,VPROFILE,VPAVETYP,VSURCOND,VTRAFCON,VTCONT_F,P_CRASH1,P_CRASH2,P_CRASH3,PCRASH4,PCRASH5,DR_DRINK
728,2016040494,40494,1,2,404,14,1995,0,6,,1,6,1,0,0,3,0,63,105,0,0,0,0,0,0,0,0,0,4,87,0,0,0,2,2,75,1,1,2,2,0,0,1,6,99,9,4,0
729,2016040495,40495,1,12,401,14,2002,0,6,,1,6,1,0,0,3,0,66,186,0,0,0,0,0,0,0,0,0,0,80,0,0,0,2,2,75,1,1,2,1,0,0,1,1,99,9,4,0
730,2016040496,40496,2,54,35,4,2006,12,6,,12,6,1,0,0,3,0,64,150,1,2,0,1,0,9,2011,8,2015,0,39,91,0,0,2,4,45,1,1,8,1,3,3,1,17,99,1,1,0
731,2016040496,40496,2,49,40,4,2016,62,6,,12,6,1,0,0,3,0,61,84,0,0,0,1,0,2,2016,2,2016,0,0,0,0,0,1,3,25,1,1,8,1,3,3,1,66,99,1,1,0
732,2016040497,40497,1,49,482,31,2002,0,6,,1,1,1,0,0,2,0,75,150,0,1,1,0,1,2,2015,6,2016,4,0,0,0,0,1,4,55,1,1,2,1,0,0,1,6,6,4,6,1
733,2016040498,40498,1,20,22,4,2008,14,6,,8,6,1,0,0,3,3,64,140,0,1,0,0,1,5,2014,5,2014,0,0,0,0,0,1,2,55,1,1,2,1,0,0,1,80,1,1,1,0
734,2016040499,40499,2,59,403,14,2014,82,6,,1,6,1,0,0,3,0,64,167,0,0,0,0,0,0,0,0,0,3,89,0,0,0,1,3,30,1,1,8,1,3,3,1,13,99,9,4,0
735,2016040499,40499,2,55,401,14,2013,6,2,,12,6,1,0,0,3,0,70,170,0,0,0,0,0,0,0,0,0,0,89,0,0,0,1,3,30,1,1,8,1,3,3,2,61,6,9,3,0
736,2016040500,40500,3,18,7,4,2002,98,6,,12,6,1,0,0,3,1,69,140,0,0,0,0,0,0,0,0,0,5,91,0,0,0,2,2,45,1,1,2,1,0,0,1,6,99,9,4,0
737,2016040500,40500,3,49,40,4,2009,13,6,,12,6,1,0,0,3,0,74,235,0,0,0,1,0,12,2013,12,2013,0,0,0,0,0,2,1,45,1,1,2,1,0,0,1,62,99,9,3,0
738,2016040500,40500,3,35,50,4,2007,12,0,,54,6,1,0,0,3,0,63,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,45,1,1,2,1,0,0,1,50,98,9,9,0
739,2016040501,40501,1,7,26,4,2013,12,2,,9,6,1,0,0,3,0,67,160,0,2,1,0,0,12,2011,8,2012,0,39,91,0,0,1,4,45,1,1,2,1,3,3,1,83,99,9,3,1
740,2016040502,40502,1,72,706,82,2008,81,6,,1,6,1,0,0,3,3,70,190,0,0,0,1,0,7,2013,7,2013,0,89,0,0,0,2,2,55,1,1,2,1,0,0,1,13,1,1,4,0
741,2016040503,40503,1,72,709,80,2001,0,6,,1,6,1,0,0,3,0,69,210,0,0,0,0,1,9,2015,9,2015,3,0,0,0,0,1,2,55,2,6,2,1,0,0,14,12,99,1,4,0
742,2016040504,40504,1,37,705,80,1981,0,6,,1,6,1,0,0,3,0,71,170,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,2,55,2,1,2,1,0,0,14,12,99,9,4,0
743,2016040505,40505,1,23,481,31,1999,0,6,,1,6,1,0,0,3,0,72,200,0,0,0,0,1,2,2016,2,2016,0,80,0,0,0,3,4,65,1,1,2,1,0,0,1,1,99,9,2,0
744,2016040506,40506,3,82,881,66,2013,12,6,,12,6,1,6,0,3,0,999,999,0,0,0,0,1,7,2012,7,2012,4,0,0,0,0,2,2,75,1,1,2,1,0,0,1,50,16,2,1,0
745,2016040506,40506,3,48,45,6,2014,12,6,,12,6,1,0,0,3,0,70,198,0,0,0,0,0,0,0,0,0,4,89,0,0,0,2,2,75,1,1,2,1,0,0,1,50,99,9,1,0
746,2016040506,40506,3,82,881,66,2010,6,2,,12,6,1,6,1,3,0,72,300,0,1,0,1,0,12,2012,4,2013,0,0,0,0,0,2,2,75,1,1,2,1,0,0,5,53,1,1,1,0
747,2016040507,40507,1,12,401,14,1994,0,6,,1,6,1,0,0,3,0,63,180,0,0,0,0,0,0,0,0,0,4,89,0,0,0,1,2,65,1,5,2,1,0,0,1,13,6,9,6,0
