,time,TraceabilityCode,Defect
119,2023-03-15 20:56:15,1010223074195010,marks
120,2023-03-15 20:47:42,1010223074194604,marks
121,2023-03-15 20:47:34,1010223074194528,marks
122,2023-03-15 20:47:25,1010223074194502,marks
123,2023-03-15 12:45:02,1010123074113424,deformation
124,2023-03-15 12:44:51,1010123074113413,deformation
125,2023-03-15 12:16:27,1010123074111305,deformation
126,2023-03-15 12:00:37,1010123074105426,deformation
127,2023-03-15 01:10:32,1010123074000753,marks
128,2023-03-14 21:02:50,1010123073175351,marks/contamination
129,2023-03-14 21:02:41,1010123073175359,marks/contamination
130,2023-03-13 08:59:31,1010123072075657,meterial failure
131,2023-03-09 11:26:22,1010123068102249,deformation
132,2023-03-09 11:20:40,1010123068101805,deformation
133,2023-03-09 10:56:47,1010123068095406,marks/contamination
134,2023-03-09 09:00:24,1010123068075457,marks
135,2023-03-09 08:57:26,1010123068075248,marks/contamination
136,2023-03-09 08:57:16,1010123068075308,meterial failure
137,2023-03-09 08:55:03,1010123068075200,marks/contamination
138,2023-03-09 08:51:36,1010223068074852,marks/contamination
139,2023-03-09 08:36:59,1012823068073134,deformation
140,2023-03-09 08:30:41,1012823068072827,deformation
141,2023-03-09 06:22:32,1010123068052012,waves
142,2023-03-09 06:17:52,1010123068051622,waves
143,2023-03-09 06:16:38,1010123068051428,waves
144,2023-03-09 06:16:26,1010123068050948,waves
145,2023-03-09 06:15:54,1010123068050923,waves
146,2023-03-09 06:15:42,1010123068050906,waves
147,2023-03-09 06:14:27,1010123068050622,waves
148,2023-03-09 06:14:02,1010123068050622,waves
149,2023-03-09 06:12:41,1010123068050556,waves
150,2023-03-09 06:11:00,1010123068050604,waves
151,2023-03-09 06:10:51,1010123068050547,waves
152,2023-03-08 18:58:28,1010223067175234,deformation
153,2023-03-08 00:05:42,1010223066225931,thinning
154,2023-03-08 00:05:33,1010223066225924,thinning
155,2023-03-08 00:05:25,1010223066225917,cracks
156,2023-03-08 00:05:17,1010223066225909,cracks
157,2023-03-08 00:05:09,1010223066225902,thinning
158,2023-03-08 00:05:00,1010223066225855,thinning
159,2023-03-08 00:04:48,1010223066225848,cracks
160,2023-03-08 00:04:42,1010223066225841,cracks
161,2023-03-08 00:04:34,1010223066225834,cracks
162,2023-03-08 00:04:25,1010223066225827,cracks
163,2023-03-06 19:42:38,1010123065183944,meterial failure
164,2023-03-04 00:49:56,1010223062234525,thinning
165,2023-03-04 00:48:15,1010223062233507,thinning
166,2023-03-04 00:48:07,1010223062233354,thinning
167,2023-03-04 00:36:42,1010223062232733,thinning
168,2023-03-04 00:36:35,1010223062232714,thinning
169,2023-03-04 00:36:29,1010223062232706,thinning
170,2023-03-04 00:35:43,1010223062232501,dent
171,2023-03-04 00:35:37,1010223062232453,dent
172,2023-03-04 00:35:29,1010223062232445,marks
173,2023-03-04 00:35:16,1010223062230107,marks
174,2023-03-04 00:35:09,1010223062225408,marks
175,2023-03-03 13:00:09,1010123062115755,deformation
176,2023-03-03 13:00:00,1010123062115746,deformation
177,2023-03-03 12:59:52,1010123062115737,deformation
178,2023-03-03 12:59:47,1010123062115728,deformation
179,2023-03-03 12:59:29,1010123062115719,deformation
180,2023-03-03 12:57:57,1010123062115533,meterial failure
181,2023-03-03 12:57:50,1010123062115524,meterial failure
182,2023-02-28 01:49:47,1010123059004600,thinning
183,2023-02-28 01:49:40,1010123059004552,thinning
184,2023-02-28 01:49:34,1010123059004543,thinning
185,2023-02-28 01:49:27,1010123059004535,thinning
186,2023-02-28 01:49:21,1010123059004527,thinning
187,2023-02-28 01:49:12,1010123059004519,thinning
188,2023-02-27 23:14:52,1010123058221220,marks
189,2023-02-17 12:52:55,1010223048113401,marks
190,2023-02-17 11:01:29,1010123048095932,marks/contamination
191,2023-02-17 11:01:21,1010123048095922,marks/contamination
192,2023-02-17 11:01:14,1010123048095913,marks/contamination
193,2023-02-17 11:01:09,1010123048095458,marks/contamination
194,2023-02-17 11:00:08,1010123048095041,marks/contamination
195,2023-02-17 10:59:51,1010123048095008,marks/contamination
196,2023-02-17 07:19:43,1010123048061215,deformation
197,2023-02-17 07:19:29,1010123048061330,deformation
198,2023-02-17 00:08:31,1010223047230652,meterial failure
199,2023-02-16 22:29:32,1010123047212806,meterial failure
200,2023-02-16 14:29:40,1010123047132801,marks
201,2023-02-16 13:00:27,1010223047114448,marks/contamination
202,2023-02-16 10:41:34,1010123047093312,marks/contamination
203,2023-02-16 10:41:27,1010123047093302,marks/contamination
204,2023-02-16 10:29:16,1010123047091712,deformation
205,2023-02-16 10:20:44,1010123047091011,marks/contamination
206,2023-02-16 10:20:37,1010123047091001,marks/contamination
207,2023-02-16 10:20:11,1010123047090842,marks/contamination
208,2023-02-16 10:19:35,1010123047090856,marks/contamination
209,2023-02-16 10:19:18,1010123047090951,marks/contamination
210,2023-02-16 10:19:10,1010123047090940,marks/contamination
211,2023-02-16 10:19:02,1010123047090926,marks/contamination
212,2023-02-16 10:18:53,1010123047090917,marks/contamination
213,2023-02-16 10:18:44,1010123047090907,marks/contamination
214,2023-02-16 10:16:20,1010123047084415,marks/contamination
215,2023-02-16 10:16:14,1010123047084353,marks/contamination
216,2023-02-16 10:16:08,1010123047083729,marks/contamination
217,2023-02-16 10:15:59,1010123047083703,marks/contamination
218,2023-02-16 10:15:53,1010123047083653,marks/contamination
219,2023-02-16 10:13:41,1010123047083653,marks/contamination
220,2023-02-14 08:14:10,1010123045071156,deformation
221,2023-02-14 08:14:04,1010123045071147,deformation
222,2023-02-14 08:13:56,1010123045071139,deformation
223,2023-02-14 08:13:49,1010123045071122,deformation
224,2023-02-14 08:13:42,1010123045071105,deformation
225,2023-02-10 03:36:59,1010123041023452,cracks
226,2023-02-10 03:36:45,1010123040233503,cracks
227,2023-02-10 02:13:37,1010223041010947,waves
228,2023-02-10 02:03:40,1010123041005922,thinning
229,2023-02-10 02:01:43,1010123041005840,thinning
230,2023-02-10 02:01:20,1010123041005814,thinning
231,2023-02-10 02:01:13,1010123041005806,thinning
232,2023-02-10 00:37:45,1010123040232832,waves
233,2023-02-10 00:37:37,1010123040232825,waves
234,2023-02-10 00:37:31,1010123040232818,waves
235,2023-02-10 00:34:18,1010223040232710,waves
236,2023-02-10 00:31:34,1010223040232529,waves
237,2023-02-10 00:31:25,1010223040232520,waves
238,2023-02-09 23:18:11,1010223040221251,marks
239,2023-02-09 23:17:59,1010223040220722,marks
240,2023-02-09 23:17:47,1010223040220713,marks
241,2023-02-09 23:15:45,1010223040220705,marks
242,2023-02-09 23:15:36,1010223040220656,marks
243,2023-02-09 18:51:36,1010223040174912,marks/contamination
244,2023-02-09 18:51:28,1010223040174855,marks/contamination
245,2023-02-09 18:51:21,1010223040174846,marks/contamination
246,2023-02-09 18:51:14,1010223040174837,marks/contamination
247,2023-02-09 18:51:07,1010223040174828,marks/contamination
248,2023-02-09 18:50:59,1010223040174743,marks/contamination
249,2023-02-09 18:50:52,1010223040174752,marks/contamination
250,2023-02-09 18:50:43,1010223040174810,marks/contamination
251,2023-02-09 18:50:20,1010223040174828,marks/contamination
252,2023-02-09 18:50:07,1010223040174818,marks/contamination
253,2023-02-09 18:49:59,1010223040174752,marks/contamination
254,2023-02-09 18:49:12,1010223040174734,marks/contamination
255,2023-02-09 18:49:04,1010223040174725,marks/contamination
256,2023-02-09 18:48:57,1010223040174715,marks/contamination
257,2023-02-09 18:48:23,1010223040174648,marks/contamination
258,2023-02-09 18:48:15,1010223040174630,marks/contamination
259,2023-02-09 18:48:07,1010223040174612,marks/contamination
260,2023-02-09 18:47:59,1010223040174536,marks/contamination
261,2023-02-09 18:47:52,1010223040174509,marks/contamination
262,2023-02-09 12:02:12,1010223040105950,deformation
263,2023-02-09 11:36:40,1010223040103501,deformation
264,2023-02-09 10:35:40,1010123040090250,deformation
265,2023-02-09 10:35:40,1010123040090250,deformation
266,2023-02-09 03:33:49,1010123040021719,marks
267,2023-02-08 20:44:02,1010223039193213,waves
268,2023-02-08 20:43:54,1010223039193206,waves
269,2023-02-08 20:43:47,1010223039193147,waves
270,2023-02-08 20:12:39,1010223039190627,deformation
271,2023-02-08 20:09:21,1010223039190618,marks/contamination
272,2023-02-08 20:09:14,1010223039190609,marks/contamination
273,2023-02-02 13:56:56,1010123033125522,meterial failure
274,2023-02-02 13:23:27,1010223033121614,waves
275,2023-02-02 13:20:44,1010223033121541,waves
276,2023-02-02 13:20:31,1010223033121534,waves
277,2023-02-02 13:20:19,1010223033121429,waves
278,2023-02-02 13:03:38,1010223033115503,waves
279,2023-02-02 13:03:29,1010223033115456,waves
280,2023-02-02 13:03:22,1010223033115449,waves
281,2023-02-02 11:36:32,1010223033103412,marks
282,2023-02-02 10:16:04,1010123033091340,deformation
283,2023-02-02 10:08:58,1010123033090409,deformation
284,2023-02-02 10:08:46,1010123033090402,waves
285,2023-02-02 10:08:39,1010123033090307,waves
286,2023-02-02 10:08:31,1010123033090252,waves
287,2023-02-02 07:57:50,1010223033065615,marks
288,2023-02-02 06:14:11,1010123033051233,marks
289,2023-02-02 06:13:17,1010123033051130,marks
290,2023-02-01 13:20:59,1010123032121703,thinning
291,2023-02-01 12:35:04,1010123032113305,thinning
292,2023-02-01 02:40:02,1010123032013823,marks/contamination
293,2023-02-01 02:39:50,1010123032013814,marks/contamination
294,2023-02-01 02:39:27,1010123032013729,marks/contamination
295,2023-02-01 02:39:18,1010123032013720,marks/contamination
296,2023-02-01 02:39:09,1010123032013720,marks/contamination
297,2023-02-01 02:38:57,1010123032013711,marks/contamination
298,2023-02-01 02:38:48,1010123032013702,marks/contamination
299,2023-02-01 02:38:36,1010123032013652,marks/contamination
300,2023-01-31 19:21:09,1010123031181730,dent
301,2023-01-30 19:26:55,1010123030182428,marks
302,2023-01-30 17:05:41,1010123030155925,marks/contamination
303,2023-01-30 17:05:33,1010123030155915,marks/contamination
304,2023-01-30 17:05:25,1010123030155915,marks/contamination
305,2023-01-30 17:05:19,1010123030155904,marks/contamination
306,2023-01-30 17:05:12,1010123030155853,marks/contamination
307,2023-01-30 17:05:04,1010123030155853,marks/contamination
308,2023-01-30 17:04:55,1010123030155853,marks/contamination
