,time,TraceabilityCode,Cylinder6MaxParalelismErrorInBDC,time.value
0,2023-01-04 12:27:51.529,1010123004112728,0.0,2023-01-04 12:27:58.157
1,2023-01-04 12:35:41.713,1010223004113519,0.1,2023-01-04 12:35:48.411
2,2023-01-04 14:42:53.408,1010223004134159,0.1,2023-01-04 14:43:24.108
3,2023-01-04 14:43:37.658,1010123004134206,0.2,2023-01-04 14:43:45.298
4,2023-01-04 15:12:24.552,1010123004141202,0.3,2023-01-04 15:12:24.841
5,2023-01-04 15:12:32.032,1010123004141209,0.2,2023-01-04 15:12:32.200
6,2023-01-04 15:16:28.596,1010123004141606,0.3,2023-01-04 15:16:28.846
7,2023-01-04 15:16:43.346,1010123004141621,0.2,2023-01-04 15:16:43.496
8,2023-01-04 15:23:20.279,1010123004142215,0.3,2023-01-04 15:23:20.598
9,2023-01-04 15:27:45.796,1010123004142723,0.3,2023-01-04 15:27:46.055
10,2023-01-04 15:28:00.565,1010123004142738,0.2,2023-01-04 15:28:00.785
11,2023-01-04 15:28:15.365,1010123004142753,0.3,2023-01-04 15:28:15.494
12,2023-01-04 15:28:22.655,1010123004142800,0.2,2023-01-04 15:28:22.855
13,2023-01-04 15:28:59.684,1010123004142837,0.3,2023-01-04 15:28:59.815
14,2023-01-04 15:29:07.075,1010123004142845,0.2,2023-01-04 15:29:07.253
15,2023-01-04 15:30:06.063,1010123004142944,0.3,2023-01-04 15:30:06.223
16,2023-01-04 15:30:20.903,1010123004142959,0.2,2023-01-04 15:30:21.101
17,2023-01-04 15:31:27.532,1010123004143105,0.3,2023-01-04 15:31:27.572
18,2023-01-04 15:31:57.191,1010123004143135,0.2,2023-01-04 15:31:57.332
19,2023-01-04 15:32:41.540,1010123004143219,0.3,2023-01-04 15:32:41.730
20,2023-01-04 15:47:21.095,1010123004143241,0.3,2023-01-04 15:47:21.345
21,2023-01-04 15:47:21.095,1010123004143241,0.2,2023-01-04 15:47:28.694
22,2023-01-04 15:51:23.970,1010123004145101,0.3,2023-01-04 15:51:24.141
23,2023-01-04 15:51:46.141,1010123004145124,0.2,2023-01-04 15:51:46.230
24,2023-01-04 15:52:00.790,1010123004145139,0.3,2023-01-04 15:52:01.029
25,2023-01-04 15:52:08.270,1010123004145146,0.2,2023-01-04 15:52:08.390
26,2023-01-04 15:55:35.756,1010123004145513,0.3,2023-01-04 15:55:35.996
27,2023-01-04 15:55:43.336,1010123004145521,0.2,2023-01-04 15:55:43.355
28,2023-01-04 15:55:50.726,1010123004145528,0.3,2023-01-04 15:55:50.865
29,2023-01-04 15:55:58.035,1010123004145536,0.2,2023-01-04 15:55:58.244
30,2023-01-04 15:56:57.224,1010123004145635,0.3,2023-01-04 15:56:57.424
31,2023-01-04 15:57:04.595,1010123004145642,0.2,2023-01-04 15:57:04.714
32,2023-01-04 15:58:48.492,1010123004145826,0.3,2023-01-04 15:58:48.632
33,2023-01-04 15:58:55.903,1010123004145833,0.2,2023-01-04 15:58:56.072
34,2023-01-04 15:59:40.371,1010123004145918,0.3,2023-01-04 15:59:40.572
35,2023-01-04 15:59:55.240,1010123004145933,0.2,2023-01-04 15:59:55.440
36,2023-01-04 16:00:47.540,1010123004150032,0.3,2023-01-04 16:00:47.760
37,2023-01-04 16:01:02.849,1010123004150046,0.3,2023-01-04 16:01:03.130
38,2023-01-04 16:01:10.359,1010123004150053,0.2,2023-01-04 16:01:10.479
39,2023-01-04 16:01:22.490,1010123004150108,0.4,2023-01-04 16:01:30.209
40,2023-01-04 16:06:13.986,1010123004150427,0.2,2023-01-04 16:06:14.315
