,time,TraceabilityCode,CushionPumpMaxPower1,time.value
0,2023-01-04 12:22:05.404,1010123004112142,53.1,2023-01-04 12:22:12.073
1,2023-01-04 12:22:34.703,1010123004112211,53.1,2023-01-04 12:22:41.354
2,2023-01-04 12:34:15.993,1010223004113357,52.5,2023-01-04 12:34:22.644
3,2023-01-04 12:48:47.168,1010223004114825,52.5,2023-01-04 12:48:53.779
4,2023-01-04 13:13:34.763,1010123004121313,52.8,2023-01-04 13:13:41.392
5,2023-01-04 13:20:10.025,1010123004121836,52.8,2023-01-04 13:20:16.684
6,2023-01-04 13:20:39.355,1010123004122015,52.8,2023-01-04 13:20:45.953
7,2023-01-04 13:20:53.595,1010123004122030,53.1,2023-01-04 13:20:53.654
8,2023-01-04 13:21:44.864,1010123004122121,52.8,2023-01-04 13:21:51.473
9,2023-01-04 13:22:35.394,1010123004122212,53.1,2023-01-04 13:22:42.042
10,2023-01-04 13:23:54.273,1010123004122331,52.8,2023-01-04 13:24:00.921
11,2023-01-04 13:27:56.598,1010123004122429,53.1,2023-01-04 13:27:56.618
12,2023-01-04 13:32:17.243,1010123004123154,53.1,2023-01-04 13:32:23.894
13,2023-01-04 13:44:19.111,1010223004124355,52.8,2023-01-04 13:44:25.720
14,2023-01-04 13:47:04.598,1010223004124641,53.1,2023-01-04 13:47:11.247
15,2023-01-04 13:51:38.473,1010223004125115,52.8,2023-01-04 13:51:45.181
16,2023-01-04 13:52:50.861,1010223004125228,53.1,2023-01-04 13:52:57.490
17,2023-01-04 13:53:05.232,1010223004125242,53.1,2023-01-04 13:53:11.891
18,2023-01-04 13:55:42.289,1010223004125318,53.1,2023-01-04 13:55:42.298
19,2023-01-04 13:55:55.868,1010223004125536,52.8,2023-01-04 13:55:55.898
20,2023-01-04 13:57:52.246,1010223004125734,53.1,2023-01-04 13:57:58.845
21,2023-01-04 13:58:21.605,1010223004125802,53.1,2023-01-04 13:58:28.224
22,2023-01-04 14:00:24.203,1010223004130001,52.8,2023-01-04 14:00:30.862
23,2023-01-04 14:01:21.612,1010223004130059,53.1,2023-01-04 14:01:28.211
24,2023-01-04 14:05:04.960,1010223004130442,53.1,2023-01-04 14:05:11.589
25,2023-01-04 14:42:53.408,1010223004134159,64.8,2023-01-04 14:43:24.108
26,2023-01-04 14:43:37.658,1010123004134206,52.8,2023-01-04 14:43:45.298
27,2023-01-04 14:45:16.017,1010123004134213,53.1,2023-01-04 14:45:23.697
28,2023-01-04 14:46:53.325,1010123004134352,51.9,2023-01-04 14:47:00.904
29,2023-01-04 14:51:05.460,1010123004134547,53.1,2023-01-04 14:51:05.549
30,2023-01-04 14:52:17.010,1010123004134626,51.9,2023-01-04 14:52:17.299
31,2023-01-04 14:52:24.341,1010123004134807,52.8,2023-01-04 14:52:24.591
32,2023-01-04 14:52:52.190,1010123004134815,52.5,2023-01-04 14:52:52.509
33,2023-01-04 14:52:52.190,1010123004134815,53.1,2023-01-04 14:52:59.849
34,2023-01-04 14:55:38.029,1010123004135232,52.2,2023-01-04 14:55:38.198
35,2023-01-04 14:55:45.448,1010123004135239,53.1,2023-01-04 14:55:45.638
36,2023-01-04 14:55:52.918,1010123004135307,52.5,2023-01-04 14:55:53.069
37,2023-01-04 14:56:44.398,1010123004135622,52.2,2023-01-04 14:56:44.507
38,2023-01-04 14:56:59.167,1010123004135637,52.5,2023-01-04 14:56:59.398
39,2023-01-04 14:57:13.977,1010123004135651,52.2,2023-01-04 14:57:14.117
40,2023-01-04 14:57:50.627,1010123004135729,52.5,2023-01-04 14:57:50.917
41,2023-01-04 14:58:05.437,1010123004135743,52.2,2023-01-04 14:58:05.637
42,2023-01-04 14:58:13.016,1010123004135750,52.5,2023-01-04 14:58:13.076
43,2023-01-04 14:58:35.135,1010123004135813,52.2,2023-01-04 14:58:35.315
44,2023-01-04 14:58:49.825,1010123004135828,52.5,2023-01-04 14:58:50.105
45,2023-01-04 14:58:57.206,1010123004135835,52.2,2023-01-04 14:58:57.474
46,2023-01-04 14:59:41.285,1010123004135919,52.5,2023-01-04 14:59:41.483
47,2023-01-04 14:59:48.783,1010123004135926,52.2,2023-01-04 14:59:48.903
48,2023-01-04 15:00:10.723,1010123004135948,52.5,2023-01-04 15:00:10.983
49,2023-01-04 15:00:18.184,1010123004135956,52.2,2023-01-04 15:00:18.342
50,2023-01-04 15:02:24.062,1010123004140207,52.5,2023-01-04 15:02:24.282
51,2023-01-04 15:02:56.030,1010123004140214,52.2,2023-01-04 15:02:56.361
52,2023-01-04 15:03:03.460,1010123004140221,53.1,2023-01-04 15:03:03.641
53,2023-01-04 15:03:10.841,1010123004140228,52.2,2023-01-04 15:03:10.930
54,2023-01-04 15:03:18.270,1010123004140235,52.5,2023-01-04 15:03:18.440
