,time,TraceabilityCode,CushionWaterTemperature,time.value
64,2023-01-04 14:57:13.977,1010123004135651,30.7,2023-01-04 14:57:14.117
65,2023-01-04 14:57:21.276,1010123004135659,30.8,2023-01-04 14:57:21.476
66,2023-01-04 14:57:28.607,1010123004135706,30.9,2023-01-04 14:57:28.825
67,2023-01-04 14:57:36.026,1010123004135714,31.0,2023-01-04 14:57:36.187
68,2023-01-04 14:57:43.357,1010123004135721,31.1,2023-01-04 14:57:43.566
69,2023-01-04 14:57:50.627,1010123004135729,31.2,2023-01-04 14:57:50.917
70,2023-01-04 14:57:58.127,1010123004135736,31.3,2023-01-04 14:57:58.276
71,2023-01-04 14:58:05.437,1010123004135743,31.4,2023-01-04 14:58:05.637
72,2023-01-04 14:58:13.016,1010123004135750,31.5,2023-01-04 14:58:13.076
73,2023-01-04 14:58:20.516,1010123004135758,31.6,2023-01-04 14:58:20.665
74,2023-01-04 14:58:27.726,1010123004135805,31.8,2023-01-04 14:58:28.026
75,2023-01-04 14:58:42.595,1010123004135820,31.9,2023-01-04 14:58:42.746
76,2023-01-04 14:58:49.825,1010123004135828,32.0,2023-01-04 14:58:50.105
77,2023-01-04 14:58:57.206,1010123004135835,32.1,2023-01-04 14:58:57.474
78,2023-01-04 14:59:11.865,1010123004135850,32.2,2023-01-04 14:59:12.115
79,2023-01-04 14:59:19.164,1010123004135857,32.3,2023-01-04 14:59:19.474
80,2023-01-04 14:59:26.545,1010123004135904,32.4,2023-01-04 14:59:26.765
81,2023-01-04 14:59:33.964,1010123004135912,32.5,2023-01-04 14:59:34.114
82,2023-01-04 14:59:48.783,1010123004135926,32.6,2023-01-04 14:59:48.903
83,2023-01-04 14:59:56.114,1010123004135934,32.7,2023-01-04 14:59:56.362
84,2023-01-04 15:00:10.723,1010123004135948,32.8,2023-01-04 15:00:10.983
85,2023-01-04 15:00:18.184,1010123004135956,32.9,2023-01-04 15:00:18.342
86,2023-01-04 15:00:40.213,1010123004140018,33.0,2023-01-04 15:00:40.352
87,2023-01-04 15:00:47.453,1010123004140025,33.1,2023-01-04 15:00:47.723
88,2023-01-04 15:01:02.072,1010123004140040,33.2,2023-01-04 15:01:02.351
89,2023-01-04 15:01:24.142,1010123004140102,33.3,2023-01-04 15:01:24.361
90,2023-01-04 15:01:31.423,1010123004140109,33.4,2023-01-04 15:01:31.641
91,2023-01-04 15:01:38.753,1010123004140117,33.3,2023-01-04 15:01:38.921
92,2023-01-04 15:01:46.032,1010123004140124,33.4,2023-01-04 15:01:46.272
93,2023-01-04 15:01:53.502,1010123004140131,33.5,2023-01-04 15:01:53.651
94,2023-01-04 15:02:56.030,1010123004140214,33.0,2023-01-04 15:02:56.361
95,2023-01-04 15:03:03.460,1010123004140221,32.8,2023-01-04 15:03:03.641
96,2023-01-04 15:03:10.841,1010123004140228,32.7,2023-01-04 15:03:10.930
97,2023-01-04 15:03:25.641,1010123004140242,32.6,2023-01-04 15:03:25.891
98,2023-01-04 15:06:01.628,1010123004140318,31.2,2023-01-04 15:06:01.878
99,2023-01-04 15:06:09.019,1010123004140333,31.1,2023-01-04 15:06:09.247
100,2023-01-04 15:08:17.756,1010123004140801,30.9,2023-01-04 15:08:17.887
101,2023-01-04 15:08:25.137,1010123004140808,30.8,2023-01-04 15:08:25.326
102,2023-01-04 15:09:01.736,1010123004140828,31.0,2023-01-04 15:09:01.884
103,2023-01-04 15:09:17.196,1010123004140843,31.1,2023-01-04 15:09:17.256
104,2023-01-04 15:09:32.025,1010123004140909,31.2,2023-01-04 15:09:32.203
105,2023-01-04 15:10:16.244,1010123004140954,31.3,2023-01-04 15:10:16.444
106,2023-01-04 15:10:30.773,1010123004141009,31.4,2023-01-04 15:10:31.003
107,2023-01-04 15:10:53.434,1010123004141023,31.4,2023-01-04 15:10:53.614
108,2023-01-04 15:11:00.743,1010123004141031,31.5,2023-01-04 15:11:00.923
109,2023-01-04 15:11:15.614,1010123004141055,31.6,2023-01-04 15:11:15.803
110,2023-01-04 15:12:02.453,1010123004141130,31.8,2023-01-04 15:12:02.592
111,2023-01-04 15:12:17.273,1010123004141145,31.9,2023-01-04 15:12:17.413
112,2023-01-04 15:12:32.032,1010123004141209,32.0,2023-01-04 15:12:32.200
113,2023-01-04 15:12:54.361,1010123004141232,32.1,2023-01-04 15:12:54.520
114,2023-01-04 15:13:38.621,1010123004141316,32.2,2023-01-04 15:13:38.750
115,2023-01-04 15:14:30.259,1010123004141408,32.3,2023-01-04 15:14:30.529
116,2023-01-04 15:14:37.759,1010123004141415,32.2,2023-01-04 15:14:37.888
117,2023-01-04 15:14:45.099,1010123004141423,32.1,2023-01-04 15:14:45.249
118,2023-01-04 15:15:22.059,1010123004141500,32.0,2023-01-04 15:15:22.298
119,2023-01-04 15:15:59.007,1010123004141536,31.9,2023-01-04 15:15:59.247
120,2023-01-04 15:16:28.596,1010123004141606,31.8,2023-01-04 15:16:28.846
121,2023-01-04 15:16:43.346,1010123004141621,31.7,2023-01-04 15:16:43.496
