,time,TraceabilityCode,CushionPumpMaxPower2,time.value
64,2023-01-04 15:01:16.792,1010123004140055,54.9,2023-01-04 15:01:16.992
65,2023-01-04 15:01:24.142,1010123004140102,55.2,2023-01-04 15:01:24.361
66,2023-01-04 15:01:38.753,1010123004140117,54.9,2023-01-04 15:01:38.921
67,2023-01-04 15:01:46.032,1010123004140124,55.2,2023-01-04 15:01:46.272
68,2023-01-04 15:02:24.062,1010123004140207,55.5,2023-01-04 15:02:24.282
69,2023-01-04 15:02:56.030,1010123004140214,55.2,2023-01-04 15:02:56.361
70,2023-01-04 15:03:03.460,1010123004140221,56.1,2023-01-04 15:03:03.641
71,2023-01-04 15:03:10.841,1010123004140228,55.2,2023-01-04 15:03:10.930
72,2023-01-04 15:03:18.270,1010123004140235,55.5,2023-01-04 15:03:18.440
73,2023-01-04 15:03:25.641,1010123004140242,55.2,2023-01-04 15:03:25.891
74,2023-01-04 15:06:01.628,1010123004140318,55.8,2023-01-04 15:06:01.878
75,2023-01-04 15:06:09.019,1010123004140333,54.6,2023-01-04 15:06:09.247
76,2023-01-04 15:06:16.418,1010123004140354,55.2,2023-01-04 15:06:16.608
77,2023-01-04 15:08:17.756,1010123004140801,55.8,2023-01-04 15:08:17.887
78,2023-01-04 15:08:25.137,1010123004140808,55.5,2023-01-04 15:08:25.326
79,2023-01-04 15:08:25.137,1010123004140808,55.2,2023-01-04 15:08:32.776
80,2023-01-04 15:09:01.736,1010123004140828,54.6,2023-01-04 15:09:01.884
81,2023-01-04 15:09:24.625,1010123004140901,55.5,2023-01-04 15:09:24.763
82,2023-01-04 15:09:32.025,1010123004140909,55.2,2023-01-04 15:09:32.203
83,2023-01-04 15:09:39.315,1010123004140916,54.9,2023-01-04 15:09:39.565
84,2023-01-04 15:09:54.105,1010123004140932,55.2,2023-01-04 15:09:54.283
85,2023-01-04 15:10:08.855,1010123004140947,54.9,2023-01-04 15:10:09.075
86,2023-01-04 15:10:16.244,1010123004140954,55.2,2023-01-04 15:10:16.444
87,2023-01-04 15:10:53.434,1010123004141023,55.8,2023-01-04 15:10:53.614
88,2023-01-04 15:11:00.743,1010123004141031,55.5,2023-01-04 15:11:00.923
89,2023-01-04 15:11:08.243,1010123004141038,55.2,2023-01-04 15:11:08.374
90,2023-01-04 15:11:23.023,1010123004141102,54.9,2023-01-04 15:11:23.163
91,2023-01-04 15:11:30.513,1010123004141109,55.2,2023-01-04 15:11:30.612
92,2023-01-04 15:11:54.973,1010123004141123,55.8,2023-01-04 15:11:55.233
93,2023-01-04 15:12:02.453,1010123004141130,54.6,2023-01-04 15:12:02.592
94,2023-01-04 15:12:09.782,1010123004141138,54.9,2023-01-04 15:12:10.052
95,2023-01-04 15:12:17.273,1010123004141145,55.2,2023-01-04 15:12:17.413
96,2023-01-04 15:12:24.552,1010123004141202,54.9,2023-01-04 15:12:24.841
97,2023-01-04 15:12:32.032,1010123004141209,55.2,2023-01-04 15:12:32.200
98,2023-01-04 15:12:39.451,1010123004141217,54.9,2023-01-04 15:12:39.572
99,2023-01-04 15:12:54.361,1010123004141232,55.2,2023-01-04 15:12:54.520
100,2023-01-04 15:13:01.760,1010123004141239,54.9,2023-01-04 15:13:01.881
101,2023-01-04 15:13:31.240,1010123004141309,55.2,2023-01-04 15:13:31.421
102,2023-01-04 15:13:38.621,1010123004141316,54.9,2023-01-04 15:13:38.750
103,2023-01-04 15:15:22.059,1010123004141500,55.2,2023-01-04 15:15:22.298
104,2023-01-04 15:15:29.437,1010123004141507,54.9,2023-01-04 15:15:29.648
105,2023-01-04 15:15:44.198,1010123004141522,55.2,2023-01-04 15:15:44.368
106,2023-01-04 15:15:51.648,1010123004141529,54.9,2023-01-04 15:15:51.808
107,2023-01-04 15:15:59.007,1010123004141536,55.2,2023-01-04 15:15:59.247
108,2023-01-04 15:16:06.457,1010123004141544,54.9,2023-01-04 15:16:06.598
109,2023-01-04 15:16:13.828,1010123004141551,55.2,2023-01-04 15:16:13.967
110,2023-01-04 15:16:21.167,1010123004141559,54.9,2023-01-04 15:16:21.326
111,2023-01-04 15:16:28.596,1010123004141606,54.6,2023-01-04 15:16:28.846
112,2023-01-04 15:16:35.967,1010123004141614,54.9,2023-01-04 15:16:36.127
113,2023-01-04 15:16:50.826,1010123004141628,54.6,2023-01-04 15:16:50.937
114,2023-01-04 15:16:58.217,1010123004141636,54.9,2023-01-04 15:16:58.377
115,2023-01-04 15:17:05.566,1010123004141643,55.2,2023-01-04 15:17:05.726
116,2023-01-04 15:17:12.937,1010123004141650,54.9,2023-01-04 15:17:13.085
117,2023-01-04 15:19:25.164,1010123004141720,55.5,2023-01-04 15:19:25.344
118,2023-01-04 15:19:32.703,1010123004141735,55.2,2023-01-04 15:19:32.773
119,2023-01-04 15:20:30.322,1010123004142015,55.8,2023-01-04 15:20:30.592
120,2023-01-04 15:21:12.651,1010123004142057,55.8,2023-01-04 15:21:12.982
121,2023-01-04 15:21:55.000,1010123004142140,55.8,2023-01-04 15:21:55.220
122,2023-01-04 15:23:20.279,1010123004142215,55.2,2023-01-04 15:23:20.598
123,2023-01-04 15:23:27.720,1010123004142222,55.8,2023-01-04 15:23:27.888
124,2023-01-04 15:23:35.180,1010123004142250,54.9,2023-01-04 15:23:35.338
125,2023-01-04 15:23:42.660,1010123004142257,55.2,2023-01-04 15:23:42.769
126,2023-01-04 15:24:17.838,1010123004142402,55.8,2023-01-04 15:24:18.118
127,2023-01-04 15:24:25.299,1010123004142409,54.6,2023-01-04 15:24:25.418
128,2023-01-04 15:25:25.017,1010123004142506,54.9,2023-01-04 15:25:25.187
129,2023-01-04 15:25:32.487,1010123004142513,55.2,2023-01-04 15:25:32.608
130,2023-01-04 15:25:39.927,1010123004142520,54.9,2023-01-04 15:25:40.137
131,2023-01-04 15:25:47.378,1010123004142527,55.2,2023-01-04 15:25:47.506
132,2023-01-04 15:25:54.776,1010123004142534,54.9,2023-01-04 15:25:54.927
133,2023-01-04 15:26:09.607,1010123004142548,55.2,2023-01-04 15:26:09.806
134,2023-01-04 15:26:24.427,1010123004142602,54.6,2023-01-04 15:26:24.618
135,2023-01-04 15:26:31.838,1010123004142609,55.2,2023-01-04 15:26:31.976
136,2023-01-04 15:26:39.167,1010123004142617,54.9,2023-01-04 15:26:39.348
137,2023-01-04 15:27:01.447,1010123004142639,55.2,2023-01-04 15:27:01.657
138,2023-01-04 15:27:08.855,1010123004142646,54.9,2023-01-04 15:27:09.016
139,2023-01-04 15:28:00.565,1010123004142738,54.6,2023-01-04 15:28:00.785
140,2023-01-04 15:28:08.026,1010123004142746,54.9,2023-01-04 15:28:08.144
141,2023-01-04 15:28:15.365,1010123004142753,54.6,2023-01-04 15:28:15.494
142,2023-01-04 15:28:44.815,1010123004142823,54.9,2023-01-04 15:28:45.026
143,2023-01-04 15:29:29.142,1010123004142907,54.6,2023-01-04 15:29:29.332
144,2023-01-04 15:30:20.903,1010123004142959,54.9,2023-01-04 15:30:21.101
145,2023-01-04 15:30:28.292,1010123004143006,54.6,2023-01-04 15:30:28.542
146,2023-01-04 15:31:34.842,1010123004143113,54.3,2023-01-04 15:31:35.022
147,2023-01-04 15:31:42.302,1010123004143120,54.6,2023-01-04 15:31:42.461
148,2023-01-04 15:47:21.095,1010123004143241,54.6,2023-01-04 15:47:28.694
149,2023-01-04 15:47:55.855,1010123004144604,54.6,2023-01-04 15:48:03.434
150,2023-01-04 15:48:10.904,1010123004144709,55.8,2023-01-04 15:48:18.535
151,2023-01-04 15:49:33.062,1010123004144802,54.6,2023-01-04 15:49:33.242
152,2023-01-04 15:49:40.423,1010123004144810,55.8,2023-01-04 15:49:40.542
153,2023-01-04 15:49:47.842,1010123004144825,55.2,2023-01-04 15:49:47.993
154,2023-01-04 15:49:55.203,1010123004144839,54.9,2023-01-04 15:49:55.431
155,2023-01-04 15:50:02.653,1010123004144847,55.2,2023-01-04 15:50:02.792
156,2023-01-04 15:50:09.933,1010123004144948,54.9,2023-01-04 15:50:10.153
157,2023-01-04 15:50:32.111,1010123004145010,55.2,2023-01-04 15:50:32.311
158,2023-01-04 15:50:46.941,1010123004145025,54.9,2023-01-04 15:50:47.191
159,2023-01-04 15:51:16.661,1010123004145054,55.2,2023-01-04 15:51:16.792
160,2023-01-04 15:51:23.970,1010123004145101,54.9,2023-01-04 15:51:24.141
161,2023-01-04 15:51:46.141,1010123004145124,55.2,2023-01-04 15:51:46.230
162,2023-01-04 15:51:53.460,1010123004145131,54.9,2023-01-04 15:51:53.750
163,2023-01-04 15:52:00.790,1010123004145139,55.2,2023-01-04 15:52:01.029
164,2023-01-04 15:52:08.270,1010123004145146,54.9,2023-01-04 15:52:08.390
165,2023-01-04 15:52:15.680,1010123004145153,54.6,2023-01-04 15:52:15.750
166,2023-01-04 15:52:22.960,1010123004145201,54.9,2023-01-04 15:52:23.108
167,2023-01-04 15:53:29.749,1010123004145307,54.6,2023-01-04 15:53:29.838
168,2023-01-04 15:53:37.198,1010123004145315,54.9,2023-01-04 15:53:37.358
169,2023-01-04 15:55:28.387,1010123004145506,54.6,2023-01-04 15:55:28.555
170,2023-01-04 15:55:35.756,1010123004145513,54.9,2023-01-04 15:55:35.996
171,2023-01-04 15:55:43.336,1010123004145521,54.6,2023-01-04 15:55:43.355
172,2023-01-04 15:55:58.035,1010123004145536,54.9,2023-01-04 15:55:58.244
173,2023-01-04 15:56:35.154,1010123004145613,54.6,2023-01-04 15:56:35.285
174,2023-01-04 15:56:42.525,1010123004145620,54.9,2023-01-04 15:56:42.704
175,2023-01-04 15:57:04.595,1010123004145642,54.6,2023-01-04 15:57:04.714
176,2023-01-04 15:57:41.684,1010123004145719,54.9,2023-01-04 15:57:41.923
177,2023-01-04 15:57:56.563,1010123004145734,54.6,2023-01-04 15:57:56.723
178,2023-01-04 15:58:18.664,1010123004145756,54.9,2023-01-04 15:58:18.882
179,2023-01-04 15:58:26.062,1010123004145804,54.6,2023-01-04 15:58:26.221
180,2023-01-04 15:58:48.492,1010123004145826,54.9,2023-01-04 15:58:48.632
181,2023-01-04 15:59:10.723,1010123004145848,54.6,2023-01-04 15:59:10.872
182,2023-01-04 15:59:18.193,1010123004145856,54.9,2023-01-04 15:59:18.403
183,2023-01-04 15:59:33.072,1010123004145910,54.6,2023-01-04 15:59:33.190
184,2023-01-04 16:00:02.700,1010123004145940,54.9,2023-01-04 16:00:02.880
185,2023-01-04 16:00:10.091,1010123004145948,54.6,2023-01-04 16:00:10.321
186,2023-01-04 16:01:02.849,1010123004150046,54.9,2023-01-04 16:01:03.130
187,2023-01-04 16:01:10.359,1010123004150053,55.2,2023-01-04 16:01:10.479
188,2023-01-04 16:01:22.490,1010123004150108,55.8,2023-01-04 16:01:30.209
189,2023-01-04 16:04:28.117,1010123004150136,54.6,2023-01-04 16:04:35.687
190,2023-01-04 16:04:46.776,1010123004150143,56.1,2023-01-04 16:04:54.476
191,2023-01-04 16:06:06.496,1010123004150212,55.8,2023-01-04 16:06:06.746
192,2023-01-04 16:06:13.986,1010123004150427,56.1,2023-01-04 16:06:14.315
193,2023-01-04 16:06:21.335,1010123004150450,55.5,2023-01-04 16:06:21.605
194,2023-01-04 16:06:28.815,1010123004150509,55.2,2023-01-04 16:06:28.964
195,2023-01-04 16:14:34.096,1010123004150917,54.6,2023-01-04 16:14:41.526
196,2023-01-04 16:14:58.835,1010123004151154,55.8,2023-01-04 16:14:58.964
197,2023-01-04 16:15:21.436,1010123004151458,55.5,2023-01-04 16:15:21.686
198,2023-01-04 16:15:28.825,1010123004151506,54.9,2023-01-04 16:15:28.964
199,2023-01-04 16:15:36.315,1010123004151513,55.2,2023-01-04 16:15:36.415
200,2023-01-04 16:15:51.285,1010123004151529,54.9,2023-01-04 16:15:51.525
201,2023-01-04 16:15:58.644,1010123004151536,55.2,2023-01-04 16:15:58.834
202,2023-01-04 16:16:06.075,1010123004151543,54.9,2023-01-04 16:16:06.224
203,2023-01-04 16:16:28.463,1010123004151606,55.2,2023-01-04 16:16:28.644
204,2023-01-04 16:17:05.904,1010123004151643,54.9,2023-01-04 16:17:06.013
205,2023-01-04 16:17:28.003,1010123004151706,55.2,2023-01-04 16:17:28.242
206,2023-01-04 16:17:35.342,1010123004151713,54.9,2023-01-04 16:17:35.523
207,2023-01-04 16:17:42.743,1010123004151721,54.6,2023-01-04 16:17:42.892
208,2023-01-04 16:17:50.213,1010123004151728,54.9,2023-01-04 16:17:50.322
209,2023-01-04 16:18:05.003,1010123004151743,55.2,2023-01-04 16:18:05.213
210,2023-01-04 16:18:12.622,1010123004151750,54.9,2023-01-04 16:18:12.653
211,2023-01-04 16:18:49.282,1010123004151827,54.6,2023-01-04 16:18:49.532
212,2023-01-04 16:19:11.391,1010123004151849,54.9,2023-01-04 16:19:11.611
213,2023-01-04 16:19:26.171,1010123004151904,54.6,2023-01-04 16:19:26.321
214,2023-01-04 16:28:00.882,1010123004151941,54.6,2023-01-04 16:28:08.572
215,2023-01-04 16:28:09.173,1010123004151948,55.8,2023-01-04 16:28:16.742
216,2023-01-04 16:28:34.282,1010123004152748,54.6,2023-01-04 16:28:41.941
217,2023-01-04 16:29:33.891,1010123004152804,55.8,2023-01-04 16:29:41.500
218,2023-01-04 16:29:49.520,1010123004152824,54.6,2023-01-04 16:29:49.710
219,2023-01-04 16:29:56.801,1010123004152930,55.8,2023-01-04 16:29:57.059
220,2023-01-04 16:30:04.341,1010123004152938,55.2,2023-01-04 16:30:04.490
221,2023-01-04 16:30:19.321,1010123004152957,54.9,2023-01-04 16:30:19.460
222,2023-01-04 16:30:33.900,1010123004153011,55.2,2023-01-04 16:30:34.180
223,2023-01-04 16:30:41.279,1010123004153019,54.9,2023-01-04 16:30:41.460
224,2023-01-04 16:30:55.990,1010123004153034,55.2,2023-01-04 16:30:56.098
225,2023-01-04 16:31:03.369,1010123004153041,54.9,2023-01-04 16:31:03.539
226,2023-01-04 16:32:17.128,1010123004153155,54.6,2023-01-04 16:32:17.388
227,2023-01-04 16:32:24.477,1010123004153202,54.9,2023-01-04 16:32:24.737
228,2023-01-04 16:33:23.627,1010123004153301,54.6,2023-01-04 16:33:23.857
229,2023-01-04 16:33:30.957,1010123004153309,54.9,2023-01-04 16:33:31.135
230,2023-01-04 16:34:07.585,1010123004153352,55.5,2023-01-04 16:34:07.825
231,2023-01-04 16:34:29.145,1010123004153414,55.8,2023-01-04 16:34:29.355
232,2023-01-04 16:34:50.625,1010123004153435,55.5,2023-01-04 16:34:50.875
