,time,PressMode
0,2023-01-02 04:13:21.160,4
1,2023-01-02 06:44:25.342,16
2,2023-01-02 07:11:34.854,4
3,2023-01-02 07:43:27.490,16
4,2023-01-02 08:35:25.926,4
5,2023-01-02 08:35:40.986,16
6,2023-01-02 08:42:22.589,4
7,2023-01-02 08:42:25.609,16
8,2023-01-02 09:46:12.872,4
9,2023-01-02 09:46:18.901,16
10,2023-01-02 10:54:06.140,4
11,2023-01-02 10:54:11.160,0
12,2023-01-02 10:54:12.170,16
13,2023-01-02 11:29:21.592,4
14,2023-01-02 11:30:15.802,8
15,2023-01-02 11:36:15.236,4
16,2023-01-02 11:39:58.131,16
17,2023-01-02 12:31:50.548,4
18,2023-01-02 12:31:55.569,16
19,2023-01-02 15:45:22.930,4
20,2023-01-02 15:47:18.390,16
21,2023-01-02 16:26:33.788,4
22,2023-01-02 16:27:20.976,16
23,2023-01-02 17:25:12.841,4
24,2023-01-02 17:25:46.990,16
25,2023-01-02 17:45:54.809,4
26,2023-01-02 17:46:20.908,16
27,2023-01-02 20:17:51.203,4
28,2023-01-02 20:18:16.302,8
29,2023-01-02 20:24:15.736,4
30,2023-01-02 20:24:47.867,16
31,2023-01-02 21:09:59.698,4
32,2023-01-02 21:21:56.556,16
33,2023-01-02 23:11:49.887,8
34,2023-01-02 23:17:19.203,4
35,2023-01-02 23:18:29.483,16
36,2023-01-02 23:36:26.788,4
37,2023-01-02 23:43:30.483,16
38,2023-01-03 00:07:46.298,0
39,2023-01-03 00:07:49.308,1
40,2023-01-03 00:11:20.144,16
41,2023-01-03 00:19:48.173,4
42,2023-01-03 00:20:40.384,16
43,2023-01-03 01:47:34.203,4
44,2023-01-03 01:47:56.293,16
45,2023-01-03 02:43:12.539,4
46,2023-01-03 02:43:45.668,16
47,2023-01-03 02:49:14.983,4
48,2023-01-03 02:49:19.003,16
49,2023-01-03 03:23:55.288,4
50,2023-01-03 03:24:10.348,16
51,2023-01-03 03:25:07.575,4
52,2023-01-03 03:25:11.595,16
53,2023-01-03 03:49:58.533,4
54,2023-01-03 03:50:13.592,16
55,2023-01-03 05:02:55.002,4
56,2023-01-03 05:02:59.022,16
57,2023-01-03 05:38:53.624,4
58,2023-01-03 05:39:22.743,16
59,2023-01-03 05:43:50.813,4
60,2023-01-03 05:44:06.875,0
61,2023-01-03 05:44:07.885,16
62,2023-01-03 05:48:54.035,4
63,2023-01-03 05:49:08.085,16
64,2023-01-03 06:31:33.250,4
65,2023-01-03 06:33:05.619,8
66,2023-01-03 06:44:55.447,4
67,2023-01-03 06:45:19.546,16
68,2023-01-03 06:56:16.177,4
69,2023-01-03 06:56:22.197,16
70,2023-01-03 07:06:27.617,0
71,2023-01-03 07:06:28.628,4
72,2023-01-03 07:10:53.683,16
73,2023-01-03 07:11:25.813,4
74,2023-01-03 07:11:51.913,16
75,2023-01-03 07:17:48.335,4
76,2023-01-03 07:18:35.526,16
77,2023-01-03 07:23:03.591,4
78,2023-01-03 07:23:52.789,16
79,2023-01-03 11:20:44.538,4
80,2023-01-03 11:20:45.538,16
81,2023-01-03 19:24:55.552,4
82,2023-01-03 19:25:23.664,8
83,2023-01-03 19:37:35.582,4
84,2023-01-03 19:38:11.733,16
85,2023-01-03 19:59:31.839,4
86,2023-01-03 20:19:33.640,16
87,2023-01-03 21:19:26.979,4
88,2023-01-03 21:19:57.108,8
89,2023-01-03 21:25:34.450,4
90,2023-01-03 21:26:15.611,16
91,2023-01-04 00:41:52.483,4
