,time,TraceabilityCode,Cylinder7MaxParalelismErrorInBDC,time.value
0,2023-01-04 13:00:27.676,1010223004120007,-0.1,2023-01-04 13:00:34.355
1,2023-01-04 14:42:53.408,1010223004134159,0.7,2023-01-04 14:43:24.108
2,2023-01-04 14:46:12.026,1010123004134227,0.8,2023-01-04 14:46:19.634
3,2023-01-04 14:52:17.010,1010123004134626,0.7,2023-01-04 14:52:17.299
4,2023-01-04 14:52:52.190,1010123004134815,0.8,2023-01-04 14:52:52.509
5,2023-01-04 14:55:21.999,1010123004135113,0.7,2023-01-04 14:55:29.739
6,2023-01-04 14:55:38.029,1010123004135232,0.8,2023-01-04 14:55:38.198
7,2023-01-04 14:55:45.448,1010123004135239,0.7,2023-01-04 14:55:45.638
8,2023-01-04 14:56:00.289,1010123004135538,0.8,2023-01-04 14:56:00.519
9,2023-01-04 14:56:07.588,1010123004135545,0.7,2023-01-04 14:56:07.878
10,2023-01-04 14:56:22.207,1010123004135600,0.8,2023-01-04 14:56:22.427
11,2023-01-04 14:57:28.607,1010123004135706,0.7,2023-01-04 14:57:28.825
12,2023-01-04 14:57:36.026,1010123004135714,0.8,2023-01-04 14:57:36.187
13,2023-01-04 14:58:57.206,1010123004135835,0.7,2023-01-04 14:58:57.474
14,2023-01-04 14:59:04.526,1010123004135842,0.8,2023-01-04 14:59:04.756
15,2023-01-04 14:59:19.164,1010123004135857,0.7,2023-01-04 14:59:19.474
16,2023-01-04 14:59:33.964,1010123004135912,0.8,2023-01-04 14:59:34.114
17,2023-01-04 14:59:41.285,1010123004135919,0.7,2023-01-04 14:59:41.483
18,2023-01-04 14:59:48.783,1010123004135926,0.8,2023-01-04 14:59:48.903
19,2023-01-04 15:00:03.463,1010123004135941,0.7,2023-01-04 15:00:03.703
20,2023-01-04 15:00:25.533,1010123004140003,0.8,2023-01-04 15:00:25.713
21,2023-01-04 15:00:32.802,1010123004140011,0.7,2023-01-04 15:00:33.073
22,2023-01-04 15:00:40.213,1010123004140018,0.8,2023-01-04 15:00:40.352
