,time,TraceabilityCode,Cylinder2MaxParalelismErrorInBDC,time.value
0,2023-01-04 12:29:32.467,1010123004112910,0.7,2023-01-04 12:29:32.477
1,2023-01-04 14:42:53.408,1010223004134159,1.3,2023-01-04 14:43:24.108
2,2023-01-04 15:12:24.552,1010123004141202,1.4,2023-01-04 15:12:24.841
3,2023-01-04 15:12:32.032,1010123004141209,1.3,2023-01-04 15:12:32.200
4,2023-01-04 15:16:28.596,1010123004141606,1.4,2023-01-04 15:16:28.846
5,2023-01-04 15:16:43.346,1010123004141621,1.3,2023-01-04 15:16:43.496
6,2023-01-04 15:23:20.279,1010123004142215,1.4,2023-01-04 15:23:20.598
7,2023-01-04 15:27:45.796,1010123004142723,1.4,2023-01-04 15:27:46.055
8,2023-01-04 15:28:00.565,1010123004142738,1.3,2023-01-04 15:28:00.785
9,2023-01-04 15:28:15.365,1010123004142753,1.4,2023-01-04 15:28:15.494
10,2023-01-04 15:28:22.655,1010123004142800,1.3,2023-01-04 15:28:22.855
11,2023-01-04 15:28:59.684,1010123004142837,1.4,2023-01-04 15:28:59.815
12,2023-01-04 15:29:07.075,1010123004142845,1.3,2023-01-04 15:29:07.253
13,2023-01-04 15:30:06.063,1010123004142944,1.4,2023-01-04 15:30:06.223
14,2023-01-04 15:30:20.903,1010123004142959,1.3,2023-01-04 15:30:21.101
15,2023-01-04 15:31:27.532,1010123004143105,1.4,2023-01-04 15:31:27.572
16,2023-01-04 15:31:57.191,1010123004143135,1.3,2023-01-04 15:31:57.332
17,2023-01-04 15:32:41.540,1010123004143219,1.4,2023-01-04 15:32:41.730
18,2023-01-04 15:47:21.095,1010123004143241,1.4,2023-01-04 15:47:21.345
19,2023-01-04 15:47:21.095,1010123004143241,1.3,2023-01-04 15:47:28.694
20,2023-01-04 15:51:23.970,1010123004145101,1.4,2023-01-04 15:51:24.141
21,2023-01-04 15:51:46.141,1010123004145124,1.3,2023-01-04 15:51:46.230
22,2023-01-04 15:52:00.790,1010123004145139,1.4,2023-01-04 15:52:01.029
23,2023-01-04 15:52:08.270,1010123004145146,1.3,2023-01-04 15:52:08.390
24,2023-01-04 15:55:35.756,1010123004145513,1.4,2023-01-04 15:55:35.996
25,2023-01-04 15:55:43.336,1010123004145521,1.3,2023-01-04 15:55:43.355
26,2023-01-04 15:55:50.726,1010123004145528,1.4,2023-01-04 15:55:50.865
27,2023-01-04 15:55:58.035,1010123004145536,1.3,2023-01-04 15:55:58.244
28,2023-01-04 15:56:57.224,1010123004145635,1.4,2023-01-04 15:56:57.424
29,2023-01-04 15:57:04.595,1010123004145642,1.3,2023-01-04 15:57:04.714
30,2023-01-04 15:58:48.492,1010123004145826,1.4,2023-01-04 15:58:48.632
31,2023-01-04 15:58:55.903,1010123004145833,1.3,2023-01-04 15:58:56.072
32,2023-01-04 15:59:40.371,1010123004145918,1.4,2023-01-04 15:59:40.572
33,2023-01-04 15:59:55.240,1010123004145933,1.3,2023-01-04 15:59:55.440
34,2023-01-04 16:00:47.540,1010123004150032,1.4,2023-01-04 16:00:47.760
35,2023-01-04 16:01:02.849,1010123004150046,1.4,2023-01-04 16:01:03.130
36,2023-01-04 16:01:10.359,1010123004150053,1.3,2023-01-04 16:01:10.479
37,2023-01-04 16:01:22.490,1010123004150108,1.4,2023-01-04 16:01:30.209
38,2023-01-04 16:06:13.986,1010123004150427,1.3,2023-01-04 16:06:14.315
39,2023-01-04 16:15:51.285,1010123004151529,1.4,2023-01-04 16:15:51.525
40,2023-01-04 16:16:06.075,1010123004151543,1.3,2023-01-04 16:16:06.224
41,2023-01-04 16:16:13.505,1010123004151551,1.4,2023-01-04 16:16:13.694
42,2023-01-04 16:16:28.463,1010123004151606,1.3,2023-01-04 16:16:28.644
43,2023-01-04 16:16:51.003,1010123004151628,1.4,2023-01-04 16:16:51.203
44,2023-01-04 16:17:13.323,1010123004151651,1.3,2023-01-04 16:17:13.523
45,2023-01-04 16:18:20.013,1010123004151757,1.4,2023-01-04 16:18:20.253
46,2023-01-04 16:18:27.431,1010123004151805,1.3,2023-01-04 16:18:27.700
47,2023-01-04 16:18:34.752,1010123004151812,1.4,2023-01-04 16:18:34.970
48,2023-01-04 16:18:42.022,1010123004151820,1.3,2023-01-04 16:18:42.240
49,2023-01-04 16:19:04.020,1010123004151842,1.4,2023-01-04 16:19:04.250
50,2023-01-04 16:19:11.391,1010123004151849,1.3,2023-01-04 16:19:11.611
51,2023-01-04 16:19:26.171,1010123004151904,1.4,2023-01-04 16:19:26.321
52,2023-01-04 16:28:09.173,1010123004151948,1.3,2023-01-04 16:28:16.742
53,2023-01-04 16:28:25.223,1010123004151956,1.4,2023-01-04 16:28:32.802
54,2023-01-04 16:28:34.282,1010123004152748,1.3,2023-01-04 16:28:41.941
55,2023-01-04 16:29:49.520,1010123004152824,1.4,2023-01-04 16:29:49.710
56,2023-01-04 16:29:56.801,1010123004152930,1.3,2023-01-04 16:29:57.059
57,2023-01-04 16:30:33.900,1010123004153011,1.4,2023-01-04 16:30:34.180
58,2023-01-04 16:30:41.279,1010123004153019,1.3,2023-01-04 16:30:41.460
59,2023-01-04 16:30:48.559,1010123004153026,1.4,2023-01-04 16:30:48.829
60,2023-01-04 16:30:55.990,1010123004153034,1.3,2023-01-04 16:30:56.098
61,2023-01-04 16:31:18.190,1010123004153056,1.4,2023-01-04 16:31:18.338
62,2023-01-04 16:32:02.489,1010123004153140,1.3,2023-01-04 16:32:02.657
63,2023-01-04 16:32:09.819,1010123004153147,1.4,2023-01-04 16:32:10.017
64,2023-01-04 16:32:17.128,1010123004153155,1.3,2023-01-04 16:32:17.388
65,2023-01-04 16:32:24.477,1010123004153202,1.4,2023-01-04 16:32:24.737
66,2023-01-04 16:32:39.217,1010123004153217,1.3,2023-01-04 16:32:39.298
67,2023-01-04 16:32:54.357,1010123004153232,1.4,2023-01-04 16:32:54.427
68,2023-01-04 16:33:09.096,1010123004153246,1.3,2023-01-04 16:33:09.216
69,2023-01-04 16:33:46.486,1010123004153331,1.3,2023-01-04 16:33:46.665
70,2023-01-04 16:34:50.625,1010123004153435,1.4,2023-01-04 16:34:50.875
71,2023-01-04 16:47:32.023,1010123004154710,1.4,2023-01-04 16:47:32.183
72,2023-01-04 16:47:39.433,1010123004154717,1.3,2023-01-04 16:47:39.552
73,2023-01-04 16:47:54.272,1010123004154732,1.4,2023-01-04 16:47:54.441
74,2023-01-04 16:48:01.762,1010123004154739,1.3,2023-01-04 16:48:01.871
75,2023-01-04 16:48:38.711,1010123004154816,1.4,2023-01-04 16:48:38.941
76,2023-01-04 16:48:46.141,1010123004154824,1.3,2023-01-04 16:48:46.332
77,2023-01-04 16:49:52.710,1010123004154930,1.4,2023-01-04 16:49:52.828
78,2023-01-04 16:50:00.230,1010123004154938,1.3,2023-01-04 16:50:00.259
79,2023-01-04 16:50:51.838,1010123004155030,1.4,2023-01-04 16:50:52.028
80,2023-01-04 16:50:59.358,1010123004155037,1.3,2023-01-04 16:50:59.467
81,2023-01-04 16:51:14.279,1010123004155052,1.4,2023-01-04 16:51:14.437
82,2023-01-04 16:52:20.868,1010123004155159,1.3,2023-01-04 16:52:21.066
83,2023-01-04 16:52:35.596,1010123004155213,1.4,2023-01-04 16:52:35.796
84,2023-01-04 16:52:50.417,1010123004155228,1.3,2023-01-04 16:52:50.595
85,2023-01-04 16:53:21.226,1010123004155304,1.3,2023-01-04 16:53:21.395
86,2023-01-04 16:53:28.585,1010123004155311,1.4,2023-01-04 16:53:28.756
87,2023-01-04 16:53:43.196,1010123004155326,1.3,2023-01-04 16:53:43.385
88,2023-01-04 16:53:50.665,1010123004155333,1.4,2023-01-04 16:53:50.825
89,2023-01-04 16:53:58.065,1010123004155340,1.3,2023-01-04 16:53:58.194
90,2023-01-04 16:54:12.765,1010123004155355,1.4,2023-01-04 16:54:12.984
91,2023-01-04 16:54:20.184,1010123004155402,1.3,2023-01-04 16:54:20.273
92,2023-01-04 16:54:42.424,1010123004155424,1.4,2023-01-04 16:54:42.605
93,2023-01-04 16:54:49.765,1010123004155431,1.3,2023-01-04 16:54:49.954
94,2023-01-04 16:55:04.594,1010123004155446,1.4,2023-01-04 16:55:04.753
95,2023-01-04 16:55:19.293,1010123004155500,1.3,2023-01-04 16:55:19.563
96,2023-01-04 16:55:26.733,1010123004155507,1.4,2023-01-04 16:55:26.923
97,2023-01-04 16:55:56.372,1010123004155536,1.3,2023-01-04 16:55:56.513
98,2023-01-04 16:56:03.663,1010123004155543,1.4,2023-01-04 16:56:03.872
99,2023-01-04 16:56:33.302,1010123004155612,1.3,2023-01-04 16:56:33.480
100,2023-01-04 16:56:40.701,1010123004155619,1.4,2023-01-04 16:56:40.911
101,2023-01-04 17:20:04.023,1010123004155626,1.4,2023-01-04 17:20:14.421
102,2023-01-04 17:20:22.703,1010123004155648,1.3,2023-01-04 17:20:22.933
103,2023-01-04 17:20:29.993,1010123004161948,1.4,2023-01-04 17:20:30.233
104,2023-01-04 17:21:07.292,1010123004162048,1.3,2023-01-04 17:21:07.512
105,2023-01-04 17:21:24.861,1010123004162109,1.3,2023-01-04 17:21:24.901
106,2023-01-04 17:21:53.450,1010123004162138,1.3,2023-01-04 17:21:53.740
107,2023-01-04 17:22:00.881,1010123004162145,1.4,2023-01-04 17:22:01.099
108,2023-01-04 17:22:16.371,1010123004162200,1.4,2023-01-04 17:22:16.559
109,2023-01-04 17:22:23.740,1010123004162207,1.3,2023-01-04 17:22:23.910
110,2023-01-04 17:23:56.029,1010123004162341,1.3,2023-01-04 17:23:56.408
111,2023-01-04 17:24:10.769,1010123004162355,1.4,2023-01-04 17:24:10.959
112,2023-01-04 17:25:10.788,1010123004162452,1.4,2023-01-04 17:25:10.947
113,2023-01-04 17:25:18.217,1010123004162500,1.3,2023-01-04 17:25:18.316
114,2023-01-04 17:28:44.835,1010123004162824,1.4,2023-01-04 17:28:45.035
115,2023-01-04 17:28:59.444,1010123004162839,1.3,2023-01-04 17:28:59.743
116,2023-01-04 17:31:05.322,1010123004163044,1.4,2023-01-04 17:31:05.513
117,2023-01-04 17:31:12.792,1010123004163051,1.3,2023-01-04 17:31:12.963
118,2023-01-04 17:31:27.512,1010123004163106,1.4,2023-01-04 17:31:27.681
119,2023-01-04 17:31:35.052,1010123004163113,1.3,2023-01-04 17:31:35.201
120,2023-01-04 17:32:11.861,1010123004163150,1.4,2023-01-04 17:32:12.069
121,2023-01-04 17:32:19.250,1010123004163158,1.3,2023-01-04 17:32:19.440
122,2023-01-04 17:32:33.871,1010123004163213,1.4,2023-01-04 17:32:34.081
123,2023-01-04 17:32:41.220,1010123004163220,1.3,2023-01-04 17:32:41.440
124,2023-01-04 17:32:56.039,1010123004163235,1.4,2023-01-04 17:32:56.190
125,2023-01-04 17:33:03.400,1010123004163242,1.3,2023-01-04 17:33:03.578
126,2023-01-04 17:33:10.769,1010123004163250,1.4,2023-01-04 17:33:10.960
127,2023-01-04 17:33:18.059,1010123004163257,1.3,2023-01-04 17:33:18.319
128,2023-01-04 17:33:25.440,1010123004163304,1.4,2023-01-04 17:33:25.680
129,2023-01-04 17:33:32.799,1010123004163312,1.3,2023-01-04 17:33:33.039
130,2023-01-04 17:33:47.630,1010123004163327,1.4,2023-01-04 17:33:47.829
131,2023-01-04 17:33:54.999,1010123004163334,1.3,2023-01-04 17:33:55.108
132,2023-01-04 17:34:09.499,1010123004163349,1.4,2023-01-04 17:34:09.759
133,2023-01-04 17:34:16.848,1010123004163356,1.3,2023-01-04 17:34:17.118
134,2023-01-04 17:35:32.006,1010123004163516,1.3,2023-01-04 17:35:32.036
