,time,TraceabilityCode,CushionPumpMaxPower3,time.value
0,2023-01-04 12:21:21.815,1010123004112059,52.5,2023-01-04 12:21:28.464
1,2023-01-04 12:22:55.842,1010123004112233,52.5,2023-01-04 12:23:02.473
2,2023-01-04 12:27:22.109,1010123004112659,52.5,2023-01-04 12:27:28.799
3,2023-01-04 12:27:29.700,1010123004112707,52.8,2023-01-04 12:27:36.319
4,2023-01-04 12:27:51.529,1010123004112728,52.8,2023-01-04 12:27:58.157
5,2023-01-04 12:29:32.467,1010123004112910,52.5,2023-01-04 12:29:32.477
6,2023-01-04 12:36:39.621,1010223004113616,52.8,2023-01-04 12:36:39.621
7,2023-01-04 12:41:42.145,1010223004114119,52.5,2023-01-04 12:41:48.815
8,2023-01-04 12:43:45.903,1010223004114326,52.5,2023-01-04 12:43:52.582
9,2023-01-04 12:48:04.309,1010223004114744,52.8,2023-01-04 12:48:10.979
10,2023-01-04 12:52:16.436,1010223004115153,52.8,2023-01-04 12:52:23.055
11,2023-01-04 12:54:18.542,1010223004115356,52.5,2023-01-04 12:54:25.221
12,2023-01-04 12:55:24.421,1010223004115410,52.8,2023-01-04 12:55:24.431
13,2023-01-04 12:59:44.726,1010223004115924,52.5,2023-01-04 12:59:51.375
14,2023-01-04 13:00:27.676,1010223004120007,52.5,2023-01-04 13:00:34.355
15,2023-01-04 13:07:32.578,1010123004120708,52.8,2023-01-04 13:07:39.229
16,2023-01-04 13:13:34.763,1010123004121313,52.8,2023-01-04 13:13:41.392
17,2023-01-04 13:20:10.025,1010123004121836,52.8,2023-01-04 13:20:16.684
18,2023-01-04 13:23:54.273,1010123004122331,53.1,2023-01-04 13:23:54.282
19,2023-01-04 13:23:54.273,1010123004122331,52.8,2023-01-04 13:24:00.921
20,2023-01-04 13:27:56.598,1010123004122429,52.8,2023-01-04 13:27:56.618
21,2023-01-04 13:28:11.029,1010123004122749,52.5,2023-01-04 13:28:17.637
22,2023-01-04 13:32:46.592,1010123004123223,52.5,2023-01-04 13:32:53.242
23,2023-01-04 13:36:50.226,1010123004123313,52.2,2023-01-04 13:36:56.857
24,2023-01-04 13:37:12.207,1010123004123621,52.5,2023-01-04 13:37:12.226
25,2023-01-04 13:41:26.914,1010223004124110,53.1,2023-01-04 13:41:26.934
26,2023-01-04 13:55:28.688,1010223004125303,52.5,2023-01-04 13:55:28.698
27,2023-01-04 13:55:55.868,1010223004125536,52.5,2023-01-04 13:55:55.898
28,2023-01-04 14:04:43.809,1010223004130420,52.5,2023-01-04 14:04:50.460
29,2023-01-04 14:42:53.408,1010223004134159,66.3,2023-01-04 14:43:24.108
30,2023-01-04 14:43:37.658,1010123004134206,52.8,2023-01-04 14:43:45.298
31,2023-01-04 14:45:16.017,1010123004134213,53.1,2023-01-04 14:45:23.697
32,2023-01-04 14:45:32.667,1010123004134220,52.8,2023-01-04 14:45:40.316
33,2023-01-04 14:46:53.325,1010123004134352,50.1,2023-01-04 14:47:00.904
34,2023-01-04 14:51:05.460,1010123004134547,52.8,2023-01-04 14:51:05.549
35,2023-01-04 14:52:17.010,1010123004134626,48.9,2023-01-04 14:52:17.299
36,2023-01-04 14:52:24.341,1010123004134807,52.8,2023-01-04 14:52:24.591
37,2023-01-04 14:52:52.190,1010123004134815,52.5,2023-01-04 14:52:52.509
38,2023-01-04 14:52:52.190,1010123004134815,52.8,2023-01-04 14:52:59.849
39,2023-01-04 14:55:21.999,1010123004135113,53.1,2023-01-04 14:55:29.739
40,2023-01-04 14:55:38.029,1010123004135232,51.3,2023-01-04 14:55:38.198
41,2023-01-04 14:55:45.448,1010123004135239,52.8,2023-01-04 14:55:45.638
42,2023-01-04 14:56:44.398,1010123004135622,52.5,2023-01-04 14:56:44.507
43,2023-01-04 14:56:51.818,1010123004135629,52.8,2023-01-04 14:56:51.957
44,2023-01-04 14:57:06.528,1010123004135644,52.5,2023-01-04 14:57:06.746
45,2023-01-04 14:57:13.977,1010123004135651,52.8,2023-01-04 14:57:14.117
46,2023-01-04 14:57:28.607,1010123004135706,52.5,2023-01-04 14:57:28.825
47,2023-01-04 14:57:43.357,1010123004135721,52.8,2023-01-04 14:57:43.566
48,2023-01-04 14:58:35.135,1010123004135813,52.5,2023-01-04 14:58:35.315
49,2023-01-04 14:58:42.595,1010123004135820,52.8,2023-01-04 14:58:42.746
50,2023-01-04 15:00:25.533,1010123004140003,52.5,2023-01-04 15:00:25.713
51,2023-01-04 15:00:40.213,1010123004140018,52.8,2023-01-04 15:00:40.352
52,2023-01-04 15:01:09.423,1010123004140047,53.1,2023-01-04 15:01:09.632
53,2023-01-04 15:01:16.792,1010123004140055,52.8,2023-01-04 15:01:16.992
54,2023-01-04 15:06:01.628,1010123004140318,52.8,2023-01-04 15:06:01.878
55,2023-01-04 15:06:09.019,1010123004140333,48.3,2023-01-04 15:06:09.247
56,2023-01-04 15:06:16.418,1010123004140354,52.8,2023-01-04 15:06:16.608
57,2023-01-04 15:06:23.898,1010123004140401,52.5,2023-01-04 15:06:24.049
