time;Cylinder6MaxParalelismErrorInBDC
2023-01-02 06:32:44.365 CET;-1,4
2023-01-02 07:10:53.315 CET;0
2023-01-02 07:11:20.243 CET;0,1
2023-01-02 07:55:47.078 CET;0
2023-01-02 07:56:12.788 CET;0,1
2023-01-02 08:28:28.013 CET;0
2023-01-02 08:28:52.533 CET;0,1
2023-01-02 09:26:01.322 CET;0
2023-01-02 09:26:42.282 CET;0,1
2023-01-02 09:46:28.732 CET;0
2023-01-02 09:49:06.750 CET;0,1
2023-01-02 09:50:22.638 CET;0
2023-01-02 09:50:33.507 CET;0,1
2023-01-02 09:50:44.147 CET;0
2023-01-02 09:50:55.115 CET;0,1
2023-01-02 09:58:08.569 CET;0
2023-01-02 10:00:21.407 CET;0,1
2023-01-02 10:07:21.349 CET;0
2023-01-02 10:08:04.489 CET;0,1
2023-01-02 10:09:08.739 CET;0
2023-01-02 10:09:31.036 CET;0,1
2023-01-02 10:10:59.355 CET;0
2023-01-02 10:11:10.246 CET;0,1
2023-01-02 10:15:51.362 CET;0
2023-01-02 10:16:50.394 CET;0,1
2023-01-02 10:18:27.045 CET;0
2023-01-02 10:18:37.865 CET;0,1
2023-01-02 10:18:48.644 CET;0
2023-01-02 10:54:23.200 CET;-0,1
2023-01-02 10:54:32.979 CET;0
2023-01-02 10:55:02.920 CET;-0,1
2023-01-02 10:55:13.630 CET;0
2023-01-02 10:55:25.249 CET;-0,1
2023-01-02 10:57:38.318 CET;0
2023-01-02 10:57:52.417 CET;-0,1
2023-01-02 10:58:15.815 CET;0
2023-01-02 10:58:27.346 CET;-0,1
2023-01-02 10:59:22.206 CET;0
2023-01-02 10:59:33.075 CET;-0,1
2023-01-02 10:59:43.964 CET;0
2023-01-02 11:20:39.033 CET;-0,1
2023-01-02 11:32:00.099 CET;0,2
2023-01-02 11:36:10.707 CET;0,3
2023-01-02 12:10:30.910 CET;-0,5
2023-01-02 13:17:00.243 CET;-0,6
2023-01-02 13:17:09.213 CET;-0,5
2023-01-02 13:25:08.584 CET;-0,6
2023-01-02 13:25:17.624 CET;-0,5
2023-01-02 13:25:35.782 CET;-0,6
2023-01-02 13:26:02.651 CET;-0,5
2023-01-02 13:26:47.760 CET;-0,6
2023-01-02 13:26:56.730 CET;-0,5
2023-01-02 13:27:32.650 CET;-0,6
2023-01-02 13:27:50.730 CET;-0,5
2023-01-02 13:33:46.874 CET;-0,6
2023-01-02 13:34:14.104 CET;-0,5
2023-01-02 13:34:23.213 CET;-0,6
2023-01-02 13:34:32.132 CET;-0,5
2023-01-02 13:34:41.144 CET;-0,6
2023-01-02 13:34:50.184 CET;-0,5
2023-01-02 13:36:20.423 CET;-0,6
2023-01-02 13:36:29.440 CET;-0,5
2023-01-02 13:37:05.540 CET;-0,6
2023-01-02 13:37:14.571 CET;-0,5
2023-01-02 13:38:35.549 CET;-0,6
2023-01-02 13:38:53.779 CET;-0,5
2023-01-02 13:40:42.417 CET;-0,6
2023-01-02 13:40:51.457 CET;-0,5
2023-01-02 13:43:24.904 CET;-0,6
2023-01-02 13:43:34.023 CET;-0,5
2023-01-02 13:45:31.371 CET;-0,6
2023-01-02 13:45:40.331 CET;-0,5
2023-01-02 13:46:52.819 CET;-0,6
2023-01-02 13:47:01.869 CET;-0,5
2023-01-02 13:47:19.700 CET;-0,6
2023-01-02 13:47:28.579 CET;-0,5
2023-01-02 13:48:22.548 CET;-0,6
2023-01-02 13:48:31.539 CET;-0,5
2023-01-02 13:58:16.588 CET;-0,6
2023-01-02 13:58:25.635 CET;-0,5
2023-01-02 14:00:40.983 CET;-0,6
2023-01-02 14:00:58.993 CET;-0,5
2023-01-02 14:04:52.200 CET;-0,6
2023-01-02 14:05:01.240 CET;-0,5
2023-01-02 14:07:38.038 CET;-0,6
2023-01-02 14:07:47.078 CET;-0,5
2023-01-02 15:21:19.635 CET;-0,6
2023-01-02 15:21:28.596 CET;-0,5
2023-01-02 15:21:46.746 CET;-0,6
