time;PressForceValueRL
2023-01-02 10:04:51.173 CET;54,9
2023-01-02 10:05:12.632 CET;54,6
2023-01-02 10:05:23.743 CET;55,2
2023-01-02 10:05:34.782 CET;54,9
2023-01-02 10:05:56.871 CET;54,6
2023-01-02 10:06:17.911 CET;54,9
2023-01-02 10:07:15.940 CET;54,4
2023-01-02 10:07:26.470 CET;54,1
2023-01-02 10:08:33.427 CET;53,3
2023-01-02 10:08:55.348 CET;54,4
2023-01-02 10:09:27.907 CET;54,6
2023-01-02 10:09:39.028 CET;55,4
2023-01-02 10:10:01.506 CET;55,2
2023-01-02 10:10:12.055 CET;56
2023-01-02 10:10:23.496 CET;55,7
2023-01-02 10:10:44.625 CET;55,4
2023-01-02 10:11:06.625 CET;55,2
2023-01-02 10:12:10.755 CET;54,4
2023-01-02 10:12:21.515 CET;54,1
2023-01-02 10:12:32.625 CET;54,9
2023-01-02 10:15:42.813 CET;52,5
2023-01-02 10:15:53.594 CET;52,8
2023-01-02 10:16:04.073 CET;54,1
2023-01-02 10:16:31.694 CET;53,6
2023-01-02 10:16:43.604 CET;54,1
2023-01-02 10:16:55.125 CET;53,8
2023-01-02 10:17:38.394 CET;54,6
2023-01-02 10:18:00.075 CET;54,4
2023-01-02 10:18:11.105 CET;56
2023-01-02 10:18:28.645 CET;55,7
2023-01-02 10:18:39.516 CET;55,4
2023-01-02 10:18:50.484 CET;55,7
2023-01-02 10:23:59.062 CET;52
2023-01-02 10:24:10.012 CET;52,8
2023-01-02 10:24:20.242 CET;53,8
2023-01-02 10:24:42.971 CET;53,6
2023-01-02 10:42:29.114 CET;50,4
2023-01-02 10:50:35.914 CET;49,8
2023-01-02 10:51:27.023 CET;50,1
2023-01-02 10:54:05.589 CET;50,6
2023-01-02 10:55:19.898 CET;50,9
2023-01-02 10:57:16.427 CET;52
2023-01-02 10:57:28.507 CET;53
2023-01-02 10:57:39.457 CET;52,8
2023-01-02 10:57:50.187 CET;53,3
2023-01-02 10:58:01.868 CET;53
2023-01-02 10:58:13.076 CET;53,6
2023-01-02 10:58:34.357 CET;53,3
2023-01-02 10:58:45.706 CET;53
2023-01-02 10:58:56.256 CET;53,6
2023-01-02 10:59:06.826 CET;53,3
2023-01-02 10:59:17.466 CET;53,6
2023-01-02 10:59:28.095 CET;53,3
2023-01-02 10:59:39.635 CET;54,1
2023-01-02 11:00:37.505 CET;53,3
2023-01-02 11:00:48.513 CET;53,8
2023-01-02 11:00:59.164 CET;53,6
2023-01-02 11:01:09.793 CET;53,8
2023-01-02 11:01:20.342 CET;54,1
2023-01-02 11:01:31.953 CET;54,6
2023-01-02 11:20:36.723 CET;50,9
2023-01-02 11:23:39.141 CET;50,6
2023-01-02 11:23:50.039 CET;53
2023-01-02 11:24:14.539 CET;52,8
2023-01-02 11:24:25.729 CET;53,3
2023-01-02 11:25:25.427 CET;52,5
2023-01-02 11:25:36.209 CET;53
2023-01-02 11:25:46.529 CET;53,6
2023-01-02 11:34:48.348 CET;8,5
2023-01-02 11:38:37.612 CET;9
2023-01-02 12:25:15.075 CET;21,8
2023-01-02 12:32:07.028 CET;21,6
2023-01-02 12:32:27.398 CET;21,8
2023-01-02 12:37:45.173 CET;22,1
