time;Cylinder4MaxParalelismErrorInBDC
2023-01-02 13:34:23.213 CET;-0,3
2023-01-02 13:34:32.132 CET;-0,2
2023-01-02 13:34:41.144 CET;-0,4
2023-01-02 13:34:50.184 CET;-0,2
2023-01-02 13:34:59.142 CET;-0,3
2023-01-02 13:35:08.263 CET;-0,2
2023-01-02 13:35:44.292 CET;-0,3
2023-01-02 13:35:53.292 CET;-0,2
2023-01-02 13:36:20.423 CET;-0,3
2023-01-02 13:36:29.440 CET;-0,2
2023-01-02 13:37:05.540 CET;-0,3
2023-01-02 13:37:14.571 CET;-0,2
2023-01-02 13:38:35.549 CET;-0,3
2023-01-02 13:38:53.779 CET;-0,2
2023-01-02 13:39:20.979 CET;-0,3
2023-01-02 13:39:48.098 CET;-0,2
2023-01-02 13:39:57.137 CET;-0,3
2023-01-02 13:40:06.247 CET;-0,2
2023-01-02 13:40:24.256 CET;-0,3
2023-01-02 13:40:33.378 CET;-0,2
2023-01-02 13:40:42.417 CET;-0,3
2023-01-02 13:40:51.457 CET;-0,2
2023-01-02 13:41:09.546 CET;-0,3
2023-01-02 13:41:27.697 CET;-0,2
2023-01-02 13:41:36.746 CET;-0,3
2023-01-02 13:41:54.746 CET;-0,2
2023-01-02 13:42:39.936 CET;-0,3
2023-01-02 13:42:48.815 CET;-0,2
2023-01-02 13:43:24.904 CET;-0,3
2023-01-02 13:43:52.102 CET;-0,2
2023-01-02 13:44:01.142 CET;-0,3
2023-01-02 13:44:10.153 CET;-0,2
2023-01-02 13:44:19.153 CET;-0,3
2023-01-02 13:44:46.173 CET;-0,2
2023-01-02 13:45:31.371 CET;-0,3
2023-01-02 13:45:40.331 CET;-0,2
2023-01-02 13:46:52.819 CET;-0,3
2023-01-02 13:47:01.869 CET;-0,2
2023-01-02 13:47:19.700 CET;-0,3
2023-01-02 13:47:28.579 CET;-0,2
2023-01-02 13:48:04.499 CET;-0,3
2023-01-02 13:48:31.539 CET;-0,2
2023-01-02 13:48:40.588 CET;-0,3
2023-01-02 13:48:58.507 CET;-0,2
2023-01-02 13:52:32.842 CET;-0,3
2023-01-02 13:52:50.983 CET;-0,2
2023-01-02 13:53:36.273 CET;-0,3
2023-01-02 13:53:45.223 CET;-0,2
