time;PressForceValueFL
2023-01-02 11:25:46.529 CET;47,4
2023-01-02 11:34:48.348 CET;0,8
2023-01-02 11:38:37.612 CET;1,3
2023-01-02 12:25:15.075 CET;16,2
2023-01-02 12:32:07.028 CET;15,7
2023-01-02 12:32:27.398 CET;16
2023-01-02 12:38:03.944 CET;16,2
2023-01-02 12:38:22.572 CET;16
2023-01-02 12:38:31.451 CET;15,7
2023-01-02 12:38:49.552 CET;16,2
2023-01-02 12:38:58.671 CET;16
2023-01-02 12:41:05.549 CET;15,7
2023-01-02 12:41:14.588 CET;16
2023-01-02 12:41:23.398 CET;15,7
2023-01-02 12:41:32.259 CET;16
2023-01-02 12:41:41.229 CET;15,7
2023-01-02 12:42:29.407 CET;16
2023-01-02 12:42:46.427 CET;16,2
2023-01-02 12:42:55.069 CET;16
2023-01-02 12:43:12.578 CET;15,7
2023-01-02 12:43:21.467 CET;16
2023-01-02 12:43:48.197 CET;15,7
2023-01-02 12:44:23.877 CET;16
2023-01-02 12:44:41.707 CET;15,7
2023-01-02 12:44:59.625 CET;16
2023-01-02 12:45:08.426 CET;15,7
2023-01-02 12:45:17.467 CET;15,4
2023-01-02 12:45:26.436 CET;15,7
2023-01-02 12:45:35.486 CET;16
2023-01-02 12:45:44.365 CET;16,2
2023-01-02 12:45:53.315 CET;15,7
2023-01-02 12:46:47.246 CET;16
2023-01-02 12:47:05.154 CET;15,7
2023-01-02 12:47:32.194 CET;16
2023-01-02 12:47:40.993 CET;15,7
2023-01-02 12:48:07.792 CET;16
2023-01-02 12:48:16.753 CET;16,2
2023-01-02 12:48:25.723 CET;16
2023-01-02 12:48:43.553 CET;15,7
2023-01-02 12:49:28.673 CET;16
2023-01-02 12:49:46.842 CET;15,7
2023-01-02 12:49:55.802 CET;16
2023-01-02 12:50:04.992 CET;15,4
2023-01-02 12:50:13.881 CET;15,7
2023-01-02 12:50:31.880 CET;16
2023-01-02 12:50:49.801 CET;15,7
2023-01-02 12:50:59.150 CET;15,4
2023-01-02 12:51:17.000 CET;16
2023-01-02 12:51:25.890 CET;15,7
2023-01-02 12:52:56.118 CET;15,4
2023-01-02 12:53:13.967 CET;15,7
2023-01-02 12:53:22.996 CET;16
2023-01-02 12:53:31.967 CET;15,7
2023-01-02 12:53:40.927 CET;16
2023-01-02 12:53:58.835 CET;15,7
2023-01-02 12:55:37.645 CET;15,4
2023-01-02 12:55:55.555 CET;15,7
2023-01-02 12:57:16.773 CET;16
2023-01-02 12:57:25.723 CET;15,7
2023-01-02 12:58:19.812 CET;15,4
2023-01-02 12:58:37.801 CET;15,7
2023-01-02 12:59:04.601 CET;15,4
2023-01-02 12:59:13.720 CET;15,7
2023-01-02 12:59:31.799 CET;15,4
2023-01-02 12:59:40.690 CET;15,7
2023-01-02 12:59:49.650 CET;16
2023-01-02 12:59:58.608 CET;15,7
2023-01-02 13:00:07.569 CET;15,4
2023-01-02 13:00:35.019 CET;15,7
2023-01-02 13:01:02.048 CET;15,4
2023-01-02 13:01:19.898 CET;15,7
2023-01-02 13:01:37.818 CET;16
2023-01-02 13:01:46.687 CET;15,7
2023-01-02 13:02:04.848 CET;16,2
2023-01-02 13:02:31.578 CET;16,5
2023-01-02 13:02:40.767 CET;16,2
2023-01-02 13:02:49.818 CET;16
2023-01-02 13:02:58.776 CET;16,5
2023-01-02 13:03:16.855 CET;16
2023-01-02 13:03:25.805 CET;16,2
2023-01-02 13:03:34.855 CET;15,7
2023-01-02 13:03:52.694 CET;16
2023-01-02 13:04:01.734 CET;16,2
2023-01-02 13:04:10.765 CET;16
2023-01-02 13:04:28.525 CET;16,2
2023-01-02 13:04:37.565 CET;16
2023-01-02 13:04:46.535 CET;16,2
2023-01-02 13:04:55.563 CET;16
2023-01-02 13:05:13.414 CET;16,2
2023-01-02 13:05:22.293 CET;16
2023-01-02 13:05:49.323 CET;15,7
2023-01-02 13:05:58.213 CET;16
2023-01-02 13:06:33.961 CET;16,2
2023-01-02 13:06:43.012 CET;16
2023-01-02 13:06:52.042 CET;16,2
2023-01-02 13:07:00.923 CET;16
2023-01-02 13:08:03.822 CET;16,2
2023-01-02 13:08:30.690 CET;16
2023-01-02 13:08:48.690 CET;15,7
2023-01-02 13:08:57.730 CET;16
2023-01-02 13:09:24.779 CET;15,7
2023-01-02 13:09:33.819 CET;16
2023-01-02 13:09:42.930 CET;16,2
2023-01-02 13:09:51.970 CET;16
2023-01-02 13:10:09.960 CET;15,7
2023-01-02 13:10:18.859 CET;16
2023-01-02 13:10:28.069 CET;15,7
2023-01-02 13:10:37.019 CET;16,2
2023-01-02 13:10:45.980 CET;16
2023-01-02 13:10:55.019 CET;16,2
2023-01-02 13:11:03.970 CET;16
2023-01-02 13:11:12.938 CET;15,7
2023-01-02 13:11:21.818 CET;16
2023-01-02 13:11:30.697 CET;15,7
2023-01-02 13:11:48.778 CET;16
2023-01-02 13:11:57.739 CET;16,2
2023-01-02 13:12:06.618 CET;16
2023-01-02 13:12:15.578 CET;15,7
2023-01-02 13:12:42.538 CET;16
2023-01-02 13:12:51.417 CET;15,7
2023-01-02 13:13:00.377 CET;16
2023-01-02 13:13:09.575 CET;16,2
2023-01-02 13:13:18.546 CET;16
2023-01-02 13:13:54.466 CET;16,2
2023-01-02 13:14:03.415 CET;15,7
2023-01-02 13:14:21.265 CET;16
2023-01-02 13:14:39.415 CET;16,2
2023-01-02 13:14:48.466 CET;16
2023-01-02 13:15:06.453 CET;15,7
2023-01-02 13:15:42.295 CET;16
2023-01-02 13:15:51.173 CET;15,7
2023-01-02 13:16:00.052 CET;16
2023-01-02 13:16:09.253 CET;16,2
2023-01-02 13:16:27.273 CET;16
2023-01-02 13:17:03.181 CET;15,7
2023-01-02 13:17:12.142 CET;16
2023-01-02 13:17:30.540 CET;15,4
2023-01-02 13:17:39.252 CET;15,7
2023-01-02 13:17:48.371 CET;16
2023-01-02 13:17:57.272 CET;15,7
2023-01-02 13:18:33.180 CET;16
2023-01-02 13:18:42.391 CET;15,7
2023-01-02 13:18:51.341 CET;16
2023-01-02 13:19:18.390 CET;15,7
2023-01-02 13:19:45.259 CET;16,2
2023-01-02 13:19:54.299 CET;15,7
2023-01-02 13:20:21.108 CET;15,4
2023-01-02 13:20:30.068 CET;15,7
2023-01-02 13:21:33.117 CET;15,4
2023-01-02 13:21:42.056 CET;15,7
2023-01-02 13:21:51.107 CET;16
2023-01-02 13:21:59.996 CET;15,7
2023-01-02 13:22:35.907 CET;16
2023-01-02 13:22:44.867 CET;15,7
2023-01-02 13:22:53.755 CET;16
2023-01-02 13:25:18.663 CET;15,7
2023-01-02 13:25:28.483 CET;15,4
2023-01-02 13:25:47.111 CET;15,7
2023-01-02 13:25:55.982 CET;15,4
2023-01-02 13:26:05.032 CET;16
2023-01-02 13:26:14.141 CET;15,7
2023-01-02 13:26:23.181 CET;16
2023-01-02 13:26:32.071 CET;16,2
2023-01-02 13:31:25.875 CET;16
2023-01-02 13:32:55.233 CET;16,2
2023-01-02 13:33:04.073 CET;16
2023-01-02 13:33:36.085 CET;15,7
2023-01-02 13:34:02.634 CET;16
2023-01-02 13:34:11.493 CET;15,7
2023-01-02 13:34:20.394 CET;16
2023-01-02 13:34:38.303 CET;16,2
2023-01-02 13:34:47.184 CET;16
2023-01-02 13:35:32.003 CET;15,7
2023-01-02 13:35:49.914 CET;16
2023-01-02 13:35:59.032 CET;15,7
2023-01-02 13:36:08.072 CET;16
2023-01-02 13:36:17.102 CET;15,7
2023-01-02 13:36:44.071 CET;16
2023-01-02 13:36:52.950 CET;15,7
2023-01-02 13:37:01.821 CET;16
2023-01-02 13:38:33.188 CET;15,7
2023-01-02 13:39:09.039 CET;16
2023-01-02 13:39:17.908 CET;15,7
2023-01-02 13:40:02.627 CET;16
2023-01-02 13:40:11.756 CET;15,7
2023-01-02 13:40:29.586 CET;16
2023-01-02 13:40:38.638 CET;15,7
2023-01-02 13:40:47.528 CET;16
2023-01-02 13:40:56.546 CET;15,4
2023-01-02 13:41:05.516 CET;15,7
2023-01-02 13:41:14.397 CET;16
2023-01-02 13:41:50.316 CET;15,7
2023-01-02 13:42:35.036 CET;15,4
2023-01-02 13:42:43.994 CET;16
2023-01-02 13:43:10.865 CET;15,7
2023-01-02 13:43:28.882 CET;16
2023-01-02 13:44:04.622 CET;15,7
2023-01-02 13:44:31.842 CET;15,4
2023-01-02 13:44:40.941 CET;15,7
2023-01-02 13:45:17.022 CET;15,4
2023-01-02 13:45:25.901 CET;15,7
2023-01-02 13:45:35.111 CET;15,4
2023-01-02 13:46:11.200 CET;15,7
2023-01-02 13:47:32.319 CET;15,4
2023-01-02 13:47:50.319 CET;15,7
2023-01-02 13:49:10.967 CET;16
2023-01-02 13:49:19.917 CET;15,7
2023-01-02 13:49:37.927 CET;16
2023-01-02 13:49:55.756 CET;15,4
2023-01-02 13:50:04.726 CET;16
2023-01-02 13:50:22.555 CET;15,4
2023-01-02 13:51:46.325 CET;16,5
2023-01-02 13:51:55.273 CET;16,2
2023-01-02 13:52:22.003 CET;16,5
2023-01-02 13:52:39.523 CET;16,2
2023-01-02 13:53:15.443 CET;16,5
2023-01-02 13:53:24.403 CET;16,2
2023-01-02 13:53:42.322 CET;16
2023-01-02 13:53:51.292 CET;16,2
2023-01-02 13:54:09.201 CET;16
2023-01-02 13:54:18.072 CET;16,2
2023-01-02 13:54:27.111 CET;16
2023-01-02 13:54:36.092 CET;16,2
2023-01-02 13:54:45.040 CET;16
2023-01-02 13:54:54.099 CET;16,2
2023-01-02 13:55:11.910 CET;16
2023-01-02 13:55:20.890 CET;16,2
2023-01-02 13:55:29.930 CET;16
2023-01-02 13:55:38.880 CET;16,2
2023-01-02 13:55:47.930 CET;16,5
2023-01-02 13:55:56.720 CET;16,2
2023-01-02 13:56:14.480 CET;16
2023-01-02 13:56:32.490 CET;16,5
2023-01-02 13:56:41.279 CET;16
2023-01-02 13:56:50.170 CET;16,2
2023-01-02 13:57:17.198 CET;16
2023-01-02 13:57:52.957 CET;16,2
2023-01-02 13:58:02.167 CET;16
2023-01-02 13:58:20.098 CET;16,2
2023-01-02 13:58:46.895 CET;16,5
2023-01-02 13:58:55.766 CET;16
2023-01-02 13:59:04.805 CET;16,2
2023-01-02 13:59:22.815 CET;16
2023-01-02 13:59:58.974 CET;15,7
2023-01-02 14:00:07.855 CET;16
2023-01-02 14:00:16.895 CET;15,7
2023-01-02 14:00:26.005 CET;16
2023-01-02 14:00:53.045 CET;16,2
2023-01-02 14:01:02.084 CET;15,7
2023-01-02 14:01:11.053 CET;16
2023-01-02 14:01:20.244 CET;16,2
2023-01-02 14:01:29.132 CET;16
2023-01-02 14:01:47.122 CET;16,2
2023-01-02 14:02:04.973 CET;16
2023-01-02 14:02:32.082 CET;16,2
2023-01-02 14:02:41.042 CET;15,7
2023-01-02 14:02:50.013 CET;16
2023-01-02 14:02:58.961 CET;15,7
2023-01-02 14:03:34.881 CET;16
2023-01-02 14:04:02.012 CET;16,2
2023-01-02 14:04:10.891 CET;16
