time;ClutchBrakeWaterTemperature
2023-01-02 12:47:18.634 CET;29,2
2023-01-02 12:47:36.624 CET;29,3
2023-01-02 12:48:12.773 CET;29,4
2023-01-02 12:48:57.982 CET;29,5
2023-01-02 12:49:25.102 CET;29,6
2023-01-02 12:49:52.072 CET;29,7
2023-01-02 12:50:01.111 CET;29,6
2023-01-02 12:50:10.062 CET;29,7
2023-01-02 12:50:37.351 CET;29,8
2023-01-02 12:51:31.339 CET;29,9
2023-01-02 12:51:58.388 CET;30
2023-01-02 12:52:07.588 CET;29,9
2023-01-02 12:52:16.678 CET;30
2023-01-02 12:52:34.618 CET;30,1
2023-01-02 12:53:28.546 CET;30,2
2023-01-02 12:53:46.596 CET;30,3
2023-01-02 12:54:40.555 CET;30,4
2023-01-02 12:54:49.635 CET;30,5
2023-01-02 12:54:58.625 CET;30,4
2023-01-02 12:55:16.585 CET;30,5
2023-01-02 12:55:43.676 CET;30,6
2023-01-02 12:56:01.734 CET;30,7
2023-01-02 12:56:19.674 CET;30,6
2023-01-02 12:56:37.743 CET;30,7
2023-01-02 12:56:55.592 CET;30,8
2023-01-02 12:57:40.602 CET;30,9
2023-01-02 12:58:07.562 CET;31
2023-01-02 12:58:16.631 CET;30,9
2023-01-02 12:58:25.592 CET;31
2023-01-02 12:58:52.540 CET;31,1
2023-01-02 12:59:37.630 CET;31,2
2023-01-02 13:00:04.710 CET;31,3
2023-01-02 13:00:58.628 CET;31,4
2023-01-02 13:01:43.507 CET;31,5
2023-01-02 13:02:37.586 CET;31,4
2023-01-02 13:02:46.457 CET;31,5
2023-01-02 13:02:55.415 CET;31,3
2023-01-02 13:03:13.355 CET;31,2
2023-01-02 13:03:22.385 CET;31,1
2023-01-02 13:03:40.315 CET;31
2023-01-02 13:03:58.246 CET;30,9
2023-01-02 13:04:25.115 CET;30,8
2023-01-02 13:04:51.914 CET;30,7
2023-01-02 13:05:09.753 CET;30,6
2023-01-02 13:05:36.783 CET;30,5
2023-01-02 13:05:54.793 CET;30,4
2023-01-02 13:06:12.773 CET;30,3
2023-01-02 13:06:39.772 CET;30,2
2023-01-02 13:07:06.642 CET;30,1
2023-01-02 13:07:24.711 CET;30
2023-01-02 13:07:51.671 CET;29,9
2023-01-02 13:08:27.601 CET;29,8
2023-01-02 13:09:21.841 CET;29,7
2023-01-02 13:09:57.759 CET;29,6
2023-01-02 13:11:18.398 CET;29,5
2023-01-02 13:12:12.398 CET;29,4
2023-01-02 13:13:33.286 CET;29,3
2023-01-02 13:13:51.286 CET;29,4
2023-01-02 13:14:00.246 CET;29,3
2023-01-02 13:14:53.994 CET;29,2
2023-01-02 13:15:30.005 CET;29,1
2023-01-02 13:16:24.171 CET;29
2023-01-02 13:16:51.122 CET;28,9
2023-01-02 13:17:54.092 CET;28,8
2023-01-02 13:18:12.161 CET;28,9
2023-01-02 13:18:21.111 CET;28,8
2023-01-02 13:18:57.130 CET;28,7
2023-01-02 13:19:42.078 CET;28,6
2023-01-02 13:20:53.766 CET;28,5
2023-01-02 13:21:56.736 CET;28,6
2023-01-02 13:24:41.612 CET;29,1
2023-01-02 13:24:50.723 CET;29,2
2023-01-02 13:25:08.584 CET;29,3
2023-01-02 13:26:02.651 CET;29,4
2023-01-02 13:26:47.760 CET;29,5
2023-01-02 13:27:05.690 CET;29,6
2023-01-02 13:27:41.690 CET;29,7
2023-01-02 13:28:08.648 CET;29,8
2023-01-02 13:31:00.927 CET;30,1
2023-01-02 13:31:51.516 CET;30,2
2023-01-02 13:33:31.453 CET;30,3
2023-01-02 13:33:55.944 CET;30,4
2023-01-02 13:34:50.184 CET;30,5
2023-01-02 13:35:26.332 CET;30,7
2023-01-02 13:35:35.292 CET;30,6
2023-01-02 13:36:02.252 CET;30,7
2023-01-02 13:36:29.440 CET;30,8
2023-01-02 13:37:05.540 CET;30,9
2023-01-02 13:37:32.619 CET;31
2023-01-02 13:37:41.609 CET;31,1
2023-01-02 13:38:26.329 CET;31,2
2023-01-02 13:38:44.819 CET;31,3
2023-01-02 13:39:11.938 CET;31,2
2023-01-02 13:39:30.007 CET;31,1
2023-01-02 13:39:48.098 CET;31
2023-01-02 13:39:57.137 CET;30,9
2023-01-02 13:40:15.217 CET;30,8
2023-01-02 13:40:42.417 CET;30,7
2023-01-02 13:41:00.586 CET;30,6
2023-01-02 13:41:36.746 CET;30,5
2023-01-02 13:42:12.815 CET;30,3
2023-01-02 13:42:30.865 CET;30,4
2023-01-02 13:42:39.936 CET;30,3
2023-01-02 13:42:48.815 CET;30,2
2023-01-02 13:42:57.904 CET;30,1
2023-01-02 13:43:34.023 CET;30
2023-01-02 13:43:42.983 CET;29,9
2023-01-02 13:44:19.153 CET;29,8
2023-01-02 13:44:55.223 CET;29,7
2023-01-02 13:45:04.183 CET;29,8
2023-01-02 13:45:13.223 CET;29,6
2023-01-02 13:45:58.500 CET;29,5
2023-01-02 13:46:16.430 CET;29,4
2023-01-02 13:46:52.819 CET;29,5
2023-01-02 13:47:01.869 CET;29,4
2023-01-02 13:47:37.539 CET;29,3
2023-01-02 13:47:46.589 CET;29,4
2023-01-02 13:47:55.539 CET;29,3
2023-01-02 13:48:22.548 CET;29,4
2023-01-02 13:48:31.539 CET;29,3
2023-01-02 13:48:49.539 CET;29,4
2023-01-02 13:48:58.507 CET;29,3
2023-01-02 13:49:25.397 CET;29,2
2023-01-02 13:50:19.377 CET;29,1
2023-01-02 13:51:13.545 CET;29
2023-01-02 13:52:14.253 CET;28,9
2023-01-02 13:52:42.033 CET;28,8
2023-01-02 13:53:27.233 CET;28,7
2023-01-02 13:53:36.273 CET;28,8
2023-01-02 13:53:45.223 CET;28,6
2023-01-02 13:54:30.431 CET;28,5
