time;PressForceValueRR
2023-01-02 10:01:17.865 CET;63,7
2023-01-02 10:01:28.506 CET;63,4
2023-01-02 10:03:06.723 CET;62,9
2023-01-02 10:03:17.295 CET;63,2
2023-01-02 10:03:28.095 CET;63,7
2023-01-02 10:03:38.904 CET;63,2
2023-01-02 10:04:01.463 CET;63,7
2023-01-02 10:04:24.503 CET;63,2
2023-01-02 10:04:35.864 CET;64,2
2023-01-02 10:04:46.423 CET;64
2023-01-02 10:04:56.892 CET;63,4
2023-01-02 10:05:07.453 CET;64,8
2023-01-02 10:05:19.062 CET;64,2
2023-01-02 10:05:29.372 CET;64,5
2023-01-02 10:05:41.062 CET;64
2023-01-02 10:05:51.691 CET;63,7
2023-01-02 10:07:02.660 CET;62,6
2023-01-02 10:07:12.821 CET;63,4
2023-01-02 10:07:23.309 CET;62,9
2023-01-02 10:07:34.029 CET;63,2
2023-01-02 10:07:44.828 CET;63,7
2023-01-02 10:08:50.078 CET;62,6
2023-01-02 10:09:01.618 CET;63,7
2023-01-02 10:09:12.108 CET;63,4
2023-01-02 10:09:23.778 CET;63,7
2023-01-02 10:09:44.887 CET;64,2
2023-01-02 10:09:56.426 CET;64
2023-01-02 10:10:07.936 CET;63,4
2023-01-02 10:10:18.496 CET;64
2023-01-02 10:10:29.865 CET;63,7
2023-01-02 10:10:50.986 CET;65
2023-01-02 10:11:57.595 CET;63,2
2023-01-02 10:12:07.545 CET;62,9
2023-01-02 10:12:18.184 CET;63,2
2023-01-02 10:13:15.124 CET;62,9
2023-01-02 10:16:08.473 CET;61,8
2023-01-02 10:16:19.513 CET;63,4
2023-01-02 10:16:30.164 CET;63,7
2023-01-02 10:16:40.874 CET;63,4
2023-01-02 10:16:51.654 CET;62,9
2023-01-02 10:17:02.354 CET;63,4
2023-01-02 10:17:24.523 CET;63,2
2023-01-02 10:17:35.154 CET;63,7
2023-01-02 10:17:56.744 CET;63,4
2023-01-02 10:18:07.474 CET;63,2
2023-01-02 10:18:18.184 CET;63,4
2023-01-02 10:18:28.994 CET;63,2
2023-01-02 10:18:56.875 CET;63,4
2023-01-02 10:19:07.474 CET;63,7
2023-01-02 10:23:51.941 CET;63,2
2023-01-02 10:24:19.882 CET;62,9
2023-01-02 10:26:42.848 CET;63,4
2023-01-02 10:44:43.342 CET;62,1
2023-01-02 10:51:15.102 CET;62,4
2023-01-02 10:54:56.190 CET;61,8
2023-01-02 10:55:06.589 CET;62,4
2023-01-02 10:55:17.198 CET;62,9
2023-01-02 10:55:27.658 CET;62,4
2023-01-02 10:57:06.707 CET;61,6
2023-01-02 10:57:19.368 CET;62,1
2023-01-02 10:57:33.628 CET;62,4
2023-01-02 10:58:08.796 CET;62,1
2023-01-02 10:58:20.385 CET;62,6
2023-01-02 10:58:30.946 CET;62,4
2023-01-02 10:58:41.496 CET;62,9
2023-01-02 10:58:52.697 CET;62,6
2023-01-02 10:59:03.336 CET;62,9
2023-01-02 10:59:13.976 CET;62,6
2023-01-02 10:59:24.714 CET;63,2
2023-01-02 11:00:24.224 CET;61,8
2023-01-02 11:00:34.783 CET;63,2
2023-01-02 11:00:45.365 CET;62,6
2023-01-02 11:01:06.545 CET;63,2
2023-01-02 11:01:27.914 CET;62,6
2023-01-02 11:01:39.043 CET;62,9
2023-01-02 11:20:46.832 CET;62,1
2023-01-02 11:24:01.319 CET;62,4
2023-01-02 11:24:11.809 CET;62,6
2023-01-02 11:24:22.328 CET;62,9
2023-01-02 11:24:33.029 CET;62,4
2023-01-02 11:24:43.608 CET;62,9
2023-01-02 11:36:05.075 CET;2,1
2023-01-02 12:24:21.395 CET;21,3
2023-01-02 12:31:47.269 CET;20,2
2023-01-02 12:37:25.713 CET;19,7
2023-01-02 12:37:34.763 CET;19,2
2023-01-02 12:37:43.903 CET;19,7
2023-01-02 12:37:52.943 CET;20
2023-01-02 12:38:01.832 CET;19,4
2023-01-02 12:38:19.671 CET;19,2
2023-01-02 12:38:28.871 CET;19,4
2023-01-02 12:38:47.032 CET;20
2023-01-02 12:38:55.742 CET;19,4
2023-01-02 12:39:04.621 CET;19,2
2023-01-02 12:39:13.822 CET;20
2023-01-02 12:39:22.861 CET;19,7
2023-01-02 12:39:31.831 CET;19,4
2023-01-02 12:39:40.700 CET;20
2023-01-02 12:39:49.831 CET;20,2
2023-01-02 12:41:01.279 CET;20,5
2023-01-02 12:41:10.398 CET;20,2
2023-01-02 12:41:19.348 CET;20
2023-01-02 12:41:45.908 CET;20,5
2023-01-02 12:41:54.880 CET;20
2023-01-02 12:42:12.630 CET;20,2
2023-01-02 12:43:08.398 CET;20
2023-01-02 12:43:17.517 CET;20,5
2023-01-02 12:43:26.237 CET;20,2
2023-01-02 12:43:35.276 CET;20,5
2023-01-02 12:43:44.078 CET;20,2
2023-01-02 12:44:19.846 CET;20
2023-01-02 12:44:37.756 CET;20,2
2023-01-02 12:44:46.477 CET;19,7
2023-01-02 12:44:55.427 CET;20,2
2023-01-02 12:45:04.395 CET;20,5
2023-01-02 12:45:13.437 CET;20
2023-01-02 12:45:22.395 CET;20,2
2023-01-02 12:45:49.437 CET;20,5
2023-01-02 12:46:07.526 CET;20,8
2023-01-02 12:46:25.434 CET;20,5
2023-01-02 12:47:01.365 CET;20,8
2023-01-02 12:47:10.563 CET;20,5
2023-01-02 12:47:28.563 CET;20,2
2023-01-02 12:47:37.684 CET;20,8
2023-01-02 12:47:46.723 CET;20,5
2023-01-02 12:48:04.802 CET;20,8
2023-01-02 12:48:22.723 CET;20,5
2023-01-02 12:48:31.763 CET;20,8
2023-01-02 12:48:49.924 CET;21
2023-01-02 12:48:58.891 CET;20,8
2023-01-02 12:49:17.042 CET;21,3
2023-01-02 12:49:26.082 CET;20,5
2023-01-02 12:49:34.961 CET;21
2023-01-02 12:49:44.253 CET;20,8
2023-01-02 12:49:53.040 CET;20,2
2023-01-02 12:50:11.042 CET;21
2023-01-02 12:50:20.082 CET;20,5
2023-01-02 12:51:05.130 CET;20,8
