time;Gear3MaxTorque
2023-01-02 06:40:20.167 CET;6,4
2023-01-02 06:43:46.632 CET;5,5
2023-01-02 07:12:18.931 CET;23,7
2023-01-02 07:12:33.872 CET;24,4
2023-01-02 07:55:51.937 CET;24,2
2023-01-02 07:56:02.778 CET;24
2023-01-02 07:56:43.526 CET;24,4
2023-01-02 07:56:54.227 CET;23,8
2023-01-02 07:57:05.026 CET;23,9
2023-01-02 07:57:15.836 CET;24,8
2023-01-02 07:57:26.706 CET;24
2023-01-02 07:57:49.105 CET;23,5
2023-01-02 08:01:47.092 CET;23,9
2023-01-02 08:02:11.490 CET;24
2023-01-02 08:07:40.255 CET;23,4
2023-01-02 08:07:50.884 CET;24,1
2023-01-02 08:08:01.515 CET;24,4
2023-01-02 08:08:12.154 CET;24,5
2023-01-02 08:08:22.875 CET;25
2023-01-02 08:08:33.594 CET;24,9
2023-01-02 08:08:44.233 CET;24,2
2023-01-02 08:08:54.953 CET;24,5
2023-01-02 08:10:38.823 CET;23,8
2023-01-02 08:10:49.671 CET;24,9
2023-01-02 08:13:31.940 CET;24,1
2023-01-02 08:13:42.640 CET;25,3
2023-01-02 08:13:53.279 CET;23,9
2023-01-02 08:15:53.627 CET;24,1
2023-01-02 08:17:27.367 CET;23,8
2023-01-02 08:17:49.734 CET;23,9
2023-01-02 08:18:02.654 CET;23,5
2023-01-02 08:18:13.934 CET;23,2
2023-01-02 08:18:26.884 CET;23,8
2023-01-02 08:18:38.325 CET;23,6
2023-01-02 08:19:02.563 CET;23,9
2023-01-02 08:19:20.822 CET;23,5
2023-01-02 08:19:37.864 CET;23,9
2023-01-02 08:28:44.233 CET;25,1
2023-01-02 08:28:54.973 CET;24,4
2023-01-02 08:29:05.693 CET;24,1
2023-01-02 08:29:16.332 CET;23,9
2023-01-02 08:29:26.971 CET;24,2
2023-01-02 08:29:37.683 CET;24,7
2023-01-02 08:29:48.411 CET;23,5
2023-01-02 08:29:59.052 CET;23,7
2023-01-02 08:31:46.398 CET;24
2023-01-02 08:31:57.219 CET;23,8
2023-01-02 08:33:42.897 CET;24,1
2023-01-02 08:33:53.687 CET;24,2
2023-01-02 08:34:04.496 CET;23,9
2023-01-02 08:36:07.236 CET;23,7
2023-01-02 08:36:18.026 CET;23
2023-01-02 08:36:28.665 CET;25
2023-01-02 08:36:39.375 CET;24,9
