time;SlideSpeedUp
2023-01-02 09:52:54.875 CET;561,1
2023-01-02 09:53:06.473 CET;561
2023-01-02 09:53:17.664 CET;578,9
2023-01-02 09:53:28.384 CET;561,3
2023-01-02 09:53:40.075 CET;560,1
2023-01-02 09:55:12.282 CET;560,2
2023-01-02 09:55:25.693 CET;558,5
2023-01-02 09:55:36.632 CET;559,3
2023-01-02 09:55:47.601 CET;560,1
2023-01-02 09:55:58.882 CET;576
2023-01-02 09:56:09.423 CET;576,5
2023-01-02 09:56:20.230 CET;561,6
2023-01-02 09:56:31.750 CET;559,8
2023-01-02 09:56:52.210 CET;577,6
2023-01-02 09:57:02.480 CET;578,2
2023-01-02 09:57:12.721 CET;577,8
2023-01-02 09:57:22.961 CET;580,4
2023-01-02 09:57:33.282 CET;595,5
2023-01-02 09:57:43.680 CET;577,3
2023-01-02 09:57:54.561 CET;577,9
2023-01-02 09:58:05.680 CET;580,4
2023-01-02 09:58:16.400 CET;578
2023-01-02 09:58:39.640 CET;562,4
2023-01-02 09:58:49.950 CET;579,5
2023-01-02 09:59:00.150 CET;577,4
2023-01-02 10:00:34.766 CET;574,1
2023-01-02 10:00:45.167 CET;561,7
2023-01-02 10:01:21.566 CET;577,4
2023-01-02 10:01:32.486 CET;575,6
2023-01-02 10:01:43.207 CET;573,4
2023-01-02 10:01:54.075 CET;577,6
2023-01-02 10:03:21.144 CET;559,6
2023-01-02 10:03:32.734 CET;558,9
2023-01-02 10:03:43.763 CET;576,8
2023-01-02 10:03:54.644 CET;561,5
2023-01-02 10:04:06.253 CET;563,3
2023-01-02 10:04:17.684 CET;561,7
2023-01-02 10:04:29.134 CET;563,3
2023-01-02 10:04:40.414 CET;579
2023-01-02 10:04:51.042 CET;561,2
2023-01-02 10:05:02.253 CET;580,4
2023-01-02 10:05:12.792 CET;578,1
2023-01-02 10:05:23.683 CET;577,4
2023-01-02 10:05:34.903 CET;578,6
2023-01-02 10:05:45.921 CET;559
2023-01-02 10:05:56.881 CET;559,7
2023-01-02 10:06:07.921 CET;573,9
2023-01-02 10:06:18.960 CET;591
2023-01-02 10:06:29.520 CET;576,7
2023-01-02 10:08:25.838 CET;573,2
2023-01-02 10:08:36.078 CET;575,7
2023-01-02 10:08:46.318 CET;577,3
2023-01-02 10:09:06.959 CET;578,2
2023-01-02 10:09:18.088 CET;576,3
2023-01-02 10:09:28.967 CET;593,5
2023-01-02 10:09:39.598 CET;576,7
2023-01-02 10:09:50.806 CET;595,2
2023-01-02 10:10:01.766 CET;580,1
2023-01-02 10:10:12.476 CET;577,4
2023-01-02 10:10:23.117 CET;561,2
2023-01-02 10:10:34.576 CET;580
2023-01-02 10:10:45.605 CET;592,5
2023-01-02 10:10:56.246 CET;576,9
2023-01-02 10:11:07.296 CET;579,2
2023-01-02 10:11:18.255 CET;575,8
2023-01-02 10:12:21.755 CET;575,5
2023-01-02 10:12:32.634 CET;560,4
2023-01-02 10:12:43.684 CET;579
2023-01-02 10:15:53.874 CET;573,9
2023-01-02 10:16:04.664 CET;577,1
2023-01-02 10:16:15.694 CET;574,9
2023-01-02 10:16:42.703 CET;558,6
2023-01-02 10:16:54.654 CET;560,9
2023-01-02 10:17:06.265 CET;559,6
2023-01-02 10:17:17.224 CET;558,6
2023-01-02 10:17:28.174 CET;577,8
2023-01-02 10:17:38.884 CET;579,1
2023-01-02 10:17:49.444 CET;560,7
2023-01-02 10:18:00.575 CET;580,2
2023-01-02 10:18:21.016 CET;562,5
2023-01-02 10:18:31.214 CET;561,6
2023-01-02 10:18:41.446 CET;581,1
2023-01-02 10:18:51.625 CET;576,7
2023-01-02 10:23:51.492 CET;560,3
2023-01-02 10:24:01.773 CET;578,9
2023-01-02 10:24:12.012 CET;577,9
2023-01-02 10:24:22.252 CET;575,8
2023-01-02 10:24:32.572 CET;576,4
2023-01-02 10:24:42.822 CET;558,3
2023-01-02 10:24:53.951 CET;575,1
2023-01-02 10:42:40.114 CET;574
2023-01-02 10:50:46.953 CET;575,2
2023-01-02 10:51:37.963 CET;575,1
2023-01-02 10:54:16.670 CET;576,4
2023-01-02 10:57:10.546 CET;576,7
2023-01-02 10:57:20.848 CET;562,6
2023-01-02 10:57:31.058 CET;578,5
2023-01-02 10:57:41.378 CET;579
2023-01-02 10:57:51.536 CET;578,2
2023-01-02 10:58:01.857 CET;576,8
2023-01-02 10:58:12.917 CET;564,3
2023-01-02 10:58:24.046 CET;578,8
2023-01-02 10:58:34.996 CET;577,7
2023-01-02 10:58:45.957 CET;577
2023-01-02 10:58:56.667 CET;575,9
2023-01-02 10:59:07.236 CET;578,8
2023-01-02 10:59:17.795 CET;578
2023-01-02 10:59:28.595 CET;579,7
2023-01-02 10:59:39.075 CET;560,1
2023-01-02 10:59:50.686 CET;575,2
2023-01-02 11:00:48.575 CET;576,6
2023-01-02 11:00:59.644 CET;575,9
2023-01-02 11:01:10.775 CET;592,5
2023-01-02 11:01:21.403 CET;594,2
2023-01-02 11:01:31.963 CET;561,2
2023-01-02 11:01:43.084 CET;559,1
2023-01-02 11:23:31.420 CET;574,1
2023-01-02 11:23:41.640 CET;578,6
2023-01-02 11:23:51.969 CET;576,1
2023-01-02 11:24:02.279 CET;578,7
2023-01-02 11:24:25.628 CET;559,7
2023-01-02 11:25:17.838 CET;577,6
2023-01-02 11:25:28.038 CET;558,8
2023-01-02 11:25:38.358 CET;578,4
2023-01-02 11:25:48.596 CET;578,2
2023-01-02 11:25:58.846 CET;560,2
2023-01-02 11:34:34.727 CET;138,1
2023-01-02 11:37:48.713 CET;2,1
2023-01-02 20:20:03.881 CET;2
2023-01-02 20:23:59.469 CET;2,1
2023-01-02 21:14:06.167 CET;452,1
2023-01-02 21:15:53.073 CET;452,6
2023-01-02 21:32:49.115 CET;467,9
2023-01-02 21:32:58.815 CET;452,3
2023-01-02 21:33:08.655 CET;468,5
2023-01-02 21:33:17.924 CET;425,5
2023-01-02 21:33:27.125 CET;439,3
2023-01-02 21:33:36.234 CET;426,8
2023-01-02 21:33:45.436 CET;441,6
2023-01-02 21:33:54.565 CET;441,2
2023-01-02 21:34:03.765 CET;427,5
2023-01-02 21:34:13.046 CET;428,3
2023-01-02 21:34:22.244 CET;428,6
2023-01-02 21:34:31.434 CET;443,1
2023-01-02 21:34:40.644 CET;429,1
2023-01-02 21:34:49.765 CET;442
2023-01-02 21:34:58.964 CET;427,2
2023-01-02 21:35:08.164 CET;426,6
2023-01-02 21:35:17.845 CET;428,6
2023-01-02 21:35:28.033 CET;441,9
2023-01-02 21:35:38.674 CET;443,1
2023-01-02 21:35:47.763 CET;455,3
2023-01-02 21:37:49.782 CET;467,1
2023-01-02 21:38:00.022 CET;454,3
2023-01-02 21:38:09.601 CET;450,4
2023-01-02 21:38:18.811 CET;440,4
2023-01-02 21:38:28.009 CET;453,8
2023-01-02 21:38:37.119 CET;468,8
2023-01-02 21:38:46.240 CET;427,7
2023-01-02 21:38:55.529 CET;441,4
2023-01-02 21:39:04.730 CET;426,7
2023-01-02 21:39:13.769 CET;428,6
2023-01-02 21:39:23.529 CET;425,7
2023-01-02 21:40:51.249 CET;439,7
2023-01-02 21:41:00.908 CET;426,5
2023-01-02 21:41:10.078 CET;442,2
2023-01-02 21:41:19.217 CET;441,5
2023-01-02 21:41:28.407 CET;442,7
2023-01-02 21:41:37.707 CET;425,6
2023-01-02 21:41:46.885 CET;443,2
2023-01-02 21:41:56.176 CET;442
2023-01-02 21:42:05.365 CET;455,6
2023-01-02 21:44:23.765 CET;453,4
2023-01-02 21:44:34.124 CET;423,2
2023-01-02 21:44:43.862 CET;437,2
2023-01-02 21:45:33.502 CET;423,1
2023-01-02 21:45:42.651 CET;439,9
2023-01-02 21:45:51.851 CET;439,8
2023-01-02 21:46:01.042 CET;425,5
2023-01-02 21:46:10.173 CET;426,3
2023-01-02 21:46:40.203 CET;439
2023-01-02 21:50:09.220 CET;437,1
2023-01-02 21:50:18.259 CET;426,1
2023-01-02 21:51:38.816 CET;425,4
2023-01-02 21:51:49.246 CET;425,7
2023-01-02 21:55:48.413 CET;453,3
2023-01-02 21:55:58.191 CET;453,7
2023-01-02 21:56:08.273 CET;424,9
2023-01-02 21:56:17.542 CET;426,9
2023-01-02 21:56:26.663 CET;426
2023-01-02 21:56:35.861 CET;455,1
2023-01-02 22:01:38.345 CET;437,2
2023-01-02 22:01:47.464 CET;422,5
2023-01-02 22:01:56.665 CET;423
2023-01-02 22:02:05.786 CET;453,3
2023-01-02 22:03:24.584 CET;436,4
2023-01-02 22:03:33.904 CET;423,7
2023-01-02 22:03:43.063 CET;425,6
2023-01-02 22:03:52.283 CET;439
2023-01-02 22:04:01.384 CET;425
2023-01-02 22:04:10.584 CET;426,2
2023-01-02 22:04:19.701 CET;440,1
2023-01-02 22:04:28.901 CET;440,9
2023-01-02 22:04:38.102 CET;442,3
2023-01-02 22:04:47.232 CET;440,9
2023-01-02 22:04:56.351 CET;439,4
2023-01-02 22:05:05.621 CET;440,7
2023-01-02 22:05:14.742 CET;424,6
2023-01-02 22:05:23.941 CET;440,1
2023-01-02 22:05:33.141 CET;440,4
2023-01-02 22:05:42.263 CET;425,9
2023-01-02 22:05:51.461 CET;438,8
2023-01-02 22:06:00.663 CET;440,4
2023-01-02 22:06:09.871 CET;426,1
2023-01-02 22:06:19.082 CET;453,8
2023-01-02 22:06:28.273 CET;440,5
2023-01-02 22:06:37.392 CET;425,1
2023-01-02 22:06:55.694 CET;453,3
2023-01-02 22:07:04.834 CET;425,8
2023-01-02 22:07:14.045 CET;410,5
2023-01-02 22:07:23.233 CET;440,7
2023-01-02 22:07:32.434 CET;425,2
2023-01-02 22:07:41.805 CET;439,4
2023-01-02 22:07:50.993 CET;425,3
2023-01-02 22:08:00.194 CET;438,4
2023-01-02 22:08:09.404 CET;426,1
2023-01-02 22:08:18.595 CET;457
2023-01-02 22:08:27.795 CET;441
2023-01-02 22:08:36.905 CET;428,1
2023-01-02 22:08:46.194 CET;453,2
2023-01-02 22:08:55.305 CET;440,7
2023-01-02 22:09:13.805 CET;455,6
2023-01-02 22:09:22.996 CET;425,8
2023-01-02 22:09:32.286 CET;410,3
2023-01-02 22:09:41.476 CET;440
2023-01-02 22:09:50.687 CET;440,1
2023-01-02 22:09:59.796 CET;409,9
2023-01-02 22:10:09.076 CET;425,2
2023-01-02 22:10:18.286 CET;453
2023-01-02 22:10:27.566 CET;427
2023-01-02 22:10:36.766 CET;466,8
2023-01-02 22:10:46.046 CET;438,4
2023-01-02 22:10:55.256 CET;424,5
2023-01-02 22:11:04.536 CET;426,1
2023-01-02 22:11:13.726 CET;438,7
2023-01-02 22:11:22.927 CET;428,1
2023-01-02 22:11:32.197 CET;426,8
2023-01-02 22:11:41.417 CET;428,5
2023-01-02 22:11:50.687 CET;425,2
2023-01-02 22:11:59.966 CET;425,7
2023-01-02 22:12:09.167 CET;452,6
2023-01-02 22:12:18.456 CET;426,9
2023-01-02 22:12:27.655 CET;440
2023-01-02 22:12:36.936 CET;439,6
