time;ClutchBrakeTemperatureUnitOil
2023-01-02 06:28:45.000 CET;36,1
2023-01-02 07:14:03.200 CET;46,3
2023-01-02 07:14:17.351 CET;46
2023-01-02 07:56:34.697 CET;44,4
2023-01-02 07:56:44.857 CET;44,2
2023-01-02 07:56:55.266 CET;44,8
2023-01-02 07:57:05.937 CET;44,4
2023-01-02 07:57:28.905 CET;44,1
2023-01-02 07:57:40.335 CET;44,4
2023-01-02 08:01:38.562 CET;46,3
2023-01-02 08:02:02.812 CET;46,1
2023-01-02 08:05:48.947 CET;45,9
2023-01-02 08:06:22.766 CET;46,1
2023-01-02 08:08:12.505 CET;46,2
2023-01-02 08:08:33.934 CET;46,3
2023-01-02 08:08:44.733 CET;46,4
2023-01-02 08:10:30.092 CET;47,1
2023-01-02 08:13:28.740 CET;47,3
2023-01-02 08:13:43.020 CET;47,2
2023-01-02 08:15:45.127 CET;47
2023-01-02 08:15:55.066 CET;47,1
2023-01-02 08:17:40.984 CET;47,2
2023-01-02 08:17:53.545 CET;47
2023-01-02 08:18:17.704 CET;46,9
2023-01-02 08:18:29.454 CET;47
2023-01-02 08:18:41.394 CET;47,1
2023-01-02 08:18:53.713 CET;46,9
2023-01-02 08:19:11.903 CET;47,2
2023-01-02 08:19:29.053 CET;47,4
2023-01-02 08:26:41.224 CET;47,5
2023-01-02 08:28:43.313 CET;47,6
2023-01-02 08:28:55.394 CET;47,7
2023-01-02 08:29:06.114 CET;47,6
2023-01-02 08:29:27.392 CET;47,7
2023-01-02 08:29:48.832 CET;47,8
2023-01-02 08:31:37.631 CET;48,3
2023-01-02 08:31:47.619 CET;48,1
2023-01-02 08:33:44.357 CET;48,2
2023-01-02 08:34:05.556 CET;48,1
2023-01-02 08:36:28.984 CET;47,9
2023-01-02 08:37:01.085 CET;48
2023-01-02 08:37:11.724 CET;47,9
2023-01-02 08:37:22.276 CET;47,8
2023-01-02 08:38:54.174 CET;48,2
2023-01-02 08:44:23.627 CET;47,3
2023-01-02 08:44:50.246 CET;47,5
2023-01-02 08:45:00.805 CET;47,3
2023-01-02 08:47:13.233 CET;47,1
2023-01-02 08:47:40.253 CET;47
2023-01-02 08:48:26.681 CET;47,2
2023-01-02 08:48:37.153 CET;47,1
2023-01-02 08:48:48.611 CET;47
2023-01-02 08:49:00.132 CET;47,3
2023-01-02 08:51:15.569 CET;47,2
2023-01-02 08:51:26.128 CET;47,3
2023-01-02 08:51:36.680 CET;47,1
2023-01-02 08:53:56.306 CET;47,4
2023-01-02 08:54:06.926 CET;47,3
2023-01-02 08:54:17.565 CET;47,2
2023-01-02 08:54:28.125 CET;47,1
2023-01-02 08:54:50.296 CET;47
2023-01-02 08:55:00.936 CET;46,9
2023-01-02 08:55:11.736 CET;47,2
2023-01-02 08:55:22.454 CET;47,1
2023-01-02 08:55:33.256 CET;47,3
2023-01-02 08:55:43.966 CET;47,4
2023-01-02 08:55:54.775 CET;47,5
2023-01-02 08:56:16.283 CET;47,6
2023-01-02 08:56:47.084 CET;48
2023-01-02 08:56:57.563 CET;47,7
2023-01-02 09:26:22.002 CET;46,9
2023-01-02 09:26:43.492 CET;46,8
2023-01-02 09:27:57.500 CET;46,6
2023-01-02 09:28:28.069 CET;46,7
2023-01-02 09:28:50.150 CET;46,8
2023-01-02 09:29:36.160 CET;46,9
2023-01-02 09:29:46.709 CET;47
2023-01-02 09:30:08.698 CET;47,1
2023-01-02 09:30:20.318 CET;47,2
2023-01-02 09:31:22.556 CET;47,7
2023-01-02 09:31:34.226 CET;47,6
2023-01-02 09:31:44.717 CET;47,8
2023-01-02 09:31:56.226 CET;47,5
2023-01-02 09:32:07.756 CET;47,8
2023-01-02 09:32:18.147 CET;47,5
2023-01-02 09:32:29.845 CET;47,3
2023-01-02 09:32:40.305 CET;47,5
2023-01-02 09:32:51.756 CET;47,6
2023-01-02 09:37:07.881 CET;47,4
2023-01-02 09:38:08.381 CET;47,3
2023-01-02 09:40:40.907 CET;47,5
2023-01-02 09:41:20.207 CET;47,4
2023-01-02 09:49:19.608 CET;47,5
2023-01-02 09:49:30.568 CET;47,6
2023-01-02 09:49:41.778 CET;47,5
2023-01-02 09:49:52.326 CET;47,4
2023-01-02 09:50:02.957 CET;47,7
2023-01-02 09:50:24.806 CET;47,9
2023-01-02 09:50:36.417 CET;48
2023-01-02 09:50:46.806 CET;48,1
2023-01-02 09:50:57.367 CET;48,2
2023-01-02 09:51:08.086 CET;48
2023-01-02 09:51:19.766 CET;48,4
2023-01-02 09:52:19.065 CET;48,7
2023-01-02 09:52:39.696 CET;48,5
2023-01-02 09:52:50.565 CET;48,6
2023-01-02 09:54:50.493 CET;48,7
2023-01-02 09:55:00.322 CET;48,6
2023-01-02 09:55:21.042 CET;48,5
2023-01-02 09:55:31.693 CET;48,4
2023-01-02 09:55:42.971 CET;48,6
2023-01-02 09:56:04.092 CET;48,7
2023-01-02 09:56:15.700 CET;48,8
2023-01-02 09:56:27.141 CET;48,6
2023-01-02 09:56:37.611 CET;48,7
2023-01-02 09:56:49.141 CET;48,8
2023-01-02 09:57:16.290 CET;48,9
2023-01-02 09:57:27.822 CET;49,1
2023-01-02 09:57:49.960 CET;49
2023-01-02 09:58:00.490 CET;49,1
2023-01-02 09:58:11.049 CET;49
2023-01-02 09:58:32.259 CET;48,9
2023-01-02 10:00:45.687 CET;48,5
2023-01-02 10:01:07.138 CET;48,4
2023-01-02 10:01:17.865 CET;48,3
2023-01-02 10:02:56.744 CET;48,4
2023-01-02 10:03:17.295 CET;48,5
2023-01-02 10:03:28.095 CET;48,3
2023-01-02 10:03:38.904 CET;48,2
2023-01-02 10:03:50.023 CET;48,3
2023-01-02 10:04:01.463 CET;48,6
2023-01-02 10:04:46.423 CET;48,7
2023-01-02 10:05:51.691 CET;48,9
2023-01-02 10:06:03.312 CET;48,7
2023-01-02 10:07:02.660 CET;49
2023-01-02 10:07:12.821 CET;48,8
2023-01-02 10:07:23.309 CET;48,7
2023-01-02 10:07:34.029 CET;48,5
2023-01-02 10:08:50.078 CET;48,7
2023-01-02 10:09:01.618 CET;48,6
2023-01-02 10:09:23.778 CET;48,4
2023-01-02 10:09:34.417 CET;48,6
2023-01-02 10:09:44.887 CET;48,4
2023-01-02 10:10:07.936 CET;48,5
2023-01-02 10:10:18.496 CET;48,7
2023-01-02 10:10:40.415 CET;48,8
2023-01-02 10:10:50.986 CET;48,9
2023-01-02 10:11:57.595 CET;49
2023-01-02 10:12:07.545 CET;48,8
2023-01-02 10:12:18.184 CET;48,7
2023-01-02 10:13:15.124 CET;48,6
2023-01-02 10:14:23.441 CET;48,7
2023-01-02 10:16:08.473 CET;48,3
2023-01-02 10:16:30.164 CET;48,1
2023-01-02 10:16:40.874 CET;48,3
2023-01-02 10:17:02.354 CET;48,2
2023-01-02 10:17:24.523 CET;48,3
2023-01-02 10:17:35.154 CET;48,4
2023-01-02 10:17:56.744 CET;48,5
2023-01-02 10:18:07.474 CET;48,6
2023-01-02 10:18:18.184 CET;48,7
2023-01-02 10:18:45.265 CET;49
2023-01-02 10:18:56.875 CET;48,9
2023-01-02 10:23:51.941 CET;48,4
2023-01-02 10:24:19.882 CET;48,3
2023-01-02 10:26:42.848 CET;48,4
2023-01-02 10:44:43.342 CET;46,7
2023-01-02 10:51:02.703 CET;46,9
2023-01-02 10:51:15.102 CET;46,8
2023-01-02 10:54:56.190 CET;47,1
2023-01-02 10:55:17.198 CET;47,2
2023-01-02 10:55:27.658 CET;47,1
2023-01-02 10:57:06.707 CET;47,6
2023-01-02 10:57:19.368 CET;47,4
2023-01-02 10:57:33.628 CET;47,5
2023-01-02 10:58:08.796 CET;47,4
2023-01-02 10:58:20.385 CET;47,5
2023-01-02 10:58:30.946 CET;47,6
2023-01-02 10:58:41.496 CET;47,7
2023-01-02 10:58:52.697 CET;47,9
2023-01-02 10:59:03.336 CET;47,8
2023-01-02 10:59:13.976 CET;48,1
2023-01-02 11:00:24.224 CET;48,4
2023-01-02 11:00:45.365 CET;48,3
2023-01-02 11:01:06.545 CET;48,4
2023-01-02 11:01:17.183 CET;48,6
2023-01-02 11:01:27.914 CET;48,4
2023-01-02 11:01:39.043 CET;48,6
2023-01-02 11:20:46.832 CET;46,7
2023-01-02 11:23:49.888 CET;46,9
2023-01-02 11:24:01.319 CET;46,8
2023-01-02 11:24:11.809 CET;46,9
2023-01-02 11:24:22.328 CET;46,8
2023-01-02 11:24:43.608 CET;46,9
2023-01-02 11:36:05.075 CET;45,8
2023-01-02 11:40:02.621 CET;45,2
2023-01-02 12:24:21.395 CET;45,5
2023-01-02 12:31:47.269 CET;45,9
2023-01-02 12:32:07.977 CET;46,1
2023-01-02 12:37:25.713 CET;45,8
2023-01-02 12:37:34.763 CET;45,6
2023-01-02 12:38:01.832 CET;45,8
2023-01-02 12:38:10.703 CET;45,6
2023-01-02 12:38:19.671 CET;45,5
2023-01-02 12:38:37.832 CET;45,7
2023-01-02 12:38:47.032 CET;45,6
2023-01-02 12:38:55.742 CET;45,5
2023-01-02 12:39:04.621 CET;45,7
2023-01-02 12:39:13.822 CET;45,4
2023-01-02 12:39:22.861 CET;45,5
2023-01-02 12:39:40.700 CET;45,4
2023-01-02 12:39:49.831 CET;45,5
2023-01-02 12:40:42.619 CET;45,8
2023-01-02 12:41:01.279 CET;45,9
2023-01-02 12:41:19.348 CET;45,7
2023-01-02 12:41:28.148 CET;45,8
2023-01-02 12:41:37.108 CET;46
2023-01-02 12:41:45.908 CET;45,8
2023-01-02 12:41:54.880 CET;46
2023-01-02 12:42:03.990 CET;45,9
2023-01-02 12:42:12.630 CET;45,6
2023-01-02 12:42:21.757 CET;45,8
2023-01-02 12:42:50.358 CET;46,1
2023-01-02 12:43:08.398 CET;46
2023-01-02 12:43:17.517 CET;46,2
2023-01-02 12:43:26.237 CET;46,1
2023-01-02 12:43:35.276 CET;46
2023-01-02 12:43:53.038 CET;45,9
2023-01-02 12:44:01.987 CET;46
2023-01-02 12:44:10.806 CET;46,2
2023-01-02 12:44:19.846 CET;46,3
2023-01-02 12:44:28.476 CET;46,1
2023-01-02 12:44:37.756 CET;46,2
2023-01-02 12:44:46.477 CET;46,3
2023-01-02 12:45:04.395 CET;46,4
2023-01-02 12:45:13.437 CET;46,5
2023-01-02 12:45:22.395 CET;46,7
2023-01-02 12:45:31.357 CET;46,6
2023-01-02 12:45:40.395 CET;46,5
2023-01-02 12:45:49.437 CET;46,6
2023-01-02 12:45:58.556 CET;46,8
2023-01-02 12:46:07.526 CET;46,6
2023-01-02 12:46:16.325 CET;46,7
2023-01-02 12:46:25.434 CET;46,9
2023-01-02 12:46:34.476 CET;46,8
2023-01-02 12:46:43.595 CET;46,9
2023-01-02 12:46:52.315 CET;46,8
2023-01-02 12:47:10.563 CET;46,9
2023-01-02 12:47:19.515 CET;47,1
2023-01-02 12:47:28.563 CET;46,9
2023-01-02 12:47:37.684 CET;47
2023-01-02 12:47:46.723 CET;47,1
2023-01-02 12:48:04.802 CET;47,3
2023-01-02 12:48:22.723 CET;47,4
2023-01-02 12:48:31.763 CET;47,3
2023-01-02 12:48:40.884 CET;47,4
2023-01-02 12:48:49.924 CET;47,5
2023-01-02 12:49:34.961 CET;47,4
2023-01-02 12:49:53.040 CET;47,5
2023-01-02 12:50:02.082 CET;47,7
2023-01-02 12:50:20.082 CET;47,8
2023-01-02 12:50:38.400 CET;47,9
2023-01-02 12:50:56.250 CET;47,8
2023-01-02 12:51:05.130 CET;47,6
2023-01-02 12:51:14.170 CET;47,7
2023-01-02 12:51:32.329 CET;47,8
2023-01-02 12:51:41.369 CET;48
2023-01-02 12:51:59.358 CET;47,9
2023-01-02 12:52:08.408 CET;48,1
2023-01-02 12:52:17.279 CET;47,8
2023-01-02 12:52:43.927 CET;47,9
2023-01-02 12:53:10.888 CET;48,1
