time;SlideAdjustment
2023-01-02 06:06:14.802 CET;1410
2023-01-02 06:18:57.848 CET;1408,1
2023-01-02 06:33:46.403 CET;1196
2023-01-02 06:35:06.721 CET;1410
2023-01-02 06:41:34.266 CET;1196
2023-01-02 11:34:34.487 CET;1450
2023-01-02 20:20:04.461 CET;1196,4
2023-01-02 23:15:32.523 CET;1400
2023-01-03 06:35:11.917 CET;977
2023-01-03 19:28:37.332 CET;1173,9
2023-01-03 21:20:46.207 CET;977
2023-01-04 00:47:33.789 CET;1195,5
2023-01-04 05:09:24.561 CET;1194,5
2023-01-04 09:35:48.415 CET;1450
2023-01-04 14:11:18.461 CET;977,9
2023-01-05 01:56:29.522 CET;1450
2023-01-05 11:00:40.973 CET;979
2023-01-05 17:32:46.983 CET;1258,5
2023-01-05 18:13:02.631 CET;1258
2023-01-05 20:19:13.884 CET;979
2023-01-05 20:36:29.016 CET;1080
2023-01-05 20:36:52.117 CET;979
2023-01-06 00:43:07.145 CET;1177,3
2023-01-06 01:42:08.298 CET;1177,8
2023-01-06 03:44:50.707 CET;1378
2023-01-06 03:52:16.494 CET;1450
2023-01-06 03:55:26.253 CET;1440
2023-01-06 03:58:25.969 CET;1435
2023-01-06 04:10:01.747 CET;1378
2023-01-09 08:55:53.750 CET;1196
2023-01-09 14:14:56.230 CET;1400
2023-01-09 18:43:58.727 CET;1450
2023-01-10 10:38:29.571 CET;977,9
2023-01-11 01:48:57.828 CET;979
2023-01-11 09:29:53.335 CET;1377,7
2023-01-11 10:32:34.357 CET;979
2023-01-11 16:20:50.861 CET;1196,8
2023-01-11 21:09:37.096 CET;1450
2023-01-12 11:33:46.278 CET;977
2023-01-12 11:34:51.536 CET;1450
2023-01-12 11:36:29.927 CET;977,9
2023-01-12 11:37:02.055 CET;1450
2023-01-12 11:38:46.473 CET;977
2023-01-12 15:55:05.930 CET;1377
2023-01-12 18:35:11.312 CET;977
2023-01-12 21:03:00.762 CET;1194,5
2023-01-13 06:17:51.789 CET;1450
2023-01-13 18:56:29.680 CET;1379,9
2023-01-13 18:56:44.740 CET;1450
2023-01-13 19:00:13.566 CET;1379,9
2023-01-13 23:32:32.858 CET;1400
2023-01-16 10:57:26.496 CET;1450
2023-01-16 22:32:20.076 CET;979
2023-01-17 03:23:56.994 CET;1450
2023-01-17 10:52:48.607 CET;1194,5
2023-01-17 10:52:59.648 CET;1278
2023-01-17 10:57:23.703 CET;1194,5
2023-01-17 19:18:25.834 CET;979
2023-01-18 11:44:55.344 CET;977
2023-01-18 18:25:53.471 CET;1377
2023-01-18 20:02:27.621 CET;977
2023-01-19 02:29:13.352 CET;977,9
2023-01-19 10:06:02.880 CET;1174,8
2023-01-19 12:00:59.440 CET;977,9
2023-01-19 17:30:32.444 CET;1450
2023-01-20 00:23:52.529 CET;1195,5
2023-01-20 04:33:12.311 CET;1400
2023-01-20 12:09:52.796 CET;1195,5
2023-01-20 15:17:16.717 CET;1450
2023-01-21 04:07:36.392 CET;977
2023-01-21 14:10:57.036 CET;1055
2023-01-21 14:15:19.082 CET;1053,5
2023-01-21 14:17:10.523 CET;977
2023-01-21 20:04:08.693 CET;979
2023-01-24 16:00:39.815 CET;1450
2023-01-25 10:16:44.556 CET;977
2023-01-25 14:38:19.266 CET;1258,5
2023-01-25 15:17:11.584 CET;1257,5
2023-01-25 16:40:23.530 CET;977
2023-01-25 22:25:21.217 CET;1194,5
2023-01-26 10:45:32.658 CET;1450
2023-01-26 16:28:45.943 CET;1377,7
2023-01-26 18:19:27.473 CET;1400
