time;Cylinder2MaxParalelismErrorInBDC
2023-01-02 06:32:44.365 CET;0,3
2023-01-02 07:10:53.315 CET;0,8
2023-01-02 07:11:20.243 CET;0,9
2023-01-02 07:55:47.078 CET;0,8
2023-01-02 07:55:59.828 CET;0,7
2023-01-02 07:56:12.788 CET;0,9
2023-01-02 07:57:14.897 CET;0,8
2023-01-02 07:57:58.976 CET;0,9
2023-01-02 08:07:45.244 CET;0,8
2023-01-02 08:08:00.765 CET;0,9
2023-01-02 08:08:11.434 CET;0,8
2023-01-02 08:13:28.631 CET;0,9
2023-01-02 08:13:38.371 CET;0,8
2023-01-02 08:17:14.986 CET;0,9
2023-01-02 08:17:36.516 CET;0,8
2023-01-02 08:50:51.619 CET;0,9
2023-01-02 08:51:01.529 CET;0,8
2023-01-02 09:46:28.732 CET;0,7
2023-01-02 09:46:59.270 CET;0,8
2023-01-02 09:50:22.638 CET;0,7
2023-01-02 09:50:33.507 CET;0,8
2023-01-02 09:50:44.147 CET;0,7
2023-01-02 09:50:55.115 CET;0,8
2023-01-02 10:15:51.362 CET;0,7
2023-01-02 10:16:50.394 CET;0,8
2023-01-02 10:23:56.161 CET;0,7
2023-01-02 10:42:20.773 CET;0,8
2023-01-02 10:54:23.200 CET;0,7
2023-01-02 10:57:38.318 CET;0,8
2023-01-02 10:57:52.417 CET;0,7
2023-01-02 10:59:22.206 CET;0,8
2023-01-02 10:59:33.075 CET;0,7
2023-01-02 10:59:43.964 CET;0,8
2023-01-02 11:20:39.033 CET;0,7
2023-01-02 11:32:00.099 CET;0,4
2023-01-02 12:10:30.910 CET;0,7
2023-01-02 12:31:50.388 CET;0,8
2023-01-02 12:37:08.344 CET;0,7
2023-01-02 13:17:00.243 CET;0,6
2023-01-02 13:17:09.213 CET;0,7
2023-01-02 13:25:08.584 CET;0,6
2023-01-02 13:25:17.624 CET;0,7
2023-01-02 13:25:35.782 CET;0,6
2023-01-02 13:26:02.651 CET;0,7
2023-01-02 13:26:47.760 CET;0,6
2023-01-02 13:26:56.730 CET;0,7
2023-01-02 13:27:32.650 CET;0,6
2023-01-02 13:27:50.730 CET;0,7
2023-01-02 13:33:46.874 CET;0,6
2023-01-02 13:34:14.104 CET;0,7
2023-01-02 13:34:23.213 CET;0,6
2023-01-02 13:34:32.132 CET;0,7
2023-01-02 13:34:41.144 CET;0,6
2023-01-02 13:34:50.184 CET;0,7
2023-01-02 13:36:20.423 CET;0,6
2023-01-02 13:36:29.440 CET;0,7
2023-01-02 13:37:05.540 CET;0,6
2023-01-02 13:37:14.571 CET;0,7
2023-01-02 13:38:35.549 CET;0,6
2023-01-02 13:38:53.779 CET;0,7
2023-01-02 13:40:42.417 CET;0,6
2023-01-02 13:40:51.457 CET;0,7
2023-01-02 13:43:24.904 CET;0,6
2023-01-02 13:43:34.023 CET;0,7
2023-01-02 13:45:31.371 CET;0,6
2023-01-02 13:45:40.331 CET;0,7
2023-01-02 13:46:52.819 CET;0,6
2023-01-02 13:47:01.869 CET;0,7
2023-01-02 13:47:19.700 CET;0,6
2023-01-02 13:47:28.579 CET;0,7
2023-01-02 13:48:22.548 CET;0,6
2023-01-02 13:48:31.539 CET;0,7
2023-01-02 13:58:16.588 CET;0,6
2023-01-02 13:58:25.635 CET;0,7
2023-01-02 14:00:40.983 CET;0,6
2023-01-02 14:00:58.993 CET;0,7
2023-01-02 14:04:52.200 CET;0,6
2023-01-02 14:05:01.240 CET;0,7
2023-01-02 14:07:38.038 CET;0,6
2023-01-02 14:07:47.078 CET;0,7
2023-01-02 14:35:19.578 CET;0,6
2023-01-02 14:35:31.298 CET;0,7
2023-01-02 14:36:03.038 CET;0,6
2023-01-02 14:36:11.976 CET;0,7
2023-01-02 14:39:43.572 CET;0,6
2023-01-02 14:39:52.532 CET;0,7
2023-01-02 14:52:15.992 CET;0,6
2023-01-02 14:52:24.953 CET;0,7
2023-01-02 14:54:57.601 CET;0,6
2023-01-02 14:55:06.562 CET;0,7
2023-01-02 15:06:23.782 CET;0,6
2023-01-02 15:06:32.821 CET;0,7
2023-01-02 15:09:14.819 CET;0,6
2023-01-02 15:09:23.769 CET;0,7
2023-01-02 15:10:08.576 CET;0,6
2023-01-02 15:10:17.618 CET;0,7
2023-01-02 15:21:46.746 CET;0,6
2023-01-02 15:22:04.746 CET;0,7
2023-01-02 15:22:59.144 CET;0,6
2023-01-02 15:23:08.194 CET;0,7
2023-01-02 15:26:44.990 CET;0,6
2023-01-02 15:27:48.438 CET;0,7
2023-01-02 15:27:57.469 CET;0,6
2023-01-02 15:28:15.640 CET;0,7
2023-01-02 15:28:51.788 CET;0,6
2023-01-02 15:29:00.828 CET;0,7
2023-01-02 15:29:45.957 CET;0,6
2023-01-02 15:30:40.115 CET;0,7
2023-01-02 15:30:49.145 CET;0,6
2023-01-02 15:33:27.323 CET;0,7
2023-01-02 15:33:36.614 CET;0,6
2023-01-02 15:33:45.803 CET;0,7
2023-01-02 15:34:03.723 CET;0,6
2023-01-02 15:34:58.042 CET;0,7
2023-01-02 15:35:25.493 CET;0,6
2023-01-02 15:35:34.510 CET;0,7
2023-01-02 15:35:43.641 CET;0,6
2023-01-02 15:36:01.641 CET;0,7
2023-01-02 15:36:10.762 CET;0,6
2023-01-02 15:36:37.960 CET;0,7
2023-01-02 15:36:46.921 CET;0,6
2023-01-02 15:37:05.160 CET;0,7
2023-01-02 15:37:14.119 CET;0,6
2023-01-02 15:37:23.240 CET;0,7
2023-01-02 15:37:32.270 CET;0,6
2023-01-02 15:37:41.319 CET;0,7
2023-01-02 15:37:50.361 CET;0,6
2023-01-02 15:37:59.400 CET;0,7
2023-01-02 15:38:08.440 CET;0,6
2023-01-02 15:38:26.529 CET;0,7
2023-01-02 15:38:35.569 CET;0,6
2023-01-02 15:41:53.565 CET;0,7
2023-01-02 15:42:20.776 CET;0,6
2023-01-02 15:48:07.479 CET;0,7
2023-01-02 16:05:00.151 CET;0,6
2023-01-02 16:05:09.430 CET;0,7
2023-01-02 16:21:42.644 CET;0,6
2023-01-02 16:21:51.664 CET;0,7
2023-01-02 16:23:57.750 CET;0,6
2023-01-02 16:24:06.710 CET;0,7
2023-01-02 16:24:15.591 CET;0,6
2023-01-02 16:24:33.591 CET;0,7
2023-01-02 16:25:00.630 CET;0,6
2023-01-02 16:25:09.680 CET;0,7
2023-01-02 16:36:21.348 CET;0,6
2023-01-02 16:36:30.398 CET;0,7
2023-01-02 16:37:24.316 CET;0,6
2023-01-02 16:37:33.278 CET;0,7
2023-01-02 16:37:42.237 CET;0,6
2023-01-02 16:37:51.358 CET;0,7
2023-01-02 16:38:36.395 CET;0,6
2023-01-02 16:38:45.367 CET;0,7
2023-01-02 16:39:43.713 CET;0,6
2023-01-02 16:39:52.654 CET;0,7
2023-01-02 16:56:47.288 CET;0,6
2023-01-02 16:56:56.247 CET;0,7
2023-01-02 16:57:23.385 CET;0,6
2023-01-02 16:57:32.415 CET;0,7
2023-01-02 16:57:50.486 CET;0,6
2023-01-02 16:57:59.536 CET;0,7
2023-01-02 17:00:05.933 CET;0,6
2023-01-02 17:20:58.486 CET;0,7
2023-01-02 20:20:29.470 CET;0,5
2023-01-02 21:09:26.871 CET;0,8
2023-01-02 21:43:44.293 CET;0,7
