time;Cylinder4MaxParallelismInCycle
2023-01-02 10:57:38.318 CET;7
2023-01-02 10:57:52.417 CET;6,8
2023-01-02 10:58:04.387 CET;6,9
2023-01-02 10:58:15.815 CET;6,8
2023-01-02 10:58:39.016 CET;6,7
2023-01-02 10:58:49.967 CET;6,9
2023-01-02 10:59:00.845 CET;6,8
2023-01-02 10:59:33.075 CET;6,9
2023-01-02 10:59:43.964 CET;6,7
2023-01-02 11:00:53.825 CET;6,8
2023-01-02 11:01:04.573 CET;6,9
2023-01-02 11:01:15.303 CET;6,6
2023-01-02 11:01:25.882 CET;6,7
2023-01-02 11:23:53.069 CET;6,6
2023-01-02 11:24:19.948 CET;6,7
2023-01-02 11:32:00.099 CET;-87,2
2023-01-02 12:10:30.910 CET;-28
2023-01-02 12:10:43.859 CET;5,8
2023-01-02 12:11:07.160 CET;5,9
2023-01-02 12:29:00.210 CET;5,6
2023-01-02 12:31:50.388 CET;5,9
2023-01-02 12:37:08.344 CET;5,6
2023-01-02 12:37:17.275 CET;5,7
2023-01-02 12:37:26.302 CET;5,8
2023-01-02 12:37:35.263 CET;5,9
2023-01-02 12:37:53.104 CET;5,8
2023-01-02 12:38:02.213 CET;5,9
2023-01-02 12:38:20.211 CET;5,8
2023-01-02 12:38:38.221 CET;6
2023-01-02 12:38:47.171 CET;5,9
2023-01-02 12:39:05.262 CET;6
2023-01-02 12:39:41.260 CET;5,9
2023-01-02 12:39:50.301 CET;6
2023-01-02 12:41:07.509 CET;6,1
2023-01-02 12:41:25.829 CET;5,8
2023-01-02 12:41:34.938 CET;5,9
2023-01-02 12:41:43.990 CET;5,8
2023-01-02 12:42:01.900 CET;5,9
2023-01-02 12:42:10.950 CET;5,8
2023-01-02 12:42:20.058 CET;5,9
2023-01-02 12:42:29.098 CET;5,8
2023-01-02 12:42:38.058 CET;5,7
2023-01-02 12:43:14.948 CET;5,9
2023-01-02 12:43:33.017 CET;6
2023-01-02 12:44:00.217 CET;5,9
2023-01-02 12:44:27.346 CET;6
2023-01-02 12:44:54.476 CET;5,9
2023-01-02 12:45:03.427 CET;6,2
2023-01-02 12:45:12.467 CET;6,1
2023-01-02 12:45:30.466 CET;6,2
2023-01-02 12:45:39.496 CET;6
2023-01-02 12:45:48.456 CET;6,1
2023-01-02 12:45:57.415 CET;5,7
2023-01-02 12:46:15.576 CET;5,6
2023-01-02 12:46:24.546 CET;5,8
2023-01-02 12:46:51.424 CET;5,9
2023-01-02 12:47:09.515 CET;5,8
