time;TotalPressForceValue
2023-01-02 10:02:56.744 CET;57,7
2023-01-02 10:03:06.723 CET;58
2023-01-02 10:03:17.295 CET;58,3
2023-01-02 10:03:28.095 CET;58,4
2023-01-02 10:03:50.023 CET;58,6
2023-01-02 10:04:01.463 CET;58,5
2023-01-02 10:04:12.993 CET;58,4
2023-01-02 10:04:24.503 CET;58,2
2023-01-02 10:04:35.864 CET;58,5
2023-01-02 10:04:46.423 CET;58,4
2023-01-02 10:04:56.892 CET;58,2
2023-01-02 10:05:07.453 CET;58,4
2023-01-02 10:05:19.062 CET;58,3
2023-01-02 10:05:29.372 CET;58,4
2023-01-02 10:05:41.062 CET;58,5
2023-01-02 10:05:51.691 CET;58,4
2023-01-02 10:07:02.660 CET;58,2
2023-01-02 10:07:12.821 CET;58,4
2023-01-02 10:07:23.309 CET;58,2
2023-01-02 10:07:44.828 CET;58,4
2023-01-02 10:08:50.078 CET;57,8
2023-01-02 10:09:01.618 CET;58
2023-01-02 10:09:23.778 CET;58,2
2023-01-02 10:09:34.417 CET;58,6
2023-01-02 10:09:44.887 CET;58,7
2023-01-02 10:09:56.426 CET;58,5
2023-01-02 10:10:07.936 CET;58,3
2023-01-02 10:10:18.496 CET;58,4
2023-01-02 10:10:29.865 CET;58,2
2023-01-02 10:10:40.415 CET;58,4
2023-01-02 10:10:50.986 CET;58,6
2023-01-02 10:11:57.595 CET;58,2
2023-01-02 10:13:15.124 CET;58
2023-01-02 10:14:23.441 CET;57,8
2023-01-02 10:16:08.473 CET;57,3
2023-01-02 10:16:19.513 CET;58,2
2023-01-02 10:16:30.164 CET;58,6
2023-01-02 10:16:40.874 CET;58,4
2023-01-02 10:17:02.354 CET;58,5
2023-01-02 10:17:13.144 CET;58,4
2023-01-02 10:17:24.523 CET;58,3
2023-01-02 10:17:35.154 CET;58,4
2023-01-02 10:17:45.956 CET;58,3
2023-01-02 10:17:56.744 CET;58,6
2023-01-02 10:18:28.994 CET;58,5
2023-01-02 10:18:45.265 CET;58,2
2023-01-02 10:18:56.875 CET;58,3
2023-01-02 10:19:07.474 CET;58,7
2023-01-02 10:23:51.941 CET;57,6
