time;CushionPumpMaxPower2
2023-01-02 06:32:44.365 CET;59,7
2023-01-02 07:11:20.243 CET;56,4
2023-01-02 07:55:47.078 CET;55,5
2023-01-02 07:55:59.828 CET;56,1
2023-01-02 07:56:12.788 CET;55,8
2023-01-02 07:56:53.437 CET;56,1
2023-01-02 07:57:04.086 CET;55,5
2023-01-02 07:57:14.897 CET;56,1
2023-01-02 08:07:35.335 CET;55,5
2023-01-02 08:07:45.244 CET;56,1
2023-01-02 08:08:11.434 CET;55,5
2023-01-02 08:08:21.994 CET;56,1
2023-01-02 08:13:38.371 CET;55,2
2023-01-02 08:13:52.440 CET;56,1
2023-01-02 08:17:24.776 CET;55,5
2023-01-02 08:17:36.516 CET;56,1
2023-01-02 08:18:23.696 CET;55,8
2023-01-02 08:18:36.696 CET;56,1
2023-01-02 08:19:30.684 CET;56,4
2023-01-02 08:19:47.842 CET;56,1
2023-01-02 08:28:52.533 CET;55,8
2023-01-02 08:29:04.884 CET;56,1
2023-01-02 08:29:15.602 CET;55,2
2023-01-02 08:29:26.171 CET;56,1
2023-01-02 08:29:58.250 CET;55,8
2023-01-02 08:30:08.881 CET;56,1
2023-01-02 08:31:56.249 CET;55,8
2023-01-02 08:32:07.049 CET;55,2
2023-01-02 08:32:17.859 CET;55,8
2023-01-02 08:35:55.076 CET;55,2
2023-01-02 08:36:07.407 CET;55,8
2023-01-02 08:36:17.276 CET;55,2
2023-01-02 08:36:27.946 CET;55,8
2023-01-02 08:37:10.575 CET;56,1
2023-01-02 08:42:22.569 CET;55,8
2023-01-02 08:44:32.727 CET;55,2
2023-01-02 08:44:46.706 CET;55,8
2023-01-02 08:44:59.677 CET;56,1
2023-01-02 08:47:19.563 CET;55,8
2023-01-02 08:47:29.374 CET;55,2
2023-01-02 08:47:39.273 CET;55,8
2023-01-02 08:47:49.862 CET;56,1
2023-01-02 08:48:00.673 CET;55,8
2023-01-02 08:48:22.213 CET;56,1
2023-01-02 08:48:33.733 CET;55,8
2023-01-02 08:51:01.529 CET;55,2
2023-01-02 08:51:13.338 CET;55,8
2023-01-02 08:53:54.076 CET;56,1
2023-01-02 08:54:05.815 CET;55,8
2023-01-02 08:55:09.796 CET;56,1
2023-01-02 08:55:20.496 CET;55,8
2023-01-02 08:56:14.263 CET;55,5
2023-01-02 09:26:11.122 CET;55,2
2023-01-02 09:26:20.982 CET;56,1
2023-01-02 09:26:31.572 CET;55,8
2023-01-02 09:26:42.282 CET;56,1
2023-01-02 09:26:52.933 CET;55,8
2023-01-02 09:27:03.742 CET;56,1
2023-01-02 09:28:26.049 CET;55,2
2023-01-02 09:28:36.940 CET;55,5
2023-01-02 09:28:47.579 CET;55,8
2023-01-02 09:28:58.210 CET;55,5
2023-01-02 09:29:31.670 CET;55,8
2023-01-02 09:30:05.499 CET;55,5
2023-01-02 09:30:27.499 CET;55,8
2023-01-02 09:30:38.878 CET;55,5
2023-01-02 09:31:41.096 CET;55,8
2023-01-02 09:32:14.786 CET;55,5
2023-01-02 09:37:39.713 CET;55,8
2023-01-02 09:46:28.732 CET;56,1
2023-01-02 09:46:38.512 CET;55,2
2023-01-02 09:46:48.342 CET;55,8
2023-01-02 09:46:59.270 CET;56,1
2023-01-02 09:49:06.750 CET;55,8
2023-01-02 09:49:17.657 CET;55,2
2023-01-02 09:49:28.538 CET;55,8
2023-01-02 09:49:50.066 CET;55,5
2023-01-02 09:50:11.746 CET;55,8
2023-01-02 09:50:22.638 CET;55,5
2023-01-02 09:51:16.625 CET;55,8
2023-01-02 09:51:27.506 CET;55,5
2023-01-02 09:52:48.634 CET;55,2
2023-01-02 09:52:59.344 CET;55,8
2023-01-02 09:55:29.743 CET;55,2
2023-01-02 09:55:40.631 CET;55,8
2023-01-02 09:56:12.872 CET;55,5
2023-01-02 09:56:23.500 CET;55,8
2023-01-02 09:56:34.401 CET;55,5
2023-01-02 09:56:56.551 CET;55,8
2023-01-02 09:57:07.760 CET;55,5
2023-01-02 09:57:19.302 CET;55,8
2023-01-02 09:57:46.480 CET;55,2
2023-01-02 09:57:57.269 CET;55,8
2023-01-02 10:00:31.226 CET;55,5
2023-01-02 10:00:42.888 CET;55,8
2023-01-02 10:01:27.276 CET;55,5
2023-01-02 10:01:37.905 CET;55,8
2023-01-02 10:01:48.635 CET;55,5
2023-01-02 10:03:15.424 CET;55,8
2023-01-02 10:03:26.154 CET;55,2
2023-01-02 10:03:36.974 CET;55,8
2023-01-02 10:03:58.553 CET;55,5
2023-01-02 10:07:32.160 CET;54,9
2023-01-02 10:07:42.809 CET;55,5
2023-01-02 10:09:20.267 CET;55,2
2023-01-02 10:09:31.036 CET;55,5
2023-01-02 10:09:53.286 CET;55,2
2023-01-02 10:10:04.165 CET;55,5
2023-01-02 10:12:16.354 CET;55,8
2023-01-02 10:12:26.963 CET;54,9
2023-01-02 10:12:37.934 CET;55,8
2023-01-02 10:16:17.812 CET;55,5
2023-01-02 10:16:28.973 CET;54,9
2023-01-02 10:16:39.694 CET;56,1
2023-01-02 10:16:50.394 CET;55,8
2023-01-02 10:23:56.161 CET;55,5
2023-01-02 10:24:17.232 CET;55,8
2023-01-02 10:54:23.200 CET;56,1
2023-01-02 10:54:32.979 CET;55,2
2023-01-02 10:54:51.359 CET;56,1
2023-01-02 10:55:02.920 CET;55,8
2023-01-02 10:57:04.826 CET;56,1
2023-01-02 10:57:14.568 CET;55,2
2023-01-02 10:57:25.407 CET;55,8
2023-01-02 10:57:38.318 CET;56,1
2023-01-02 10:57:52.417 CET;55,8
2023-01-02 10:58:49.967 CET;55,5
2023-01-02 10:59:00.845 CET;55,8
2023-01-02 10:59:43.964 CET;56,1
2023-01-02 11:00:42.924 CET;55,8
2023-01-02 11:00:53.825 CET;55,2
2023-01-02 11:01:04.573 CET;56,1
2023-01-02 11:01:25.882 CET;55,8
2023-01-02 11:20:39.033 CET;56,1
2023-01-02 11:20:48.743 CET;55,2
2023-01-02 11:23:53.069 CET;56,1
2023-01-02 11:24:03.719 CET;55,2
2023-01-02 11:24:19.948 CET;56,1
2023-01-02 11:36:10.707 CET;55,2
2023-01-02 12:10:30.910 CET;56,1
2023-01-02 12:31:50.388 CET;55,8
2023-01-02 12:37:17.275 CET;55,2
2023-01-02 12:37:26.302 CET;56,1
2023-01-02 12:37:44.132 CET;55,8
2023-01-02 12:38:02.213 CET;55,5
2023-01-02 12:38:38.221 CET;55,8
2023-01-02 12:38:56.223 CET;56,1
2023-01-02 12:39:14.211 CET;55,8
2023-01-02 12:39:50.301 CET;55,5
2023-01-02 12:39:59.250 CET;55,8
2023-01-02 12:41:25.829 CET;55,5
2023-01-02 12:41:52.950 CET;55,8
2023-01-02 12:43:14.948 CET;55,2
2023-01-02 12:43:23.977 CET;55,5
2023-01-02 12:44:09.177 CET;55,8
2023-01-02 12:44:18.298 CET;55,5
2023-01-02 12:44:45.427 CET;55,8
2023-01-02 12:45:48.456 CET;56,1
2023-01-02 12:45:57.415 CET;55,8
2023-01-02 12:46:06.375 CET;56,1
2023-01-02 12:46:15.576 CET;55,8
2023-01-02 12:46:33.506 CET;55,5
2023-01-02 12:46:42.466 CET;55,8
2023-01-02 12:47:45.664 CET;56,1
2023-01-02 12:47:54.782 CET;55,8
2023-01-02 12:50:10.062 CET;55,5
2023-01-02 12:50:19.191 CET;55,8
2023-01-02 12:50:46.220 CET;55,5
2023-01-02 12:51:04.220 CET;55,8
2023-01-02 12:51:13.180 CET;55,5
2023-01-02 12:51:40.388 CET;55,8
2023-01-02 12:53:01.588 CET;55,5
2023-01-02 12:53:19.598 CET;55,8
2023-01-02 12:53:46.596 CET;55,5
2023-01-02 12:53:55.676 CET;55,8
2023-01-02 12:54:04.625 CET;55,5
2023-01-02 12:54:22.595 CET;55,8
2023-01-02 12:54:40.555 CET;55,5
2023-01-02 12:56:10.744 CET;55,8
2023-01-02 12:56:28.713 CET;55,5
2023-01-02 12:56:37.743 CET;55,8
2023-01-02 12:56:55.592 CET;55,5
2023-01-02 13:01:52.467 CET;55,8
2023-01-02 13:02:01.507 CET;55,5
2023-01-02 13:02:28.608 CET;55,8
2023-01-02 13:02:46.457 CET;55,5
2023-01-02 13:08:27.601 CET;55,2
2023-01-02 13:08:45.591 CET;55,5
2023-01-02 13:16:15.114 CET;55,8
2023-01-02 13:16:24.171 CET;55,5
2023-01-02 13:24:50.723 CET;54
2023-01-02 13:24:59.703 CET;55,5
2023-01-02 13:31:09.786 CET;53,7
2023-01-02 13:31:21.915 CET;55,8
2023-01-02 13:32:02.545 CET;55,5
2023-01-02 13:33:31.453 CET;55,8
2023-01-02 13:33:46.874 CET;55,5
2023-01-02 13:33:55.944 CET;54
2023-01-02 13:34:05.063 CET;55,5
2023-01-02 13:35:44.292 CET;55,8
2023-01-02 13:35:53.292 CET;55,5
2023-01-02 13:36:47.530 CET;55,8
2023-01-02 13:37:14.571 CET;55,5
2023-01-02 13:38:35.549 CET;54,3
2023-01-02 13:38:44.819 CET;55,8
2023-01-02 13:39:02.819 CET;55,5
2023-01-02 13:39:11.938 CET;55,8
2023-01-02 13:39:20.979 CET;55,5
2023-01-02 13:39:38.979 CET;55,8
2023-01-02 13:39:48.098 CET;55,5
2023-01-02 13:39:57.137 CET;55,8
2023-01-02 13:40:24.256 CET;55,5
2023-01-02 13:42:03.865 CET;55,8
2023-01-02 13:42:12.815 CET;55,5
2023-01-02 13:42:21.776 CET;55,8
2023-01-02 13:42:48.815 CET;55,5
2023-01-02 13:42:57.904 CET;55,8
2023-01-02 13:43:52.102 CET;55,5
2023-01-02 13:47:37.539 CET;55,2
2023-01-02 13:47:46.589 CET;55,5
2023-01-02 13:50:10.336 CET;55,8
