time;SlideAdjustment
2023-01-02 06:04:54.874 CET;1191,9
2023-01-02 11:31:58.210 CET;1191,4
2023-01-02 20:20:28.841 CET;1191,5
2023-01-02 23:13:42.335 CET;1191,6
2023-01-03 06:36:07.335 CET;1616,5
2023-01-03 19:27:07.072 CET;1532
2023-01-03 21:21:54.565 CET;1616,5
2023-01-04 00:43:39.924 CET;1441,7
2023-01-04 05:10:41.900 CET;1496
2023-01-04 05:12:03.219 CET;1441,7
2023-01-04 05:12:26.318 CET;1495
2023-01-04 05:16:52.384 CET;1441,7
2023-01-04 09:29:18.852 CET;1191,6
2023-01-04 14:12:16.651 CET;1516,3
2023-01-05 01:54:56.013 CET;1341
2023-01-05 05:44:28.019 CET;1339,2
2023-01-05 07:58:46.194 CET;1482
2023-01-05 08:10:35.023 CET;1341
2023-01-05 08:10:55.104 CET;1487
2023-01-05 08:16:28.440 CET;1341
2023-01-05 11:09:48.964 CET;1480,6
2023-01-05 17:27:32.477 CET;1355,3
2023-01-05 20:20:56.023 CET;1480,6
2023-01-06 00:50:01.509 CET;1193,9
2023-01-06 00:59:44.829 CET;1214,8
2023-01-06 00:59:53.871 CET;1214,7
2023-01-06 01:02:05.398 CET;1214,5
2023-01-06 01:02:57.598 CET;1214
2023-01-06 01:03:58.846 CET;1213
2023-01-06 01:04:26.966 CET;1214
2023-01-06 01:04:41.016 CET;1213
2023-01-06 01:05:44.266 CET;1212
2023-01-06 01:06:40.494 CET;1211
2023-01-06 01:08:43.980 CET;1193,9
2023-01-06 03:50:29.734 CET;1211
2023-01-06 03:59:40.937 CET;1473,5
2023-01-06 04:00:17.088 CET;1530
2023-01-08 06:54:01.612 CET;1341
2023-01-08 06:54:13.664 CET;1482
2023-01-08 12:44:02.456 CET;1473,5
2023-01-08 12:47:11.200 CET;1530
2023-01-08 12:49:24.740 CET;1473,5
2023-01-09 08:55:21.611 CET;1191,9
2023-01-09 14:09:40.924 CET;1191,6
2023-01-09 18:43:37.556 CET;1334,8
2023-01-09 22:46:55.854 CET;1480
2023-01-09 22:52:34.209 CET;1339,2
2023-01-09 22:52:50.269 CET;1482
2023-01-09 23:00:00.992 CET;1339,2
2023-01-10 01:47:30.115 CET;1191,4
2023-01-10 10:39:02.500 CET;1516,3
2023-01-10 15:19:04.582 CET;1516,8
2023-01-11 01:51:14.056 CET;1480,6
2023-01-11 09:23:56.530 CET;1474,4
2023-01-11 10:34:21.407 CET;1480,6
2023-01-11 16:23:18.019 CET;1190,6
2023-01-11 21:07:17.069 CET;1191,2
2023-01-12 00:48:37.105 CET;1191,6
2023-01-12 04:44:47.717 CET;1339
2023-01-12 11:40:44.372 CET;1616,5
2023-01-12 15:54:37.210 CET;1474,7
2023-01-12 18:09:23.496 CET;1616,5
2023-01-12 20:53:12.759 CET;1441,7
2023-01-13 06:39:07.163 CET;1339,2
