time;Gear3MaxTorque
2023-01-02 06:28:45.000 CET;154,8
2023-01-02 07:14:03.200 CET;28,4
2023-01-02 07:14:17.351 CET;28,7
2023-01-02 07:56:34.697 CET;28,6
2023-01-02 07:56:44.857 CET;29,3
2023-01-02 07:56:55.266 CET;28,3
2023-01-02 07:57:05.937 CET;28,5
2023-01-02 07:57:17.226 CET;28,4
2023-01-02 07:57:28.905 CET;28
2023-01-02 07:57:40.335 CET;28,1
2023-01-02 08:01:38.562 CET;28,4
2023-01-02 08:02:02.812 CET;28,1
2023-01-02 08:05:48.947 CET;28,8
2023-01-02 08:06:22.766 CET;28,9
2023-01-02 08:07:51.265 CET;28,7
2023-01-02 08:08:01.875 CET;28,1
2023-01-02 08:08:12.505 CET;29,5
2023-01-02 08:08:23.214 CET;28,3
2023-01-02 08:08:44.733 CET;28,1
2023-01-02 08:10:30.092 CET;28,2
2023-01-02 08:10:40.082 CET;27,9
2023-01-02 08:13:28.740 CET;29,3
2023-01-02 08:13:43.020 CET;29,8
2023-01-02 08:15:45.127 CET;29,5
2023-01-02 08:15:55.066 CET;28,6
2023-01-02 08:17:40.984 CET;28,7
2023-01-02 08:17:53.545 CET;28,8
2023-01-02 08:18:05.144 CET;28
2023-01-02 08:18:17.704 CET;28,6
2023-01-02 08:18:29.454 CET;27,9
2023-01-02 08:18:41.394 CET;28,4
2023-01-02 08:18:53.713 CET;27,8
2023-01-02 08:19:11.903 CET;27,5
2023-01-02 08:19:29.053 CET;28,3
2023-01-02 08:26:30.474 CET;28,9
2023-01-02 08:26:41.224 CET;28,8
2023-01-02 08:28:43.313 CET;28,6
2023-01-02 08:28:55.394 CET;29,2
2023-01-02 08:29:06.114 CET;28
2023-01-02 08:29:16.742 CET;28,2
2023-01-02 08:29:27.392 CET;28
2023-01-02 08:29:38.032 CET;27,8
2023-01-02 08:29:48.832 CET;28,5
2023-01-02 08:31:37.631 CET;28,4
2023-01-02 08:31:47.619 CET;28
2023-01-02 08:31:58.269 CET;28,2
2023-01-02 08:33:44.357 CET;27,7
2023-01-02 08:33:54.756 CET;28,7
2023-01-02 08:34:05.556 CET;28,6
2023-01-02 08:34:16.997 CET;28,3
2023-01-02 08:36:18.196 CET;28
2023-01-02 08:36:28.984 CET;27,8
2023-01-02 08:36:39.716 CET;28,3
2023-01-02 08:36:50.355 CET;27,7
2023-01-02 08:37:01.085 CET;28,8
2023-01-02 08:37:11.724 CET;28,1
2023-01-02 08:37:22.276 CET;27,9
2023-01-02 08:38:54.174 CET;29,1
2023-01-02 08:44:23.627 CET;27,9
2023-01-02 08:44:50.246 CET;28,5
2023-01-02 08:45:00.805 CET;28,1
2023-01-02 08:47:13.233 CET;27,8
2023-01-02 08:47:25.094 CET;28,7
2023-01-02 08:47:40.253 CET;28,2
2023-01-02 08:48:15.082 CET;28
2023-01-02 08:48:48.611 CET;27,5
2023-01-02 08:49:00.132 CET;27,8
2023-01-02 08:51:15.569 CET;29,4
2023-01-02 08:51:26.128 CET;28,8
2023-01-02 08:51:36.680 CET;29,7
2023-01-02 08:53:56.306 CET;28,8
2023-01-02 08:54:06.926 CET;28,7
2023-01-02 08:54:17.565 CET;28,4
2023-01-02 08:54:28.125 CET;28,2
2023-01-02 08:54:39.486 CET;27,6
2023-01-02 08:54:50.296 CET;28,9
2023-01-02 08:55:00.936 CET;27,9
2023-01-02 08:55:11.736 CET;28,7
2023-01-02 08:55:22.454 CET;28,4
2023-01-02 08:55:33.256 CET;28,1
2023-01-02 08:55:54.775 CET;28,5
2023-01-02 08:56:05.734 CET;27,9
2023-01-02 08:56:26.934 CET;28,3
2023-01-02 08:56:57.563 CET;28,5
2023-01-02 09:26:22.002 CET;28,6
2023-01-02 09:26:32.721 CET;27,7
2023-01-02 09:26:43.492 CET;28,2
2023-01-02 09:27:57.500 CET;28,6
2023-01-02 09:28:07.430 CET;28,4
2023-01-02 09:28:17.420 CET;27,8
2023-01-02 09:28:28.069 CET;28,1
2023-01-02 09:28:38.789 CET;28,4
2023-01-02 09:28:50.150 CET;28
2023-01-02 09:29:01.671 CET;27,9
2023-01-02 09:29:13.109 CET;27,8
2023-01-02 09:29:36.160 CET;27,7
2023-01-02 09:29:46.709 CET;27,6
2023-01-02 09:29:58.158 CET;27,2
2023-01-02 09:30:08.698 CET;27,1
2023-01-02 09:30:20.318 CET;27,7
2023-01-02 09:31:22.556 CET;28,1
2023-01-02 09:31:34.226 CET;27,9
2023-01-02 09:31:44.717 CET;28,5
2023-01-02 09:31:56.226 CET;28,3
2023-01-02 09:32:07.756 CET;28,4
2023-01-02 09:32:18.147 CET;28,3
2023-01-02 09:32:29.845 CET;28,2
2023-01-02 09:32:40.305 CET;28,3
2023-01-02 09:32:51.756 CET;27,9
2023-01-02 09:33:02.395 CET;28,3
2023-01-02 09:37:20.691 CET;28,1
2023-01-02 09:37:54.482 CET;30,1
2023-01-02 09:38:08.381 CET;29,4
2023-01-02 09:40:40.907 CET;29,2
2023-01-02 09:40:58.917 CET;29
2023-01-02 09:41:20.207 CET;28,4
2023-01-02 09:48:49.170 CET;29,9
2023-01-02 09:48:59.069 CET;29
2023-01-02 09:49:19.608 CET;28,9
2023-01-02 09:49:30.568 CET;29,1
2023-01-02 09:49:41.778 CET;28,4
2023-01-02 09:49:52.326 CET;28,6
2023-01-02 09:50:02.957 CET;29
2023-01-02 09:50:14.338 CET;28,5
2023-01-02 09:50:36.417 CET;28
2023-01-02 09:50:46.806 CET;28,7
2023-01-02 09:51:19.766 CET;28,2
2023-01-02 09:52:19.065 CET;28,7
2023-01-02 09:52:29.046 CET;28,1
2023-01-02 09:52:39.696 CET;28,3
2023-01-02 09:53:01.773 CET;28,2
2023-01-02 09:53:12.334 CET;28,5
2023-01-02 09:55:00.322 CET;28,4
2023-01-02 09:55:10.253 CET;27,9
2023-01-02 09:55:31.693 CET;28,8
2023-01-02 09:55:42.971 CET;28,1
2023-01-02 09:56:04.092 CET;27,7
2023-01-02 09:56:15.700 CET;28,1
2023-01-02 09:56:27.141 CET;27,7
2023-01-02 09:56:37.611 CET;28,1
2023-01-02 09:56:49.141 CET;27,8
2023-01-02 09:57:00.581 CET;28
2023-01-02 09:57:16.290 CET;27,8
2023-01-02 09:57:27.822 CET;28,3
2023-01-02 09:57:38.502 CET;29,3
2023-01-02 09:57:49.960 CET;28,5
2023-01-02 09:58:00.490 CET;28,7
2023-01-02 09:58:11.049 CET;28,5
2023-01-02 09:58:21.609 CET;28,6
2023-01-02 09:58:32.259 CET;28,9
2023-01-02 10:00:45.687 CET;28,3
2023-01-02 10:00:56.427 CET;28
2023-01-02 10:01:07.138 CET;28,7
2023-01-02 10:01:17.865 CET;28,3
2023-01-02 10:01:28.506 CET;28,1
2023-01-02 10:02:56.744 CET;28,3
2023-01-02 10:03:06.723 CET;28
2023-01-02 10:03:17.295 CET;27,8
2023-01-02 10:03:28.095 CET;27,5
2023-01-02 10:03:38.904 CET;28,4
2023-01-02 10:03:50.023 CET;28,6
2023-01-02 10:04:01.463 CET;28,7
2023-01-02 10:04:12.993 CET;28,3
2023-01-02 10:04:24.503 CET;28,4
2023-01-02 10:04:35.864 CET;28,1
2023-01-02 10:04:46.423 CET;28,3
2023-01-02 10:05:07.453 CET;28
2023-01-02 10:05:19.062 CET;27,8
2023-01-02 10:05:29.372 CET;27,7
2023-01-02 10:05:41.062 CET;28,5
2023-01-02 10:05:51.691 CET;28,1
2023-01-02 10:06:03.312 CET;27,6
2023-01-02 10:07:02.660 CET;28,1
2023-01-02 10:07:12.821 CET;28,3
2023-01-02 10:07:23.309 CET;27,9
2023-01-02 10:07:34.029 CET;28,4
2023-01-02 10:07:44.828 CET;27,6
2023-01-02 10:08:50.078 CET;28,3
2023-01-02 10:09:01.618 CET;28
2023-01-02 10:09:23.778 CET;28,3
2023-01-02 10:09:34.417 CET;28,4
2023-01-02 10:09:44.887 CET;28,9
2023-01-02 10:10:07.936 CET;28,4
2023-01-02 10:10:18.496 CET;28,7
2023-01-02 10:10:29.865 CET;28,3
2023-01-02 10:10:40.415 CET;28,5
2023-01-02 10:10:50.986 CET;28
2023-01-02 10:11:57.595 CET;28,6
2023-01-02 10:12:07.545 CET;28,1
2023-01-02 10:12:18.184 CET;27,7
2023-01-02 10:13:15.124 CET;28,3
2023-01-02 10:16:19.513 CET;29,7
2023-01-02 10:16:30.164 CET;27
2023-01-02 10:16:40.874 CET;28,8
2023-01-02 10:16:51.654 CET;28,4
2023-01-02 10:17:02.354 CET;28
2023-01-02 10:17:13.144 CET;28,3
2023-01-02 10:17:24.523 CET;28,5
2023-01-02 10:17:35.154 CET;28
2023-01-02 10:17:45.956 CET;28,3
2023-01-02 10:17:56.744 CET;29
2023-01-02 10:18:07.474 CET;28,6
2023-01-02 10:18:45.265 CET;28
2023-01-02 10:18:56.875 CET;28,1
2023-01-02 10:19:07.474 CET;28,3
2023-01-02 10:23:51.941 CET;29,6
2023-01-02 10:24:19.882 CET;28,6
2023-01-02 10:26:42.848 CET;28,9
2023-01-02 10:44:43.342 CET;29,2
2023-01-02 10:51:02.703 CET;29
2023-01-02 10:51:15.102 CET;27,6
2023-01-02 10:54:56.190 CET;29,5
2023-01-02 10:55:06.589 CET;29,3
2023-01-02 10:55:17.198 CET;28,8
2023-01-02 10:57:33.628 CET;28,5
2023-01-02 10:57:45.657 CET;29
2023-01-02 10:57:57.266 CET;28,3
2023-01-02 10:58:08.796 CET;27,9
2023-01-02 10:58:20.385 CET;28,1
2023-01-02 10:58:41.496 CET;28
2023-01-02 10:58:52.697 CET;28,7
2023-01-02 10:59:03.336 CET;28,3
2023-01-02 10:59:13.976 CET;28,2
2023-01-02 10:59:24.714 CET;29
2023-01-02 11:00:24.224 CET;28,7
2023-01-02 11:00:34.783 CET;27,7
2023-01-02 11:00:45.365 CET;27,6
2023-01-02 11:00:55.904 CET;29
2023-01-02 11:01:06.545 CET;27,4
2023-01-02 11:01:27.914 CET;27,6
2023-01-02 11:01:39.043 CET;28
2023-01-02 11:20:46.832 CET;28,7
2023-01-02 11:24:01.319 CET;27,8
