time;Gear3MaxTorque
2023-01-02 06:11:50.897 CET;6,9
2023-01-02 07:15:42.078 CET;18,2
2023-01-02 07:16:40.227 CET;18,4
2023-01-02 07:57:01.377 CET;17,9
2023-01-02 07:57:11.486 CET;17,8
2023-01-02 07:57:22.457 CET;18,5
2023-01-02 08:00:09.243 CET;17,8
2023-01-02 08:01:46.092 CET;17,5
2023-01-02 08:01:59.973 CET;17,8
2023-01-02 08:05:51.888 CET;17
2023-01-02 08:06:16.405 CET;17,3
2023-01-02 08:07:04.456 CET;17,7
2023-01-02 08:07:16.696 CET;17,5
2023-01-02 08:08:14.414 CET;19
2023-01-02 08:08:25.494 CET;18,7
2023-01-02 08:08:48.444 CET;17,5
2023-01-02 08:09:01.424 CET;17,6
2023-01-02 08:10:44.401 CET;18,5
2023-01-02 08:13:21.921 CET;19,3
2023-01-02 08:13:32.780 CET;18,4
2023-01-02 08:15:20.819 CET;17,5
2023-01-02 08:17:47.825 CET;17,7
2023-01-02 08:18:24.714 CET;17,3
2023-01-02 08:18:36.946 CET;17,6
2023-01-02 08:18:55.184 CET;17,5
2023-01-02 08:19:12.312 CET;17,2
2023-01-02 08:26:13.936 CET;17
2023-01-02 08:26:24.885 CET;17,4
2023-01-02 08:26:35.746 CET;17,6
2023-01-02 08:28:21.473 CET;19,1
2023-01-02 08:28:32.552 CET;16,7
2023-01-02 08:28:44.003 CET;18,4
2023-01-02 08:29:06.404 CET;17,7
2023-01-02 08:29:18.482 CET;19,6
2023-01-02 08:29:29.923 CET;19
2023-01-02 08:29:41.522 CET;18,9
2023-01-02 08:29:52.631 CET;18,1
2023-01-02 08:30:03.592 CET;17,1
2023-01-02 08:31:51.948 CET;18
2023-01-02 08:32:03.130 CET;18,2
2023-01-02 08:32:13.990 CET;16,4
2023-01-02 08:33:47.467 CET;18,5
2023-01-02 08:33:59.117 CET;18,8
2023-01-02 08:34:10.638 CET;18,1
2023-01-02 08:34:21.276 CET;16,6
2023-01-02 08:34:32.398 CET;16,9
2023-01-02 08:34:43.355 CET;16,4
2023-01-02 08:36:41.395 CET;18,5
2023-01-02 08:36:52.654 CET;18,2
2023-01-02 08:37:03.615 CET;18
2023-01-02 08:37:15.125 CET;18,9
2023-01-02 08:37:26.654 CET;18,5
2023-01-02 08:37:37.214 CET;16,3
2023-01-02 08:39:07.392 CET;18,2
2023-01-02 08:39:18.562 CET;17,8
2023-01-02 08:44:54.915 CET;17
2023-01-02 08:47:23.562 CET;17,3
2023-01-02 08:47:57.842 CET;16,9
2023-01-02 08:48:09.372 CET;17,2
2023-01-02 08:48:20.253 CET;17
2023-01-02 08:48:30.802 CET;18,1
2023-01-02 08:48:42.242 CET;16,6
2023-01-02 08:48:53.693 CET;17,9
2023-01-02 08:49:04.252 CET;16,7
2023-01-02 08:49:15.770 CET;16,5
2023-01-02 08:50:05.081 CET;17,3
2023-01-02 08:51:40.198 CET;18
2023-01-02 08:51:51.298 CET;17,5
2023-01-02 08:52:02.348 CET;16,3
2023-01-02 08:54:20.895 CET;18,4
2023-01-02 08:54:32.325 CET;19,3
2023-01-02 08:54:42.895 CET;17
