time;PressSpeed
2022-12-31 00:15:11.382 CET;0
2023-01-02 04:13:22.160 CET;6
2023-01-02 06:44:24.332 CET;14
2023-01-02 07:11:35.852 CET;6
2023-01-02 07:43:28.490 CET;14
2023-01-02 08:35:25.926 CET;6
2023-01-02 08:35:40.986 CET;14
2023-01-02 08:42:22.589 CET;6
2023-01-02 08:42:26.609 CET;14
2023-01-02 09:46:12.872 CET;6
2023-01-02 09:46:18.901 CET;14
2023-01-02 10:54:05.140 CET;0
2023-01-02 10:54:06.140 CET;6
2023-01-02 10:54:13.170 CET;14
2023-01-02 11:29:21.592 CET;6
2023-01-02 11:39:57.121 CET;16
2023-01-02 12:31:50.548 CET;6
2023-01-02 12:31:56.578 CET;16
2023-01-02 15:45:22.930 CET;6
2023-01-02 15:47:19.390 CET;16
2023-01-02 16:26:33.788 CET;6
2023-01-02 16:27:20.976 CET;16
2023-01-02 17:25:12.841 CET;6
2023-01-02 17:25:46.990 CET;16
2023-01-02 17:45:54.809 CET;6
2023-01-02 17:46:20.908 CET;16
2023-01-02 20:17:51.203 CET;6
2023-01-02 20:24:14.736 CET;0
2023-01-02 20:24:15.736 CET;6
2023-01-02 20:24:47.867 CET;15
2023-01-02 21:09:59.698 CET;6
2023-01-02 21:21:56.556 CET;15
2023-01-02 23:11:49.887 CET;6
2023-01-02 23:17:18.203 CET;0
2023-01-02 23:17:19.203 CET;6
2023-01-02 23:18:29.483 CET;16
2023-01-02 23:36:27.798 CET;6
2023-01-02 23:43:31.493 CET;16
2023-01-03 00:07:46.298 CET;0
2023-01-03 00:07:48.308 CET;3
2023-01-03 00:11:21.153 CET;16
2023-01-03 00:19:47.173 CET;6
2023-01-03 00:20:40.384 CET;16
2023-01-03 01:47:34.203 CET;6
2023-01-03 01:47:56.293 CET;16
2023-01-03 02:43:13.539 CET;6
2023-01-03 02:43:45.668 CET;16
2023-01-03 02:49:14.983 CET;6
2023-01-03 02:49:20.003 CET;16
2023-01-03 03:23:54.288 CET;6
2023-01-03 03:24:11.348 CET;16
2023-01-03 03:25:07.575 CET;6
2023-01-03 03:25:11.595 CET;16
2023-01-03 03:49:59.533 CET;6
2023-01-03 03:50:14.592 CET;16
2023-01-03 05:02:55.002 CET;6
2023-01-03 05:03:00.022 CET;16
2023-01-03 05:38:53.624 CET;0
2023-01-03 05:38:54.624 CET;6
2023-01-03 05:39:22.743 CET;16
2023-01-03 05:43:51.813 CET;6
2023-01-03 05:44:07.885 CET;16
2023-01-03 05:48:54.035 CET;6
2023-01-03 05:49:08.085 CET;16
2023-01-03 06:31:32.240 CET;6
2023-01-03 06:45:18.548 CET;12
2023-01-03 06:56:17.177 CET;6
2023-01-03 06:56:23.207 CET;12
2023-01-03 07:06:27.617 CET;6
2023-01-03 07:10:53.683 CET;12
2023-01-03 07:11:26.812 CET;6
2023-01-03 07:11:52.923 CET;12
2023-01-03 07:17:48.335 CET;6
2023-01-03 07:18:35.526 CET;12
2023-01-03 07:23:02.591 CET;6
2023-01-03 07:23:52.789 CET;10
2023-01-03 11:20:44.538 CET;6
2023-01-03 11:20:46.548 CET;10
2023-01-03 19:24:54.543 CET;6
2023-01-03 19:25:23.664 CET;0
2023-01-03 19:25:24.663 CET;6
2023-01-03 19:38:11.733 CET;10
2023-01-03 19:59:31.839 CET;6
2023-01-03 20:19:33.640 CET;10
2023-01-03 21:19:26.979 CET;6
2023-01-03 21:26:14.611 CET;10
2023-01-04 00:41:53.493 CET;6
2023-01-04 00:42:36.663 CET;0
2023-01-04 00:42:37.663 CET;6
2023-01-04 01:12:22.799 CET;16
2023-01-04 01:12:23.809 CET;6
2023-01-04 01:14:34.326 CET;16
2023-01-04 01:34:03.997 CET;6
2023-01-04 01:34:24.078 CET;16
2023-01-04 05:04:55.516 CET;6
2023-01-04 05:18:14.703 CET;15
2023-01-04 05:24:55.305 CET;6
2023-01-04 05:24:58.315 CET;15
2023-01-04 09:20:13.681 CET;6
2023-01-04 09:46:34.994 CET;18
2023-01-04 09:53:11.576 CET;6
2023-01-04 10:11:07.878 CET;18
2023-01-04 14:09:06.894 CET;6
2023-01-04 14:42:42.938 CET;14
2023-01-04 15:05:18.368 CET;6
2023-01-04 15:05:25.388 CET;14
2023-01-04 16:05:46.845 CET;6
2023-01-04 16:05:54.875 CET;14
2023-01-04 16:59:40.759 CET;6
2023-01-04 17:19:30.523 CET;14
2023-01-05 01:50:25.937 CET;6
2023-01-05 02:00:32.358 CET;10
2023-01-05 02:00:33.368 CET;6
2023-01-05 02:03:26.053 CET;12
2023-01-05 02:22:45.687 CET;6
2023-01-05 02:27:55.923 CET;12
2023-01-05 03:39:09.983 CET;6
2023-01-05 03:57:21.345 CET;12
2023-01-05 05:39:30.819 CET;0
2023-01-05 05:39:31.828 CET;6
2023-01-05 05:48:35.007 CET;0
2023-01-05 05:48:36.007 CET;6
2023-01-05 05:58:15.318 CET;12
2023-01-05 05:59:33.627 CET;0
2023-01-05 05:59:34.637 CET;6
2023-01-05 06:14:16.161 CET;12
2023-01-05 07:51:48.529 CET;6
2023-01-05 08:19:22.128 CET;0
2023-01-05 08:19:23.137 CET;12
2023-01-05 08:37:35.496 CET;6
2023-01-05 08:53:45.361 CET;12
2023-01-05 10:53:49.131 CET;6
2023-01-05 11:13:47.920 CET;14
2023-01-05 11:13:48.920 CET;6
2023-01-05 11:28:21.414 CET;14
2023-01-05 11:38:47.915 CET;6
2023-01-05 11:46:55.857 CET;14
2023-01-05 12:14:11.388 CET;6
2023-01-05 12:14:56.568 CET;14
2023-01-05 12:50:19.052 CET;6
2023-01-05 12:50:25.072 CET;14
2023-01-05 17:18:14.257 CET;6
2023-01-05 17:18:21.278 CET;14
2023-01-05 17:23:39.552 CET;6
2023-01-05 17:38:56.207 CET;12
2023-01-05 18:15:10.890 CET;6
2023-01-05 18:15:17.921 CET;12
2023-01-05 18:15:38.000 CET;6
2023-01-05 18:21:35.424 CET;12
2023-01-05 18:40:33.973 CET;6
2023-01-05 18:40:49.035 CET;12
2023-01-05 19:20:12.466 CET;6
2023-01-05 19:20:14.474 CET;12
2023-01-05 20:16:05.868 CET;0
2023-01-05 20:16:06.868 CET;6
2023-01-05 20:27:41.634 CET;14
2023-01-05 20:39:51.555 CET;6
2023-01-05 20:39:55.575 CET;14
2023-01-06 00:40:51.308 CET;6
2023-01-06 01:10:33.430 CET;18
2023-01-06 01:35:59.513 CET;6
2023-01-06 01:36:08.553 CET;18
2023-01-06 01:36:53.733 CET;6
2023-01-06 01:42:50.157 CET;18
2023-01-06 01:43:55.417 CET;6
2023-01-06 01:46:49.105 CET;18
2023-01-06 03:49:29.493 CET;0
2023-01-06 03:49:30.505 CET;6
2023-01-09 06:10:40.163 CET;13
2023-01-09 06:27:22.157 CET;6
2023-01-09 06:58:35.638 CET;13
2023-01-09 07:00:06.006 CET;6
2023-01-09 07:22:11.292 CET;13
2023-01-09 08:04:12.355 CET;6
2023-01-09 08:09:51.709 CET;13
2023-01-09 08:10:27.858 CET;6
2023-01-09 08:11:18.059 CET;13
2023-01-09 08:52:48.002 CET;6
2023-01-09 09:10:37.276 CET;14
2023-01-09 09:10:40.286 CET;6
2023-01-09 09:11:02.377 CET;14
2023-01-09 09:14:57.312 CET;6
2023-01-09 09:35:56.335 CET;14
2023-01-09 10:04:10.111 CET;0
2023-01-09 10:04:11.109 CET;6
2023-01-09 10:14:13.522 CET;14
2023-01-09 10:15:47.888 CET;6
2023-01-09 10:18:29.535 CET;14
2023-01-09 10:19:00.653 CET;6
2023-01-09 10:23:05.638 CET;14
2023-01-09 10:27:45.752 CET;6
2023-01-09 10:28:27.920 CET;14
2023-01-09 14:07:37.426 CET;6
2023-01-09 14:14:27.061 CET;16
2023-01-09 14:26:39.992 CET;6
2023-01-09 14:33:09.555 CET;16
2023-01-09 15:32:56.871 CET;6
2023-01-09 15:33:59.121 CET;16
2023-01-09 15:42:05.063 CET;6
2023-01-09 15:42:17.115 CET;16
2023-01-09 18:41:24.029 CET;6
2023-01-09 18:51:31.460 CET;0
2023-01-09 18:51:32.460 CET;6
2023-01-09 18:54:53.269 CET;12
2023-01-09 20:55:47.232 CET;6
2023-01-09 21:13:49.546 CET;12
