time;RealUpperCushionPressure
2022-12-20 09:59:15.217 CET;2
2023-01-02 11:34:49.256 CET;5
2023-01-02 20:19:59.252 CET;1,5
2023-01-02 23:13:07.796 CET;2,5
2023-01-03 06:36:25.144 CET;1
2023-01-03 19:27:47.221 CET;0,9
2023-01-03 21:20:59.378 CET;1
2023-01-04 00:49:11.338 CET;1,5
2023-01-04 09:35:13.536 CET;2
2023-01-04 14:12:48.140 CET;1,2
2023-01-05 01:58:25.450 CET;2
2023-01-05 11:01:06.663 CET;1,5
2023-01-05 17:28:26.598 CET;3
2023-01-05 20:20:00.765 CET;1,5
2023-01-06 00:36:57.411 CET;1,1
2023-01-06 03:49:47.674 CET;4,8
2023-01-09 08:54:38.161 CET;2
2023-01-09 14:15:39.180 CET;2,5
2023-01-09 18:44:41.736 CET;1,8
2023-01-09 22:50:26.680 CET;2
2023-01-10 01:54:08.757 CET;5
2023-01-10 10:39:35.858 CET;1,2
2023-01-11 01:49:00.048 CET;1,5
2023-01-11 09:27:44.128 CET;2,5
2023-01-11 10:32:28.657 CET;1,5
2023-01-11 16:19:43.983 CET;4
2023-01-11 21:10:54.857 CET;2,5
2023-01-12 00:47:53.915 CET;2
2023-01-12 11:36:48.625 CET;1
2023-01-12 15:55:53.789 CET;2
2023-01-12 18:34:53.953 CET;1
2023-01-12 21:04:16.799 CET;1,5
2023-01-13 06:19:12.959 CET;2
2023-01-13 17:09:44.062 CET;5,5
2023-01-13 19:16:54.572 CET;4,9
2023-01-13 19:20:23.410 CET;5,5
2023-01-13 23:38:32.351 CET;2,5
2023-01-16 10:58:13.457 CET;5
2023-01-16 22:21:18.348 CET;1,5
2023-01-17 03:19:03.798 CET;2,5
2023-01-17 10:54:02.966 CET;1,5
2023-01-18 11:57:33.740 CET;1
2023-01-18 18:25:58.940 CET;4,8
2023-01-18 20:02:30.101 CET;1
2023-01-19 02:36:42.686 CET;1,2
2023-01-19 10:06:56.727 CET;1,4
2023-01-19 12:01:03.111 CET;1,2
2023-01-19 17:30:31.164 CET;2
2023-01-20 00:23:51.338 CET;1,5
2023-01-20 04:23:41.888 CET;2,5
2023-01-20 12:10:36.924 CET;4
2023-01-20 15:17:43.815 CET;1,8
2023-01-20 20:17:13.676 CET;2
2023-01-21 04:13:26.947 CET;1
2023-01-21 20:16:40.042 CET;1,5
2023-01-24 15:58:37.486 CET;2
2023-01-24 21:00:32.921 CET;2,5
2023-01-25 00:18:21.367 CET;5
2023-01-25 10:17:18.075 CET;1
2023-01-25 14:36:34.289 CET;3
2023-01-25 16:39:33.790 CET;1
2023-01-25 22:24:16.489 CET;1,5
2023-01-26 10:46:20.526 CET;2
2023-01-26 13:20:07.430 CET;1,8
2023-01-26 16:31:00.229 CET;2,5
2023-01-27 09:42:17.668 CET;2
