time;PressSpeed
2023-02-14 19:25:43.581 CET;8
2023-02-14 19:33:55.542 CET;14
2023-02-15 03:21:30.647 CET;8
2023-02-15 03:31:47.122 CET;12
2023-02-15 04:27:37.509 CET;8
2023-02-15 05:09:51.640 CET;15
2023-02-15 07:23:44.736 CET;8
2023-02-15 07:23:49.756 CET;15
2023-02-15 09:30:26.125 CET;8
2023-02-15 09:30:45.194 CET;15
2023-02-15 13:27:25.950 CET;8
2023-02-15 13:38:38.641 CET;0
2023-02-15 13:38:39.641 CET;8
2023-02-15 13:46:36.543 CET;14
2023-02-15 18:01:49.744 CET;8
2023-02-15 18:08:25.319 CET;0
2023-02-15 18:08:26.329 CET;8
2023-02-15 18:11:37.086 CET;14
2023-02-15 22:56:52.490 CET;8
2023-02-15 23:14:25.693 CET;17
2023-02-16 04:41:52.207 CET;8
2023-02-16 04:56:04.615 CET;17
2023-02-16 08:55:35.053 CET;8
2023-02-16 09:30:31.423 CET;20
2023-02-16 13:09:11.858 CET;8
2023-02-16 13:22:08.967 CET;0
2023-02-16 13:22:09.977 CET;8
2023-02-16 13:32:51.536 CET;19
2023-02-16 15:38:57.782 CET;8
2023-02-16 15:39:07.822 CET;0
2023-02-16 15:39:08.822 CET;19
2023-02-17 05:17:55.154 CET;8
2023-02-17 05:38:27.076 CET;0
2023-02-17 05:38:28.086 CET;20
2023-02-17 07:27:32.237 CET;8
2023-02-17 07:44:16.256 CET;19
2023-02-17 08:35:28.533 CET;8
2023-02-17 09:23:29.042 CET;20
2023-02-17 12:03:51.515 CET;8
2023-02-17 22:26:53.905 CET;8
2023-02-17 22:34:21.697 CET;0
2023-02-17 22:34:22.707 CET;15
2023-02-17 22:34:23.707 CET;8
2023-02-17 22:36:27.198 CET;15
2023-02-18 03:28:50.309 CET;0
2023-02-18 03:28:51.319 CET;8
2023-02-18 03:36:56.250 CET;16
2023-02-18 03:36:57.260 CET;8
2023-02-18 03:38:49.709 CET;16
2023-02-19 07:07:22.979 CET;8
2023-02-20 06:08:57.203 CET;16
2023-02-20 16:09:37.642 CET;8
2023-02-20 16:20:12.765 CET;14
2023-02-20 19:15:51.875 CET;8
2023-02-20 19:21:47.299 CET;18
2023-02-20 19:21:48.299 CET;8
2023-02-20 19:22:34.489 CET;18
2023-02-20 20:28:27.280 CET;8
2023-02-20 20:28:52.381 CET;18
2023-02-21 11:16:52.295 CET;8
2023-02-21 11:25:05.266 CET;10
