time;RealPos1Cylinder1Force
2022-12-15 12:45:50.823 CET;380
2023-02-04 00:32:36.032 CET;0
2023-02-04 00:32:39.760 CET;380
2023-02-13 19:36:47.065 CET;0
2023-02-13 19:36:53.085 CET;700
2023-02-13 19:37:28.234 CET;450
2023-02-14 05:32:22.767 CET;300
2023-02-14 06:31:18.867 CET;200
2023-02-14 07:09:39.073 CET;250
2023-02-14 07:16:49.789 CET;230
2023-02-14 07:21:17.855 CET;200
2023-02-14 07:24:41.671 CET;180
2023-02-14 07:32:21.506 CET;400
2023-02-14 07:35:21.223 CET;300
2023-02-14 17:14:30.996 CET;550
2023-02-14 20:09:15.868 CET;450
2023-02-14 20:27:04.135 CET;430
2023-02-14 22:10:06.815 CET;450
2023-02-15 03:31:38.851 CET;250
2023-02-15 07:11:10.456 CET;0
2023-02-15 07:11:19.496 CET;250
2023-02-15 12:32:00.328 CET;200
2023-02-15 12:51:01.887 CET;150
2023-02-15 13:00:20.117 CET;300
2023-02-15 13:40:18.688 CET;600
2023-02-15 18:16:43.921 CET;500
2023-02-15 23:10:42.358 CET;450
2023-02-16 04:57:32.463 CET;400
2023-02-16 13:25:35.184 CET;450
2023-02-16 17:00:56.802 CET;400
2023-02-16 17:03:44.469 CET;370
2023-02-16 18:47:31.335 CET;300
2023-02-16 19:45:12.151 CET;250
2023-02-17 05:33:21.084 CET;400
2023-02-17 07:43:20.236 CET;450
2023-02-17 08:54:38.318 CET;400
2023-02-17 12:11:17.448 CET;360
2023-02-17 15:25:34.990 CET;330
2023-02-17 15:32:40.694 CET;300
2023-02-17 18:40:51.796 CET;330
2023-02-17 18:52:46.644 CET;400
2023-02-17 19:00:10.418 CET;350
2023-02-17 19:40:08.000 CET;250
2023-02-17 19:43:00.677 CET;280
2023-02-17 19:47:12.691 CET;350
2023-02-17 22:37:51.588 CET;700
2023-02-18 03:36:25.121 CET;300
2023-02-20 08:44:51.959 CET;350
2023-02-20 16:20:43.174 CET;600
2023-02-20 19:28:20.131 CET;550
2023-02-21 08:28:49.119 CET;600
2023-02-21 11:22:11.671 CET;420
2023-02-21 15:25:35.002 CET;700
2023-02-21 17:42:23.786 CET;600
2023-02-21 20:42:49.055 CET;550
2023-02-22 05:28:24.940 CET;400
2023-02-22 05:29:15.138 CET;550
2023-02-22 06:59:09.690 CET;450
2023-02-22 15:33:48.999 CET;700
2023-02-22 20:09:59.177 CET;400
2023-02-23 08:40:07.451 CET;400
2023-02-23 08:52:06.779 CET;0
2023-02-23 08:52:11.799 CET;400
2023-02-23 08:57:24.153 CET;400
2023-02-23 08:58:15.982 CET;400
2023-02-23 09:15:19.553 CET;400
2023-02-23 09:16:39.983 CET;400
2023-02-23 09:17:14.322 CET;400
2023-02-23 09:17:29.262 CET;400
2023-02-23 09:20:51.835 CET;400
2023-02-23 09:34:18.069 CET;400
2023-02-23 09:35:50.688 CET;400
2023-02-23 09:40:17.328 CET;400
2023-02-23 09:40:50.605 CET;400
2023-02-23 09:43:04.209 CET;400
2023-02-23 09:43:41.559 CET;400
2023-02-23 09:51:29.756 CET;400
2023-02-23 09:51:29.808 CET;400
2023-02-23 10:14:47.973 CET;400
2023-02-23 10:14:48.026 CET;400
2023-02-23 10:32:50.924 CET;500
2023-02-23 11:02:59.029 CET;500
2023-02-23 11:02:59.081 CET;500
2023-02-23 11:05:06.588 CET;500
2023-02-23 11:05:06.638 CET;500
2023-02-23 11:06:18.926 CET;500
2023-02-23 11:06:18.976 CET;500
2023-02-23 11:06:39.595 CET;500
2023-02-23 11:06:39.647 CET;500
2023-02-23 13:00:23.191 CET;500
2023-02-23 13:00:23.243 CET;500
2023-02-23 14:47:18.357 CET;500
2023-02-23 14:47:18.407 CET;500
2023-02-23 14:55:11.005 CET;500
2023-02-23 15:00:12.484 CET;500
2023-02-23 15:01:54.526 CET;500
2023-02-23 15:07:58.368 CET;500
2023-02-23 15:16:02.418 CET;500
2023-02-23 15:58:53.039 CET;450
2023-02-23 22:44:24.219 CET;400
2023-02-24 00:07:42.190 CET;450
2023-02-24 00:08:00.260 CET;500
2023-02-24 00:14:12.746 CET;350
2023-02-24 08:52:20.917 CET;390
2023-02-24 12:09:00.033 CET;360
2023-02-24 19:33:44.617 CET;350
2023-02-25 00:47:15.744 CET;300
2023-02-25 01:21:05.858 CET;400
2023-02-25 02:53:38.025 CET;450
2023-02-27 08:41:12.520 CET;450
2023-02-27 09:24:02.444 CET;0
2023-02-27 09:24:08.474 CET;450
2023-02-27 09:56:28.220 CET;500
2023-02-27 10:01:30.424 CET;550
2023-02-27 13:32:41.740 CET;600
2023-02-27 18:06:55.757 CET;700
2023-02-27 21:52:55.898 CET;400
2023-02-28 00:59:48.671 CET;300
2023-02-28 01:35:33.236 CET;350
2023-02-28 06:34:02.753 CET;550
2023-02-28 16:49:56.313 CET;450
2023-02-28 19:12:43.506 CET;300
