time;RealUpperCushionPressure
2022-12-20 09:58:56.299 CET;2
2023-01-02 11:34:34.487 CET;0,3
2023-01-02 20:20:04.461 CET;1
2023-01-02 23:15:32.523 CET;2
2023-01-03 06:35:11.917 CET;1
2023-01-03 19:28:37.332 CET;0,5
2023-01-03 21:20:46.207 CET;1
2023-01-04 00:47:33.789 CET;3
2023-01-04 09:35:48.415 CET;2
2023-01-04 14:11:18.461 CET;1,5
2023-01-05 01:56:29.522 CET;0,3
2023-01-05 11:00:40.973 CET;1,5
2023-01-05 17:32:46.983 CET;2,5
2023-01-05 20:19:13.884 CET;1,5
2023-01-06 00:43:07.145 CET;2
2023-01-06 03:44:50.707 CET;3,5
2023-01-06 03:56:46.572 CET;2,6
2023-01-06 04:10:01.747 CET;3,5
2023-01-09 08:55:53.750 CET;2
2023-01-09 18:43:58.727 CET;0,3
2023-01-10 10:38:29.571 CET;1,5
2023-01-11 09:29:53.335 CET;2,5
2023-01-11 10:32:34.357 CET;1,5
2023-01-11 16:20:50.861 CET;1
2023-01-11 21:09:37.096 CET;1,5
2023-01-12 00:48:12.496 CET;2
2023-01-12 04:44:40.207 CET;0
2023-01-12 11:33:46.278 CET;1
2023-01-12 11:34:51.536 CET;0
2023-01-12 11:36:29.927 CET;1,5
2023-01-12 11:37:02.055 CET;0
2023-01-12 11:38:46.473 CET;1
2023-01-12 21:02:59.762 CET;3
2023-01-13 06:17:51.789 CET;0,3
2023-01-13 18:56:29.680 CET;1,5
2023-01-13 23:32:32.858 CET;2
2023-01-16 10:57:26.496 CET;0,3
2023-01-16 22:32:20.076 CET;1,5
2023-01-17 03:23:56.994 CET;1
2023-01-17 10:52:48.607 CET;3
2023-01-17 19:18:25.834 CET;1,5
2023-01-18 11:44:55.344 CET;1
2023-01-18 18:25:53.471 CET;3,5
2023-01-18 20:02:27.621 CET;1
2023-01-19 02:29:13.352 CET;1,5
2023-01-19 10:06:02.880 CET;4,5
2023-01-19 12:00:59.440 CET;1,5
2023-01-19 17:30:32.444 CET;0,3
2023-01-19 19:31:13.372 CET;2
2023-01-20 00:23:52.529 CET;3
2023-01-20 04:33:12.311 CET;2
2023-01-20 12:09:52.796 CET;4
2023-01-20 15:17:16.717 CET;0,3
2023-01-20 20:17:22.655 CET;0
2023-01-21 01:54:11.403 CET;0,3
2023-01-21 04:07:36.392 CET;1
2023-01-21 20:04:08.693 CET;1,5
2023-01-24 16:00:39.815 CET;0,3
2023-01-24 20:58:47.272 CET;1,5
2023-01-25 00:18:45.207 CET;0,3
2023-01-25 10:16:44.556 CET;1
2023-01-25 14:38:19.266 CET;2,5
2023-01-25 16:40:23.530 CET;1
2023-01-25 22:25:21.217 CET;3
2023-01-26 10:45:32.658 CET;0,3
2023-01-26 16:28:45.943 CET;2,5
2023-01-26 18:19:27.473 CET;2
2023-01-27 09:41:32.529 CET;0
2023-01-27 13:36:05.753 CET;3
2023-01-27 19:23:42.092 CET;0,5
2023-01-30 09:09:17.289 CET;2
2023-01-30 17:27:11.641 CET;0,3
2023-01-31 19:25:24.145 CET;2
2023-01-31 22:38:53.512 CET;0,3
2023-02-01 06:27:15.783 CET;3
2023-02-01 06:28:26.062 CET;0,3
2023-02-01 06:31:31.809 CET;3
2023-02-01 11:10:54.786 CET;1,5
2023-02-02 08:48:38.881 CET;2
2023-02-02 15:01:03.157 CET;0,3
2023-02-02 18:31:17.559 CET;1
2023-02-03 23:33:08.094 CET;3
2023-02-04 00:32:39.151 CET;0
2023-02-04 00:32:39.171 CET;3
2023-02-04 00:32:46.391 CET;0
2023-02-04 00:33:17.519 CET;3
2023-02-06 10:29:29.704 CET;1,5
2023-02-07 19:20:46.164 CET;0,3
2023-02-08 04:35:12.059 CET;1,5
2023-02-08 10:49:52.865 CET;3,5
2023-02-08 13:53:46.944 CET;1,5
2023-02-08 19:15:05.971 CET;0,3
2023-02-08 21:30:05.335 CET;0
2023-02-09 03:04:43.542 CET;3
2023-02-09 08:49:03.078 CET;0,3
2023-02-09 13:00:40.394 CET;1,6
2023-02-09 14:22:38.043 CET;0,3
2023-02-09 20:14:16.334 CET;2
2023-02-10 03:57:49.456 CET;0,3
2023-02-10 06:30:39.092 CET;1,5
2023-02-10 13:08:04.361 CET;2
2023-02-10 18:09:32.627 CET;1,5
2023-02-10 22:29:30.938 CET;0,3
2023-02-13 06:44:59.016 CET;3,5
2023-02-13 06:46:11.305 CET;3
2023-02-13 06:46:15.325 CET;2,5
2023-02-13 06:46:17.325 CET;2
2023-02-13 06:48:28.852 CET;3,5
2023-02-13 12:45:22.397 CET;3
2023-02-13 19:23:44.900 CET;1
2023-02-14 05:32:31.838 CET;1,5
2023-02-14 17:13:46.947 CET;0,3
2023-02-15 03:21:48.697 CET;3,5
2023-02-15 04:37:59.980 CET;1,5
2023-02-15 13:31:48.937 CET;0,3
2023-02-15 18:04:21.282 CET;0
2023-02-15 22:59:50.108 CET;1
2023-02-16 04:31:55.730 CET;1,5
2023-02-16 09:23:02.520 CET;4
2023-02-16 13:15:09.164 CET;1,5
2023-02-17 05:20:29.602 CET;2
2023-02-17 07:31:45.075 CET;1,5
2023-02-17 08:39:53.411 CET;2
2023-02-17 12:08:41.480 CET;0,3
2023-02-17 22:29:42.351 CET;3
2023-02-18 03:29:23.200 CET;1,5
2023-02-20 16:16:08.358 CET;0,3
2023-02-20 19:17:02.733 CET;2
2023-02-21 15:07:49.184 CET;0,3
2023-02-22 15:25:08.536 CET;3
2023-02-22 16:14:47.434 CET;0
2023-02-22 16:15:03.493 CET;3
2023-02-22 20:29:52.585 CET;2
2023-02-22 20:32:13.144 CET;3
2023-02-22 21:16:30.769 CET;2
2023-02-23 03:12:30.115 CET;2,5
2023-02-23 08:57:24.153 CET;2,5
2023-02-23 08:58:15.982 CET;2,5
2023-02-23 09:15:19.553 CET;2,5
2023-02-23 09:16:39.983 CET;2,5
2023-02-23 09:17:29.262 CET;2,5
2023-02-23 09:20:51.835 CET;2,5
2023-02-23 09:34:18.069 CET;2,5
2023-02-23 09:35:50.688 CET;2,5
2023-02-23 09:40:50.605 CET;2,5
2023-02-23 09:43:04.209 CET;2,5
2023-02-23 09:43:41.559 CET;2,5
2023-02-23 09:51:29.756 CET;2,5
2023-02-23 09:51:29.808 CET;2,5
2023-02-23 10:14:47.973 CET;2,5
2023-02-23 10:14:48.026 CET;2,5
2023-02-23 10:26:40.201 CET;0
2023-02-23 10:29:09.799 CET;2,5
2023-02-23 10:40:01.394 CET;0
2023-02-23 11:02:59.029 CET;0
2023-02-23 11:06:18.926 CET;0
2023-02-23 11:06:39.595 CET;0
2023-02-23 13:00:23.191 CET;0
2023-02-23 14:47:18.357 CET;0
2023-02-23 14:55:11.005 CET;0
2023-02-23 15:01:54.526 CET;0
2023-02-23 15:16:02.418 CET;0
2023-02-23 15:50:18.779 CET;1
2023-02-23 22:33:56.548 CET;2,5
2023-02-24 08:48:16.849 CET;1
2023-02-24 12:00:41.971 CET;0,3
2023-02-24 19:16:02.355 CET;3,5
2023-02-24 23:00:03.052 CET;4
2023-02-27 08:41:12.520 CET;4
2023-02-27 13:28:58.404 CET;1
2023-02-27 17:44:26.900 CET;3
2023-02-27 21:46:02.845 CET;1,5
2023-02-28 06:31:02.687 CET;4
2023-02-28 06:31:24.776 CET;1,5
2023-02-28 06:42:31.436 CET;4
2023-02-28 10:45:07.582 CET;1,5
